"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0400000US01","Alabama","8844","null","225","null","23509","350","null","null","40576","null","580","null","65131","null","831","null","140828","2292","null","null","237493","null","6993","null",
"0400000US02","Alaska","16104","null","868","null","39894","1477","null","null","64881","null","1895","null","98871","null","2651","null","186701","7210","null","null","297729","null","21810","null",
"0400000US04","Arizona","10974","null","293","null","28753","400","null","null","46994","null","508","null","73019","null","664","null","154452","2417","null","null","262423","null","7629","null",
"0400000US05","Arkansas","9419","null","260","null","23314","425","null","null","38464","null","553","null","61178","null","855","null","129534","3354","null","null","217751","null","10390","null",
"0400000US06","California","12865","null","111","null","33901","190","null","null","57985","null","267","null","92059","null","407","null","200513","1552","null","null","345974","null","5099","null",
"0400000US08","Colorado","12370","null","271","null","32561","407","null","null","54419","null","612","null","84734","null","804","null","178029","3085","null","null","304699","null","10766","null",
"0400000US09","Connecticut","13969","null","380","null","37716","657","null","null","64256","null","836","null","100813","null","1091","null","233617","5639","null","null","436169","null","18743","null",
"0400000US10","Delaware","13430","null","731","null","34388","1253","null","null","56395","null","1503","null","85903","null","1825","null","172632","6430","null","null","289572","null","22464","null",
"0400000US11","District of Columbia","9062","null","827","null","32500","1591","null","null","61035","null","1963","null","102994","null","3163","null","259204","10760","null","null","473343","null","34055","null",
"0400000US12","Florida","10414","null","120","null","27010","160","null","null","44487","null","250","null","69667","null","393","null","157806","2010","null","null","286304","null","6570","null",
"0400000US13","Georgia","9961","null","221","null","27052","340","null","null","46477","null","471","null","73540","null","607","null","157806","1692","null","null","267972","null","5559","null",
"0400000US15","Hawaii","14163","null","692","null","38617","943","null","null","63511","null","1353","null","95629","null","1722","null","185878","4974","null","null","301619","null","13783","null",
"0400000US16","Idaho","11041","null","457","null","27203","667","null","null","43715","null","743","null","65774","null","989","null","132698","3911","null","null","222554","null","13216","null",
"0400000US17","Illinois","12101","null","176","null","31643","228","null","null","53358","null","317","null","83407","null","459","null","179602","1793","null","null","314094","null","6059","null",
"0400000US18","Indiana","11190","null","219","null","27573","302","null","null","44830","null","385","null","68956","null","472","null","139706","1781","null","null","234892","null","6609","null",
"0400000US19","Iowa","12392","null","261","null","29676","448","null","null","48137","null","574","null","72179","null","686","null","142121","2463","null","null","237064","null","8082","null",
"0400000US20","Kansas","11757","null","353","null","29538","535","null","null","48349","null","739","null","73623","null","978","null","152202","3018","null","null","261349","null","9226","null",
"0400000US21","Kentucky","9121","null","222","null","23156","428","null","null","39936","null","541","null","64082","null","759","null","135303","2665","null","null","232217","null","8799","null",
"0400000US22","Louisiana","9341","null","204","null","24304","423","null","null","42909","null","606","null","69637","null","873","null","149390","3266","null","null","256044","null","11438","null",
"0400000US23","Maine","11533","null","350","null","27663","695","null","null","46219","null","941","null","70569","null","1092","null","140516","3805","null","null","233262","null","12307","null",
"0400000US24","Maryland","15827","null","365","null","42268","539","null","null","69260","null","712","null","105987","null","851","null","214475","3087","null","null","354702","null","8822","null",
"0400000US25","Massachusetts","12146","null","259","null","35474","476","null","null","62532","null","484","null","98605","null","742","null","211268","2786","null","null","369511","null","9264","null",
"0400000US26","Michigan","10498","null","160","null","27069","239","null","null","45438","null","291","null","70456","null","415","null","145398","1349","null","null","242275","null","4321","null",
"0400000US27","Minnesota","13386","null","226","null","33665","316","null","null","55559","null","457","null","83859","null","563","null","170255","2941","null","null","290858","null","9552","null",
"0400000US28","Mississippi","8249","null","261","null","21213","518","null","null","37042","null","718","null","60140","null","734","null","126309","2587","null","null","213380","null","8282","null",
"0400000US29","Missouri","10524","null","205","null","26753","329","null","null","44606","null","439","null","69609","null","550","null","146130","2499","null","null","249934","null","8843","null",
"0400000US30","Montana","11437","null","488","null","26615","758","null","null","43074","null","973","null","66547","null","1543","null","133656","4134","null","null","221705","null","13500","null",
"0400000US31","Nebraska","12291","null","398","null","29595","537","null","null","48298","null","681","null","73005","null","869","null","144963","3682","null","null","243290","null","12291","null",
"0400000US32","Nevada","12184","null","475","null","31123","680","null","null","51058","null","922","null","77411","null","1021","null","161373","4283","null","null","280432","null","15032","null",
"0400000US33","New Hampshire","15580","null","599","null","38256","917","null","null","61095","null","1296","null","91674","null","1479","null","180010","4910","null","null","295206","null","15775","null",
"0400000US34","New Jersey","14775","null","243","null","39826","506","null","null","67926","null","658","null","106139","null","763","null","225745","2563","null","null","386811","null","7801","null",
"0400000US35","New Mexico","9619","null","374","null","24829","596","null","null","42420","null","849","null","68084","null","1248","null","143323","3507","null","null","237426","null","11192","null",
"0400000US36","New York","11232","null","150","null","31059","238","null","null","54621","null","322","null","88453","null","437","null","208266","2333","null","null","386992","null","7675","null",
"0400000US37","North Carolina","9982","null","170","null","26093","254","null","null","43586","null","306","null","68076","null","464","null","147529","2067","null","null","258077","null","6836","null",
"0400000US38","North Dakota","11540","null","544","null","29154","877","null","null","48644","null","1318","null","73802","null","1480","null","143303","6139","null","null","241172","null","21419","null",
"0400000US39","Ohio","10535","null","153","null","27103","215","null","null","45177","null","274","null","70299","null","375","null","145159","1317","null","null","244807","null","4517","null",
"0400000US40","Oklahoma","10222","null","208","null","25679","371","null","null","42435","null","474","null","65497","null","641","null","138829","2220","null","null","239752","null","7136","null",
