"GEO_ID","NAME","B19083_001M","B19083_001MA","B19083_001E","B19083_001EA",
"Geography","Geographic Area Name","Margin of Error!!Gini Index","Annotation of Margin of Error!!Gini Index","Estimate!!Gini Index","Annotation of Estimate!!Gini Index",
"0100000US","United States","0.000","null","0.469","null",
"0400000US01","Alabama","0.004","null","0.472","null",
"0400000US02","Alaska","0.010","null","0.422","null",
"0400000US04","Arizona","0.004","null","0.455","null",
"0400000US05","Arkansas","0.007","null","0.458","null",
"0400000US06","California","0.002","null","0.471","null",
"0400000US08","Colorado","0.005","null","0.457","null",
"0400000US09","Connecticut","0.007","null","0.486","null",
"0400000US10","Delaware","0.010","null","0.440","null",
"0400000US11","District of Columbia","0.011","null","0.532","null",
"0400000US12","Florida","0.003","null","0.474","null",
"0400000US13","Georgia","0.003","null","0.468","null",
"0400000US15","Hawaii","0.008","null","0.433","null",
"0400000US16","Idaho","0.009","null","0.433","null",
"0400000US17","Illinois","0.003","null","0.465","null",
"0400000US18","Indiana","0.004","null","0.440","null",
"0400000US19","Iowa","0.005","null","0.427","null",
"0400000US20","Kansas","0.004","null","0.445","null",
"0400000US21","Kentucky","0.005","null","0.466","null",
"0400000US22","Louisiana","0.006","null","0.475","null",
"0400000US23","Maine","0.007","null","0.437","null",
"0400000US24","Maryland","0.004","null","0.443","null",
"0400000US25","Massachusetts","0.004","null","0.475","null",
"0400000US26","Michigan","0.003","null","0.451","null",
"0400000US27","Minnesota","0.005","null","0.440","null",
"0400000US28","Mississippi","0.006","null","0.468","null",
"0400000US29","Missouri","0.005","null","0.455","null",
"0400000US30","Montana","0.008","null","0.435","null",
"0400000US31","Nebraska","0.007","null","0.432","null",
"0400000US32","Nevada","0.008","null","0.448","null",
"0400000US33","New Hampshire","0.008","null","0.425","null",
"0400000US34","New Jersey","0.004","null","0.464","null",
"0400000US35","New Mexico","0.008","null","0.464","null",
"0400000US36","New York","0.003","null","0.499","null",
"0400000US37","North Carolina","0.004","null","0.464","null",
"0400000US38","North Dakota","0.011","null","0.433","null",
"0400000US39","Ohio","0.003","null","0.452","null",
"0400000US40","Oklahoma","0.005","null","0.454","null",
"0400000US41","Oregon","0.005","null","0.449","null",
"0400000US42","Pennsylvania","0.003","null","0.461","null",
"0400000US44","Rhode Island","0.009","null","0.467","null",
"0400000US45","South Carolina","0.006","null","0.461","null",
"0400000US46","South Dakota","0.012","null","0.442","null",
"0400000US47","Tennessee","0.004","null","0.468","null",
"0400000US48","Texas","0.002","null","0.469","null",
"0400000US49","Utah","0.007","null","0.419","null",
"0400000US50","Vermont","0.009","null","0.444","null",
"0400000US51","Virginia","0.003","null","0.459","null",
