"Label (Grouping)","HOUSEHOLDS BY TYPE","HOUSEHOLDS BY TYPE!!Total households","HOUSEHOLDS BY TYPE!!Family households (families)","HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years","HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family","HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years","HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family","HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years","HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family","HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years","HOUSEHOLDS BY TYPE!!Nonfamily households","HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone","HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years","HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over","HOUSEHOLDS BY TYPE!!Average household size","HOUSEHOLDS BY TYPE!!Average family size","RELATIONSHIP","RELATIONSHIP!!Population in households","RELATIONSHIP!!Householder","RELATIONSHIP!!Spouse","RELATIONSHIP!!Child","RELATIONSHIP!!Other relatives","RELATIONSHIP!!Nonrelatives","RELATIONSHIP!!Nonrelatives!!Unmarried partner","MARITAL STATUS","MARITAL STATUS!!Males 15 years and over","MARITAL STATUS!!Never married","MARITAL STATUS!!Now married, except separated","MARITAL STATUS!!Separated","MARITAL STATUS!!Widowed","MARITAL STATUS!!Divorced","MARITAL STATUS!!Females 15 years and over","MARITAL STATUS!!Never married","MARITAL STATUS!!Now married, except separated","MARITAL STATUS!!Separated","MARITAL STATUS!!Widowed","MARITAL STATUS!!Divorced","FERTILITY","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Per 1,000 women 15 to 50 years old","FERTILITY!!Per 1,000 women 15 to 50 years old!!Per 1,000 women 15 to 19 years old","FERTILITY!!Per 1,000 women 15 to 50 years old!!Per 1,000 women 20 to 34 years old","FERTILITY!!Per 1,000 women 15 to 50 years old!!Per 1,000 women 35 to 50 years old","GRANDPARENTS","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years","GRANDPARENTS!!Responsible for grandchildren","GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren","GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!Less than 1 year","GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!1 or 2 years","GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!3 or 4 years","GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!5 or more years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years","GRANDPARENTS!!Who are female","GRANDPARENTS!!Who are married","SCHOOL ENROLLMENT","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school","SCHOOL ENROLLMENT!!Nursery school, preschool","SCHOOL ENROLLMENT!!Kindergarten","SCHOOL ENROLLMENT!!Elementary school (grades 1-8)","SCHOOL ENROLLMENT!!High school (grades 9-12)","SCHOOL ENROLLMENT!!College or graduate school","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Associate's degree","EDUCATIONAL ATTAINMENT!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher","EDUCATIONAL ATTAINMENT!!Percent bachelor's degree or higher","VETERAN STATUS","VETERAN STATUS!!Civilian population 18 years and over","VETERAN STATUS!!Civilian veterans","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability","RESIDENCE 1 YEAR AGO","RESIDENCE 1 YEAR AGO!!Population 1 year and over","RESIDENCE 1 YEAR AGO!!Same house","RESIDENCE 1 YEAR AGO!!Different house in the U.S.","RESIDENCE 1 YEAR AGO!!Different house in the U.S.!!Same county","RESIDENCE 1 YEAR AGO!!Different house in the U.S.!!Different county","RESIDENCE 1 YEAR AGO!!Different house in the U.S.!!Different county!!Same state","RESIDENCE 1 YEAR AGO!!Different house in the U.S.!!Different county!!Different state","RESIDENCE 1 YEAR AGO!!Abroad","PLACE OF BIRTH","PLACE OF BIRTH!!Total population","PLACE OF BIRTH!!Native","PLACE OF BIRTH!!Native!!Born in United States","PLACE OF BIRTH!!Native!!Born in United States!!State of residence","PLACE OF BIRTH!!Native!!Born in United States!!Different state","PLACE OF BIRTH!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","PLACE OF BIRTH!!Foreign born","U.S. CITIZENSHIP STATUS","U.S. CITIZENSHIP STATUS!!Foreign-born population","U.S. CITIZENSHIP STATUS!!Naturalized U.S. citizen","U.S. CITIZENSHIP STATUS!!Not a U.S. citizen","YEAR OF ENTRY","YEAR OF ENTRY!!Population born outside the United States","YEAR OF ENTRY!!Native","YEAR OF ENTRY!!Entered 2000 or later","YEAR OF ENTRY!!Entered before 2000","YEAR OF ENTRY!!Foreign born","YEAR OF ENTRY!!Entered 2000 or later","YEAR OF ENTRY!!Entered before 2000","WORLD REGION OF BIRTH OF FOREIGN BORN","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","WORLD REGION OF BIRTH OF FOREIGN BORN!!Europe","WORLD REGION OF BIRTH OF FOREIGN BORN!!Asia","WORLD REGION OF BIRTH OF FOREIGN BORN!!Africa","WORLD REGION OF BIRTH OF FOREIGN BORN!!Oceania","WORLD REGION OF BIRTH OF FOREIGN BORN!!Latin America","WORLD REGION OF BIRTH OF FOREIGN BORN!!Northern America","LANGUAGE SPOKEN AT HOME","LANGUAGE SPOKEN AT HOME!!Population 5 years and over","LANGUAGE SPOKEN AT HOME!!English only","LANGUAGE SPOKEN AT HOME!!Language other than English","LANGUAGE SPOKEN AT HOME!!Language other than English!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Language other than English!!Spanish","LANGUAGE SPOKEN AT HOME!!Language other than English!!Spanish!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Language other than English!!Other Indo-European languages","LANGUAGE SPOKEN AT HOME!!Language other than English!!Other Indo-European languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Language other than English!!Asian and Pacific Islander languages","LANGUAGE SPOKEN AT HOME!!Language other than English!!Asian and Pacific Islander languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Language other than English!!Other languages","LANGUAGE SPOKEN AT HOME!!Language other than English!!Other languages!!Speak English less than ""very well""","ANCESTRY","ANCESTRY!!Total population","ANCESTRY!!American","ANCESTRY!!Arab","ANCESTRY!!Czech","ANCESTRY!!Danish","ANCESTRY!!Dutch","ANCESTRY!!English","ANCESTRY!!French (except Basque)","ANCESTRY!!French Canadian","ANCESTRY!!German","ANCESTRY!!Greek","ANCESTRY!!Hungarian","ANCESTRY!!Irish","ANCESTRY!!Italian","ANCESTRY!!Lithuanian","ANCESTRY!!Norwegian","ANCESTRY!!Polish","ANCESTRY!!Portuguese","ANCESTRY!!Russian","ANCESTRY!!Scotch-Irish","ANCESTRY!!Scottish","ANCESTRY!!Slovak","ANCESTRY!!Subsaharan African","ANCESTRY!!Swedish","ANCESTRY!!Swiss","ANCESTRY!!Ukrainian","ANCESTRY!!Welsh","ANCESTRY!!West Indian (excluding Hispanic origin groups)"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,815,152","1,227,884","511,392","868,946","320,947","79,308","36,351","279,630","154,094","587,268","511,708","182,490","590,757","467,958","2.57","3.16","","4,669,482","1,815,152","869,688","1,422,455","363,914","198,273","68,789","","1,844,661","598,916","933,944","45,860","55,075","210,866","2,004,450","523,685","920,393","62,393","225,474","272,505","","66,243","29,804","47","56","28","106","21","","123,935","68,404","","14,097","17,334","11,831","25,142","68,404","44,815","46,832","","1,238,462","68,331","69,155","505,667","256,865","338,444","","3,161,521","195,566","369,310","988,205","690,363","225,382","439,863","252,832","(X)","(X)","","3,634,612","401,114","","4,702,769","760,409","1,133,638","56,644","2,931,536","422,792","637,595","280,973","","4,729,509","3,987,155","729,188","454,675","274,513","165,790","108,723","13,166","","4,785,298","4,616,702","4,581,528","3,349,147","1,232,381","35,174","168,596","","168,596","48,099","120,497","","203,770","35,174","5,288","29,886","168,596","95,333","73,263","","168,596","16,687","44,381","5,637","723","97,748","3,420","","4,477,229","4,246,569","230,660","108,823","152,831","83,217","39,054","7,462","31,761","16,993","7,014","1,151","","4,785,298","660,698","9,057","3,720","3,377","49,685","418,961","91,804","8,038","338,979","9,601","4,936","467,002","81,993","1,788","14,013","32,003","3,913","8,843","75,353","97,784","1,713","35,881","16,228","4,910","2,723","17,082","8,609"
"    Percent","","1,815,152","67.6%","28.2%","47.9%","17.7%","4.4%","2.0%","15.4%","8.5%","32.4%","28.2%","10.1%","32.5%","25.8%","(X)","(X)","","4,669,482","38.9%","18.6%","30.5%","7.8%","4.2%","1.5%","","1,844,661","32.5%","50.6%","2.5%","3.0%","11.4%","2,004,450","26.1%","45.9%","3.1%","11.2%","13.6%","","66,243","45.0%","(X)","(X)","(X)","(X)","(X)","","123,935","55.2%","","11.4%","14.0%","9.5%","20.3%","68,404","65.5%","68.5%","","1,238,462","5.5%","5.6%","40.8%","20.7%","27.3%","","3,161,521","6.2%","11.7%","31.3%","21.8%","7.1%","13.9%","8.0%","82.1%","21.9%","","3,634,612","11.0%","","4,702,769","16.2%","1,133,638","5.0%","2,931,536","14.4%","637,595","44.1%","","4,729,509","84.3%","15.4%","9.6%","5.8%","3.5%","2.3%","0.3%","","4,785,298","96.5%","95.7%","70.0%","25.8%","0.7%","3.5%","","168,596","28.5%","71.5%","","203,770","35,174","15.0%","85.0%","168,596","56.5%","43.5%","","168,596","9.9%","26.3%","3.3%","0.4%","58.0%","2.0%","","4,477,229","94.8%","5.2%","2.4%","3.4%","1.9%","0.9%","0.2%","0.7%","0.4%","0.2%","0.0%","","4,785,298","13.8%","0.2%","0.1%","0.1%","1.0%","8.8%","1.9%","0.2%","7.1%","0.2%","0.1%","9.8%","1.7%","0.0%","0.3%","0.7%","0.1%","0.2%","1.6%","2.0%","0.0%","0.7%","0.3%","0.1%","0.1%","0.4%","0.2%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","254,610","170,859","88,925","127,969","61,175","14,211","8,547","28,679","19,203","83,751","63,698","13,861","96,745","39,343","2.70","3.24","","687,633","254,610","127,596","217,811","37,297","50,319","20,558","","290,598","103,256","144,388","4,809","5,126","33,019","267,563","73,175","134,407","7,015","16,253","36,713","","12,494","3,987","46","70","30","128","28","","14,048","5,010","","1,148","1,315","852","1,695","5,010","3,335","3,519","","193,373","10,074","10,443","79,826","43,325","49,705","","450,577","12,708","27,668","114,055","133,217","37,106","83,346","42,477","(X)","(X)","","507,439","71,399","","689,249","75,157","187,984","6,333","449,435","48,489","51,830","20,335","","702,974","565,031","132,204","76,301","55,903","19,577","36,326","5,739","","713,985","664,666","649,009","278,256","370,753","15,657","49,319","","49,319","24,102","25,217","","64,976","15,657","4,889","10,768","49,319","17,314","32,005","","49,307","8,398","25,791","2,463","909","9,485","2,261","","660,403","551,159","109,244","37,760","21,950","7,148","16,837","3,319","36,990","16,570","33,467","10,723","","713,985","26,611","1,356","3,945","5,282","13,853","60,890","26,383","8,940","130,862","2,126","2,163","78,413","23,838","1,525","27,444","19,243","1,738","10,027","8,779","20,831","623","3,443","17,602","3,899","1,306","5,920","1,195"
"    Percent","","254,610","67.1%","34.9%","50.3%","24.0%","5.6%","3.4%","11.3%","7.5%","32.9%","25.0%","5.4%","38.0%","15.5%","(X)","(X)","","687,633","37.0%","18.6%","31.7%","5.4%","7.3%","3.0%","","290,598","35.5%","49.7%","1.7%","1.8%","11.4%","267,563","27.3%","50.2%","2.6%","6.1%","13.7%","","12,494","31.9%","(X)","(X)","(X)","(X)","(X)","","14,048","35.7%","","8.2%","9.4%","6.1%","12.1%","5,010","66.6%","70.2%","","193,373","5.2%","5.4%","41.3%","22.4%","25.7%","","450,577","2.8%","6.1%","25.3%","29.6%","8.2%","18.5%","9.4%","91.0%","27.9%","","507,439","14.1%","","689,249","10.9%","187,984","3.4%","449,435","10.8%","51,830","39.2%","","702,974","80.4%","18.8%","10.9%","8.0%","2.8%","5.2%","0.8%","","713,985","93.1%","90.9%","39.0%","51.9%","2.2%","6.9%","","49,319","48.9%","51.1%","","64,976","15,657","31.2%","68.8%","49,319","35.1%","64.9%","","49,307","17.0%","52.3%","5.0%","1.8%","19.2%","4.6%","","660,403","83.5%","16.5%","5.7%","3.3%","1.1%","2.5%","0.5%","5.6%","2.5%","5.1%","1.6%","","713,985","3.7%","0.2%","0.6%","0.7%","1.9%","8.5%","3.7%","1.3%","18.3%","0.3%","0.3%","11.0%","3.3%","0.2%","3.8%","2.7%","0.2%","1.4%","1.2%","2.9%","0.1%","0.5%","2.5%","0.5%","0.2%","0.8%","0.2%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,334,050","1,548,428","680,624","1,134,229","441,343","123,772","65,408","290,427","173,873","785,622","621,291","209,479","767,324","614,702","2.69","3.28","","6,274,353","2,334,050","1,133,978","1,904,348","498,476","403,501","161,512","","2,492,590","879,512","1,249,099","35,415","61,795","266,769","2,559,409","717,857","1,227,676","55,783","213,379","344,714","","86,210","35,578","43","56","31","102","22","","158,383","67,117","","15,689","17,455","11,810","22,163","67,117","40,811","49,061","","1,729,192","83,270","89,818","718,552","360,872","476,680","","4,146,758","261,461","333,890","1,040,197","1,100,225","336,950","691,889","382,146","(X)","(X)","","4,762,678","529,692","","6,310,174","705,940","1,629,931","55,357","3,804,683","363,680","875,560","286,903","","6,332,786","5,069,002","1,224,716","879,397","345,319","122,594","222,725","39,068","","6,413,737","5,557,074","5,481,276","2,418,217","3,063,059","75,798","856,663","","856,663","310,835","545,828","","932,461","75,798","18,349","57,449","856,663","271,974","584,689","","856,663","78,701","145,859","24,215","2,537","572,453","32,898","","5,957,961","4,365,286","1,592,675","587,298","1,214,905","467,536","111,087","26,479","111,502","49,105","155,181","44,178","","6,413,737","323,812","29,474","28,805","44,502","94,942","578,244","161,685","31,980","967,796","26,668","32,002","624,091","277,269","8,869","112,883","156,964","12,828","58,566","59,956","114,303","11,536","30,229","102,907","18,375","13,007","39,430","7,676"
"    Percent","","2,334,050","66.3%","29.2%","48.6%","18.9%","5.3%","2.8%","12.4%","7.4%","33.7%","26.6%","9.0%","32.9%","26.3%","(X)","(X)","","6,274,353","37.2%","18.1%","30.4%","7.9%","6.4%","2.6%","","2,492,590","35.3%","50.1%","1.4%","2.5%","10.7%","2,559,409","28.0%","48.0%","2.2%","8.3%","13.5%","","86,210","41.3%","(X)","(X)","(X)","(X)","(X)","","158,383","42.4%","","9.9%","11.0%","7.5%","14.0%","67,117","60.8%","73.1%","","1,729,192","4.8%","5.2%","41.6%","20.9%","27.6%","","4,146,758","6.3%","8.1%","25.1%","26.5%","8.1%","16.7%","9.2%","85.6%","25.9%","","4,762,678","11.1%","","6,310,174","11.2%","1,629,931","3.4%","3,804,683","9.6%","875,560","32.8%","","6,332,786","80.0%","19.3%","13.9%","5.5%","1.9%","3.5%","0.6%","","6,413,737","86.6%","85.5%","37.7%","47.8%","1.2%","13.4%","","856,663","36.3%","63.7%","","932,461","75,798","24.2%","75.8%","856,663","31.7%","68.3%","","856,663","9.2%","17.0%","2.8%","0.3%","66.8%","3.8%","","5,957,961","73.3%","26.7%","9.9%","20.4%","7.8%","1.9%","0.4%","1.9%","0.8%","2.6%","0.7%","","6,413,737","5.0%","0.5%","0.4%","0.7%","1.5%","9.0%","2.5%","0.5%","15.1%","0.4%","0.5%","9.7%","4.3%","0.1%","1.8%","2.4%","0.2%","0.9%","0.9%","1.8%","0.2%","0.5%","1.6%","0.3%","0.2%","0.6%","0.1%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
