"GEO_ID","NAME","B25101_001E","B25101_001M","B25101_001MA","B25101_001EA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003EA","B25101_003M","B25101_003MA","B25101_004E","B25101_004M","B25101_004MA","B25101_004EA","B25101_005E","B25101_005EA","B25101_005M","B25101_005MA","B25101_006E","B25101_006M","B25101_006MA","B25101_006EA","B25101_007E","B25101_007M","B25101_007MA","B25101_007EA","B25101_008E","B25101_008M","B25101_008MA","B25101_008EA","B25101_009E","B25101_009EA","B25101_009M","B25101_009MA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012EA","B25101_012M","B25101_012MA","B25101_013E","B25101_013M","B25101_013MA","B25101_013EA","B25101_014E","B25101_014M","B25101_014MA","B25101_014EA","B25101_015E","B25101_015M","B25101_015MA","B25101_015EA","B25101_016E","B25101_016EA","B25101_016M","B25101_016MA","B25101_017E","B25101_017EA","B25101_017M","B25101_017MA","B25101_018E","B25101_018M","B25101_018MA","B25101_018EA","B25101_019E","B25101_019M","B25101_019MA","B25101_019EA","B25101_020E","B25101_020EA","B25101_020M","B25101_020MA","B25101_021E","B25101_021EA","B25101_021M","B25101_021MA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023M","B25101_023MA","B25101_023EA","B25101_024E","B25101_024M","B25101_024MA","B25101_024EA","B25101_025E","B25101_025M","B25101_025MA","B25101_025EA","B25101_026E","B25101_026EA","B25101_026M","B25101_026MA","B25101_027E","B25101_027EA","B25101_027M","B25101_027MA","B25101_028E","B25101_028M","B25101_028MA","B25101_028EA","B25101_029E","B25101_029EA","B25101_029M","B25101_029MA","B25101_030E","B25101_030M","B25101_030MA","B25101_030EA","B25101_031E","B25101_031EA","B25101_031M","B25101_031MA","B25101_032E","B25101_032EA","B25101_032M","B25101_032MA","B25101_033E","B25101_033EA","B25101_033M","B25101_033MA","B25101_034E","B25101_034M","B25101_034MA","B25101_034EA","B25101_035E","B25101_035M","B25101_035MA","B25101_035EA","B25101_036E","B25101_036M","B25101_036MA","B25101_036EA","B25101_037E","B25101_037EA","B25101_037M","B25101_037MA","B25101_038E","B25101_038EA","B25101_038M","B25101_038MA","B25101_039E","B25101_039M","B25101_039MA","B25101_039EA","B25101_040E","B25101_040M","B25101_040MA","B25101_040EA","B25101_041E","B25101_041EA","B25101_041M","B25101_041MA","B25101_042E","B25101_042M","B25101_042MA","B25101_042EA","B25101_043E","B25101_043EA","B25101_043M","B25101_043MA","B25101_044E","B25101_044EA","B25101_044M","B25101_044MA","B25101_045E","B25101_045M","B25101_045MA","B25101_045EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With a mortgage","Margin of Error!!Total!!With a mortgage","Annotation of Margin of Error!!Total!!With a mortgage","Annotation of Estimate!!Total!!With a mortgage","Estimate!!Total!!With a mortgage!!Less than $20,000","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000","Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000","Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$75,000 or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more","Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Estimate!!Total!!With a mortgage!!Zero or negative income","Margin of Error!!Total!!With a mortgage!!Zero or negative income","Annotation of Margin of Error!!Total!!With a mortgage!!Zero or negative income","Annotation of Estimate!!Total!!With a mortgage!!Zero or negative income","Estimate!!Total!!Not mortgaged","Margin of Error!!Total!!Not mortgaged","Annotation of Margin of Error!!Total!!Not mortgaged","Annotation of Estimate!!Total!!Not mortgaged","Estimate!!Total!!Not mortgaged!!Less than $20,000","Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000","Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$75,000 or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Estimate!!Total!!Not mortgaged!!Zero or negative income","Margin of Error!!Total!!Not mortgaged!!Zero or negative income","Annotation of Margin of Error!!Total!!Not mortgaged!!Zero or negative income","Annotation of Estimate!!Total!!Not mortgaged!!Zero or negative income",
"0100000US","United States","74873372","216091","null","null","50339500","146035","null","null","3097171","null","29231","null","10242","1460","null","null","55136","null","3505","null","3031793","28206","null","null","5131678","36637","null","null","163744","6242","null","null","676602","null","11565","null","4291332","35652","null","null","6330838","44517","null","null","681662","null","14797","null","1791718","19416","null","null","3857458","32549","null","null","10738921","59156","null","null","2687680","null","26584","null","3934653","null","32884","null","4116588","36032","null","null","24784171","87952","null","null","13340574","null","61857","null","7700481","null","40211","null","3743116","29116","null","null","256721","9724","null","null","24533872","94652","null","null","4922758","33051","null","null","1024239","null","12608","null","1129430","null","16234","null","2769089","25152","null","null","5106843","null","38274","null","3084734","29451","null","null","1249571","null","14919","null","772538","null","13308","null","3867987","null","34291","null","3254636","30825","null","null","460077","10361","null","null","153274","5799","null","null","4261970","null","33090","null","3993224","null","30978","null","210805","6093","null","null","57941","3976","null","null","6076548","null","39206","null","5977636","39243","null","null","83365","null","4172","null","15547","null","1470","null","297766","8646","null","null",
"0400000US01","Alabama","1272846","12811","null","null","774408","11811","null","null","75886","null","4134","null","296","314","null","null","1781","null","699","null","73809","4064","null","null","97105","4517","null","null","4753","956","null","null","19666","null","2204","null","72686","3728","null","null","119834","5322","null","null","19476","null","2208","null","47745","3621","null","null","52613","3581","null","null","167745","6706","null","null","66474","null","4284","null","64908","null","4449","null","36363","2679","null","null","308761","8052","null","null","222530","null","7164","null","69814","null","4135","null","16417","1891","null","null","5077","1165","null","null","498438","9912","null","null","128733","4754","null","null","31189","null","2543","null","31915","null","2540","null","65629","3678","null","null","112207","null","5619","null","83388","4826","null","null","21541","null","2092","null","7278","null","1209","null","80998","null","4807","null","75832","4493","null","null","4723","1144","null","null","443","267","null","null","80273","null","4278","null","78902","null","4172","null","1324","626","null","null","47","78","null","null","87530","null","4797","null","87017","4767","null","null","467","null","330","null","46","null","77","null","8697","1375","null","null",
"0400000US02","Alaska","162785","3878","null","null","112659","3658","null","null","3623","null","1000","null","0","246","null","null","14","null","24","null","3609","1000","null","null","7870","1274","null","null","193","137","null","null","653","null","384","null","7024","1262","null","null","9487","1405","null","null","726","null","483","null","1407","511","null","null","7354","1339","null","null","20097","2129","null","null","4003","null","952","null","6890","null","1105","null","9204","1488","null","null","71384","3397","null","null","37857","null","2880","null","24547","null","2444","null","8980","1525","null","null","198","216","null","null","50126","2618","null","null","8264","1225","null","null","1889","null","505","null","1528","null","593","null","4847","1044","null","null","7651","null","992","null","4163","819","null","null","2043","null","493","null","1445","null","534","null","6194","null","926","null","4799","809","null","null","1042","499","null","null","353","205","null","null","9492","null","1276","null","8746","null","1259","null","703","407","null","null","43","72","null","null","18383","null","1774","null","18343","1785","null","null","40","null","67","null","0","null","246","null","142","125","null","null",
"0400000US04","Arizona","1522938","13309","null","null","1065003","11608","null","null","77082","null","4358","null","258","228","null","null","1138","null","457","null","75686","4400","null","null","125266","5302","null","null","3446","887","null","null","14053","null","2145","null","107767","5490","null","null","149706","5757","null","null","14841","null","1798","null","36258","3032","null","null","98607","5097","null","null","240567","7197","null","null","45720","null","3666","null","96581","null","4482","null","98266","4477","null","null","463746","8531","null","null","260193","null","7235","null","148819","null","6026","null","54734","3082","null","null","8636","1593","null","null","457935","8752","null","null","96006","4656","null","null","26729","null","2192","null","23049","null","2176","null","46228","3733","null","null","103358","null","4786","null","73616","4078","null","null","21311","null","2125","null","8431","null","1524","null","76141","null","4326","null","68868","3874","null","null","6484","1391","null","null","789","392","null","null","76466","null","4111","null","74943","null","4052","null","1197","502","null","null","326","283","null","null","97185","null","3963","null","96762","3983","null","null","300","null","224","null","123","null","144","null","8779","1525","null","null",
"0400000US05","Arkansas","751568","9191","null","null","433218","8521","null","null","38597","null","2832","null","240","200","null","null","1245","null","442","null","37112","2723","null","null","64329","3913","null","null","3510","869","null","null","19694","null","2437","null","41125","3154","null","null","72607","4470","null","null","18204","null","1980","null","32686","2851","null","null","21717","2293","null","null","98608","4602","null","null","52138","null","3879","null","33532","null","2799","null","12938","1941","null","null","157193","5786","null","null","121287","null","5466","null","29991","null","2255","null","5915","1063","null","null","1884","795","null","null","318350","6991","null","null","78553","3991","null","null","25868","null","2699","null","20922","null","1871","null","31763","2804","null","null","78154","null","3392","null","64003","3239","null","null","11806","null","1391","null","2345","null","625","null","52267","null","3605","null","50691","3574","null","null","1417","514","null","null","159","156","null","null","49795","null","3337","null","49136","null","3298","null","609","443","null","null","50","79","null","null","55235","null","3391","null","55235","3391","null","null","0","null","273","null","0","null","273","null","4346","1014","null","null",
"0400000US06","California","6903175","27402","null","null","5183554","27183","null","null","251029","null","8075","null","1024","469","null","null","2675","null","869","null","247330","8236","null","null","401308","9626","null","null","7273","1432","null","null","18950","null","2020","null","375085","9595","null","null","516394","12349","null","null","19081","null","1996","null","59713","3808","null","null","437600","11636","null","null","918757","14448","null","null","88487","null","4559","null","206059","null","6415","null","624211","12645","null","null","3065602","22981","null","null","1067877","null","16481","null","1041081","null","14253","null","956644","13912","null","null","30464","3075","null","null","1719621","18951","null","null","301600","8179","null","null","64984","null","3247","null","59561","null","3867","null","177055","6758","null","null","319512","null","7187","null","187779","6061","null","null","70918","null","4237","null","60815","null","3430","null","247450","null","8072","null","199995","7091","null","null","33335","2695","null","null","14120","1750","null","null","289259","null","7825","null","268983","null","7757","null","15518","1764","null","null","4758","856","null","null","538627","null","11060","null","529562","10738","null","null","6991","null","1119","null","2074","null","737","null","23173","2275","null","null",
"0400000US08","Colorado","1292792","11248","null","null","974765","10769","null","null","55643","null","3689","null","120","140","null","null","654","null","393","null","54869","3614","null","null","88499","5187","null","null","1786","614","null","null","6230","null","1267","null","80483","4631","null","null","114633","5260","null","null","7643","null","1222","null","27271","2599","null","null","79719","4792","null","null","196363","6375","null","null","34229","null","3049","null","77030","null","4180","null","85104","4498","null","null","513874","8495","null","null","276400","null","7426","null","173633","null","5436","null","63841","3440","null","null","5753","1137","null","null","318027","6814","null","null","56652","3398","null","null","11162","null","1464","null","14060","null","1634","null","31430","2564","null","null","63218","null","3708","null","43864","2795","null","null","13463","null","1868","null","5891","null","1258","null","50228","null","3013","null","44956","2789","null","null","4891","949","null","null","381","250","null","null","56570","null","3254","null","55403","null","3244","null","989","366","null","null","178","153","null","null","87784","null","3715","null","87352","3784","null","null","345","null","240","null","87","null","136","null","3575","827","null","null",
"0400000US09","Connecticut","923617","8286","null","null","660057","8447","null","null","23015","null","2555","null","0","281","null","null","112","null","131","null","22903","2511","null","null","39385","2882","null","null","416","341","null","null","1318","null","489","null","37651","2883","null","null","56297","3256","null","null","961","null","398","null","5361","978","null","null","49975","3044","null","null","117036","5565","null","null","8879","null","1269","null","31518","null","2841","null","76639","4147","null","null","421750","7776","null","null","176352","null","4718","null","160241","null","4638","null","85157","4217","null","null","2574","947","null","null","263560","6166","null","null","37696","3110","null","null","766","null","310","null","2733","null","743","null","34197","3118","null","null","44086","null","3277","null","5528","1072","null","null","14455","null","1700","null","24103","null","2210","null","40313","null","2712","null","17650","1877","null","null","16410","1768","null","null","6253","1052","null","null","45612","null","3200","null","35621","null","2802","null","8576","1293","null","null","1415","563","null","null","93263","null","3787","null","89591","3748","null","null","3026","null","775","null","646","null","261","null","2590","890","null","null",
"0400000US10","Delaware","239884","4113","null","null","170847","3770","null","null","9700","null","1658","null","0","265","null","null","182","null","159","null","9518","1659","null","null","15081","1930","null","null","313","273","null","null","1644","null","511","null","13124","1680","null","null","20750","1867","null","null","1498","null","439","null","4985","890","null","null","14267","1480","null","null","36448","2706","null","null","6587","null","1237","null","13797","null","1898","null","16064","2013","null","null","88326","3241","null","null","48494","null","2761","null","29353","null","2117","null","10479","1427","null","null","542","325","null","null","69037","2701","null","null","13522","1553","null","null","2657","null","693","null","2889","null","874","null","7976","1226","null","null","12895","null","1531","null","8140","1262","null","null","2658","null","719","null","2097","null","729","null","10834","null","1154","null","9330","1147","null","null","1253","501","null","null","251","150","null","null","12927","null","1585","null","12321","null","1553","null","498","239","null","null","108","132","null","null","18294","null","1877","null","18161","1853","null","null","133","null","216","null","0","null","265","null","565","270","null","null",
