"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"DP02_0001E","Estimate!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0001M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0001MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0001EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0001PE","Percent!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0001PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0001PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0001PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0002E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)"
"DP02_0002M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)"
"DP02_0002MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)"
"DP02_0002EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)"
"DP02_0002PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)"
"DP02_0002PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)"
"DP02_0002PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)"
"DP02_0002PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Family households (families)"
"DP02_0003E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years"
"DP02_0003M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years"
"DP02_0003MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years"
"DP02_0003EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years"
"DP02_0003PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years"
"DP02_0003PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years"
"DP02_0003PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years"
"DP02_0003PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years"
"DP02_0004E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family"
"DP02_0004EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family"
"DP02_0004M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family"
"DP02_0004MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family"
"DP02_0004PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family"
"DP02_0004PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family"
"DP02_0004PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family"
"DP02_0004PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family"
"DP02_0005E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years"
"DP02_0005M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years"
"DP02_0005MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years"
"DP02_0005EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years"
"DP02_0005PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years"
"DP02_0005PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years"
"DP02_0005PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years"
