Label (Grouping),HOUSEHOLDS BY TYPE,HOUSEHOLDS BY TYPE!!Total households,HOUSEHOLDS BY TYPE!!Family households (families),HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years,HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family,HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years,"HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family","HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years","HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family","HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years",HOUSEHOLDS BY TYPE!!Nonfamily households,HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone,HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over,HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years,HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over,HOUSEHOLDS BY TYPE!!Average household size,HOUSEHOLDS BY TYPE!!Average family size,RELATIONSHIP,RELATIONSHIP!!Population in households,RELATIONSHIP!!Householder,RELATIONSHIP!!Spouse,RELATIONSHIP!!Child,RELATIONSHIP!!Other relatives,RELATIONSHIP!!Nonrelatives,RELATIONSHIP!!Nonrelatives!!Unmarried partner,MARITAL STATUS,MARITAL STATUS!!Males 15 years and over,MARITAL STATUS!!Never married,"MARITAL STATUS!!Now married, except separated",MARITAL STATUS!!Separated,MARITAL STATUS!!Widowed,MARITAL STATUS!!Divorced,MARITAL STATUS!!Females 15 years and over,MARITAL STATUS!!Never married_1,"MARITAL STATUS!!Now married, except separated_2",MARITAL STATUS!!Separated_3,MARITAL STATUS!!Widowed_4,MARITAL STATUS!!Divorced_5,FERTILITY,FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,"FERTILITY!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Per 1,000 women 15 to 50 years old","FERTILITY!!Per 1,000 women 15 to 50 years old!!Per 1,000 women 15 to 19 years old","FERTILITY!!Per 1,000 women 15 to 50 years old!!Per 1,000 women 20 to 34 years old","FERTILITY!!Per 1,000 women 15 to 50 years old!!Per 1,000 women 35 to 50 years old",GRANDPARENTS,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,GRANDPARENTS!!Responsible for grandchildren,GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren,GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!Less than 1 year,GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!1 or 2 years,GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!3 or 4 years,GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!5 or more years,GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,GRANDPARENTS!!Who are female,GRANDPARENTS!!Who are married,SCHOOL ENROLLMENT,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,"SCHOOL ENROLLMENT!!Nursery school, preschool",SCHOOL ENROLLMENT!!Kindergarten,SCHOOL ENROLLMENT!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!High school (grades 9-12),SCHOOL ENROLLMENT!!College or graduate school,EDUCATIONAL ATTAINMENT,EDUCATIONAL ATTAINMENT!!Population 25 years and over,EDUCATIONAL ATTAINMENT!!Less than 9th grade,"EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma",EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency),"EDUCATIONAL ATTAINMENT!!Some college, no degree",EDUCATIONAL ATTAINMENT!!Associate's degree,EDUCATIONAL ATTAINMENT!!Bachelor's degree,EDUCATIONAL ATTAINMENT!!Graduate or professional degree,EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher,EDUCATIONAL ATTAINMENT!!Percent bachelor's degree or higher,VETERAN STATUS,VETERAN STATUS!!Civilian population 18 years and over,VETERAN STATUS!!Civilian veterans,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability_6,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability_7,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability_8,RESIDENCE 1 YEAR AGO,RESIDENCE 1 YEAR AGO!!Population 1 year and over,RESIDENCE 1 YEAR AGO!!Same house,RESIDENCE 1 YEAR AGO!!Different house in the U.S.,RESIDENCE 1 YEAR AGO!!Different house in the U.S.!!Same county,RESIDENCE 1 YEAR AGO!!Different house in the U.S.!!Different county,RESIDENCE 1 YEAR AGO!!Different house in the U.S.!!Different county!!Same state,RESIDENCE 1 YEAR AGO!!Different house in the U.S.!!Different county!!Different state,RESIDENCE 1 YEAR AGO!!Abroad,PLACE OF BIRTH,PLACE OF BIRTH!!Total population,PLACE OF BIRTH!!Native,PLACE OF BIRTH!!Native!!Born in United States,PLACE OF BIRTH!!Native!!Born in United States!!State of residence,PLACE OF BIRTH!!Native!!Born in United States!!Different state,"PLACE OF BIRTH!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",PLACE OF BIRTH!!Foreign born,U.S. CITIZENSHIP STATUS,U.S. CITIZENSHIP STATUS!!Foreign-born population,U.S. CITIZENSHIP STATUS!!Naturalized U.S. citizen,U.S. CITIZENSHIP STATUS!!Not a U.S. citizen,YEAR OF ENTRY,YEAR OF ENTRY!!Population born outside the United States,YEAR OF ENTRY!!Native,YEAR OF ENTRY!!Entered 2000 or later,YEAR OF ENTRY!!Entered before 2000,YEAR OF ENTRY!!Foreign born,YEAR OF ENTRY!!Entered 2000 or later_9,YEAR OF ENTRY!!Entered before 2000_10,WORLD REGION OF BIRTH OF FOREIGN BORN,"WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea",WORLD REGION OF BIRTH OF FOREIGN BORN!!Europe,WORLD REGION OF BIRTH OF FOREIGN BORN!!Asia,WORLD REGION OF BIRTH OF FOREIGN BORN!!Africa,WORLD REGION OF BIRTH OF FOREIGN BORN!!Oceania,WORLD REGION OF BIRTH OF FOREIGN BORN!!Latin America,WORLD REGION OF BIRTH OF FOREIGN BORN!!Northern America,LANGUAGE SPOKEN AT HOME,LANGUAGE SPOKEN AT HOME!!Population 5 years and over,LANGUAGE SPOKEN AT HOME!!English only,LANGUAGE SPOKEN AT HOME!!Language other than English,"LANGUAGE SPOKEN AT HOME!!Language other than English!!Speak English less than ""very well""",LANGUAGE SPOKEN AT HOME!!Language other than English!!Spanish,"LANGUAGE SPOKEN AT HOME!!Language other than English!!Spanish!!Speak English less than ""very well""",LANGUAGE SPOKEN AT HOME!!Language other than English!!Other Indo-European languages,"LANGUAGE SPOKEN AT HOME!!Language other than English!!Other Indo-European languages!!Speak English less than ""very well""",LANGUAGE SPOKEN AT HOME!!Language other than English!!Asian and Pacific Islander languages,"LANGUAGE SPOKEN AT HOME!!Language other than English!!Asian and Pacific Islander languages!!Speak English less than ""very well""",LANGUAGE SPOKEN AT HOME!!Language other than English!!Other languages,"LANGUAGE SPOKEN AT HOME!!Language other than English!!Other languages!!Speak English less than ""very well""",ANCESTRY,ANCESTRY!!Total population,ANCESTRY!!American,ANCESTRY!!Arab,ANCESTRY!!Czech,ANCESTRY!!Danish,ANCESTRY!!Dutch,ANCESTRY!!English,ANCESTRY!!French (except Basque),ANCESTRY!!French Canadian,ANCESTRY!!German,ANCESTRY!!Greek,ANCESTRY!!Hungarian,ANCESTRY!!Irish,ANCESTRY!!Italian,ANCESTRY!!Lithuanian,ANCESTRY!!Norwegian,ANCESTRY!!Polish,ANCESTRY!!Portuguese,ANCESTRY!!Russian,ANCESTRY!!Scotch-Irish,ANCESTRY!!Scottish,ANCESTRY!!Slovak,ANCESTRY!!Subsaharan African,ANCESTRY!!Swedish,ANCESTRY!!Swiss,ANCESTRY!!Ukrainian,ANCESTRY!!Welsh,ANCESTRY!!West Indian (excluding Hispanic origin groups)
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,,1815152,1227884,511392,868946,320947,79308,36351,279630,154094,587268,511708,182490,590757,467958,2.57,3.16,,4669482,1815152,869688,1422455,363914,198273,68789,,1844661,598916,933944,45860,55075,210866,2004450,523685,920393,62393,225474,272505,,66243,29804,47,56,28,106,21,,123935,68404,,14097,17334,11831,25142,68404,44815,46832,,1238462,68331,69155,505667,256865,338444,,3161521,195566,369310,988205,690363,225382,439863,252832,(X),(X),,3634612,401114,,4702769,760409,1133638,56644,2931536,422792,637595,280973,,4729509,3987155,729188,454675,274513,165790,108723,13166,,4785298,4616702,4581528,3349147,1232381,35174,168596,,168596,48099,120497,,203770,35174,5288,29886,168596,95333,73263,,168596,16687,44381,5637,723,97748,3420,,4477229,4246569,230660,108823,152831,83217,39054,7462,31761,16993,7014,1151,,4785298,660698,9057,3720,3377,49685,418961,91804,8038,338979,9601,4936,467002,81993,1788,14013,32003,3913,8843,75353,97784,1713,35881,16228,4910,2723,17082,8609
    Percent,,1815152,0.676,0.282,0.479,0.177,0.044,0.02,0.154,0.085,0.324,0.282,0.101,0.325,0.258,(X),(X),,4669482,0.389,0.186,0.305,0.078,0.042,0.015,,1844661,0.325,0.506,0.025,0.03,0.114,2004450,0.261,0.459,0.031,0.112,0.136,,66243,0.45,(X),(X),(X),(X),(X),,123935,0.552,,0.114,0.14,0.095,0.203,68404,0.655,0.685,,1238462,0.055,0.056,0.408,0.207,0.273,,3161521,0.062,0.117,0.313,0.218,0.071,0.139,0.08,82.1%,21.9%,,3634612,0.11,,4702769,0.162,1133638,0.05,2931536,0.144,637595,0.441,,4729509,0.843,0.154,0.096,0.058,0.035,0.023,0.003,,4785298,0.965,0.957,0.7,0.258,0.007,0.035,,168596,0.285,0.715,,203770,35174,0.15,0.85,168596,0.565,0.435,,168596,0.099,0.263,0.033,0.004,0.58,0.02,,4477229,0.948,0.052,0.024,0.034,0.019,0.009,0.002,0.007,0.004,0.002,0,,4785298,0.138,0.002,0.001,0.001,0.01,0.088,0.019,0.002,0.071,0.002,0.001,0.098,0.017,0,0.003,0.007,0.001,0.002,0.016,0.02,0,0.007,0.003,0.001,0.001,0.004,0.002
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,,254610,170859,88925,127969,61175,14211,8547,28679,19203,83751,63698,13861,96745,39343,2.70,3.24,,687633,254610,127596,217811,37297,50319,20558,,290598,103256,144388,4809,5126,33019,267563,73175,134407,7015,16253,36713,,12494,3987,46,70,30,128,28,,14048,5010,,1148,1315,852,1695,5010,3335,3519,,193373,10074,10443,79826,43325,49705,,450577,12708,27668,114055,133217,37106,83346,42477,(X),(X),,507439,71399,,689249,75157,187984,6333,449435,48489,51830,20335,,702974,565031,132204,76301,55903,19577,36326,5739,,713985,664666,649009,278256,370753,15657,49319,,49319,24102,25217,,64976,15657,4889,10768,49319,17314,32005,,49307,8398,25791,2463,909,9485,2261,,660403,551159,109244,37760,21950,7148,16837,3319,36990,16570,33467,10723,,713985,26611,1356,3945,5282,13853,60890,26383,8940,130862,2126,2163,78413,23838,1525,27444,19243,1738,10027,8779,20831,623,3443,17602,3899,1306,5920,1195
    Percent,,254610,0.671,0.349,0.503,0.24,0.056,0.034,0.113,0.075,0.329,0.25,0.054,0.38,0.155,(X),(X),,687633,0.37,0.186,0.317,0.054,0.073,0.03,,290598,0.355,0.497,0.017,0.018,0.114,267563,0.273,0.502,0.026,0.061,0.137,,12494,0.319,(X),(X),(X),(X),(X),,14048,0.357,,0.082,0.094,0.061,0.121,5010,0.666,0.702,,193373,0.052,0.054,0.413,0.224,0.257,,450577,0.028,0.061,0.253,0.296,0.082,0.185,0.094,91.0%,27.9%,,507439,0.141,,689249,0.109,187984,0.034,449435,0.108,51830,0.392,,702974,0.804,0.188,0.109,0.08,0.028,0.052,0.008,,713985,0.931,0.909,0.39,0.519,0.022,0.069,,49319,0.489,0.511,,64976,15657,0.312,0.688,49319,0.351,0.649,,49307,0.17,0.523,0.05,0.018,0.192,0.046,,660403,0.835,0.165,0.057,0.033,0.011,0.025,0.005,0.056,0.025,0.051,0.016,,713985,0.037,0.002,0.006,0.007,0.019,0.085,0.037,0.013,0.183,0.003,0.003,0.11,0.033,0.002,0.038,0.027,0.002,0.014,0.012,0.029,0.001,0.005,0.025,0.005,0.002,0.008,0.002
Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Estimate,,2334050,1548428,680624,1134229,441343,123772,65408,290427,173873,785622,621291,209479,767324,614702,2.69,3.28,,6274353,2334050,1133978,1904348,498476,403501,161512,,2492590,879512,1249099,35415,61795,266769,2559409,717857,1227676,55783,213379,344714,,86210,35578,43,56,31,102,22,,158383,67117,,15689,17455,11810,22163,67117,40811,49061,,1729192,83270,89818,718552,360872,476680,,4146758,261461,333890,1040197,1100225,336950,691889,382146,(X),(X),,4762678,529692,,6310174,705940,1629931,55357,3804683,363680,875560,286903,,6332786,5069002,1224716,879397,345319,122594,222725,39068,,6413737,5557074,5481276,2418217,3063059,75798,856663,,856663,310835,545828,,932461,75798,18349,57449,856663,271974,584689,,856663,78701,145859,24215,2537,572453,32898,,5957961,4365286,1592675,587298,1214905,467536,111087,26479,111502,49105,155181,44178,,6413737,323812,29474,28805,44502,94942,578244,161685,31980,967796,26668,32002,624091,277269,8869,112883,156964,12828,58566,59956,114303,11536,30229,102907,18375,13007,39430,7676
    Percent,,2334050,0.663,0.292,0.486,0.189,0.053,0.028,0.124,0.074,0.337,0.266,0.09,0.329,0.263,(X),(X),,6274353,0.372,0.181,0.304,0.079,0.064,0.026,,2492590,0.353,0.501,0.014,0.025,0.107,2559409,0.28,0.48,0.022,0.083,0.135,,86210,0.413,(X),(X),(X),(X),(X),,158383,0.424,,0.099,0.11,0.075,0.14,67117,0.608,0.731,,1729192,0.048,0.052,0.416,0.209,0.276,,4146758,0.063,0.081,0.251,0.265,0.081,0.167,0.092,85.6%,25.9%,,4762678,0.111,,6310174,0.112,1629931,0.034,3804683,0.096,875560,0.328,,6332786,0.8,0.193,0.139,0.055,0.019,0.035,0.006,,6413737,0.866,0.855,0.377,0.478,0.012,0.134,,856663,0.363,0.637,,932461,75798,0.242,0.758,856663,0.317,0.683,,856663,0.092,0.17,0.028,0.003,0.668,0.038,,5957961,0.733,0.267,0.099,0.204,0.078,0.019,0.004,0.019,0.008,0.026,0.007,,6413737,0.05,0.005,0.004,0.007,0.015,0.09,0.025,0.005,0.151,0.004,0.005,0.097,0.043,0.001,0.018,0.024,0.002,0.009,0.009,0.018,0.002,0.005,0.016,0.003,0.002,0.006,0.001
Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
