"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0100000US","United States","11186","null","31","null","29577","null","62","null","50578","null","81","null","80345","null","104","null","177417","null","433","null","311995","null","1421","null",
"0400000US01","Alabama","9122","null","224","null","23818","null","396","null","41605","null","636","null","67148","null","806","null","144348","null","2555","null","249113","null","8302","null",
"0400000US02","Alaska","17365","null","850","null","42895","null","1564","null","68144","null","1980","null","98234","null","2409","null","186685","null","8517","null","302731","null","26074","null",
"0400000US04","Arizona","10479","null","330","null","28077","null","385","null","46871","null","488","null","73568","null","747","null","155638","null","2884","null","262420","null","8355","null",
"0400000US05","Arkansas","8844","null","270","null","22699","null","448","null","38870","null","627","null","62044","null","956","null","133565","null","3391","null","227859","null","10673","null",
"0400000US06","California","12502","null","122","null","33307","null","193","null","57726","null","282","null","93144","null","396","null","207562","null","1529","null","363732","null","5015","null",
"0400000US08","Colorado","12738","null","329","null","33719","null","463","null","55776","null","648","null","87010","null","849","null","185016","null","3255","null","315402","null","11577","null",
"0400000US09","Connecticut","13851","null","350","null","38253","null","701","null","66114","null","909","null","103747","null","1197","null","239273","null","4091","null","436723","null","12545","null",
"0400000US10","Delaware","14280","null","624","null","36277","null","1080","null","59088","null","1335","null","90028","null","1824","null","182327","null","7452","null","310306","null","23843","null",
