"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,822,023","2,336,291","2,485,732","301,808","312,832","321,323","331,780","344,634","608,843","616,420","670,218","324,646","289,160","404,475","215,669","80,215","38.2","3,697,048","3,480,149","869,631","700,359","3,697,048","1,761,220","1,935,828","700,359","300,019","400,340","","4,822,023","4,746,176","75,847","4,746,176","3,333,371","1,276,164","24,136","N","N","N","N","58,679","14,053","12,223","5,753","1,982","10,415","8,343","5,910","1,358","N","N","N","N","52,468","75,847","24,026","25,954","7,692","4,107","","4,822,023","3,398,071","1,310,976","57,374","71,714","4,258","59,235","","4,822,023","185,441","128,836","13,059","5,057","38,489","4,636,582","3,212,468","1,267,479","22,791","58,679","1,194","3,926","70,045","2,318","67,727","2,189,567"
"    Percent","","4,822,023","48.5%","51.5%","6.3%","6.5%","6.7%","6.9%","7.1%","12.6%","12.8%","13.9%","6.7%","6.0%","8.4%","4.5%","1.7%","(X)","76.7%","72.2%","18.0%","14.5%","3,697,048","47.6%","52.4%","700,359","42.8%","57.2%","","4,822,023","98.4%","1.6%","98.4%","69.1%","26.5%","0.5%","N","N","N","N","1.2%","0.3%","0.3%","0.1%","0.0%","0.2%","0.2%","0.1%","0.0%","N","N","N","N","1.1%","1.6%","0.5%","0.5%","0.2%","0.1%","","4,822,023","70.5%","27.2%","1.2%","1.5%","0.1%","1.2%","","4,822,023","3.8%","2.7%","0.3%","0.1%","0.8%","96.2%","66.6%","26.3%","0.5%","1.2%","0.0%","0.1%","1.5%","0.0%","1.4%","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","731,449","381,094","350,355","53,934","52,205","50,912","50,042","59,762","109,331","95,782","103,975","52,436","40,951","40,354","15,953","5,812","33.8","544,184","512,911","83,696","62,119","544,184","284,144","260,040","62,119","29,757","32,362","","731,449","673,157","58,292","673,157","486,551","26,207","102,582","795","258","488","317","42,790","235","2,223","23,505","1,765","3,440","1,119","10,503","8,231","812","422","4,313","2,684","6,796","58,292","5,220","32,216","6,444","1,810","","731,449","538,535","37,564","143,610","55,476","11,389","9,624","","731,449","43,686","24,079","5,995","894","12,718","687,763","460,453","24,615","100,602","42,358","8,007","780","50,948","539","50,409","307,628"
"    Percent","","731,449","52.1%","47.9%","7.4%","7.1%","7.0%","6.8%","8.2%","14.9%","13.1%","14.2%","7.2%","5.6%","5.5%","2.2%","0.8%","(X)","74.4%","70.1%","11.4%","8.5%","544,184","52.2%","47.8%","62,119","47.9%","52.1%","","731,449","92.0%","8.0%","92.0%","66.5%","3.6%","14.0%","0.1%","0.0%","0.1%","0.0%","5.9%","0.0%","0.3%","3.2%","0.2%","0.5%","0.2%","1.4%","1.1%","0.1%","0.1%","0.6%","0.4%","0.9%","8.0%","0.7%","4.4%","0.9%","0.2%","","731,449","73.6%","5.1%","19.6%","7.6%","1.6%","1.3%","","731,449","6.0%","3.3%","0.8%","0.1%","1.7%","94.0%","63.0%","3.4%","13.8%","5.8%","1.1%","0.1%","7.0%","0.1%","6.9%","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,553,255","3,260,687","3,292,568","437,772","454,375","458,089","449,930","472,625","875,914","830,584","837,284","393,658","371,938","558,961","297,760","114,365","36.6","4,933,670","4,655,916","1,190,955","971,086","4,933,670","2,431,746","2,501,924","971,086","444,228","526,858","","6,553,255","6,363,754","189,501","6,363,754","5,164,199","286,343","289,883","3,352","741","145,029","1,752","190,390","45,682","34,035","33,842","10,887","16,830","22,991","26,123","12,037","4,875","2,209","1,610","3,343","420,902","189,501","34,877","43,170","35,132","5,058","","6,553,255","5,323,886","340,788","350,960","244,376","30,804","464,975","","6,553,255","1,976,104","1,780,763","35,648","11,836","147,857","4,577,151","3,730,370","264,171","262,675","185,306","10,868","7,219","116,542","5,186","111,356","2,871,486"
"    Percent","","6,553,255","49.8%","50.2%","6.7%","6.9%","7.0%","6.9%","7.2%","13.4%","12.7%","12.8%","6.0%","5.7%","8.5%","4.5%","1.7%","(X)","75.3%","71.0%","18.2%","14.8%","4,933,670","49.3%","50.7%","971,086","45.7%","54.3%","","6,553,255","97.1%","2.9%","97.1%","78.8%","4.4%","4.4%","0.1%","0.0%","2.2%","0.0%","2.9%","0.7%","0.5%","0.5%","0.2%","0.3%","0.4%","0.4%","0.2%","0.1%","0.0%","0.0%","0.1%","6.4%","2.9%","0.5%","0.7%","0.5%","0.1%","","6,553,255","81.2%","5.2%","5.4%","3.7%","0.5%","7.1%","","6,553,255","30.2%","27.2%","0.5%","0.2%","2.3%","69.8%","56.9%","4.0%","4.0%","2.8%","0.2%","0.1%","1.8%","0.1%","1.7%","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
