"GEO_ID","NAME","B25101_001E","B25101_001EA","B25101_001M","B25101_001MA","B25101_002E","B25101_002EA","B25101_002M","B25101_002MA","B25101_003E","B25101_003M","B25101_003MA","B25101_003EA","B25101_004E","B25101_004EA","B25101_004M","B25101_004MA","B25101_005E","B25101_005M","B25101_005MA","B25101_005EA","B25101_006E","B25101_006M","B25101_006MA","B25101_006EA","B25101_007E","B25101_007EA","B25101_007M","B25101_007MA","B25101_008E","B25101_008EA","B25101_008M","B25101_008MA","B25101_009E","B25101_009EA","B25101_009M","B25101_009MA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012EA","B25101_012M","B25101_012MA","B25101_013E","B25101_013EA","B25101_013M","B25101_013MA","B25101_014E","B25101_014M","B25101_014MA","B25101_014EA","B25101_015E","B25101_015M","B25101_015MA","B25101_015EA","B25101_016E","B25101_016M","B25101_016MA","B25101_016EA","B25101_017E","B25101_017M","B25101_017MA","B25101_017EA","B25101_018E","B25101_018EA","B25101_018M","B25101_018MA","B25101_019E","B25101_019EA","B25101_019M","B25101_019MA","B25101_020E","B25101_020EA","B25101_020M","B25101_020MA","B25101_021E","B25101_021M","B25101_021MA","B25101_021EA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023EA","B25101_023M","B25101_023MA","B25101_024E","B25101_024EA","B25101_024M","B25101_024MA","B25101_025E","B25101_025EA","B25101_025M","B25101_025MA","B25101_026E","B25101_026M","B25101_026MA","B25101_026EA","B25101_027E","B25101_027M","B25101_027MA","B25101_027EA","B25101_028E","B25101_028EA","B25101_028M","B25101_028MA","B25101_029E","B25101_029M","B25101_029MA","B25101_029EA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031EA","B25101_031M","B25101_031MA","B25101_032E","B25101_032M","B25101_032MA","B25101_032EA","B25101_033E","B25101_033EA","B25101_033M","B25101_033MA","B25101_034E","B25101_034EA","B25101_034M","B25101_034MA","B25101_035E","B25101_035EA","B25101_035M","B25101_035MA","B25101_036E","B25101_036EA","B25101_036M","B25101_036MA","B25101_037E","B25101_037M","B25101_037MA","B25101_037EA","B25101_038E","B25101_038M","B25101_038MA","B25101_038EA","B25101_039E","B25101_039EA","B25101_039M","B25101_039MA","B25101_040E","B25101_040EA","B25101_040M","B25101_040MA","B25101_041E","B25101_041EA","B25101_041M","B25101_041MA","B25101_042E","B25101_042EA","B25101_042M","B25101_042MA","B25101_043E","B25101_043EA","B25101_043M","B25101_043MA","B25101_044E","B25101_044EA","B25101_044M","B25101_044MA","B25101_045E","B25101_045EA","B25101_045M","B25101_045MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!With a mortgage","Annotation of Estimate!!Total!!With a mortgage","Margin of Error!!Total!!With a mortgage","Annotation of Margin of Error!!Total!!With a mortgage","Estimate!!Total!!With a mortgage!!Less than $20,000","Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000","Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$75,000 or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more","Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Estimate!!Total!!With a mortgage!!Zero or negative income","Annotation of Estimate!!Total!!With a mortgage!!Zero or negative income","Margin of Error!!Total!!With a mortgage!!Zero or negative income","Annotation of Margin of Error!!Total!!With a mortgage!!Zero or negative income","Estimate!!Total!!Not mortgaged","Annotation of Estimate!!Total!!Not mortgaged","Margin of Error!!Total!!Not mortgaged","Annotation of Margin of Error!!Total!!Not mortgaged","Estimate!!Total!!Not mortgaged!!Less than $20,000","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000","Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$75,000 or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Estimate!!Total!!Not mortgaged!!Zero or negative income","Annotation of Estimate!!Total!!Not mortgaged!!Zero or negative income","Margin of Error!!Total!!Not mortgaged!!Zero or negative income","Annotation of Margin of Error!!Total!!Not mortgaged!!Zero or negative income",
"0100000US","United States","74119256","null","204618","null","48726257","null","132898","null","2859816","24276","null","null","9437","null","1305","null","50708","3074","null","null","2799671","23674","null","null","4672874","null","32316","null","155330","null","5854","null","653098","null","11351","null","3864446","28678","null","null","5735657","34130","null","null","662659","null","13622","null","1739423","null","20831","null","3333575","26455","null","null","9963452","53060","null","null","2740240","23765","null","null","3790957","31960","null","null","3432255","null","29640","null","25244079","null","82553","null","14944123","null","67226","null","7294373","38429","null","null","3005583","22704","null","null","250379","null","6977","null","25392999","null","101183","null","4820589","null","31894","null","1014456","14267","null","null","1089905","15178","null","null","2716228","null","22884","null","5032952","35630","null","null","3054476","null","24625","null","1220354","null","15958","null","758122","12779","null","null","3906460","null","24916","null","3268220","null","23462","null","470407","null","8694","null","167833","null","5494","null","4477821","30695","null","null","4183834","30093","null","null","229094","null","5675","null","64893","null","3625","null","6825965","null","39872","null","6718040","null","39685","null","90038","null","4963","null","17887","null","2141","null","329212","null","8219","null",
"0400000US01","Alabama","1268565","null","12217","null","739941","null","10765","null","63720","4014","null","null","141","null","137","null","1359","528","null","null","62220","3901","null","null","93545","null","5020","null","4790","null","952","null","19974","null","1957","null","68781","4353","null","null","101623","4174","null","null","21410","null","2101","null","41790","null","3168","null","38423","2816","null","null","158992","5821","null","null","68438","4007","null","null","64415","3985","null","null","26139","null","2137","null","317340","null","6597","null","243613","null","6297","null","61355","3716","null","null","12372","1580","null","null","4721","null","965","null","528624","null","10012","null","130878","null","5140","null","36043","2796","null","null","35857","2524","null","null","58978","null","3310","null","114231","4902","null","null","90160","null","4445","null","18585","null","2006","null","5486","1080","null","null","84344","null","4058","null","80177","null","3911","null","3509","null","826","null","658","null","394","null","83336","3886","null","null","82301","3758","null","null","1001","null","437","null","34","null","62","null","106687","null","4414","null","106574","null","4405","null","113","null","137","null","0","null","184","null","9148","null","1552","null",
"0400000US02","Alaska","159427","null","3595","null","103938","null","3600","null","3618","786","null","null","15","null","28","null","91","62","null","null","3512","777","null","null","6740","null","1069","null","350","null","180","null","389","null","207","null","6001","985","null","null","8649","1261","null","null","532","null","254","null","1715","null","440","null","6402","1222","null","null","17184","1626","null","null","1827","449","null","null","6370","1036","null","null","8987","null","1356","null","67589","null","3241","null","36804","null","2213","null","22969","2039","null","null","7816","1485","null","null","158","null","114","null","55489","null","2738","null","8166","null","1091","null","2065","590","null","null","935","276","null","null","5166","null","864","null","8694","1147","null","null","4186","null","834","null","2234","null","602","null","2274","663","null","null","6556","null","837","null","5001","null","749","null","1262","null","357","null","293","null","263","null","10563","1470","null","null","9690","1234","null","null","495","null","281","null","378","null","408","null","21413","null","1824","null","21271","null","1836","null","142","null","145","null","0","null","143","null","97","null","73","null",
"0400000US04","Arizona","1496650","null","13898","null","990680","null","12789","null","65365","3973","null","null","291","null","229","null","1735","595","null","null","63339","3938","null","null","113913","null","4629","null","3668","null","792","null","16415","null","1959","null","93830","4483","null","null","132906","5835","null","null","15229","null","1977","null","44842","null","3464","null","72835","4311","null","null","217704","7139","null","null","62823","3499","null","null","90703","4742","null","null","64178","null","4300","null","452633","null","8186","null","294109","null","5891","null","121535","5266","null","null","36989","3386","null","null","8159","null","1395","null","505970","null","8149","null","99280","null","3809","null","25893","1975","null","null","23625","2131","null","null","49762","null","2822","null","110675","5033","null","null","75692","null","4247","null","23780","null","2149","null","11203","1638","null","null","84821","null","4293","null","77714","null","4237","null","5882","null","1071","null","1225","null","483","null","88003","3965","null","null","86559","3937","null","null","1400","null","716","null","44","null","72","null","114381","null","4865","null","114197","null","4866","null","148","null","123","null","36","null","59","null","8810","null","1390","null",
"0400000US05","Arkansas","757722","null","8214","null","436822","null","7038","null","35541","3172","null","null","17","null","29","null","1507","494","null","null","34017","2998","null","null","63559","null","3256","null","3337","null","958","null","17450","null","1938","null","42772","2802","null","null","63384","3571","null","null","17696","null","1812","null","27819","null","2474","null","17869","2261","null","null","102762","4543","null","null","55864","3178","null","null","36061","3168","null","null","10837","null","1701","null","168889","null","4827","null","137227","null","4666","null","26835","2458","null","null","4827","1100","null","null","2687","null","748","null","320900","null","7019","null","80728","null","3741","null","28608","2693","null","null","21756","2056","null","null","30364","null","2113","null","71753","3022","null","null","59655","null","2654","null","9918","null","1228","null","2180","684","null","null","51083","null","3298","null","49667","null","3312","null","1342","null","390","null","74","null","64","null","54631","3473","null","null","53779","3488","null","null","655","null","359","null","197","null","186","null","58639","null","3279","null","58588","null","3267","null","51","null","85","null","0","null","184","null","4066","null","874","null",
"0400000US06","California","6781817","null","25470","null","5013594","null","26823","null","244785","7437","null","null","656","null","395","null","2255","756","null","null","241874","7346","null","null","379074","null","9462","null","7553","null","961","null","19564","null","2066","null","351957","9131","null","null","480259","10618","null","null","18484","null","1743","null","65494","null","3175","null","396281","10186","null","null","856188","13637","null","null","88326","4207","null","null","223442","6786","null","null","544420","null","10970","null","3016791","null","23346","null","1204436","null","16453","null","1063375","12510","null","null","748980","13869","null","null","36497","null","3332","null","1768223","null","13924","null","290101","null","7975","null","56719","3429","null","null","53379","3499","null","null","180003","null","6285","null","312634","7176","null","null","169324","null","5277","null","77836","null","3933","null","65474","3453","null","null","252821","null","6471","null","199181","null","5592","null","39574","null","3098","null","14066","null","1837","null","310313","5676","null","null","284435","5966","null","null","20138","null","2033","null","5740","null","1102","null","577792","null","10085","null","569466","null","9790","null","6818","null","1017","null","1508","null","531","null","24562","null","2681","null",
"0400000US08","Colorado","1278158","null","11129","null","945039","null","10533","null","44915","2801","null","null","90","null","126","null","770","369","null","null","44055","2793","null","null","77427","null","4377","null","1334","null","453","null","7900","null","1079","null","68193","4418","null","null","105293","4727","null","null","5655","null","1026","null","27267","null","2428","null","72371","4061","null","null","190870","5460","null","null","36785","2651","null","null","80884","3931","null","null","73201","null","4157","null","521440","null","9400","null","312490","null","7534","null","163197","5870","null","null","45753","3152","null","null","5094","null","1051","null","333119","null","5691","null","54973","null","3148","null","10249","1356","null","null","13275","1450","null","null","31449","null","2643","null","63200","3755","null","null","40820","null","2901","null","16152","null","1700","null","6228","1126","null","null","51016","null","2953","null","46209","null","2767","null","4349","null","913","null","458","null","254","null","56805","2904","null","null","55477","2891","null","null","1169","null","434","null","159","null","125","null","103655","null","3897","null","103114","null","3881","null","501","null","233","null","40","null","66","null","3470","null","887","null",
"0400000US09","Connecticut","908452","null","7756","null","642602","null","8945","null","21694","2021","null","null","0","null","193","null","155","164","null","null","21539","1981","null","null","38668","null","2980","null","297","null","279","null","1004","null","390","null","37367","2872","null","null","52993","3183","null","null","1007","null","438","null","4828","null","909","null","47158","3153","null","null","108733","4890","null","null","7332","1044","null","null","29660","2206","null","null","71741","null","4291","null","417949","null","7708","null","192093","null","5879","null","155053","5036","null","null","70803","3677","null","null","2565","null","797","null","265850","null","5449","null","31871","null","2449","null","881","333","null","null","1499","541","null","null","29491","null","2441","null","41178","2603","null","null","4823","null","748","null","12016","null","1413","null","24339","1938","null","null","35709","null","2556","null","12626","null","1480","null","16731","null","1846","null","6352","null","1139","null","45763","2882","null","null","33763","2400","null","null","9809","null","1327","null","2191","null","602","null","108612","null","4177","null","104646","null","4334","null","3322","null","794","null","644","null","291","null","2717","null","685","null",
"0400000US10","Delaware","241050","null","3609","null","168064","null","4422","null","8823","1567","null","null","0","null","182","null","160","142","null","null","8663","1547","null","null","13240","null","1454","null","303","null","208","null","1163","null","360","null","11774","1424","null","null","19941","2141","null","null","1504","null","455","null","4030","null","990","null","14407","1677","null","null","35134","2373","null","null","6832","968","null","null","14250","1496","null","null","14052","null","1589","null","90175","null","3634","null","54543","null","3070","null","28889","2784","null","null","6743","1179","null","null","751","null","384","null","72986","null","2939","null","12397","null","1315","null","2245","533","null","null","2567","697","null","null","7585","null","991","null","14068","1575","null","null","8576","null","1142","null","3593","null","803","null","1899","500","null","null","11637","null","1374","null","9901","null","1298","null","1403","null","506","null","333","null","209","null","12533","1499","null","null","12243","1514","null","null","248","null","155","null","42","null","68","null","21478","null","1961","null","21436","null","1957","null","42","null","69","null","0","null","182","null","873","null","361","null",
