"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0400000US01","Alabama","8775","202","null","null","23941","380","null","null","42001","519","null","null","68058","null","730","null","144088","null","1988","null","243309","6206","null","null",
"0400000US02","Alaska","16888","896","null","null","41522","1566","null","null","67807","1771","null","null","101587","null","2210","null","195887","null","7239","null","310700","23807","null","null",
"0400000US04","Arizona","10983","231","null","null","29061","387","null","null","48047","511","null","null","75312","null","597","null","160800","null","2461","null","276970","8083","null","null",
"0400000US05","Arkansas","9215","251","null","null","23407","377","null","null","40008","491","null","null","63270","null","677","null","134678","null","2919","null","227624","9135","null","null",
"0400000US06","California","12521","102","null","null","33835","175","null","null","58604","267","null","null","94597","null","383","null","211240","null","1249","null","369444","4155","null","null",
"0400000US08","Colorado","13368","265","null","null","34477","436","null","null","57158","587","null","null","88465","null","786","null","188979","null","3241","null","327102","9256","null","null",
"0400000US09","Connecticut","13928","326","null","null","38840","548","null","null","67388","785","null","null","105935","null","1097","null","247890","null","6100","null","466734","20663","null","null",
"0400000US10","Delaware","14052","706","null","null","35549","1090","null","null","58365","1420","null","null","88588","null","1727","null","175747","null","5419","null","293189","16881","null","null",
"0400000US11","District of Columbia","9877","892","null","null","34812","1532","null","null","66916","2256","null","null","115082","null","3419","null","284111","null","13025","null","531769","44496","null","null",
"0400000US12","Florida","10543","148","null","null","27195","222","null","null","45195","309","null","null","71662","null","487","null","166550","null","1691","null","306752","5231","null","null",
"0400000US13","Georgia","9713","185","null","null","27382","296","null","null","47351","415","null","null","75543","null","634","null","168126","null","1964","null","293650","5969","null","null",
"0400000US15","Hawaii","14549","789","null","null","40741","1146","null","null","66454","1404","null","null","98738","null","1509","null","188578","null","4693","null","300194","13679","null","null",
"0400000US16","Idaho","12063","479","null","null","28396","609","null","null","45801","808","null","null","68879","null","1131","null","138442","null","4535","null","229548","13474","null","null",
"0400000US17","Illinois","11852","168","null","null","32288","239","null","null","55431","346","null","null","86919","null","527","null","189518","null","2172","null","332828","7579","null","null",
"0400000US18","Indiana","11342","211","null","null","28875","300","null","null","47168","414","null","null","72509","null","533","null","146468","null","2014","null","246148","6610","null","null",
"0400000US19","Iowa","12490","296","null","null","31012","456","null","null","50849","535","null","null","76592","null","601","null","151677","null","2580","null","253994","8378","null","null",
"0400000US20","Kansas","12565","296","null","null","30829","451","null","null","50144","570","null","null","77027","null","774","null","162523","null","3551","null","283874","11637","null","null",
"0400000US21","Kentucky","9120","201","null","null","24062","362","null","null","41939","471","null","null","67508","null","651","null","141061","null","2061","null","238992","6751","null","null",
"0400000US22","Louisiana","9013","194","null","null","24061","358","null","null","43188","569","null","null","71582","null","774","null","156710","null","3017","null","271493","9890","null","null",
"0400000US23","Maine","11407","398","null","null","28396","566","null","null","46873","786","null","null","71575","null","1093","null","147432","null","3961","null","252813","13886","null","null",
"0400000US24","Maryland","15822","282","null","null","43097","458","null","null","71416","689","null","null","110288","null","946","null","223401","null","2630","null","370973","8700","null","null",
"0400000US25","Massachusetts","12611","249","null","null","36658","477","null","null","65528","607","null","null","104248","null","788","null","227323","null","3597","null","400220","11956","null","null",
"0400000US26","Michigan","10443","157","null","null","27786","271","null","null","46967","334","null","null","73694","null","400","null","156263","null","1484","null","268328","4995","null","null",
"0400000US27","Minnesota","14024","217","null","null","35928","402","null","null","58915","523","null","null","88941","null","684","null","183497","null","2515","null","316071","7678","null","null",
"0400000US28","Mississippi","8044","208","null","null","21039","447","null","null","37235","584","null","null","60514","null","873","null","136553","null","3537","null","241218","11592","null","null",
"0400000US29","Missouri","10574","169","null","null","27173","266","null","null","45540","386","null","null","71184","null","524","null","152032","null","2287","null","262551","7453","null","null",
"0400000US30","Montana","11208","425","null","null","27093","678","null","null","45246","897","null","null","70723","null","1055","null","145684","null","6035","null","251678","21519","null","null",
"0400000US31","Nebraska","12839","327","null","null","31394","574","null","null","50686","653","null","null","76691","null","910","null","153997","null","2797","null","259450","8564","null","null",
"0400000US32","Nevada","12323","385","null","null","30731","594","null","null","49736","750","null","null","75509","null","979","null","161920","null","4411","null","286013","14989","null","null",
"0400000US33","New Hampshire","15700","781","null","null","39093","1301","null","null","63656","1435","null","null","95877","null","1453","null","188530","null","5105","null","308595","15189","null","null",
"0400000US34","New Jersey","14554","237","null","null","40106","413","null","null","69602","602","null","null","109323","null","839","null","236831","null","2955","null","413134","9627","null","null",
"0400000US35","New Mexico","9079","327","null","null","24885","563","null","null","43132","823","null","null","70677","null","1066","null","148632","null","3535","null","245404","10364","null","null",
"0400000US36","New York","11153","115","null","null","31647","244","null","null","56735","346","null","null","91802","null","460","null","215867","null","2112","null","398254","7085","null","null",
"0400000US37","North Carolina","10188","164","null","null","26845","273","null","null","45159","373","null","null","71242","null","548","null","155602","null","2092","null","272606","6591","null","null",
"0400000US38","North Dakota","13063","704","null","null","33124","845","null","null","53758","1187","null","null","82436","null","1656","null","180095","null","6794","null","329537","22518","null","null",
"0400000US39","Ohio","10475","136","null","null","27716","198","null","null","46943","296","null","null","73366","null","434","null","155377","null","1803","null","267412","5405","null","null",
"0400000US40","Oklahoma","10338","212","null","null","26527","357","null","null","44581","408","null","null","69669","null","635","null","150374","null","3324","null","266016","11570","null","null",
"0400000US41","Oregon","10941","303","null","null","29082","464","null","null","49078","674","null","null","76494","null","805","null","158994","null","2793","null","271386","9019","null","null",
