"Label (Grouping)","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Total housing units!!Occupied housing units","HOUSING OCCUPANCY!!Total housing units!!Vacant housing units","HOUSING OCCUPANCY!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!Total housing units!!1-unit, detached","UNITS IN STRUCTURE!!Total housing units!!1-unit, attached","UNITS IN STRUCTURE!!Total housing units!!2 units","UNITS IN STRUCTURE!!Total housing units!!3 or 4 units","UNITS IN STRUCTURE!!Total housing units!!5 to 9 units","UNITS IN STRUCTURE!!Total housing units!!10 to 19 units","UNITS IN STRUCTURE!!Total housing units!!20 or more units","UNITS IN STRUCTURE!!Total housing units!!Mobile home","UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 or later","YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009","YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!Total housing units!!1 room","ROOMS!!Total housing units!!2 rooms","ROOMS!!Total housing units!!3 rooms","ROOMS!!Total housing units!!4 rooms","ROOMS!!Total housing units!!5 rooms","ROOMS!!Total housing units!!6 rooms","ROOMS!!Total housing units!!7 rooms","ROOMS!!Total housing units!!8 rooms","ROOMS!!Total housing units!!9 rooms or more","ROOMS!!Total housing units!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!Total housing units!!No bedroom","BEDROOMS!!Total housing units!!1 bedroom","BEDROOMS!!Total housing units!!2 bedrooms","BEDROOMS!!Total housing units!!3 bedrooms","BEDROOMS!!Total housing units!!4 bedrooms","BEDROOMS!!Total housing units!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Occupied housing units!!Owner-occupied","HOUSING TENURE!!Occupied housing units!!Renter-occupied","HOUSING TENURE!!Average household size of owner-occupied unit","HOUSING TENURE!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1970 to 1979","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1969 or earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available","VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Occupied housing units!!Utility gas","HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Occupied housing units!!Electricity","HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke","HOUSE HEATING FUEL!!Occupied housing units!!Wood","HOUSE HEATING FUEL!!Occupied housing units!!Solar energy","HOUSE HEATING FUEL!!Occupied housing units!!Other fuel","HOUSE HEATING FUEL!!Occupied housing units!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less","OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50","OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Owner-occupied units!!Less than $50,000","VALUE!!Owner-occupied units!!$50,000 to $99,999","VALUE!!Owner-occupied units!!$100,000 to $149,999","VALUE!!Owner-occupied units!!$150,000 to $199,999","VALUE!!Owner-occupied units!!$200,000 to $299,999","VALUE!!Owner-occupied units!!$300,000 to $499,999","VALUE!!Owner-occupied units!!$500,000 to $999,999","VALUE!!Owner-occupied units!!$1,000,000 or more","VALUE!!Owner-occupied units!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage","MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Less than $300","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$300 to $499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$500 to $699","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$700 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Less than $100","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$100 to $199","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$200 to $299","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$300 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$400 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Occupied units paying rent!!Less than $200","GROSS RENT!!Occupied units paying rent!!$200 to $299","GROSS RENT!!Occupied units paying rent!!$300 to $499","GROSS RENT!!Occupied units paying rent!!$500 to $749","GROSS RENT!!Occupied units paying rent!!$750 to $999","GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499","GROSS RENT!!Occupied units paying rent!!$1,500 or more","GROSS RENT!!Occupied units paying rent!!Median (dollars)","GROSS RENT!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Not computed"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,190,027","1,822,439","367,588","2.8","9.2","","2,190,027","1,493,751","34,296","46,704","65,122","94,365","73,790","82,066","298,333","1,600","","2,190,027","48,199","362,275","409,258","327,134","376,102","250,347","199,996","99,785","116,931","","2,190,027","25,913","25,756","126,190","322,426","508,116","460,288","301,279","191,387","228,672","5.7","","2,190,027","27,202","133,202","529,353","1,086,933","340,298","73,039","","1,822,439","1,240,017","582,422","2.62","2.52","","1,822,439","562,418","621,719","308,669","140,025","108,416","81,192","","1,822,439","119,121","604,078","671,792","427,448","","1,822,439","520,001","121,771","1,149,424","2,884","136","19,735","134","1,470","6,884","","1,822,439","5,859","12,639","47,186","","1,822,439","1,791,808","19,981","10,650","","1,240,017","210,176","287,987","240,440","190,429","178,881","95,781","28,611","7,712","122,700","","1,240,017","719,189","520,828","","719,189","2,619","25,484","81,442","196,065","244,238","99,218","70,123","1,093","520,828","7,618","65,243","140,529","138,821","168,617","332","","714,284","340,696","112,473","71,832","43,558","145,725","4,905","511,421","243,428","97,807","56,383","31,219","20,203","14,451","47,930","9,407","","521,275","12,600","26,291","83,029","178,490","129,164","73,512","18,189","694","61,147","","507,626","77,852","59,597","59,299","57,203","48,805","204,870","74,796"
"    Percent","","2,190,027","83.2%","16.8%","(X)","(X)","","2,190,027","68.2%","1.6%","2.1%","3.0%","4.3%","3.4%","3.7%","13.6%","0.1%","","2,190,027","2.2%","16.5%","18.7%","14.9%","17.2%","11.4%","9.1%","4.6%","5.3%","","2,190,027","1.2%","1.2%","5.8%","14.7%","23.2%","21.0%","13.8%","8.7%","10.4%","(X)","","2,190,027","1.2%","6.1%","24.2%","49.6%","15.5%","3.3%","","1,822,439","68.0%","32.0%","(X)","(X)","","1,822,439","30.9%","34.1%","16.9%","7.7%","5.9%","4.5%","","1,822,439","6.5%","33.1%","36.9%","23.5%","","1,822,439","28.5%","6.7%","63.1%","0.2%","0.0%","1.1%","0.0%","0.1%","0.4%","","1,822,439","0.3%","0.7%","2.6%","","1,822,439","98.3%","1.1%","0.6%","","1,240,017","16.9%","23.2%","19.4%","15.4%","14.4%","7.7%","2.3%","0.6%","(X)","","1,240,017","58.0%","42.0%","","719,189","0.4%","3.5%","11.3%","27.3%","34.0%","13.8%","9.8%","(X)","520,828","1.5%","12.5%","27.0%","26.7%","32.4%","(X)","","714,284","47.7%","15.7%","10.1%","6.1%","20.4%","(X)","511,421","47.6%","19.1%","11.0%","6.1%","4.0%","2.8%","9.4%","(X)","","521,275","2.4%","5.0%","15.9%","34.2%","24.8%","14.1%","3.5%","(X)","(X)","","507,626","15.3%","11.7%","11.7%","11.3%","9.6%","40.4%","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","307,417","246,015","61,402","1.7","7.7","","307,417","198,267","21,419","15,460","22,234","14,552","7,690","13,376","14,201","218","","307,417","5,022","51,631","46,957","77,647","71,550","27,658","15,660","6,170","5,122","","307,417","17,730","24,046","39,238","58,661","53,457","44,996","27,718","18,973","22,598","4.8","","307,417","18,694","43,383","82,573","107,516","44,922","10,329","","246,015","156,107","89,908","2.97","2.72","","246,015","89,744","87,130","36,300","19,687","9,123","4,031","","246,015","24,046","76,170","89,819","55,980","","246,015","122,315","3,471","26,064","74,729","860","15,670","0","2,252","654","","246,015","9,401","7,573","4,984","","246,015","230,732","10,096","5,187","","156,107","8,286","8,090","11,788","23,718","50,336","42,965","10,044","880","254,000","","156,107","99,127","56,980","","99,127","238","963","1,921","7,063","23,152","30,635","35,155","1,746","56,980","849","3,134","6,569","6,978","39,450","552","","98,953","42,444","17,057","13,007","8,121","18,324","174","56,831","27,814","11,461","4,925","3,417","3,004","1,263","4,947","149","","83,084","671","694","4,570","9,395","17,636","28,600","21,518","1,117","6,824","","82,855","13,388","11,584","10,799","11,261","8,445","27,378","7,053"
"    Percent","","307,417","80.0%","20.0%","(X)","(X)","","307,417","64.5%","7.0%","5.0%","7.2%","4.7%","2.5%","4.4%","4.6%","0.1%","","307,417","1.6%","16.8%","15.3%","25.3%","23.3%","9.0%","5.1%","2.0%","1.7%","","307,417","5.8%","7.8%","12.8%","19.1%","17.4%","14.6%","9.0%","6.2%","7.4%","(X)","","307,417","6.1%","14.1%","26.9%","35.0%","14.6%","3.4%","","246,015","63.5%","36.5%","(X)","(X)","","246,015","36.5%","35.4%","14.8%","8.0%","3.7%","1.6%","","246,015","9.8%","31.0%","36.5%","22.8%","","246,015","49.7%","1.4%","10.6%","30.4%","0.3%","6.4%","0.0%","0.9%","0.3%","","246,015","3.8%","3.1%","2.0%","","246,015","93.8%","4.1%","2.1%","","156,107","5.3%","5.2%","7.6%","15.2%","32.2%","27.5%","6.4%","0.6%","(X)","","156,107","63.5%","36.5%","","99,127","0.2%","1.0%","1.9%","7.1%","23.4%","30.9%","35.5%","(X)","56,980","1.5%","5.5%","11.5%","12.2%","69.2%","(X)","","98,953","42.9%","17.2%","13.1%","8.2%","18.5%","(X)","56,831","48.9%","20.2%","8.7%","6.0%","5.3%","2.2%","8.7%","(X)","","83,084","0.8%","0.8%","5.5%","11.3%","21.2%","34.4%","25.9%","(X)","(X)","","82,855","16.2%","14.0%","13.0%","13.6%","10.2%","33.0%","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,892,359","2,400,809","491,550","2.9","8.9","","2,892,359","1,842,597","132,493","39,791","100,518","125,163","152,005","184,028","305,748","10,016","","2,892,359","36,237","751,443","601,718","526,414","500,794","212,606","164,262","49,695","49,190","","2,892,359","64,829","107,906","301,484","517,897","647,686","522,030","333,723","197,548","199,256","5.2","","2,892,359","70,402","337,280","795,084","1,080,384","492,122","117,087","","2,400,809","1,490,031","910,778","2.67","2.74","","2,400,809","1,013,379","861,702","320,630","113,855","62,622","28,621","","2,400,809","164,717","919,144","918,150","398,798","","2,400,809","814,584","66,318","1,430,518","2,702","145","48,822","5,487","6,165","26,068","","2,400,809","17,098","20,868","63,929","","2,400,809","2,294,691","73,605","32,513","","1,490,031","166,708","218,857","262,762","252,439","284,072","206,527","79,465","19,201","166,000","","1,490,031","962,561","527,470","","962,561","4,159","21,226","63,593","190,660","331,934","182,388","168,601","1,277","527,470","17,254","59,600","105,983","116,915","227,718","368","","953,072","398,346","148,012","104,434","72,140","230,140","9,489","515,234","248,308","95,255","53,645","35,414","21,032","14,491","47,089","12,236","","865,997","8,959","14,017","55,196","211,734","238,926","256,089","81,076","890","44,781","","840,720","107,133","103,145","117,460","95,803","72,373","344,806","70,058"
"    Percent","","2,892,359","83.0%","17.0%","(X)","(X)","","2,892,359","63.7%","4.6%","1.4%","3.5%","4.3%","5.3%","6.4%","10.6%","0.3%","","2,892,359","1.3%","26.0%","20.8%","18.2%","17.3%","7.4%","5.7%","1.7%","1.7%","","2,892,359","2.2%","3.7%","10.4%","17.9%","22.4%","18.0%","11.5%","6.8%","6.9%","(X)","","2,892,359","2.4%","11.7%","27.5%","37.4%","17.0%","4.0%","","2,400,809","62.1%","37.9%","(X)","(X)","","2,400,809","42.2%","35.9%","13.4%","4.7%","2.6%","1.2%","","2,400,809","6.9%","38.3%","38.2%","16.6%","","2,400,809","33.9%","2.8%","59.6%","0.1%","0.0%","2.0%","0.2%","0.3%","1.1%","","2,400,809","0.7%","0.9%","2.7%","","2,400,809","95.6%","3.1%","1.4%","","1,490,031","11.2%","14.7%","17.6%","16.9%","19.1%","13.9%","5.3%","1.3%","(X)","","1,490,031","64.6%","35.4%","","962,561","0.4%","2.2%","6.6%","19.8%","34.5%","18.9%","17.5%","(X)","527,470","3.3%","11.3%","20.1%","22.2%","43.2%","(X)","","953,072","41.8%","15.5%","11.0%","7.6%","24.1%","(X)","515,234","48.2%","18.5%","10.4%","6.9%","4.1%","2.8%","9.1%","(X)","","865,997","1.0%","1.6%","6.4%","24.4%","27.6%","29.6%","9.4%","(X)","(X)","","840,720","12.7%","12.3%","14.0%","11.4%","8.6%","41.0%","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,329,777","1,125,899","203,878","2.9","9.7","","1,329,777","921,306","21,164","42,112","43,975","41,428","46,532","40,533","171,218","1,509","","1,329,777","30,739","230,550","254,122","213,155","251,860","140,122","89,883","56,057","63,289","","1,329,777","22,241","22,251","88,338","223,701","357,570","274,028","156,378","89,882","95,388","5.4","","1,329,777","23,439","94,877","359,990","665,797","159,196","26,478","","1,125,899","739,987","385,912","2.58","2.51","","1,125,899","386,324","396,540","173,407","78,565","55,775","35,288","","1,125,899","69,166","387,263","438,482","230,988","","1,125,899","453,891","79,497","536,242","1,491","0","48,006","0","3,889","2,883","","1,125,899","5,160","8,095","31,950","","1,125,899","1,096,481","20,724","8,694","","739,987","139,535","199,367","154,851","103,790","85,655","41,058","12,085","3,646","109,500","","739,987","412,235","327,752","","412,235","1,277","21,223","65,589","126,490","122,114","46,412","29,130","979","327,752","6,543","47,836","97,885","81,738","93,750","313","","409,178","206,979","62,723","37,565","25,204","76,707","3,057","322,984","161,592","65,105","34,566","20,980","10,529","7,747","22,465","4,768","","347,957","7,081","15,391","56,708","144,718","81,761","34,696","7,602","659","37,955","","337,178","45,600","46,890","42,830","38,932","30,503","132,423","48,734"
"    Percent","","1,329,777","84.7%","15.3%","(X)","(X)","","1,329,777","69.3%","1.6%","3.2%","3.3%","3.1%","3.5%","3.0%","12.9%","0.1%","","1,329,777","2.3%","17.3%","19.1%","16.0%","18.9%","10.5%","6.8%","4.2%","4.8%","","1,329,777","1.7%","1.7%","6.6%","16.8%","26.9%","20.6%","11.8%","6.8%","7.2%","(X)","","1,329,777","1.8%","7.1%","27.1%","50.1%","12.0%","2.0%","","1,125,899","65.7%","34.3%","(X)","(X)","","1,125,899","34.3%","35.2%","15.4%","7.0%","5.0%","3.1%","","1,125,899","6.1%","34.4%","38.9%","20.5%","","1,125,899","40.3%","7.1%","47.6%","0.1%","0.0%","4.3%","0.0%","0.3%","0.3%","","1,125,899","0.5%","0.7%","2.8%","","1,125,899","97.4%","1.8%","0.8%","","739,987","18.9%","26.9%","20.9%","14.0%","11.6%","5.5%","1.6%","0.5%","(X)","","739,987","55.7%","44.3%","","412,235","0.3%","5.1%","15.9%","30.7%","29.6%","11.3%","7.1%","(X)","327,752","2.0%","14.6%","29.9%","24.9%","28.6%","(X)","","409,178","50.6%","15.3%","9.2%","6.2%","18.7%","(X)","322,984","50.0%","20.2%","10.7%","6.5%","3.3%","2.4%","7.0%","(X)","","347,957","2.0%","4.4%","16.3%","41.6%","23.5%","10.0%","2.2%","(X)","(X)","","337,178","13.5%","13.9%","12.7%","11.5%","9.0%","39.3%","(X)"
