"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,833,722","2,341,869","2,491,853","292,354","302,298","328,072","330,294","355,257","612,773","608,333","660,842","330,028","291,933","419,711","218,808","83,019","38.3","3,723,831","3,505,633","895,736","721,538","3,723,831","1,777,097","1,946,734","721,538","309,005","412,533","","4,833,722","4,751,968","81,754","4,751,968","3,330,478","1,284,102","22,459","N","N","N","N","58,624","11,694","12,764","5,101","1,885","9,079","10,007","8,094","1,521","N","N","N","N","54,784","81,754","28,260","24,087","9,960","4,375","","4,833,722","3,401,903","1,322,048","53,515","73,661","3,866","64,417","","4,833,722","189,934","123,415","16,024","4,218","46,277","4,643,788","3,204,524","1,280,260","20,028","58,072","1,185","6,661","73,058","3,841","69,217","2,190,027"
"    Percent","","4,833,722","48.4%","51.6%","6.0%","6.3%","6.8%","6.8%","7.3%","12.7%","12.6%","13.7%","6.8%","6.0%","8.7%","4.5%","1.7%","(X)","77.0%","72.5%","18.5%","14.9%","3,723,831","47.7%","52.3%","721,538","42.8%","57.2%","","4,833,722","98.3%","1.7%","98.3%","68.9%","26.6%","0.5%","N","N","N","N","1.2%","0.2%","0.3%","0.1%","0.0%","0.2%","0.2%","0.2%","0.0%","N","N","N","N","1.1%","1.7%","0.6%","0.5%","0.2%","0.1%","","4,833,722","70.4%","27.4%","1.1%","1.5%","0.1%","1.3%","","4,833,722","3.9%","2.6%","0.3%","0.1%","1.0%","96.1%","66.3%","26.5%","0.4%","1.2%","0.0%","0.1%","1.5%","0.1%","1.4%","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","735,132","386,404","348,728","54,705","50,862","53,186","52,972","60,748","114,008","89,946","101,153","52,598","39,370","43,156","16,856","5,572","33.1","546,766","510,917","87,540","65,584","546,766","288,959","257,807","65,584","32,663","32,921","","735,132","678,226","56,906","678,226","487,762","25,077","105,310","248","348","334","234","41,775","1,283","2,116","19,236","1,555","5,947","1,033","10,605","8,794","2,249","113","4,742","1,690","9,508","56,906","7,330","29,920","7,467","2,626","","735,132","537,444","37,535","142,190","55,379","11,459","11,724","","735,132","48,501","25,606","7,408","1,179","14,308","686,631","459,168","24,556","101,922","41,520","8,673","383","50,409","788","49,621","307,417"
"    Percent","","735,132","52.6%","47.4%","7.4%","6.9%","7.2%","7.2%","8.3%","15.5%","12.2%","13.8%","7.2%","5.4%","5.9%","2.3%","0.8%","(X)","74.4%","69.5%","11.9%","8.9%","546,766","52.8%","47.2%","65,584","49.8%","50.2%","","735,132","92.3%","7.7%","92.3%","66.4%","3.4%","14.3%","0.0%","0.0%","0.0%","0.0%","5.7%","0.2%","0.3%","2.6%","0.2%","0.8%","0.1%","1.4%","1.2%","0.3%","0.0%","0.6%","0.2%","1.3%","7.7%","1.0%","4.1%","1.0%","0.4%","","735,132","73.1%","5.1%","19.3%","7.5%","1.6%","1.6%","","735,132","6.6%","3.5%","1.0%","0.2%","1.9%","93.4%","62.5%","3.3%","13.9%","5.6%","1.2%","0.1%","6.9%","0.1%","6.7%","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,626,624","3,298,086","3,328,538","430,081","461,694","453,760","454,003","482,349","880,940","832,886","834,747","400,718","376,722","589,406","311,306","118,012","36.8","5,010,662","4,728,300","1,243,329","1,018,724","5,010,662","2,472,154","2,538,508","1,018,724","468,475","550,249","","6,626,624","6,414,816","211,808","6,414,816","5,233,466","277,973","288,294","3,308","1,305","141,926","1,518","191,718","42,362","34,266","36,317","12,405","13,073","26,656","26,639","12,609","4,740","2,401","2,083","3,385","410,756","211,808","39,760","47,110","47,798","6,538","","6,626,624","5,413,397","342,388","355,878","260,177","24,656","456,726","","6,626,624","2,005,114","1,806,396","44,969","15,230","138,519","4,621,510","3,750,664","263,161","258,758","187,791","12,209","7,247","141,680","7,448","134,232","2,892,359"
"    Percent","","6,626,624","49.8%","50.2%","6.5%","7.0%","6.8%","6.9%","7.3%","13.3%","12.6%","12.6%","6.0%","5.7%","8.9%","4.7%","1.8%","(X)","75.6%","71.4%","18.8%","15.4%","5,010,662","49.3%","50.7%","1,018,724","46.0%","54.0%","","6,626,624","96.8%","3.2%","96.8%","79.0%","4.2%","4.4%","0.0%","0.0%","2.1%","0.0%","2.9%","0.6%","0.5%","0.5%","0.2%","0.2%","0.4%","0.4%","0.2%","0.1%","0.0%","0.0%","0.1%","6.2%","3.2%","0.6%","0.7%","0.7%","0.1%","","6,626,624","81.7%","5.2%","5.4%","3.9%","0.4%","6.9%","","6,626,624","30.3%","27.3%","0.7%","0.2%","2.1%","69.7%","56.6%","4.0%","3.9%","2.8%","0.2%","0.1%","2.1%","0.1%","2.0%","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,959,373","1,461,544","1,497,829","190,202","210,050","195,242","197,132","206,244","383,853","367,589","388,763","191,520","175,236","260,847","140,018","52,677","37.8","2,247,751","2,125,354","554,470","453,542","2,247,751","1,090,535","1,157,216","453,542","200,380","253,162","","2,959,373","2,894,149","65,224","2,894,149","2,305,726","463,928","17,704","8,172","372","287","167","39,210","8,337","5,666","4,694","660","1,891","6,777","11,185","628","N","N","N","N","66,953","65,224","21,305","23,443","6,699","3,125","","2,959,373","2,364,252","491,932","46,969","48,568","2,866","72,833","","2,959,373","203,111","160,836","4,565","348","37,362","2,756,262","2,178,091","461,229","16,227","38,747","596","2,745","58,627","1,132","57,495","1,329,777"
"    Percent","","2,959,373","49.4%","50.6%","6.4%","7.1%","6.6%","6.7%","7.0%","13.0%","12.4%","13.1%","6.5%","5.9%","8.8%","4.7%","1.8%","(X)","76.0%","71.8%","18.7%","15.3%","2,247,751","48.5%","51.5%","453,542","44.2%","55.8%","","2,959,373","97.8%","2.2%","97.8%","77.9%","15.7%","0.6%","0.3%","0.0%","0.0%","0.0%","1.3%","0.3%","0.2%","0.2%","0.0%","0.1%","0.2%","0.4%","0.0%","N","N","N","N","2.3%","2.2%","0.7%","0.8%","0.2%","0.1%","","2,959,373","79.9%","16.6%","1.6%","1.6%","0.1%","2.5%","","2,959,373","6.9%","5.4%","0.2%","0.0%","1.3%","93.1%","73.6%","15.6%","0.5%","1.3%","0.0%","0.1%","2.0%","0.0%","1.9%","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","38,332,521","19,072,246","19,260,275","2,500,565","2,559,235","2,539,869","2,663,781","2,921,839","5,582,572","5,159,912","5,207,404","2,386,587","2,016,649","2,692,906","1,427,597","673,605","35.7","29,158,337","27,462,207","5,945,344","4,794,108","29,158,337","14,374,509","14,783,828","4,794,108","2,113,160","2,680,948","","38,332,521","36,602,811","1,729,710","36,602,811","23,741,019","2,269,021","278,377","19,642","2,431","10,423","5,616","5,210,236","620,037","1,362,392","1,222,869","278,394","461,484","636,700","628,360","142,782","23,860","18,749","40,765","59,408","4,961,376","1,729,710","220,348","277,694","484,916","38,126","","38,332,521","25,158,328","2,710,456","709,952","5,959,446","289,593","5,407,677","","38,332,521","14,719,327","12,254,330","215,653","96,309","2,153,035","23,613,194","14,884,539","2,167,357","139,821","5,147,620","132,957","81,088","1,059,812","52,359","1,007,453","13,791,262"
"    Percent","","38,332,521","49.8%","50.2%","6.5%","6.7%","6.6%","6.9%","7.6%","14.6%","13.5%","13.6%","6.2%","5.3%","7.0%","3.7%","1.8%","(X)","76.1%","71.6%","15.5%","12.5%","29,158,337","49.3%","50.7%","4,794,108","44.1%","55.9%","","38,332,521","95.5%","4.5%","95.5%","61.9%","5.9%","0.7%","0.1%","0.0%","0.0%","0.0%","13.6%","1.6%","3.6%","3.2%","0.7%","1.2%","1.7%","1.6%","0.4%","0.1%","0.0%","0.1%","0.2%","12.9%","4.5%","0.6%","0.7%","1.3%","0.1%","","38,332,521","65.6%","7.1%","1.9%","15.5%","0.8%","14.1%","","38,332,521","38.4%","32.0%","0.6%","0.3%","5.6%","61.6%","38.8%","5.7%","0.4%","13.4%","0.3%","0.2%","2.8%","0.1%","2.6%","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,268,367","2,645,976","2,622,391","333,573","349,279","360,838","341,968","368,474","776,660","720,347","715,100","348,854","308,331","382,712","187,498","74,733","36.4","4,027,042","3,805,501","822,019","644,943","4,027,042","2,011,182","2,015,860","644,943","290,333","354,610","","5,268,367","5,079,335","189,032","5,079,335","4,415,852","209,555","43,613","5,004","981","4,921","2,793","150,852","20,438","26,694","14,015","12,486","23,507","25,852","27,860","8,315","3,263","1,135","1,225","2,692","251,148","189,032","37,839","43,305","39,615","5,039","","5,268,367","4,584,926","269,750","108,821","206,578","17,303","290,373","","5,268,367","1,108,425","823,257","23,997","7,666","253,505","4,159,942","3,643,026","197,241","25,441","147,767","6,619","11,244","128,604","2,410","126,194","2,247,291"
"    Percent","","5,268,367","50.2%","49.8%","6.3%","6.6%","6.8%","6.5%","7.0%","14.7%","13.7%","13.6%","6.6%","5.9%","7.3%","3.6%","1.4%","(X)","76.4%","72.2%","15.6%","12.2%","4,027,042","49.9%","50.1%","644,943","45.0%","55.0%","","5,268,367","96.4%","3.6%","96.4%","83.8%","4.0%","0.8%","0.1%","0.0%","0.1%","0.1%","2.9%","0.4%","0.5%","0.3%","0.2%","0.4%","0.5%","0.5%","0.2%","0.1%","0.0%","0.0%","0.1%","4.8%","3.6%","0.7%","0.8%","0.8%","0.1%","","5,268,367","87.0%","5.1%","2.1%","3.9%","0.3%","5.5%","","5,268,367","21.0%","15.6%","0.5%","0.1%","4.8%","79.0%","69.1%","3.7%","0.5%","2.8%","0.1%","0.2%","2.4%","0.0%","2.4%","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,596,080","1,751,883","1,844,197","190,746","219,926","230,077","252,594","237,422","439,149","448,157","556,065","260,273","217,165","293,384","159,188","91,934","40.5","2,810,738","2,649,231","669,329","544,506","2,810,738","1,352,395","1,458,343","544,506","233,290","311,216","","3,596,080","3,491,153","104,927","3,491,153","2,778,681","370,998","8,018","N","N","N","N","147,570","51,297","33,888","17,196","2,486","10,984","7,725","23,994","545","N","N","N","N","185,341","104,927","32,698","12,395","17,334","3,824","","3,596,080","2,864,286","423,002","31,828","172,702","4,137","214,528","","3,596,080","527,163","55,584","269,607","12,346","189,626","3,068,917","2,493,100","345,880","4,129","145,945","545","10,585","68,733","5,206","63,527","1,488,072"
"    Percent","","3,596,080","48.7%","51.3%","5.3%","6.1%","6.4%","7.0%","6.6%","12.2%","12.5%","15.5%","7.2%","6.0%","8.2%","4.4%","2.6%","(X)","78.2%","73.7%","18.6%","15.1%","2,810,738","48.1%","51.9%","544,506","42.8%","57.2%","","3,596,080","97.1%","2.9%","97.1%","77.3%","10.3%","0.2%","N","N","N","N","4.1%","1.4%","0.9%","0.5%","0.1%","0.3%","0.2%","0.7%","0.0%","N","N","N","N","5.2%","2.9%","0.9%","0.3%","0.5%","0.1%","","3,596,080","79.7%","11.8%","0.9%","4.8%","0.1%","6.0%","","3,596,080","14.7%","1.5%","7.5%","0.3%","5.3%","85.3%","69.3%","9.6%","0.1%","4.1%","0.0%","0.3%","1.9%","0.1%","1.8%","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","925,749","447,789","477,960","56,235","57,145","57,557","57,933","67,149","119,039","111,785","130,801","61,435","59,725","86,005","43,225","17,715","39.1","722,061","682,928","182,713","146,945","722,061","344,418","377,643","146,945","65,197","81,748","","925,749","899,319","26,430","899,319","637,606","200,249","3,955","N","N","N","N","33,639","14,683","7,944","3,347","286","2,105","2,572","2,702","841","N","N","N","N","23,029","26,430","11,673","2,559","3,583","1,480","","925,749","660,772","218,379","10,703","38,699","1,058","25,927","","925,749","80,944","28,315","29,460","1,808","21,361","844,805","592,064","192,945","3,137","32,952","326","1,746","21,635","460","21,175","412,015"
"    Percent","","925,749","48.4%","51.6%","6.1%","6.2%","6.2%","6.3%","7.3%","12.9%","12.1%","14.1%","6.6%","6.5%","9.3%","4.7%","1.9%","(X)","78.0%","73.8%","19.7%","15.9%","722,061","47.7%","52.3%","146,945","44.4%","55.6%","","925,749","97.1%","2.9%","97.1%","68.9%","21.6%","0.4%","N","N","N","N","3.6%","1.6%","0.9%","0.4%","0.0%","0.2%","0.3%","0.3%","0.1%","N","N","N","N","2.5%","2.9%","1.3%","0.3%","0.4%","0.2%","","925,749","71.4%","23.6%","1.2%","4.2%","0.1%","2.8%","","925,749","8.7%","3.1%","3.2%","0.2%","2.3%","91.3%","64.0%","20.8%","0.3%","3.6%","0.0%","0.2%","2.3%","0.0%","2.3%","(X)"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","646,449","306,147","340,302","41,061","32,187","23,091","36,718","60,378","144,746","89,855","76,302","36,080","32,070","41,083","22,429","10,449","33.8","534,917","502,613","92,318","73,961","534,917","250,118","284,799","73,961","30,167","43,794","","646,449","625,604","20,845","625,604","264,080","315,504","1,272","N","N","N","N","22,963","4,257","6,748","2,529","1,543","2,948","2,403","2,535","104","N","N","N","N","21,681","20,845","3,923","2,015","5,896","1,507","","646,449","280,340","324,531","7,302","31,458","714","26,049","","646,449","65,560","9,675","4,623","2,445","48,817","580,889","230,264","310,129","857","22,222","104","1,205","16,108","1,556","14,552","302,975"
"    Percent","","646,449","47.4%","52.6%","6.4%","5.0%","3.6%","5.7%","9.3%","22.4%","13.9%","11.8%","5.6%","5.0%","6.4%","3.5%","1.6%","(X)","82.7%","77.7%","14.3%","11.4%","534,917","46.8%","53.2%","73,961","40.8%","59.2%","","646,449","96.8%","3.2%","96.8%","40.9%","48.8%","0.2%","N","N","N","N","3.6%","0.7%","1.0%","0.4%","0.2%","0.5%","0.4%","0.4%","0.0%","N","N","N","N","3.4%","3.2%","0.6%","0.3%","0.9%","0.2%","","646,449","43.4%","50.2%","1.1%","4.9%","0.1%","4.0%","","646,449","10.1%","1.5%","0.7%","0.4%","7.6%","89.9%","35.6%","48.0%","0.1%","3.4%","0.0%","0.2%","2.5%","0.2%","2.3%","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","19,552,860","9,565,609","9,987,251","1,074,049","1,101,641","1,150,674","1,196,157","1,303,343","2,435,386","2,409,505","2,726,761","1,326,202","1,184,859","1,984,921","1,163,267","496,095","41.5","15,524,130","14,751,484","4,344,653","3,644,283","15,524,130","7,499,351","8,024,779","3,644,283","1,632,779","2,011,504","","19,552,860","19,093,547","459,313","19,093,547","14,897,782","3,141,552","50,379","9,664","1,757","559","834","509,588","147,955","93,620","91,354","14,501","21,650","68,379","72,129","8,241","2,009","2,169","1,765","2,298","486,005","459,313","153,134","61,779","79,719","12,657","","19,552,860","15,279,072","3,375,997","147,203","638,941","28,987","577,729","","19,552,860","4,619,316","645,629","987,663","1,349,136","1,636,888","14,933,544","10,992,388","3,020,029","39,440","499,376","6,808","57,437","318,066","16,839","301,227","9,047,973"
