"GEO_ID","NAME","B25101_001E","B25101_001M","B25101_001MA","B25101_001EA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003M","B25101_003MA","B25101_003EA","B25101_004E","B25101_004EA","B25101_004M","B25101_004MA","B25101_005E","B25101_005M","B25101_005MA","B25101_005EA","B25101_006E","B25101_006M","B25101_006MA","B25101_006EA","B25101_007E","B25101_007M","B25101_007MA","B25101_007EA","B25101_008E","B25101_008EA","B25101_008M","B25101_008MA","B25101_009E","B25101_009M","B25101_009MA","B25101_009EA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011EA","B25101_011M","B25101_011MA","B25101_012E","B25101_012EA","B25101_012M","B25101_012MA","B25101_013E","B25101_013M","B25101_013MA","B25101_013EA","B25101_014E","B25101_014EA","B25101_014M","B25101_014MA","B25101_015E","B25101_015M","B25101_015MA","B25101_015EA","B25101_016E","B25101_016EA","B25101_016M","B25101_016MA","B25101_017E","B25101_017M","B25101_017MA","B25101_017EA","B25101_018E","B25101_018EA","B25101_018M","B25101_018MA","B25101_019E","B25101_019M","B25101_019MA","B25101_019EA","B25101_020E","B25101_020EA","B25101_020M","B25101_020MA","B25101_021E","B25101_021M","B25101_021MA","B25101_021EA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023EA","B25101_023M","B25101_023MA","B25101_024E","B25101_024M","B25101_024MA","B25101_024EA","B25101_025E","B25101_025M","B25101_025MA","B25101_025EA","B25101_026E","B25101_026EA","B25101_026M","B25101_026MA","B25101_027E","B25101_027EA","B25101_027M","B25101_027MA","B25101_028E","B25101_028EA","B25101_028M","B25101_028MA","B25101_029E","B25101_029M","B25101_029MA","B25101_029EA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031M","B25101_031MA","B25101_031EA","B25101_032E","B25101_032M","B25101_032MA","B25101_032EA","B25101_033E","B25101_033EA","B25101_033M","B25101_033MA","B25101_034E","B25101_034EA","B25101_034M","B25101_034MA","B25101_035E","B25101_035EA","B25101_035M","B25101_035MA","B25101_036E","B25101_036EA","B25101_036M","B25101_036MA","B25101_037E","B25101_037M","B25101_037MA","B25101_037EA","B25101_038E","B25101_038EA","B25101_038M","B25101_038MA","B25101_039E","B25101_039M","B25101_039MA","B25101_039EA","B25101_040E","B25101_040EA","B25101_040M","B25101_040MA","B25101_041E","B25101_041M","B25101_041MA","B25101_041EA","B25101_042E","B25101_042M","B25101_042MA","B25101_042EA","B25101_043E","B25101_043M","B25101_043MA","B25101_043EA","B25101_044E","B25101_044M","B25101_044MA","B25101_044EA","B25101_045E","B25101_045M","B25101_045MA","B25101_045EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With a mortgage","Margin of Error!!Total!!With a mortgage","Annotation of Margin of Error!!Total!!With a mortgage","Annotation of Estimate!!Total!!With a mortgage","Estimate!!Total!!With a mortgage!!Less than $20,000","Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000","Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$75,000 or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more","Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Estimate!!Total!!With a mortgage!!Zero or negative income","Annotation of Estimate!!Total!!With a mortgage!!Zero or negative income","Margin of Error!!Total!!With a mortgage!!Zero or negative income","Annotation of Margin of Error!!Total!!With a mortgage!!Zero or negative income","Estimate!!Total!!Not mortgaged","Margin of Error!!Total!!Not mortgaged","Annotation of Margin of Error!!Total!!Not mortgaged","Annotation of Estimate!!Total!!Not mortgaged","Estimate!!Total!!Not mortgaged!!Less than $20,000","Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000","Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$75,000 or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more","Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Estimate!!Total!!Not mortgaged!!Zero or negative income","Margin of Error!!Total!!Not mortgaged!!Zero or negative income","Annotation of Margin of Error!!Total!!Not mortgaged!!Zero or negative income","Annotation of Estimate!!Total!!Not mortgaged!!Zero or negative income",
"0100000US","United States","73843861","212871","null","null","47498648","138126","null","null","2764424","24452","null","null","11070","null","1254","null","45237","2941","null","null","2708117","24035","null","null","4368034","34717","null","null","149166","null","5320","null","633769","11278","null","null","3585099","30070","null","null","5414992","null","33720","null","670810","null","12625","null","1724517","17708","null","null","3019665","null","25098","null","9494834","54577","null","null","2794119","null","27934","null","3621529","31902","null","null","3079186","null","23705","null","25190609","86102","null","null","15824498","null","71506","null","6765791","38160","null","null","2600320","25906","null","null","265755","null","9954","null","26345213","111670","null","null","4648235","37715","null","null","972454","null","16296","null","1019972","null","16725","null","2655809","null","27094","null","5048685","36581","null","null","3054226","null","28168","null","1209992","16482","null","null","784467","12398","null","null","4025794","null","35130","null","3382721","null","30975","null","478391","null","10016","null","164682","null","5502","null","4673275","29859","null","null","4363845","null","29677","null","240330","7773","null","null","69100","null","4229","null","7591411","44142","null","null","7473319","43502","null","null","97345","4901","null","null","20747","2061","null","null","357813","9822","null","null",
"0400000US01","Alabama","1240017","12974","null","null","719189","11998","null","null","58806","4027","null","null","206","null","185","null","2419","737","null","null","56181","3883","null","null","84807","4141","null","null","4162","null","1006","null","18791","1883","null","null","61854","3243","null","null","104491","null","4787","null","20362","null","1673","null","45989","3052","null","null","38140","null","3026","null","159067","6756","null","null","74134","null","4670","null","62155","4263","null","null","22778","null","2140","null","307113","8655","null","null","241832","null","7114","null","54951","3517","null","null","10330","1594","null","null","4905","null","1149","null","520828","7917","null","null","119228","4685","null","null","33219","null","2732","null","29958","null","2072","null","56051","null","3268","null","111671","4256","null","null","88224","null","3917","null","17996","1572","null","null","5451","886","null","null","83185","null","3656","null","79719","null","3698","null","2587","null","654","null","879","null","411","null","89382","4361","null","null","88759","null","4326","null","623","282","null","null","0","null","192","null","107955","4867","null","null","107697","4875","null","null","258","329","null","null","0","192","null","null","9407","1471","null","null",
"0400000US02","Alaska","156107","3268","null","null","99127","3509","null","null","3528","595","null","null","47","null","55","null","12","15","null","null","3469","600","null","null","4420","696","null","null","83","null","56","null","254","137","null","null","4083","681","null","null","7405","null","1154","null","258","null","132","null","1758","690","null","null","5389","null","920","null","15928","1810","null","null","2941","null","661","null","5238","1142","null","null","7749","null","1227","null","67672","3696","null","null","39115","null","2898","null","22802","2084","null","null","5755","1082","null","null","174","null","166","null","56980","2687","null","null","7030","871","null","null","1240","null","344","null","1127","null","397","null","4663","null","789","null","7304","1066","null","null","4218","null","920","null","1807","500","null","null","1279","385","null","null","7462","null","1193","null","4801","null","935","null","2579","null","888","null","82","null","63","null","10519","1714","null","null","9654","null","1669","null","679","386","null","null","186","null","212","null","24516","2125","null","null","24287","2123","null","null","229","220","null","null","0","147","null","null","149","146","null","null",
"0400000US04","Arizona","1490031","12319","null","null","962561","11844","null","null","68109","3762","null","null","409","null","281","null","724","335","null","null","66976","3702","null","null","103824","5083","null","null","3826","null","913","null","14337","1543","null","null","85661","4629","null","null","128166","null","5415","null","15874","null","1873","null","45585","3342","null","null","66707","null","4018","null","199219","7127","null","null","62562","null","3730","null","83791","3905","null","null","52866","null","3313","null","453754","8210","null","null","315675","null","7454","null","108009","4291","null","null","30070","2771","null","null","9489","null","1533","null","527470","8593","null","null","100845","4021","null","null","28216","null","2285","null","25238","null","2447","null","47391","null","3168","null","111814","4576","null","null","76922","null","4019","null","22345","2246","null","null","12547","1772","null","null","82307","null","3783","null","74640","null","3515","null","6621","null","1255","null","1046","null","446","null","92817","3769","null","null","90549","null","3660","null","1752","587","null","null","516","null","567","null","127451","4834","null","null","126881","4728","null","null","490","307","null","null","80","132","null","null","12236","1874","null","null",
"0400000US05","Arkansas","739987","8706","null","null","412235","8171","null","null","37410","2707","null","null","395","null","242","null","725","282","null","null","36290","2688","null","null","54538","3509","null","null","3070","null","879","null","17029","1900","null","null","34439","2924","null","null","61391","null","4081","null","17438","null","2110","null","27024","2203","null","null","16929","null","1825","null","90267","4796","null","null","48560","null","3448","null","32080","2994","null","null","9627","null","1737","null","165572","5535","null","null","137516","null","4902","null","23430","2508","null","null","4626","1275","null","null","3057","null","1004","null","327752","6053","null","null","73521","3576","null","null","26083","null","2203","null","20279","null","2092","null","27159","null","2172","null","71267","3993","null","null","59760","null","3820","null","8680","1279","null","null","2827","622","null","null","54918","null","3282","null","52710","null","3195","null","1982","null","569","null","226","null","207","null","59361","3714","null","null","58793","null","3656","null","568","517","null","null","0","null","192","null","63917","3496","null","null","63917","3496","null","null","0","192","null","null","0","192","null","null","4768","1030","null","null",
"0400000US06","California","6804639","28833","null","null","4941183","28332","null","null","238005","7171","null","null","852","null","436","null","2250","623","null","null","234903","7155","null","null","354329","9891","null","null","7644","null","1238","null","20118","1969","null","null","326567","9259","null","null","450923","null","10364","null","23931","null","2280","null","65535","4082","null","null","361457","null","8665","null","828897","14086","null","null","100519","null","4660","null","231007","7442","null","null","497371","null","9210","null","3033851","22019","null","null","1353917","null","18457","null","1043630","13848","null","null","636304","11439","null","null","35178","null","3882","null","1863456","15586","null","null","292276","7931","null","null","58773","null","3932","null","49723","null","3140","null","183780","null","6000","null","315526","7410","null","null","167470","null","5293","null","79296","4118","null","null","68760","3927","null","null","257806","null","6280","null","203492","null","5905","null","39041","null","2798","null","15273","null","1587","null","313641","7285","null","null","285922","null","6921","null","21658","2512","null","null","6061","null","1157","null","658392","9505","null","null","648079","9441","null","null","7899","1241","null","null","2414","537","null","null","25815","2348","null","null",
"0400000US08","Colorado","1291945","10661","null","null","934605","10783","null","null","45408","3324","null","null","110","null","124","null","520","371","null","null","44778","3264","null","null","77513","4135","null","null","1662","null","571","null","7925","1449","null","null","67926","3684","null","null","101416","null","4786","null","9006","null","1505","null","26205","2659","null","null","66205","null","3914","null","176026","5876","null","null","37174","null","2710","null","75914","3919","null","null","62938","null","4016","null","529675","8579","null","null","342466","null","6707","null","148827","5401","null","null","38382","2738","null","null","4567","null","1150","null","357340","6897","null","null","55693","2704","null","null","10977","null","1318","null","13650","null","1853","null","31066","null","2307","null","61317","2806","null","null","40592","null","2149","null","14065","1880","null","null","6660","1296","null","null","49706","null","3449","null","45679","null","3411","null","3061","null","869","null","966","null","454","null","64496","3383","null","null","63215","null","3301","null","1014","465","null","null","267","null","161","null","122482","4808","null","null","121728","4860","null","null","657","364","null","null","97","117","null","null","3646","689","null","null",
"0400000US09","Connecticut","888478","8542","null","null","614989","8583","null","null","18549","2125","null","null","0","null","201","null","147","139","null","null","18402","2104","null","null","33790","2998","null","null","147","null","153","null","1175","469","null","null","32468","2980","null","null","46182","null","3373","null","1631","null","617","null","6080","1223","null","null","38471","null","2989","null","103121","5110","null","null","8933","null","1552","null","29701","2574","null","null","64487","null","4119","null","410527","7677","null","null","209632","null","5778","null","138836","6107","null","null","62059","3751","null","null","2820","null","766","null","273489","6462","null","null","32375","2742","null","null","731","null","424","null","1833","null","664","null","29811","null","2543","null","41594","3012","null","null","4607","null","1007","null","12809","1624","null","null","24178","2297","null","null","36545","null","2266","null","13612","null","1504","null","16789","null","1632","null","6144","null","1002","null","47686","2957","null","null","34571","null","2401","null","10384","1304","null","null","2731","null","655","null","112219","4814","null","null","107709","4619","null","null","3544","706","null","null","966","416","null","null","3070","793","null","null",
"0400000US10","Delaware","243047","3975","null","null","165067","4059","null","null","9002","1437","null","null","86","null","100","null","74","86","null","null","8842","1434","null","null","14113","1837","null","null","178","null","146","null","1488","532","null","null","12447","1694","null","null","18084","null","2073","null","1965","null","704","null","4595","838","null","null","11524","null","1597","null","33623","2538","null","null","7655","null","1488","null","13849","1806","null","null","12119","null","1692","null","89186","3537","null","null","59214","null","3545","null","24375","2587","null","null","5597","1185","null","null","1059","null","453","null","77980","3302","null","null","12800","1505","null","null","1912","null","611","null","3734","null","914","null","7154","null","1132","null","14984","1616","null","null","9122","null","1185","null","3795","1043","null","null","2067","463","null","null","12835","null","1643","null","11079","null","1576","null","1323","null","485","null","433","null","252","null","14994","1429","null","null","14525","null","1408","null","469","269","null","null","0","null","189","null","21535","1706","null","null","21535","1706","null","null","0","189","null","null","0","189","null","null","832","453","null","null",
