"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0400000US01","Alabama","9089","189","null","null","24930","null","373","null","43212","529","null","null","69172","832","null","null","150064","2519","null","null","259718","8144","null","null",
"0400000US02","Alaska","18887","924","null","null","46024","null","1536","null","72626","2041","null","null","106954","2972","null","null","199299","8054","null","null","319926","24409","null","null",
"0400000US04","Arizona","10979","238","null","null","29187","null","320","null","48540","461","null","null","76430","637","null","null","166810","3080","null","null","293060","10181","null","null",
"0400000US05","Arkansas","9369","285","null","null","24025","null","430","null","40561","723","null","null","63796","856","null","null","139983","3632","null","null","242783","12540","null","null",
"0400000US06","California","12707","130","null","null","34503","null","219","null","60143","295","null","null","97342","414","null","null","223841","1494","null","null","399335","4794","null","null",
"0400000US08","Colorado","13857","333","null","null","35333","null","386","null","58843","574","null","null","91527","741","null","null","197344","3073","null","null","345857","10845","null","null",
"0400000US09","Connecticut","14280","404","null","null","39355","null","708","null","67667","973","null","null","107508","1387","null","null","260196","5874","null","null","497317","18423","null","null",
"0400000US10","Delaware","13738","834","null","null","35785","null","1197","null","58148","1527","null","null","88893","2248","null","null","188411","6893","null","null","319855","21591","null","null",
"0400000US11","District of Columbia","9403","681","null","null","35684","null","1831","null","68222","2481","null","null","116191","3305","null","null","284910","12252","null","null","520912","38606","null","null",
"0400000US12","Florida","10626","154","null","null","27846","null","217","null","46188","309","null","null","73012","434","null","null","170967","1767","null","null","315508","6145","null","null",
"0400000US13","Georgia","9939","223","null","null","28034","null","334","null","48035","468","null","null","76794","744","null","null","172867","2389","null","null","309251","7456","null","null",
