"Label (Grouping)","HOUSEHOLDS BY TYPE","HOUSEHOLDS BY TYPE!!Total households","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years","HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over","HOUSEHOLDS BY TYPE!!Average household size","HOUSEHOLDS BY TYPE!!Average family size","RELATIONSHIP","RELATIONSHIP!!Population in households","RELATIONSHIP!!Population in households!!Householder","RELATIONSHIP!!Population in households!!Spouse","RELATIONSHIP!!Population in households!!Child","RELATIONSHIP!!Population in households!!Other relatives","RELATIONSHIP!!Population in households!!Nonrelatives","RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner","MARITAL STATUS","MARITAL STATUS!!Males 15 years and over","MARITAL STATUS!!Males 15 years and over!!Never married","MARITAL STATUS!!Males 15 years and over!!Now married, except separated","MARITAL STATUS!!Males 15 years and over!!Separated","MARITAL STATUS!!Males 15 years and over!!Widowed","MARITAL STATUS!!Males 15 years and over!!Divorced","MARITAL STATUS!!Females 15 years and over","MARITAL STATUS!!Females 15 years and over!!Never married","MARITAL STATUS!!Females 15 years and over!!Now married, except separated","MARITAL STATUS!!Females 15 years and over!!Separated","MARITAL STATUS!!Females 15 years and over!!Widowed","MARITAL STATUS!!Females 15 years and over!!Divorced","FERTILITY","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","GRANDPARENTS","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married","SCHOOL ENROLLMENT","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher","EDUCATIONAL ATTAINMENT!!Percent bachelor's degree or higher","VETERAN STATUS","VETERAN STATUS!!Civilian population 18 years and over","VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability","RESIDENCE 1 YEAR AGO","RESIDENCE 1 YEAR AGO!!Population 1 year and over","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Same county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Same state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Different state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Abroad","PLACE OF BIRTH","PLACE OF BIRTH!!Total population","PLACE OF BIRTH!!Total population!!Native","PLACE OF BIRTH!!Total population!!Native!!Born in United States","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state","PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","PLACE OF BIRTH!!Total population!!Foreign born","U.S. CITIZENSHIP STATUS","U.S. CITIZENSHIP STATUS!!Foreign-born population","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen","YEAR OF ENTRY","YEAR OF ENTRY!!Population born outside the United States","YEAR OF ENTRY!!Native","YEAR OF ENTRY!!Native!!Entered 2010 or later","YEAR OF ENTRY!!Native!!Entered before 2010","YEAR OF ENTRY!!Foreign born","YEAR OF ENTRY!!Foreign born!!Entered 2010 or later","YEAR OF ENTRY!!Foreign born!!Entered before 2010","WORLD REGION OF BIRTH OF FOREIGN BORN","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America","LANGUAGE SPOKEN AT HOME","LANGUAGE SPOKEN AT HOME!!Population 5 years and over","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well""","ANCESTRY","ANCESTRY!!Total population","ANCESTRY!!Total population!!American","ANCESTRY!!Total population!!Arab","ANCESTRY!!Total population!!Czech","ANCESTRY!!Total population!!Danish","ANCESTRY!!Total population!!Dutch","ANCESTRY!!Total population!!English","ANCESTRY!!Total population!!French (except Basque)","ANCESTRY!!Total population!!French Canadian","ANCESTRY!!Total population!!German","ANCESTRY!!Total population!!Greek","ANCESTRY!!Total population!!Hungarian","ANCESTRY!!Total population!!Irish","ANCESTRY!!Total population!!Italian","ANCESTRY!!Total population!!Lithuanian","ANCESTRY!!Total population!!Norwegian","ANCESTRY!!Total population!!Polish","ANCESTRY!!Total population!!Portuguese","ANCESTRY!!Total population!!Russian","ANCESTRY!!Total population!!Scotch-Irish","ANCESTRY!!Total population!!Scottish","ANCESTRY!!Total population!!Slovak","ANCESTRY!!Total population!!Subsaharan African","ANCESTRY!!Total population!!Swedish","ANCESTRY!!Total population!!Swiss","ANCESTRY!!Total population!!Ukrainian","ANCESTRY!!Total population!!Welsh","ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups)","COMPUTERS AND INTERNET USE","COMPUTERS AND INTERNET USE!!Total Households","COMPUTERS AND INTERNET USE!!Total Households!!With a computer","COMPUTERS AND INTERNET USE!!Total Households!!With a broadband Internet subscription"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,822,439","1,222,568","492,554","857,865","305,444","80,482","34,890","284,221","152,220","599,871","527,874","196,589","570,119","506,673","2.59","3.20","","4,718,690","1,822,439","855,674","1,449,446","385,794","205,337","67,111","","1,870,698","624,137","930,276","40,693","59,574","216,018","2,040,300","560,067","917,557","59,499","229,650","273,527","","58,053","23,437","36","50","26","97","13","","122,379","62,856","","11,146","12,294","10,828","28,588","62,856","40,984","43,385","","1,209,237","70,756","62,342","503,875","254,717","317,547","","3,225,447","158,191","340,457","1,001,134","710,602","258,110","476,016","280,937","(X)","(X)","","3,712,441","355,396","","4,755,381","757,829","1,107,844","48,123","2,945,466","419,282","702,071","290,424","","4,781,296","4,067,683","698,685","437,486","261,199","157,097","104,102","14,928","","4,833,722","4,671,496","4,631,111","3,382,119","1,248,992","40,385","162,226","","162,226","59,782","102,444","","202,611","40,385","1,165","39,220","162,226","19,236","142,990","","162,226","17,317","50,159","7,452","940","82,928","3,430","","4,541,368","4,309,662","231,706","99,606","143,539","68,637","36,235","9,227","37,006","16,786","14,926","4,956","","4,833,722","727,681","17,283","5,597","5,075","38,890","380,679","79,639","9,318","325,712","8,073","5,341","430,902","85,322","2,165","14,783","29,732","3,183","8,559","70,329","82,832","2,462","42,957","17,540","3,625","3,113","18,986","7,925","","1,822,439","1,403,538","1,156,338"
"    Percent","","1,822,439","67.1%","27.0%","47.1%","16.8%","4.4%","1.9%","15.6%","8.4%","32.9%","29.0%","10.8%","31.3%","27.8%","(X)","(X)","","4,718,690","38.6%","18.1%","30.7%","8.2%","4.4%","1.4%","","1,870,698","33.4%","49.7%","2.2%","3.2%","11.5%","2,040,300","27.5%","45.0%","2.9%","11.3%","13.4%","","58,053","40.4%","(X)","(X)","(X)","(X)","(X)","","122,379","51.4%","","9.1%","10.0%","8.8%","23.4%","62,856","65.2%","69.0%","","1,209,237","5.9%","5.2%","41.7%","21.1%","26.3%","","3,225,447","4.9%","10.6%","31.0%","22.0%","8.0%","14.8%","8.7%","84.5%","23.5%","","3,712,441","9.6%","","4,755,381","15.9%","1,107,844","4.3%","2,945,466","14.2%","702,071","41.4%","","4,781,296","85.1%","14.6%","9.1%","5.5%","3.3%","2.2%","0.3%","","4,833,722","96.6%","95.8%","70.0%","25.8%","0.8%","3.4%","","162,226","36.9%","63.1%","","202,611","40,385","2.9%","97.1%","162,226","11.9%","88.1%","","162,226","10.7%","30.9%","4.6%","0.6%","51.1%","2.1%","","4,541,368","94.9%","5.1%","2.2%","3.2%","1.5%","0.8%","0.2%","0.8%","0.4%","0.3%","0.1%","","4,833,722","15.1%","0.4%","0.1%","0.1%","0.8%","7.9%","1.6%","0.2%","6.7%","0.2%","0.1%","8.9%","1.8%","0.0%","0.3%","0.6%","0.1%","0.2%","1.5%","1.7%","0.1%","0.9%","0.4%","0.1%","0.1%","0.4%","0.2%","","1,822,439","77.0%","63.5%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","246,015","165,431","76,918","126,502","54,850","14,104","7,855","24,825","14,213","80,584","62,800","15,750","85,371","46,880","2.88","3.49","","708,533","246,015","126,183","237,118","47,900","51,317","20,294","","304,721","119,349","144,815","4,570","5,724","30,263","271,658","82,025","135,691","5,195","16,755","31,992","","10,411","3,912","43","59","16","100","29","","15,575","8,366","","2,632","1,812","1,219","2,703","8,366","4,810","6,494","","200,784","11,073","10,561","82,784","43,978","52,388","","462,659","14,292","24,385","129,029","127,054","38,486","84,038","45,375","(X)","(X)","","530,433","63,023","","712,248","79,255","187,885","6,985","459,776","46,634","64,587","25,636","","725,193","583,799","134,313","80,919","53,394","19,034","34,360","7,081","","735,132","684,372","668,628","315,466","353,162","15,744","50,760","","50,760","28,509","22,251","","66,504","15,744","1,937","13,807","50,760","5,440","45,320","","50,760","7,229","28,638","1,573","1,673","8,734","2,913","","680,427","575,025","105,402","32,334","20,367","4,178","15,460","3,304","33,959","18,858","35,616","5,994","","735,132","31,500","1,409","4,068","5,706","14,270","56,521","21,409","6,375","113,639","1,660","2,490","68,487","16,033","1,088","29,855","15,537","1,599","9,365","7,125","17,290","599","1,601","17,924","3,223","2,694","5,043","1,435","","246,015","221,536","194,291"
"    Percent","","246,015","67.2%","31.3%","51.4%","22.3%","5.7%","3.2%","10.1%","5.8%","32.8%","25.5%","6.4%","34.7%","19.1%","(X)","(X)","","708,533","34.7%","17.8%","33.5%","6.8%","7.2%","2.9%","","304,721","39.2%","47.5%","1.5%","1.9%","9.9%","271,658","30.2%","49.9%","1.9%","6.2%","11.8%","","10,411","37.6%","(X)","(X)","(X)","(X)","(X)","","15,575","53.7%","","16.9%","11.6%","7.8%","17.4%","8,366","57.5%","77.6%","","200,784","5.5%","5.3%","41.2%","21.9%","26.1%","","462,659","3.1%","5.3%","27.9%","27.5%","8.3%","18.2%","9.8%","91.6%","28.0%","","530,433","11.9%","","712,248","11.1%","187,885","3.7%","459,776","10.1%","64,587","39.7%","","725,193","80.5%","18.5%","11.2%","7.4%","2.6%","4.7%","1.0%","","735,132","93.1%","91.0%","42.9%","48.0%","2.1%","6.9%","","50,760","56.2%","43.8%","","66,504","15,744","12.3%","87.7%","50,760","10.7%","89.3%","","50,760","14.2%","56.4%","3.1%","3.3%","17.2%","5.7%","","680,427","84.5%","15.5%","4.8%","3.0%","0.6%","2.3%","0.5%","5.0%","2.8%","5.2%","0.9%","","735,132","4.3%","0.2%","0.6%","0.8%","1.9%","7.7%","2.9%","0.9%","15.5%","0.2%","0.3%","9.3%","2.2%","0.1%","4.1%","2.1%","0.2%","1.3%","1.0%","2.4%","0.1%","0.2%","2.4%","0.4%","0.4%","0.7%","0.2%","","246,015","90.0%","79.0%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,400,809","1,572,310","671,500","1,136,593","429,785","129,461","64,711","306,256","177,004","828,499","661,515","232,556","759,128","694,791","2.70","3.32","","6,479,000","2,400,809","1,135,436","1,977,156","527,863","437,736","179,344","","2,609,804","952,891","1,259,412","44,250","66,083","287,168","2,671,285","788,288","1,228,600","58,480","223,101","372,816","","83,011","32,808","37","54","16","99","22","","159,959","59,363","","12,571","13,726","9,299","23,767","59,363","36,357","40,812","","1,739,889","83,820","88,762","729,696","370,884","466,727","","4,344,737","276,191","336,013","1,079,149","1,090,066","374,877","741,982","446,459","(X)","(X)","","4,996,082","498,885","","6,521,226","801,728","1,613,505","53,122","3,900,900","400,687","1,006,821","347,919","","6,543,362","5,321,158","1,177,493","817,002","360,491","124,345","236,146","44,711","","6,626,624","5,730,314","5,649,584","2,562,680","3,086,904","80,730","896,310","","896,310","342,265","554,045","","977,040","80,730","5,627","75,103","896,310","84,384","811,926","","896,310","80,703","161,708","28,661","4,258","576,420","44,560","","6,196,543","4,535,677","1,660,866","564,670","1,266,837","451,076","118,291","20,788","119,520","51,472","156,218","41,334","","6,626,624","318,554","32,157","28,711","44,120","89,159","565,062","156,855","30,663","953,398","19,989","29,255","612,413","296,039","12,528","115,868","154,885","17,994","55,693","53,764","121,514","9,451","39,784","100,218","18,542","16,826","42,866","11,423","","2,400,809","2,026,250","1,775,037"
"    Percent","","2,400,809","65.5%","28.0%","47.3%","17.9%","5.4%","2.7%","12.8%","7.4%","34.5%","27.6%","9.7%","31.6%","28.9%","(X)","(X)","","6,479,000","37.1%","17.5%","30.5%","8.1%","6.8%","2.8%","","2,609,804","36.5%","48.3%","1.7%","2.5%","11.0%","2,671,285","29.5%","46.0%","2.2%","8.4%","14.0%","","83,011","39.5%","(X)","(X)","(X)","(X)","(X)","","159,959","37.1%","","7.9%","8.6%","5.8%","14.9%","59,363","61.2%","68.7%","","1,739,889","4.8%","5.1%","41.9%","21.3%","26.8%","","4,344,737","6.4%","7.7%","24.8%","25.1%","8.6%","17.1%","10.3%","85.9%","27.4%","","4,996,082","10.0%","","6,521,226","12.3%","1,613,505","3.3%","3,900,900","10.3%","1,006,821","34.6%","","6,543,362","81.3%","18.0%","12.5%","5.5%","1.9%","3.6%","0.7%","","6,626,624","86.5%","85.3%","38.7%","46.6%","1.2%","13.5%","","896,310","38.2%","61.8%","","977,040","80,730","7.0%","93.0%","896,310","9.4%","90.6%","","896,310","9.0%","18.0%","3.2%","0.5%","64.3%","5.0%","","6,196,543","73.2%","26.8%","9.1%","20.4%","7.3%","1.9%","0.3%","1.9%","0.8%","2.5%","0.7%","","6,626,624","4.8%","0.5%","0.4%","0.7%","1.3%","8.5%","2.4%","0.5%","14.4%","0.3%","0.4%","9.2%","4.5%","0.2%","1.7%","2.3%","0.3%","0.8%","0.8%","1.8%","0.1%","0.6%","1.5%","0.3%","0.3%","0.6%","0.2%","","2,400,809","84.4%","73.9%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
