"Label (Grouping)","HOUSEHOLDS BY TYPE","HOUSEHOLDS BY TYPE!!Total households","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years","HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over","HOUSEHOLDS BY TYPE!!Average household size","HOUSEHOLDS BY TYPE!!Average family size","RELATIONSHIP","RELATIONSHIP!!Population in households","RELATIONSHIP!!Population in households!!Householder","RELATIONSHIP!!Population in households!!Spouse","RELATIONSHIP!!Population in households!!Child","RELATIONSHIP!!Population in households!!Other relatives","RELATIONSHIP!!Population in households!!Nonrelatives","RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner","MARITAL STATUS","MARITAL STATUS!!Males 15 years and over","MARITAL STATUS!!Males 15 years and over!!Never married","MARITAL STATUS!!Males 15 years and over!!Now married, except separated","MARITAL STATUS!!Males 15 years and over!!Separated","MARITAL STATUS!!Males 15 years and over!!Widowed","MARITAL STATUS!!Males 15 years and over!!Divorced","MARITAL STATUS!!Females 15 years and over","MARITAL STATUS!!Females 15 years and over!!Never married","MARITAL STATUS!!Females 15 years and over!!Now married, except separated","MARITAL STATUS!!Females 15 years and over!!Separated","MARITAL STATUS!!Females 15 years and over!!Widowed","MARITAL STATUS!!Females 15 years and over!!Divorced","FERTILITY","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","GRANDPARENTS","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married","SCHOOL ENROLLMENT","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher","EDUCATIONAL ATTAINMENT!!Percent bachelor's degree or higher","VETERAN STATUS","VETERAN STATUS!!Civilian population 18 years and over","VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability","RESIDENCE 1 YEAR AGO","RESIDENCE 1 YEAR AGO!!Population 1 year and over","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Same county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Same state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Different state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Abroad","PLACE OF BIRTH","PLACE OF BIRTH!!Total population","PLACE OF BIRTH!!Total population!!Native","PLACE OF BIRTH!!Total population!!Native!!Born in United States","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state","PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","PLACE OF BIRTH!!Total population!!Foreign born","U.S. CITIZENSHIP STATUS","U.S. CITIZENSHIP STATUS!!Foreign-born population","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen","YEAR OF ENTRY","YEAR OF ENTRY!!Population born outside the United States","YEAR OF ENTRY!!Native","YEAR OF ENTRY!!Native!!Entered 2010 or later","YEAR OF ENTRY!!Native!!Entered before 2010","YEAR OF ENTRY!!Foreign born","YEAR OF ENTRY!!Foreign born!!Entered 2010 or later","YEAR OF ENTRY!!Foreign born!!Entered before 2010","WORLD REGION OF BIRTH OF FOREIGN BORN","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America","LANGUAGE SPOKEN AT HOME","LANGUAGE SPOKEN AT HOME!!Population 5 years and over","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well""","ANCESTRY","ANCESTRY!!Total population","ANCESTRY!!Total population!!American","ANCESTRY!!Total population!!Arab","ANCESTRY!!Total population!!Czech","ANCESTRY!!Total population!!Danish","ANCESTRY!!Total population!!Dutch","ANCESTRY!!Total population!!English","ANCESTRY!!Total population!!French (except Basque)","ANCESTRY!!Total population!!French Canadian","ANCESTRY!!Total population!!German","ANCESTRY!!Total population!!Greek","ANCESTRY!!Total population!!Hungarian","ANCESTRY!!Total population!!Irish","ANCESTRY!!Total population!!Italian","ANCESTRY!!Total population!!Lithuanian","ANCESTRY!!Total population!!Norwegian","ANCESTRY!!Total population!!Polish","ANCESTRY!!Total population!!Portuguese","ANCESTRY!!Total population!!Russian","ANCESTRY!!Total population!!Scotch-Irish","ANCESTRY!!Total population!!Scottish","ANCESTRY!!Total population!!Slovak","ANCESTRY!!Total population!!Subsaharan African","ANCESTRY!!Total population!!Swedish","ANCESTRY!!Total population!!Swiss","ANCESTRY!!Total population!!Ukrainian","ANCESTRY!!Total population!!Welsh","ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups)","COMPUTERS AND INTERNET USE","COMPUTERS AND INTERNET USE!!Total Households","COMPUTERS AND INTERNET USE!!Total Households!!With a computer","COMPUTERS AND INTERNET USE!!Total Households!!With a broadband Internet subscription"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,841,217","1,232,515","486,248","870,026","306,139","77,605","31,141","284,884","148,968","608,702","530,916","203,126","560,642","528,347","2.57","3.18","","4,730,907","1,841,217","868,947","1,445,725","370,891","204,127","73,048","","1,878,536","621,776","947,229","38,822","58,546","212,163","2,053,430","566,426","925,199","61,329","220,818","279,658","","58,890","24,596","38","51","20","98","15","","114,534","59,910","","11,536","11,520","11,217","25,637","59,910","38,093","40,228","","1,190,580","59,737","62,394","504,541","254,587","309,321","","3,256,766","164,748","333,011","1,028,665","709,158","256,777","478,058","286,349","(X)","(X)","","3,728,029","344,304","","4,767,383","776,448","1,106,847","50,453","2,935,367","422,549","725,169","303,446","","4,791,931","4,081,522","697,130","433,594","263,536","155,617","107,919","13,279","","4,849,377","4,692,021","4,647,949","3,409,230","1,238,719","44,072","157,356","","157,356","54,716","102,640","","201,428","44,072","4,013","40,059","157,356","22,452","134,904","","157,356","17,262","48,384","7,114","725","79,739","4,132","","4,558,217","4,335,732","222,485","92,252","142,689","62,622","32,475","6,972","37,609","19,867","9,712","2,791","","4,849,377","807,905","10,775","3,944","4,538","37,916","368,844","72,272","7,779","324,970","6,729","5,579","439,023","82,032","1,893","16,360","24,561","3,257","10,067","70,926","81,607","1,580","49,261","15,441","4,140","2,859","16,042","9,751","","1,841,217","1,443,947","1,210,878"
"    Percent","","1,841,217","66.9%","26.4%","47.3%","16.6%","4.2%","1.7%","15.5%","8.1%","33.1%","28.8%","11.0%","30.4%","28.7%","(X)","(X)","","4,730,907","38.9%","18.4%","30.6%","7.8%","4.3%","1.5%","","1,878,536","33.1%","50.4%","2.1%","3.1%","11.3%","2,053,430","27.6%","45.1%","3.0%","10.8%","13.6%","","58,890","41.8%","(X)","(X)","(X)","(X)","(X)","","114,534","52.3%","","10.1%","10.1%","9.8%","22.4%","59,910","63.6%","67.1%","","1,190,580","5.0%","5.2%","42.4%","21.4%","26.0%","","3,256,766","5.1%","10.2%","31.6%","21.8%","7.9%","14.7%","8.8%","84.7%","23.5%","","3,728,029","9.2%","","4,767,383","16.3%","1,106,847","4.6%","2,935,367","14.4%","725,169","41.8%","","4,791,931","85.2%","14.5%","9.0%","5.5%","3.2%","2.3%","0.3%","","4,849,377","96.8%","95.8%","70.3%","25.5%","0.9%","3.2%","","157,356","34.8%","65.2%","","201,428","44,072","9.1%","90.9%","157,356","14.3%","85.7%","","157,356","11.0%","30.7%","4.5%","0.5%","50.7%","2.6%","","4,558,217","95.1%","4.9%","2.0%","3.1%","1.4%","0.7%","0.2%","0.8%","0.4%","0.2%","0.1%","","4,849,377","16.7%","0.2%","0.1%","0.1%","0.8%","7.6%","1.5%","0.2%","6.7%","0.1%","0.1%","9.1%","1.7%","0.0%","0.3%","0.5%","0.1%","0.2%","1.5%","1.7%","0.0%","1.0%","0.3%","0.1%","0.1%","0.3%","0.2%","","1,841,217","78.4%","65.8%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","249,659","165,015","81,462","124,028","56,370","14,666","8,619","26,321","16,473","84,644","63,973","16,214","89,464","48,385","2.84","3.41","","708,421","249,659","124,259","231,522","42,187","60,794","21,407","","305,440","117,205","146,098","4,750","5,830","31,557","274,338","83,733","132,663","5,563","15,766","36,613","","11,703","2,842","30","67","32","115","25","","14,694","5,724","","1,539","1,117","932","2,136","5,724","3,613","3,927","","195,830","9,746","11,381","81,417","43,189","50,097","","465,149","12,625","20,628","131,987","131,559","38,086","85,634","44,630","(X)","(X)","","532,759","69,848","","711,541","79,800","186,245","6,765","456,278","44,674","69,018","28,361","","725,206","585,916","135,200","79,177","56,023","18,181","37,842","4,090","","736,732","682,060","664,047","304,277","359,770","18,013","54,672","","54,672","30,598","24,074","","72,685","18,013","1,190","16,823","54,672","5,834","48,838","","54,672","9,346","29,351","2,199","1,186","9,616","2,974","","683,324","569,759","113,565","35,139","22,334","6,826","17,504","4,684","38,547","18,665","35,180","4,964","","736,732","32,191","1,122","2,755","5,106","13,554","60,324","20,406","6,083","111,550","2,193","2,240","78,392","20,733","875","26,366","14,091","2,827","9,882","8,046","17,185","691","4,496","17,508","3,525","1,992","6,165","1,217","","249,659","228,449","203,235"
"    Percent","","249,659","66.1%","32.6%","49.7%","22.6%","5.9%","3.5%","10.5%","6.6%","33.9%","25.6%","6.5%","35.8%","19.4%","(X)","(X)","","708,421","35.2%","17.5%","32.7%","6.0%","8.6%","3.0%","","305,440","38.4%","47.8%","1.6%","1.9%","10.3%","274,338","30.5%","48.4%","2.0%","5.7%","13.3%","","11,703","24.3%","(X)","(X)","(X)","(X)","(X)","","14,694","39.0%","","10.5%","7.6%","6.3%","14.5%","5,724","63.1%","68.6%","","195,830","5.0%","5.8%","41.6%","22.1%","25.6%","","465,149","2.7%","4.4%","28.4%","28.3%","8.2%","18.4%","9.6%","92.9%","28.0%","","532,759","13.1%","","711,541","11.2%","186,245","3.6%","456,278","9.8%","69,018","41.1%","","725,206","80.8%","18.6%","10.9%","7.7%","2.5%","5.2%","0.6%","","736,732","92.6%","90.1%","41.3%","48.8%","2.4%","7.4%","","54,672","56.0%","44.0%","","72,685","18,013","6.6%","93.4%","54,672","10.7%","89.3%","","54,672","17.1%","53.7%","4.0%","2.2%","17.6%","5.4%","","683,324","83.4%","16.6%","5.1%","3.3%","1.0%","2.6%","0.7%","5.6%","2.7%","5.1%","0.7%","","736,732","4.4%","0.2%","0.4%","0.7%","1.8%","8.2%","2.8%","0.8%","15.1%","0.3%","0.3%","10.6%","2.8%","0.1%","3.6%","1.9%","0.4%","1.3%","1.1%","2.3%","0.1%","0.6%","2.4%","0.5%","0.3%","0.8%","0.2%","","249,659","91.5%","81.4%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,428,743","1,579,481","658,513","1,141,295","429,582","134,120","64,558","304,066","164,373","849,262","669,627","258,575","749,207","736,127","2.71","3.34","","6,580,081","2,428,743","1,141,244","1,983,558","566,439","460,097","174,545","","2,655,529","986,840","1,270,557","42,674","69,826","285,632","2,726,396","810,874","1,250,666","56,831","232,785","375,240","","82,774","33,956","38","53","12","96","23","","161,514","58,764","","13,571","11,347","8,525","25,321","58,764","35,008","42,297","","1,757,664","85,253","89,927","726,508","374,467","481,509","","4,436,226","286,007","332,779","1,079,812","1,138,687","376,649","765,784","456,508","(X)","(X)","","5,092,640","483,026","","6,623,074","846,657","1,620,576","65,282","3,944,492","411,109","1,058,006","370,266","","6,651,964","5,431,241","1,171,859","802,723","369,136","119,406","249,730","48,864","","6,731,484","5,811,925","5,714,104","2,622,700","3,091,404","97,821","919,559","","919,559","358,978","560,581","","1,017,380","97,821","10,939","86,882","919,559","107,226","812,333","","919,559","81,915","179,635","23,770","5,927","584,227","44,085","","6,298,821","4,601,108","1,697,713","587,062","1,298,667","463,607","125,708","30,598","124,274","54,455","149,064","38,402","","6,731,484","290,369","39,392","23,990","42,058","90,532","546,951","166,299","34,431","922,464","21,962","27,203","604,031","279,311","10,136","115,684","161,544","14,833","48,163","52,092","113,773","8,149","42,146","96,930","15,888","17,370","41,681","10,393","","2,428,743","2,077,189","1,834,525"
"    Percent","","2,428,743","65.0%","27.1%","47.0%","17.7%","5.5%","2.7%","12.5%","6.8%","35.0%","27.6%","10.6%","30.8%","30.3%","(X)","(X)","","6,580,081","36.9%","17.3%","30.1%","8.6%","7.0%","2.7%","","2,655,529","37.2%","47.8%","1.6%","2.6%","10.8%","2,726,396","29.7%","45.9%","2.1%","8.5%","13.8%","","82,774","41.0%","(X)","(X)","(X)","(X)","(X)","","161,514","36.4%","","8.4%","7.0%","5.3%","15.7%","58,764","59.6%","72.0%","","1,757,664","4.9%","5.1%","41.3%","21.3%","27.4%","","4,436,226","6.4%","7.5%","24.3%","25.7%","8.5%","17.3%","10.3%","86.1%","27.6%","","5,092,640","9.5%","","6,623,074","12.8%","1,620,576","4.0%","3,944,492","10.4%","1,058,006","35.0%","","6,651,964","81.6%","17.6%","12.1%","5.5%","1.8%","3.8%","0.7%","","6,731,484","86.3%","84.9%","39.0%","45.9%","1.5%","13.7%","","919,559","39.0%","61.0%","","1,017,380","97,821","11.2%","88.8%","919,559","11.7%","88.3%","","919,559","8.9%","19.5%","2.6%","0.6%","63.5%","4.8%","","6,298,821","73.0%","27.0%","9.3%","20.6%","7.4%","2.0%","0.5%","2.0%","0.9%","2.4%","0.6%","","6,731,484","4.3%","0.6%","0.4%","0.6%","1.3%","8.1%","2.5%","0.5%","13.7%","0.3%","0.4%","9.0%","4.1%","0.2%","1.7%","2.4%","0.2%","0.7%","0.8%","1.7%","0.1%","0.6%","1.4%","0.2%","0.3%","0.6%","0.2%","","2,428,743","85.5%","75.5%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
