"Label (Grouping)","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Total housing units!!Occupied housing units","HOUSING OCCUPANCY!!Total housing units!!Vacant housing units","HOUSING OCCUPANCY!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!Total housing units!!1-unit, detached","UNITS IN STRUCTURE!!Total housing units!!1-unit, attached","UNITS IN STRUCTURE!!Total housing units!!2 units","UNITS IN STRUCTURE!!Total housing units!!3 or 4 units","UNITS IN STRUCTURE!!Total housing units!!5 to 9 units","UNITS IN STRUCTURE!!Total housing units!!10 to 19 units","UNITS IN STRUCTURE!!Total housing units!!20 or more units","UNITS IN STRUCTURE!!Total housing units!!Mobile home","UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 or later","YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009","YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!Total housing units!!1 room","ROOMS!!Total housing units!!2 rooms","ROOMS!!Total housing units!!3 rooms","ROOMS!!Total housing units!!4 rooms","ROOMS!!Total housing units!!5 rooms","ROOMS!!Total housing units!!6 rooms","ROOMS!!Total housing units!!7 rooms","ROOMS!!Total housing units!!8 rooms","ROOMS!!Total housing units!!9 rooms or more","ROOMS!!Total housing units!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!Total housing units!!No bedroom","BEDROOMS!!Total housing units!!1 bedroom","BEDROOMS!!Total housing units!!2 bedrooms","BEDROOMS!!Total housing units!!3 bedrooms","BEDROOMS!!Total housing units!!4 bedrooms","BEDROOMS!!Total housing units!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Occupied housing units!!Owner-occupied","HOUSING TENURE!!Occupied housing units!!Renter-occupied","HOUSING TENURE!!Average household size of owner-occupied unit","HOUSING TENURE!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1970 to 1979","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1969 or earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available","VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Occupied housing units!!Utility gas","HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Occupied housing units!!Electricity","HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke","HOUSE HEATING FUEL!!Occupied housing units!!Wood","HOUSE HEATING FUEL!!Occupied housing units!!Solar energy","HOUSE HEATING FUEL!!Occupied housing units!!Other fuel","HOUSE HEATING FUEL!!Occupied housing units!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less","OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50","OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Owner-occupied units!!Less than $50,000","VALUE!!Owner-occupied units!!$50,000 to $99,999","VALUE!!Owner-occupied units!!$100,000 to $149,999","VALUE!!Owner-occupied units!!$150,000 to $199,999","VALUE!!Owner-occupied units!!$200,000 to $299,999","VALUE!!Owner-occupied units!!$300,000 to $499,999","VALUE!!Owner-occupied units!!$500,000 to $999,999","VALUE!!Owner-occupied units!!$1,000,000 or more","VALUE!!Owner-occupied units!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage","MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Less than $300","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$300 to $499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$500 to $699","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$700 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Less than $100","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$100 to $199","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$200 to $299","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$300 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$400 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Occupied units paying rent!!Less than $200","GROSS RENT!!Occupied units paying rent!!$200 to $299","GROSS RENT!!Occupied units paying rent!!$300 to $499","GROSS RENT!!Occupied units paying rent!!$500 to $749","GROSS RENT!!Occupied units paying rent!!$750 to $999","GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499","GROSS RENT!!Occupied units paying rent!!$1,500 or more","GROSS RENT!!Occupied units paying rent!!Median (dollars)","GROSS RENT!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Not computed"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,208,030","1,841,217","366,813","2.5","10.4","","2,208,030","1,507,498","34,490","46,215","64,204","95,835","72,216","89,112","296,786","1,674","","2,208,030","59,554","364,224","405,161","334,780","376,494","249,224","198,851","97,962","121,780","","2,208,030","20,590","26,113","124,227","336,061","521,519","464,170","293,683","194,941","226,726","5.7","","2,208,030","22,240","134,624","537,864","1,091,915","342,062","79,325","","1,841,217","1,246,080","595,137","2.59","2.52","","1,841,217","660,178","577,422","279,829","140,155","105,723","77,910","","1,841,217","120,550","612,654","675,804","432,209","","1,841,217","523,139","113,869","1,173,097","3,610","718","17,600","195","1,530","7,459","","1,841,217","6,234","12,623","48,723","","1,841,217","1,809,156","24,737","7,324","","1,246,080","207,066","286,138","236,699","188,178","191,205","98,346","31,562","6,886","125,600","","1,246,080","714,687","531,393","","714,687","2,294","23,172","75,818","188,525","244,266","107,323","73,289","1,119","531,393","7,079","61,153","134,575","135,005","193,581","344","","709,538","332,904","105,754","70,829","46,585","153,466","5,149","522,546","242,864","101,183","53,624","35,108","21,631","14,455","53,681","8,847","","530,308","9,739","27,559","70,815","180,399","134,471","87,515","19,810","717","64,829","","514,822","68,760","59,811","61,886","58,341","44,448","221,576","80,315"
"    Percent","","2,208,030","83.4%","16.6%","(X)","(X)","","2,208,030","68.3%","1.6%","2.1%","2.9%","4.3%","3.3%","4.0%","13.4%","0.1%","","2,208,030","2.7%","16.5%","18.3%","15.2%","17.1%","11.3%","9.0%","4.4%","5.5%","","2,208,030","0.9%","1.2%","5.6%","15.2%","23.6%","21.0%","13.3%","8.8%","10.3%","(X)","","2,208,030","1.0%","6.1%","24.4%","49.5%","15.5%","3.6%","","1,841,217","67.7%","32.3%","(X)","(X)","","1,841,217","35.9%","31.4%","15.2%","7.6%","5.7%","4.2%","","1,841,217","6.5%","33.3%","36.7%","23.5%","","1,841,217","28.4%","6.2%","63.7%","0.2%","0.0%","1.0%","0.0%","0.1%","0.4%","","1,841,217","0.3%","0.7%","2.6%","","1,841,217","98.3%","1.3%","0.4%","","1,246,080","16.6%","23.0%","19.0%","15.1%","15.3%","7.9%","2.5%","0.6%","(X)","","1,246,080","57.4%","42.6%","","714,687","0.3%","3.2%","10.6%","26.4%","34.2%","15.0%","10.3%","(X)","531,393","1.3%","11.5%","25.3%","25.4%","36.4%","(X)","","709,538","46.9%","14.9%","10.0%","6.6%","21.6%","(X)","522,546","46.5%","19.4%","10.3%","6.7%","4.1%","2.8%","10.3%","(X)","","530,308","1.8%","5.2%","13.4%","34.0%","25.4%","16.5%","3.7%","(X)","(X)","","514,822","13.4%","11.6%","12.0%","11.3%","8.6%","43.0%","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","308,571","249,659","58,912","1.9","5.9","","308,571","191,314","23,535","15,962","25,175","13,523","8,512","16,223","13,923","404","","308,571","8,328","52,905","43,208","76,977","74,388","25,966","15,073","6,441","5,285","","308,571","19,330","24,464","40,853","55,190","57,875","40,522","26,551","18,807","24,979","4.7","","308,571","20,373","45,152","80,387","103,631","46,321","12,707","","249,659","156,006","93,653","2.98","2.61","","249,659","110,767","77,333","31,445","19,145","8,277","2,692","","249,659","21,603","78,447","95,734","53,875","","249,659","119,714","2,843","30,963","73,871","1,025","17,276","0","2,043","1,924","","249,659","9,544","7,715","4,734","","249,659","233,473","10,022","6,164","","156,006","12,377","7,511","10,305","23,097","47,910","43,764","10,174","868","254,500","","156,006","103,179","52,827","","103,179","198","1,022","2,423","6,760","22,080","32,505","38,191","1,797","52,827","1,775","2,860","5,663","6,565","35,964","545","","102,965","44,422","18,214","12,565","7,715","20,049","214","52,575","25,820","9,878","5,828","2,651","1,660","1,212","5,526","252","","86,129","583","656","4,321","7,385","16,115","32,430","24,639","1,183","7,524","","85,522","12,587","10,285","10,193","8,593","9,434","34,430","8,131"
"    Percent","","308,571","80.9%","19.1%","(X)","(X)","","308,571","62.0%","7.6%","5.2%","8.2%","4.4%","2.8%","5.3%","4.5%","0.1%","","308,571","2.7%","17.1%","14.0%","24.9%","24.1%","8.4%","4.9%","2.1%","1.7%","","308,571","6.3%","7.9%","13.2%","17.9%","18.8%","13.1%","8.6%","6.1%","8.1%","(X)","","308,571","6.6%","14.6%","26.1%","33.6%","15.0%","4.1%","","249,659","62.5%","37.5%","(X)","(X)","","249,659","44.4%","31.0%","12.6%","7.7%","3.3%","1.1%","","249,659","8.7%","31.4%","38.3%","21.6%","","249,659","48.0%","1.1%","12.4%","29.6%","0.4%","6.9%","0.0%","0.8%","0.8%","","249,659","3.8%","3.1%","1.9%","","249,659","93.5%","4.0%","2.5%","","156,006","7.9%","4.8%","6.6%","14.8%","30.7%","28.1%","6.5%","0.6%","(X)","","156,006","66.1%","33.9%","","103,179","0.2%","1.0%","2.3%","6.6%","21.4%","31.5%","37.0%","(X)","52,827","3.4%","5.4%","10.7%","12.4%","68.1%","(X)","","102,965","43.1%","17.7%","12.2%","7.5%","19.5%","(X)","52,575","49.1%","18.8%","11.1%","5.0%","3.2%","2.3%","10.5%","(X)","","86,129","0.7%","0.8%","5.0%","8.6%","18.7%","37.7%","28.6%","(X)","(X)","","85,522","14.7%","12.0%","11.9%","10.0%","11.0%","40.3%","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,909,336","2,428,743","480,593","2.9","8.1","","2,909,336","1,850,308","136,953","38,845","96,955","122,690","159,792","189,823","303,872","10,098","","2,909,336","58,183","745,398","597,589","523,869","504,121","218,112","164,486","45,753","51,825","","2,909,336","65,635","104,343","305,139","519,123","654,033","525,284","340,745","199,327","195,707","5.2","","2,909,336","70,262","335,257","797,601","1,067,035","516,281","122,900","","2,428,743","1,484,857","943,886","2.68","2.75","","2,428,743","1,166,220","759,698","301,555","114,372","58,062","28,836","","2,428,743","166,357","908,611","924,118","429,657","","2,428,743","812,510","65,065","1,446,705","1,214","510","50,054","7,215","4,826","40,644","","2,428,743","14,400","17,993","61,722","","2,428,743","2,320,483","76,861","31,399","","1,484,857","159,089","188,843","234,253","252,877","301,010","233,628","93,547","21,610","176,700","","1,484,857","956,507","528,350","","956,507","3,795","21,545","61,077","197,320","334,737","174,566","163,467","1,273","528,350","16,787","56,559","108,911","117,992","228,101","368","","949,256","422,668","148,782","99,767","64,244","213,795","7,251","516,607","253,825","94,079","56,186","32,157","18,678","15,020","46,662","11,743","","895,086","8,082","13,431","56,345","200,221","242,680","279,504","94,823","916","48,800","","867,740","107,637","119,155","111,547","98,964","76,161","354,276","76,146"
"    Percent","","2,909,336","83.5%","16.5%","(X)","(X)","","2,909,336","63.6%","4.7%","1.3%","3.3%","4.2%","5.5%","6.5%","10.4%","0.3%","","2,909,336","2.0%","25.6%","20.5%","18.0%","17.3%","7.5%","5.7%","1.6%","1.8%","","2,909,336","2.3%","3.6%","10.5%","17.8%","22.5%","18.1%","11.7%","6.9%","6.7%","(X)","","2,909,336","2.4%","11.5%","27.4%","36.7%","17.7%","4.2%","","2,428,743","61.1%","38.9%","(X)","(X)","","2,428,743","48.0%","31.3%","12.4%","4.7%","2.4%","1.2%","","2,428,743","6.8%","37.4%","38.0%","17.7%","","2,428,743","33.5%","2.7%","59.6%","0.0%","0.0%","2.1%","0.3%","0.2%","1.7%","","2,428,743","0.6%","0.7%","2.5%","","2,428,743","95.5%","3.2%","1.3%","","1,484,857","10.7%","12.7%","15.8%","17.0%","20.3%","15.7%","6.3%","1.5%","(X)","","1,484,857","64.4%","35.6%","","956,507","0.4%","2.3%","6.4%","20.6%","35.0%","18.3%","17.1%","(X)","528,350","3.2%","10.7%","20.6%","22.3%","43.2%","(X)","","949,256","44.5%","15.7%","10.5%","6.8%","22.5%","(X)","516,607","49.1%","18.2%","10.9%","6.2%","3.6%","2.9%","9.0%","(X)","","895,086","0.9%","1.5%","6.3%","22.4%","27.1%","31.2%","10.6%","(X)","(X)","","867,740","12.4%","13.7%","12.9%","11.4%","8.8%","40.8%","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,341,081","1,131,288","209,793","2.9","9.6","","1,341,081","938,125","19,488","41,685","41,609","48,399","46,493","35,434","167,783","2,065","","1,341,081","39,856","235,584","240,567","222,149","258,177","136,096","93,530","52,322","62,800","","1,341,081","19,830","20,647","84,264","234,289","349,976","277,464","164,595","95,524","94,492","5.4","","1,341,081","20,912","94,292","372,970","666,752","155,268","30,887","","1,131,288","744,318","386,970","2.58","2.49","","1,131,288","440,788","369,623","164,688","74,291","49,198","32,700","","1,131,288","72,562","382,035","450,167","226,524","","1,131,288","454,488","81,113","540,491","1,217","28","46,313","400","4,524","2,714","","1,131,288","5,088","8,846","30,415","","1,131,288","1,104,222","20,033","7,033","","744,318","139,117","194,760","146,288","114,169","89,236","43,783","13,209","3,756","112,500","","744,318","413,767","330,551","","413,767","1,368","19,002","56,324","132,352","127,185","43,999","33,537","995","330,551","6,824","43,440","87,051","84,447","108,789","331","","411,662","211,612","57,565","41,438","23,757","77,290","2,105","326,523","154,187","61,429","37,216","20,724","14,380","9,411","29,176","4,028","","347,792","6,642","16,646","53,031","134,792","89,787","38,683","8,211","683","39,178","","340,529","51,859","46,291","41,196","39,446","31,769","129,968","46,441"
"    Percent","","1,341,081","84.4%","15.6%","(X)","(X)","","1,341,081","70.0%","1.5%","3.1%","3.1%","3.6%","3.5%","2.6%","12.5%","0.2%","","1,341,081","3.0%","17.6%","17.9%","16.6%","19.3%","10.1%","7.0%","3.9%","4.7%","","1,341,081","1.5%","1.5%","6.3%","17.5%","26.1%","20.7%","12.3%","7.1%","7.0%","(X)","","1,341,081","1.6%","7.0%","27.8%","49.7%","11.6%","2.3%","","1,131,288","65.8%","34.2%","(X)","(X)","","1,131,288","39.0%","32.7%","14.6%","6.6%","4.3%","2.9%","","1,131,288","6.4%","33.8%","39.8%","20.0%","","1,131,288","40.2%","7.2%","47.8%","0.1%","0.0%","4.1%","0.0%","0.4%","0.2%","","1,131,288","0.4%","0.8%","2.7%","","1,131,288","97.6%","1.8%","0.6%","","744,318","18.7%","26.2%","19.7%","15.3%","12.0%","5.9%","1.8%","0.5%","(X)","","744,318","55.6%","44.4%","","413,767","0.3%","4.6%","13.6%","32.0%","30.7%","10.6%","8.1%","(X)","330,551","2.1%","13.1%","26.3%","25.5%","32.9%","(X)","","411,662","51.4%","14.0%","10.1%","5.8%","18.8%","(X)","326,523","47.2%","18.8%","11.4%","6.3%","4.4%","2.9%","8.9%","(X)","","347,792","1.9%","4.8%","15.2%","38.8%","25.8%","11.1%","2.4%","(X)","(X)","","340,529","15.2%","13.6%","12.1%","11.6%","9.3%","38.2%","(X)"
