"GEO_ID","NAME","B25101_001E","B25101_001M","B25101_001MA","B25101_001EA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003EA","B25101_003M","B25101_003MA","B25101_004E","B25101_004EA","B25101_004M","B25101_004MA","B25101_005E","B25101_005EA","B25101_005M","B25101_005MA","B25101_006E","B25101_006M","B25101_006MA","B25101_006EA","B25101_007E","B25101_007M","B25101_007MA","B25101_007EA","B25101_008E","B25101_008M","B25101_008MA","B25101_008EA","B25101_009E","B25101_009EA","B25101_009M","B25101_009MA","B25101_010E","B25101_010EA","B25101_010M","B25101_010MA","B25101_011E","B25101_011EA","B25101_011M","B25101_011MA","B25101_012E","B25101_012M","B25101_012MA","B25101_012EA","B25101_013E","B25101_013M","B25101_013MA","B25101_013EA","B25101_014E","B25101_014EA","B25101_014M","B25101_014MA","B25101_015E","B25101_015EA","B25101_015M","B25101_015MA","B25101_016E","B25101_016EA","B25101_016M","B25101_016MA","B25101_017E","B25101_017M","B25101_017MA","B25101_017EA","B25101_018E","B25101_018M","B25101_018MA","B25101_018EA","B25101_019E","B25101_019M","B25101_019MA","B25101_019EA","B25101_020E","B25101_020EA","B25101_020M","B25101_020MA","B25101_021E","B25101_021EA","B25101_021M","B25101_021MA","B25101_022E","B25101_022EA","B25101_022M","B25101_022MA","B25101_023E","B25101_023M","B25101_023MA","B25101_023EA","B25101_024E","B25101_024M","B25101_024MA","B25101_024EA","B25101_025E","B25101_025EA","B25101_025M","B25101_025MA","B25101_026E","B25101_026EA","B25101_026M","B25101_026MA","B25101_027E","B25101_027EA","B25101_027M","B25101_027MA","B25101_028E","B25101_028M","B25101_028MA","B25101_028EA","B25101_029E","B25101_029M","B25101_029MA","B25101_029EA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031EA","B25101_031M","B25101_031MA","B25101_032E","B25101_032EA","B25101_032M","B25101_032MA","B25101_033E","B25101_033EA","B25101_033M","B25101_033MA","B25101_034E","B25101_034M","B25101_034MA","B25101_034EA","B25101_035E","B25101_035M","B25101_035MA","B25101_035EA","B25101_036E","B25101_036EA","B25101_036M","B25101_036MA","B25101_037E","B25101_037EA","B25101_037M","B25101_037MA","B25101_038E","B25101_038EA","B25101_038M","B25101_038MA","B25101_039E","B25101_039M","B25101_039MA","B25101_039EA","B25101_040E","B25101_040M","B25101_040MA","B25101_040EA","B25101_041E","B25101_041M","B25101_041MA","B25101_041EA","B25101_042E","B25101_042EA","B25101_042M","B25101_042MA","B25101_043E","B25101_043EA","B25101_043M","B25101_043MA","B25101_044E","B25101_044EA","B25101_044M","B25101_044MA","B25101_045E","B25101_045M","B25101_045MA","B25101_045EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With a mortgage","Margin of Error!!Total!!With a mortgage","Annotation of Margin of Error!!Total!!With a mortgage","Annotation of Estimate!!Total!!With a mortgage","Estimate!!Total!!With a mortgage!!Less than $20,000","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000","Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000","Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$75,000 or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more","Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Estimate!!Total!!With a mortgage!!Zero or negative income","Margin of Error!!Total!!With a mortgage!!Zero or negative income","Annotation of Margin of Error!!Total!!With a mortgage!!Zero or negative income","Annotation of Estimate!!Total!!With a mortgage!!Zero or negative income","Estimate!!Total!!Not mortgaged","Margin of Error!!Total!!Not mortgaged","Annotation of Margin of Error!!Total!!Not mortgaged","Annotation of Estimate!!Total!!Not mortgaged","Estimate!!Total!!Not mortgaged!!Less than $20,000","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000","Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$75,000 or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more","Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Estimate!!Total!!Not mortgaged!!Zero or negative income","Margin of Error!!Total!!Not mortgaged!!Zero or negative income","Annotation of Margin of Error!!Total!!Not mortgaged!!Zero or negative income","Annotation of Estimate!!Total!!Not mortgaged!!Zero or negative income",
"0100000US","United States","73991995","217875","null","null","47174889","136858","null","null","2610619","null","25453","null","8922","null","1231","null","40330","null","2615","null","2561367","25317","null","null","4166182","28785","null","null","128718","4809","null","null","573597","null","10390","null","3463867","null","27609","null","5180397","null","38109","null","602626","10692","null","null","1640115","20103","null","null","2937656","null","27858","null","9186820","null","44949","null","2641967","null","24490","null","3573041","27736","null","null","2971812","27865","null","null","25787469","84132","null","null","16375230","null","69869","null","6879896","null","35960","null","2532343","null","23240","null","243402","7924","null","null","26817106","104591","null","null","4591445","null","29491","null","887622","null","13946","null","962828","null","12390","null","2740995","25823","null","null","4977278","33222","null","null","2860188","null","25458","null","1271563","null","12564","null","845527","null","10415","null","4042183","null","31892","null","3318691","27503","null","null","537419","10433","null","null","186073","null","6297","null","4768675","null","29803","null","4431421","null","28735","null","264318","7454","null","null","72936","3603","null","null","8072646","47918","null","null","7939504","null","46952","null","111201","null","4443","null","21941","null","2010","null","364879","11511","null","null",
"0400000US01","Alabama","1246080","12085","null","null","714687","9945","null","null","59414","null","3407","null","201","null","163","null","1443","null","593","null","57770","3330","null","null","87038","4180","null","null","4121","922","null","null","17054","null","2065","null","65863","null","3915","null","99781","null","4825","null","17405","2244","null","null","42067","3107","null","null","40309","null","3135","null","149692","null","6442","null","62092","null","3474","null","61922","3899","null","null","25678","2715","null","null","313613","8367","null","null","249085","null","7708","null","54097","null","3683","null","10431","null","1484","null","5149","1157","null","null","531393","8917","null","null","123755","null","5075","null","30818","null","2597","null","31692","null","2065","null","61245","3487","null","null","109444","4583","null","null","83380","null","4207","null","19886","null","2126","null","6178","null","1045","null","82995","null","3986","null","78664","3819","null","null","3836","808","null","null","495","null","378","null","89771","null","4443","null","88401","null","4342","null","1152","617","null","null","218","210","null","null","116581","4279","null","null","116408","null","4271","null","173","null","175","null","0","null","189","null","8847","1259","null","null",
"0400000US02","Alaska","156006","4250","null","null","103179","3869","null","null","2775","null","614","null","9","null","16","null","36","null","34","null","2730","605","null","null","4336","792","null","null","155","69","null","null","324","null","176","null","3857","null","749","null","7555","null","1234","null","573","241","null","null","1107","383","null","null","5875","null","1137","null","18628","null","2084","null","3011","null","809","null","7270","1211","null","null","8347","1329","null","null","69671","3137","null","null","40674","null","2438","null","22042","null","2149","null","6955","null","1149","null","214","219","null","null","52827","2371","null","null","7306","null","1042","null","1554","null","598","null","850","null","268","null","4902","810","null","null","7728","1143","null","null","4093","null","725","null","1923","null","535","null","1712","null","606","null","5802","null","754","null","4681","706","null","null","1032","329","null","null","89","null","84","null","9666","null","1115","null","9136","null","1108","null","495","230","null","null","35","47","null","null","22073","1918","null","null","22062","null","1914","null","11","null","20","null","0","null","145","null","252","128","null","null",
"0400000US04","Arizona","1484857","11801","null","null","956507","11704","null","null","62907","null","4000","null","171","null","140","null","1055","null","404","null","61681","4055","null","null","102650","4762","null","null","3593","757","null","null","14592","null","1803","null","84465","null","4435","null","121628","null","4525","null","15171","1621","null","null","41687","3121","null","null","64770","null","3735","null","198370","null","5703","null","65719","null","3793","null","88650","4180","null","null","44001","2371","null","null","463701","8954","null","null","338014","null","7890","null","102565","null","4225","null","23122","null","2253","null","7251","1394","null","null","528350","8875","null","null","100790","null","4737","null","28747","null","2341","null","21266","null","1820","null","50777","3581","null","null","104865","4285","null","null","73085","null","3720","null","22578","null","1998","null","9202","null","1141","null","83611","null","4141","null","76865","4008","null","null","5509","1038","null","null","1237","null","400","null","90950","null","3812","null","89319","null","3896","null","1258","535","null","null","373","245","null","null","136391","5457","null","null","136074","null","5406","null","224","null","281","null","93","null","111","null","11743","1456","null","null",
"0400000US05","Arkansas","744318","10448","null","null","413767","9667","null","null","32724","null","2660","null","71","null","77","null","558","null","257","null","32095","2660","null","null","53755","3742","null","null","1812","579","null","null","14862","null","1951","null","37081","null","2877","null","64976","null","3898","null","17827","2029","null","null","28939","3014","null","null","18210","null","2034","null","89263","null","4847","null","49339","null","3229","null","30679","3036","null","null","9245","1452","null","null","170944","6813","null","null","142563","null","6257","null","23965","null","2098","null","4416","null","972","null","2105","674","null","null","330551","7086","null","null","78957","null","3713","null","23166","null","2157","null","21119","null","1973","null","34672","2492","null","null","70345","3830","null","null","55436","null","3413","null","11355","null","1348","null","3554","null","876","null","54279","null","3674","null","51904","3699","null","null","2124","660","null","null","251","null","206","null","56307","null","3171","null","55761","null","3204","null","436","245","null","null","110","133","null","null","66635","2833","null","null","66565","null","2829","null","70","null","84","null","0","null","190","null","4028","969","null","null",
"0400000US06","California","6855688","27608","null","null","4929106","26058","null","null","234960","null","6921","null","1119","null","624","null","1812","null","607","null","232029","6783","null","null","357031","8523","null","null","6134","1140","null","null","19796","null","1979","null","331101","null","8244","null","417401","null","10749","null","22469","1708","null","null","59246","3825","null","null","335686","null","10277","null","788356","null","13307","null","95141","null","4147","null","221473","6940","null","null","471742","10730","null","null","3103349","24405","null","null","1425167","null","14517","null","1060725","null","17368","null","617457","null","12736","null","28009","2767","null","null","1926582","16196","null","null","293794","null","7076","null","53973","null","3424","null","49592","null","3242","null","190229","5922","null","null","311237","7487","null","null","165891","null","5497","null","75912","null","3788","null","69434","null","3612","null","263505","null","6459","null","201406","5853","null","null","44311","3218","null","null","17788","null","1954","null","325060","null","7941","null","295283","null","7597","null","22915","2210","null","null","6862","1179","null","null","709278","10290","null","null","695513","null","10337","null","10367","null","1361","null","3398","null","867","null","23708","2179","null","null",
"0400000US08","Colorado","1302533","10820","null","null","948014","10751","null","null","44188","null","2870","null","159","null","161","null","291","null","178","null","43738","2850","null","null","74131","4447","null","null","1810","636","null","null","8219","null","1360","null","64102","null","4253","null","91998","null","4890","null","8842","1299","null","null","23411","2477","null","null","59745","null","3618","null","182593","null","5749","null","35176","null","2947","null","80796","4433","null","null","66621","3387","null","null","550932","8335","null","null","361880","null","7907","null","149530","null","4884","null","39522","null","2893","null","4172","992","null","null","354519","6438","null","null","49806","null","2761","null","8998","null","1396","null","11059","null","1710","null","29749","2251","null","null","56983","2955","null","null","37239","null","2509","null","11719","null","1540","null","8025","null","1183","null","52569","null","3156","null","47498","2946","null","null","3994","915","null","null","1077","null","461","null","63949","null","3212","null","62017","null","3168","null","1424","445","null","null","508","292","null","null","127593","4018","null","null","127088","null","4017","null","347","null","268","null","158","null","145","null","3619","917","null","null",
"0400000US09","Connecticut","900039","8072","null","null","628902","8526","null","null","20514","null","2349","null","75","null","122","null","0","null","197","null","20439","2353","null","null","33691","3071","null","null","545","278","null","null","1077","null","408","null","32069","null","3099","null","48764","null","3324","null","1775","642","null","null","5306","995","null","null","41683","null","2983","null","95631","null","4607","null","7662","null","1301","null","28783","2473","null","null","59186","3609","null","null","428134","8591","null","null","223427","null","6947","null","144505","null","4167","null","60202","null","3364","null","2168","854","null","null","271137","5712","null","null","29921","null","2418","null","712","null","307","null","1883","null","532","null","27326","2425","null","null","40493","2374","null","null","3957","null","828","null","11324","null","1434","null","25212","null","1906","null","36327","null","2656","null","12883","1667","null","null","15032","1829","null","null","8412","null","1079","null","45521","null","2527","null","33782","null","2252","null","9904","1084","null","null","1835","570","null","null","115563","4040","null","null","110942","null","3881","null","3984","null","835","null","637","null","308","null","3312","857","null","null",
"0400000US10","Delaware","245808","4425","null","null","170546","3729","null","null","9981","null","1424","null","0","null","185","null","34","null","45","null","9947","1424","null","null","13917","1540","null","null","312","203","null","null","1213","null","407","null","12392","null","1453","null","20490","null","1995","null","1507","481","null","null","4818","1086","null","null","14165","null","1724","null","31968","null","2523","null","7822","null","1330","null","13209","1830","null","null","10937","1859","null","null","93020","3928","null","null","63716","null","3485","null","23751","null","2374","null","5553","null","1156","null","1170","536","null","null","75262","3429","null","null","10793","null","1472","null","1406","null","490","null","2876","null","788","null","6511","1118","null","null","15908","1532","null","null","9351","null","1189","null","3946","null","1022","null","2611","null","636","null","11213","null","1392","null","9030","1282","null","null","1687","646","null","null","496","null","436","null","13540","null","1474","null","12949","null","1440","null","564","363","null","null","27","46","null","null","22517","1894","null","null","22339","null","1867","null","163","null","193","null","15","null","25","null","1291","540","null","null",
