"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0400000US01","Alabama","9142","null","205","null","24679","390","null","null","43032","484","null","null","69786","null","787","null","150680","2600","null","null","255956","null","9137","null",
"0400000US02","Alaska","17950","null","867","null","44826","1692","null","null","71820","1872","null","null","107757","null","2425","null","203119","8406","null","null","326258","null","25601","null",
"0400000US04","Arizona","11108","null","266","null","30066","330","null","null","49927","487","null","null","78324","null","674","null","171088","2404","null","null","297981","null","6746","null",
"0400000US05","Arkansas","9962","null","250","null","24932","464","null","null","41581","730","null","null","65540","null","1120","null","146449","4604","null","null","261821","null","16094","null",
"0400000US06","California","13190","null","117","null","35772","197","null","null","62428","300","null","null","100828","null","404","null","230758","1285","null","null","411902","null","4214","null",
"0400000US08","Colorado","14379","null","289","null","37312","463","null","null","61474","585","null","null","94702","null","877","null","203607","3433","null","null","356366","null","11684","null",
"0400000US09","Connecticut","14450","null","448","null","40217","697","null","null","70039","887","null","null","111294","null","1316","null","268738","5365","null","null","511719","null","16024","null",
"0400000US10","Delaware","13777","null","764","null","36584","1024","null","null","59745","1554","null","null","92541","null","2176","null","191215","7492","null","null","317962","null","20564","null",
"0400000US11","District of Columbia","9290","null","950","null","35864","1870","null","null","71688","2615","null","null","119950","null","3474","null","280834","9536","null","null","487148","null","25989","null",
"0400000US12","Florida","11022","null","154","null","28649","237","null","null","47561","315","null","null","74942","null","417","null","175375","1609","null","null","323954","null","5154","null",
"0400000US13","Georgia","10545","null","205","null","29041","349","null","null","49285","444","null","null","78633","null","596","null","176598","2320","null","null","311462","null","8062","null",
"0400000US15","Hawaii","15349","null","790","null","43045","1259","null","null","69415","1298","null","null","103161","null","1524","null","203363","6596","null","null","337084","null","22248","null",
"0400000US16","Idaho","11899","null","608","null","29669","809","null","null","47954","1132","null","null","73006","null","1555","null","158046","6616","null","null","282551","null","21626","null",
"0400000US17","Illinois","12246","null","134","null","33817","265","null","null","57774","371","null","null","91112","null","519","null","201945","2296","null","null","359000","null","7739","null",
"0400000US18","Indiana","11862","null","229","null","30334","325","null","null","49361","388","null","null","74977","null","575","null","155575","2121","null","null","267316","null","6995","null",
"0400000US19","Iowa","13031","null","310","null","32861","480","null","null","53789","649","null","null","81183","null","771","null","167227","3454","null","null","290903","null","12150","null",
"0400000US20","Kansas","12675","null","319","null","32142","459","null","null","52924","702","null","null","81028","null","836","null","176456","3659","null","null","315661","null","12834","null",
"0400000US21","Kentucky","9346","null","222","null","24980","372","null","null","43418","545","null","null","69318","null","693","null","148222","2336","null","null","252819","null","7251","null",
"0400000US22","Louisiana","9033","null","257","null","25168","466","null","null","44662","595","null","null","74448","null","914","null","165332","3158","null","null","286464","null","10004","null",
"0400000US23","Maine","11434","null","409","null","29304","769","null","null","49250","984","null","null","76855","null","1344","null","162366","6438","null","null","284930","null","21249","null",
"0400000US24","Maryland","16748","null","366","null","44978","568","null","null","74401","717","null","null","114241","null","919","null","234714","2940","null","null","396992","null","9463","null",
"0400000US25","Massachusetts","13189","null","245","null","38574","517","null","null","69277","692","null","null","110953","null","863","null","245028","3094","null","null","436567","null","9861","null",
