"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,849,377","2,347,969","2,501,408","291,160","304,454","321,797","329,625","345,575","615,948","613,234","651,204","332,246","297,622","434,244","228,719","83,549","38.6","3,740,777","3,531,388","915,900","746,512","3,740,777","1,781,840","1,958,937","746,512","322,116","424,396","","4,849,377","4,764,413","84,964","4,764,413","3,320,273","1,291,826","22,553","9,438","238","258","0","58,456","10,833","13,510","4,176","1,343","12,715","8,301","7,578","1,446","N","N","N","N","69,859","84,964","29,225","25,186","10,710","4,856","","4,849,377","3,393,131","1,333,571","56,612","74,904","5,223","76,324","","4,849,377","192,413","115,753","19,319","8,834","48,507","4,656,964","3,205,535","1,285,731","21,424","57,764","1,316","6,590","78,604","3,076","75,528","2,208,030"
"    Percent","","4,849,377","48.4%","51.6%","6.0%","6.3%","6.6%","6.8%","7.1%","12.7%","12.6%","13.4%","6.9%","6.1%","9.0%","4.7%","1.7%","(X)","77.1%","72.8%","18.9%","15.4%","3,740,777","47.6%","52.4%","746,512","43.1%","56.9%","","4,849,377","98.2%","1.8%","98.2%","68.5%","26.6%","0.5%","0.2%","0.0%","0.0%","0.0%","1.2%","0.2%","0.3%","0.1%","0.0%","0.3%","0.2%","0.2%","0.0%","N","N","N","N","1.4%","1.8%","0.6%","0.5%","0.2%","0.1%","","4,849,377","70.0%","27.5%","1.2%","1.5%","0.1%","1.6%","","4,849,377","4.0%","2.4%","0.4%","0.2%","1.0%","96.0%","66.1%","26.5%","0.4%","1.2%","0.0%","0.1%","1.6%","0.1%","1.6%","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","736,732","385,582","351,150","53,408","52,998","50,548","51,050","63,579","113,774","93,083","96,361","50,972","41,060","46,227","17,435","6,237","33.3","549,963","516,889","92,565","69,899","549,963","290,721","259,242","69,899","34,342","35,557","","736,732","673,924","62,808","673,924","483,584","24,790","103,273","476","399","276","273","43,915","618","1,702","22,124","1,437","5,823","853","11,358","8,395","1,119","479","5,268","1,529","9,967","62,808","8,185","32,047","7,658","1,599","","736,732","539,335","38,875","143,009","56,354","13,621","13,859","","736,732","49,276","27,872","7,034","593","13,777","687,456","455,009","23,608","101,285","43,532","8,331","1,735","53,956","103","53,853","308,571"
"    Percent","","736,732","52.3%","47.7%","7.2%","7.2%","6.9%","6.9%","8.6%","15.4%","12.6%","13.1%","6.9%","5.6%","6.3%","2.4%","0.8%","(X)","74.6%","70.2%","12.6%","9.5%","549,963","52.9%","47.1%","69,899","49.1%","50.9%","","736,732","91.5%","8.5%","91.5%","65.6%","3.4%","14.0%","0.1%","0.1%","0.0%","0.0%","6.0%","0.1%","0.2%","3.0%","0.2%","0.8%","0.1%","1.5%","1.1%","0.2%","0.1%","0.7%","0.2%","1.4%","8.5%","1.1%","4.3%","1.0%","0.2%","","736,732","73.2%","5.3%","19.4%","7.6%","1.8%","1.9%","","736,732","6.7%","3.8%","1.0%","0.1%","1.9%","93.3%","61.8%","3.2%","13.7%","5.9%","1.1%","0.2%","7.3%","0.0%","7.3%","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,731,484","3,342,946","3,388,538","432,663","455,957","460,939","457,577","488,122","895,519","839,439","836,539","411,123","382,849","622,516","328,647","119,594","36.9","5,109,413","4,817,165","1,297,479","1,070,757","5,109,413","2,515,348","2,594,065","1,070,757","492,448","578,309","","6,731,484","6,507,381","224,103","6,507,381","5,273,335","280,518","294,757","2,609","1,461","146,669","2,716","212,116","46,299","37,588","37,139","9,574","16,018","33,252","32,246","12,721","2,493","2,214","2,578","5,436","433,934","224,103","50,751","50,289","36,885","6,567","","6,731,484","5,463,616","356,336","370,817","270,014","28,690","487,321","","6,731,484","2,056,456","1,851,173","39,025","15,332","150,926","4,675,028","3,777,085","265,671","266,580","206,338","11,496","7,948","139,910","3,843","136,067","2,909,336"
"    Percent","","6,731,484","49.7%","50.3%","6.4%","6.8%","6.8%","6.8%","7.3%","13.3%","12.5%","12.4%","6.1%","5.7%","9.2%","4.9%","1.8%","(X)","75.9%","71.6%","19.3%","15.9%","5,109,413","49.2%","50.8%","1,070,757","46.0%","54.0%","","6,731,484","96.7%","3.3%","96.7%","78.3%","4.2%","4.4%","0.0%","0.0%","2.2%","0.0%","3.2%","0.7%","0.6%","0.6%","0.1%","0.2%","0.5%","0.5%","0.2%","0.0%","0.0%","0.0%","0.1%","6.4%","3.3%","0.8%","0.7%","0.5%","0.1%","","6,731,484","81.2%","5.3%","5.5%","4.0%","0.4%","7.2%","","6,731,484","30.5%","27.5%","0.6%","0.2%","2.2%","69.5%","56.1%","3.9%","4.0%","3.1%","0.2%","0.1%","2.1%","0.1%","2.0%","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
