"Label (Grouping)","HOUSEHOLDS BY TYPE","HOUSEHOLDS BY TYPE!!Total households","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years","HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over","HOUSEHOLDS BY TYPE!!Average household size","HOUSEHOLDS BY TYPE!!Average family size","RELATIONSHIP","RELATIONSHIP!!Population in households","RELATIONSHIP!!Population in households!!Householder","RELATIONSHIP!!Population in households!!Spouse","RELATIONSHIP!!Population in households!!Child","RELATIONSHIP!!Population in households!!Other relatives","RELATIONSHIP!!Population in households!!Nonrelatives","RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner","MARITAL STATUS","MARITAL STATUS!!Males 15 years and over","MARITAL STATUS!!Males 15 years and over!!Never married","MARITAL STATUS!!Males 15 years and over!!Now married, except separated","MARITAL STATUS!!Males 15 years and over!!Separated","MARITAL STATUS!!Males 15 years and over!!Widowed","MARITAL STATUS!!Males 15 years and over!!Divorced","MARITAL STATUS!!Females 15 years and over","MARITAL STATUS!!Females 15 years and over!!Never married","MARITAL STATUS!!Females 15 years and over!!Now married, except separated","MARITAL STATUS!!Females 15 years and over!!Separated","MARITAL STATUS!!Females 15 years and over!!Widowed","MARITAL STATUS!!Females 15 years and over!!Divorced","FERTILITY","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","GRANDPARENTS","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married","SCHOOL ENROLLMENT","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher","EDUCATIONAL ATTAINMENT!!Percent bachelor's degree or higher","VETERAN STATUS","VETERAN STATUS!!Civilian population 18 years and over","VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability","RESIDENCE 1 YEAR AGO","RESIDENCE 1 YEAR AGO!!Population 1 year and over","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Same county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Same state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Different state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Abroad","PLACE OF BIRTH","PLACE OF BIRTH!!Total population","PLACE OF BIRTH!!Total population!!Native","PLACE OF BIRTH!!Total population!!Native!!Born in United States","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state","PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","PLACE OF BIRTH!!Total population!!Foreign born","U.S. CITIZENSHIP STATUS","U.S. CITIZENSHIP STATUS!!Foreign-born population","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen","YEAR OF ENTRY","YEAR OF ENTRY!!Population born outside the United States","YEAR OF ENTRY!!Native","YEAR OF ENTRY!!Native!!Entered 2010 or later","YEAR OF ENTRY!!Native!!Entered before 2010","YEAR OF ENTRY!!Foreign born","YEAR OF ENTRY!!Foreign born!!Entered 2010 or later","YEAR OF ENTRY!!Foreign born!!Entered before 2010","WORLD REGION OF BIRTH OF FOREIGN BORN","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America","LANGUAGE SPOKEN AT HOME","LANGUAGE SPOKEN AT HOME!!Population 5 years and over","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well""","ANCESTRY","ANCESTRY!!Total population","ANCESTRY!!Total population!!American","ANCESTRY!!Total population!!Arab","ANCESTRY!!Total population!!Czech","ANCESTRY!!Total population!!Danish","ANCESTRY!!Total population!!Dutch","ANCESTRY!!Total population!!English","ANCESTRY!!Total population!!French (except Basque)","ANCESTRY!!Total population!!French Canadian","ANCESTRY!!Total population!!German","ANCESTRY!!Total population!!Greek","ANCESTRY!!Total population!!Hungarian","ANCESTRY!!Total population!!Irish","ANCESTRY!!Total population!!Italian","ANCESTRY!!Total population!!Lithuanian","ANCESTRY!!Total population!!Norwegian","ANCESTRY!!Total population!!Polish","ANCESTRY!!Total population!!Portuguese","ANCESTRY!!Total population!!Russian","ANCESTRY!!Total population!!Scotch-Irish","ANCESTRY!!Total population!!Scottish","ANCESTRY!!Total population!!Slovak","ANCESTRY!!Total population!!Subsaharan African","ANCESTRY!!Total population!!Swedish","ANCESTRY!!Total population!!Swiss","ANCESTRY!!Total population!!Ukrainian","ANCESTRY!!Total population!!Welsh","ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups)","COMPUTERS AND INTERNET USE","COMPUTERS AND INTERNET USE!!Total Households","COMPUTERS AND INTERNET USE!!Total Households!!With a computer","COMPUTERS AND INTERNET USE!!Total Households!!With a broadband Internet subscription"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,846,390","1,213,540","486,977","863,674","306,591","78,239","34,620","271,627","145,766","632,850","552,672","212,094","565,085","539,461","2.57","3.20","","4,739,380","1,846,390","863,897","1,437,297","374,300","217,496","77,495","","1,885,840","643,803","924,169","39,048","56,920","221,900","2,061,364","587,456","915,517","60,452","222,472","275,467","","59,374","26,147","40","51","17","99","17","","119,371","62,047","","10,088","10,394","11,628","29,937","62,047","38,992","41,173","","1,191,243","65,652","65,001","497,468","260,862","302,260","","3,282,252","158,830","338,052","1,018,063","707,979","266,452","504,626","288,250","(X)","(X)","","3,741,136","331,505","","4,781,070","796,875","1,106,716","53,593","2,931,080","435,585","743,274","307,697","","4,801,599","4,113,945","675,895","410,330","265,565","150,689","114,876","11,759","","4,858,979","4,689,007","4,652,805","3,403,844","1,248,961","36,202","169,972","","169,972","61,631","108,341","","206,174","36,202","5,118","31,084","169,972","35,174","134,798","","169,972","20,758","47,701","9,621","1,100","88,111","2,681","","4,573,857","4,340,562","233,295","99,393","149,576","69,524","35,754","10,242","36,719","17,107","11,246","2,520","","4,858,979","795,892","10,774","3,420","5,265","37,641","370,662","72,808","8,902","335,824","10,730","5,491","431,438","80,934","1,655","15,278","29,442","2,704","8,204","73,563","91,082","1,539","62,742","18,019","4,200","1,856","17,112","11,392","","1,846,390","1,492,641","1,260,433"
"    Percent","","1,846,390","65.7%","26.4%","46.8%","16.6%","4.2%","1.9%","14.7%","7.9%","34.3%","29.9%","11.5%","30.6%","29.2%","(X)","(X)","","4,739,380","39.0%","18.2%","30.3%","7.9%","4.6%","1.6%","","1,885,840","34.1%","49.0%","2.1%","3.0%","11.8%","2,061,364","28.5%","44.4%","2.9%","10.8%","13.4%","","59,374","44.0%","(X)","(X)","(X)","(X)","(X)","","119,371","52.0%","","8.5%","8.7%","9.7%","25.1%","62,047","62.8%","66.4%","","1,191,243","5.5%","5.5%","41.8%","21.9%","25.4%","","3,282,252","4.8%","10.3%","31.0%","21.6%","8.1%","15.4%","8.8%","84.9%","24.2%","","3,741,136","8.9%","","4,781,070","16.7%","1,106,716","4.8%","2,931,080","14.9%","743,274","41.4%","","4,801,599","85.7%","14.1%","8.5%","5.5%","3.1%","2.4%","0.2%","","4,858,979","96.5%","95.8%","70.1%","25.7%","0.7%","3.5%","","169,972","36.3%","63.7%","","206,174","36,202","14.1%","85.9%","169,972","20.7%","79.3%","","169,972","12.2%","28.1%","5.7%","0.6%","51.8%","1.6%","","4,573,857","94.9%","5.1%","2.2%","3.3%","1.5%","0.8%","0.2%","0.8%","0.4%","0.2%","0.1%","","4,858,979","16.4%","0.2%","0.1%","0.1%","0.8%","7.6%","1.5%","0.2%","6.9%","0.2%","0.1%","8.9%","1.7%","0.0%","0.3%","0.6%","0.1%","0.2%","1.5%","1.9%","0.0%","1.3%","0.4%","0.1%","0.0%","0.4%","0.2%","","1,846,390","80.8%","68.3%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","250,185","163,800","77,964","120,348","50,683","15,109","9,074","28,343","18,207","86,385","66,763","16,148","86,148","50,223","2.84","3.46","","710,491","250,185","120,615","229,540","52,872","57,279","19,062","","308,121","124,335","142,350","5,134","5,558","30,744","274,498","83,760","132,358","6,248","15,735","36,397","","11,144","3,542","38","64","22","110","25","","17,976","6,458","","1,853","1,692","380","2,533","6,458","3,436","4,778","","189,880","10,764","10,324","75,593","41,805","51,394","","469,523","12,121","22,495","128,052","129,326","38,113","87,869","51,547","(X)","(X)","","534,293","66,785","","713,082","82,744","185,917","7,943","457,079","47,039","70,086","27,762","","727,862","582,909","140,465","86,474","53,991","19,295","34,696","4,488","","738,432","679,888","663,601","308,448","355,153","16,287","58,544","","58,544","32,367","26,177","","74,831","16,287","2,910","13,377","58,544","10,396","48,148","","58,544","9,045","32,697","2,545","1,102","10,556","2,599","","683,671","573,242","110,429","34,544","27,069","5,989","14,864","3,877","38,150","16,482","30,346","8,196","","738,432","33,347","665","3,503","4,204","9,531","55,731","21,204","6,531","121,197","2,847","2,063","67,447","22,043","1,399","24,692","17,013","2,182","8,916","9,735","17,820","654","6,092","14,922","3,271","4,099","5,653","834","","250,185","231,202","204,385"
"    Percent","","250,185","65.5%","31.2%","48.1%","20.3%","6.0%","3.6%","11.3%","7.3%","34.5%","26.7%","6.5%","34.4%","20.1%","(X)","(X)","","710,491","35.2%","17.0%","32.3%","7.4%","8.1%","2.7%","","308,121","40.4%","46.2%","1.7%","1.8%","10.0%","274,498","30.5%","48.2%","2.3%","5.7%","13.3%","","11,144","31.8%","(X)","(X)","(X)","(X)","(X)","","17,976","35.9%","","10.3%","9.4%","2.1%","14.1%","6,458","53.2%","74.0%","","189,880","5.7%","5.4%","39.8%","22.0%","27.1%","","469,523","2.6%","4.8%","27.3%","27.5%","8.1%","18.7%","11.0%","92.6%","29.7%","","534,293","12.5%","","713,082","11.6%","185,917","4.3%","457,079","10.3%","70,086","39.6%","","727,862","80.1%","19.3%","11.9%","7.4%","2.7%","4.8%","0.6%","","738,432","92.1%","89.9%","41.8%","48.1%","2.2%","7.9%","","58,544","55.3%","44.7%","","74,831","16,287","17.9%","82.1%","58,544","17.8%","82.2%","","58,544","15.4%","55.9%","4.3%","1.9%","18.0%","4.4%","","683,671","83.8%","16.2%","5.1%","4.0%","0.9%","2.2%","0.6%","5.6%","2.4%","4.4%","1.2%","","738,432","4.5%","0.1%","0.5%","0.6%","1.3%","7.5%","2.9%","0.9%","16.4%","0.4%","0.3%","9.1%","3.0%","0.2%","3.3%","2.3%","0.3%","1.2%","1.3%","2.4%","0.1%","0.8%","2.0%","0.4%","0.6%","0.8%","0.1%","","250,185","92.4%","81.7%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,463,008","1,598,414","665,587","1,153,542","426,411","137,228","68,090","307,644","171,086","864,594","679,338","257,545","760,908","757,801","2.71","3.34","","6,673,383","2,463,008","1,153,354","1,998,819","587,476","470,726","188,748","","2,701,575","1,009,232","1,278,404","38,105","69,187","306,647","2,780,421","827,914","1,262,699","55,699","238,236","395,873","","85,798","32,015","35","54","17","96","26","","175,124","67,242","","15,228","15,799","10,783","25,432","67,242","40,895","46,209","","1,739,821","80,763","85,834","735,695","371,397","466,132","","4,536,954","271,316","359,657","1,110,871","1,155,555","382,106","788,933","468,516","(X)","(X)","","5,188,920","488,758","","6,719,354","863,924","1,619,393","58,884","3,992,074","418,062","1,107,887","386,978","","6,747,595","5,536,087","1,164,192","798,972","365,220","111,939","253,281","47,316","","6,828,065","5,913,665","5,814,924","2,679,897","3,135,027","98,741","914,400","","914,400","380,187","534,213","","1,013,141","98,741","10,942","87,799","914,400","133,945","780,455","","914,400","82,111","185,015","27,489","4,737","575,474","39,574","","6,398,205","4,665,381","1,732,824","571,630","1,317,026","439,705","126,700","31,217","132,771","55,690","156,327","45,018","","6,828,065","314,779","35,425","28,419","39,793","84,711","540,797","160,952","31,174","914,928","22,109","27,283","588,860","284,588","9,646","115,879","157,757","14,572","49,231","50,747","118,321","8,557","44,540","98,334","20,157","11,468","45,402","9,542","","2,463,008","2,158,795","1,923,284"
"    Percent","","2,463,008","64.9%","27.0%","46.8%","17.3%","5.6%","2.8%","12.5%","6.9%","35.1%","27.6%","10.5%","30.9%","30.8%","(X)","(X)","","6,673,383","36.9%","17.3%","30.0%","8.8%","7.1%","2.8%","","2,701,575","37.4%","47.3%","1.4%","2.6%","11.4%","2,780,421","29.8%","45.4%","2.0%","8.6%","14.2%","","85,798","37.3%","(X)","(X)","(X)","(X)","(X)","","175,124","38.4%","","8.7%","9.0%","6.2%","14.5%","67,242","60.8%","68.7%","","1,739,821","4.6%","4.9%","42.3%","21.3%","26.8%","","4,536,954","6.0%","7.9%","24.5%","25.5%","8.4%","17.4%","10.3%","86.1%","27.7%","","5,188,920","9.4%","","6,719,354","12.9%","1,619,393","3.6%","3,992,074","10.5%","1,107,887","34.9%","","6,747,595","82.0%","17.3%","11.8%","5.4%","1.7%","3.8%","0.7%","","6,828,065","86.6%","85.2%","39.2%","45.9%","1.4%","13.4%","","914,400","41.6%","58.4%","","1,013,141","98,741","11.1%","88.9%","914,400","14.6%","85.4%","","914,400","9.0%","20.2%","3.0%","0.5%","62.9%","4.3%","","6,398,205","72.9%","27.1%","8.9%","20.6%","6.9%","2.0%","0.5%","2.1%","0.9%","2.4%","0.7%","","6,828,065","4.6%","0.5%","0.4%","0.6%","1.2%","7.9%","2.4%","0.5%","13.4%","0.3%","0.4%","8.6%","4.2%","0.1%","1.7%","2.3%","0.2%","0.7%","0.7%","1.7%","0.1%","0.7%","1.4%","0.3%","0.2%","0.7%","0.1%","","2,463,008","87.6%","78.1%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
