"GEO_ID","NAME","B19083_001E","B19083_001M","B19083_001MA","B19083_001EA",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index","Annotation of Margin of Error!!Gini Index","Annotation of Estimate!!Gini Index",
"0100000US","United States","0.4817","0.0006","null","null",
"0400000US01","Alabama","0.4811","0.0045","null","null",
"0400000US02","Alaska","0.4322","0.0135","null","null",
"0400000US04","Arizona","0.4702","0.0043","null","null",
"0400000US05","Arkansas","0.4773","0.0062","null","null",
"0400000US06","California","0.4876","0.0017","null","null",
"0400000US08","Colorado","0.4580","0.0045","null","null",
"0400000US09","Connecticut","0.4916","0.0043","null","null",
"0400000US10","Delaware","0.4523","0.0123","null","null",
"0400000US11","District of Columbia","0.5354","0.0156","null","null",
"0400000US12","Florida","0.4872","0.0027","null","null",
"0400000US13","Georgia","0.4801","0.0036","null","null",
"0400000US15","Hawaii","0.4346","0.0071","null","null",
"0400000US16","Idaho","0.4525","0.0105","null","null",
"0400000US17","Illinois","0.4817","0.0026","null","null",
"0400000US18","Indiana","0.4519","0.0044","null","null",
"0400000US19","Iowa","0.4393","0.0046","null","null",
"0400000US20","Kansas","0.4596","0.0074","null","null",
"0400000US21","Kentucky","0.4781","0.0053","null","null",
"0400000US22","Louisiana","0.4909","0.0045","null","null",
"0400000US23","Maine","0.4523","0.0102","null","null",
"0400000US24","Maryland","0.4524","0.0036","null","null",
"0400000US25","Massachusetts","0.4848","0.0039","null","null",
"0400000US26","Michigan","0.4667","0.0029","null","null",
"0400000US27","Minnesota","0.4492","0.0035","null","null",
"0400000US28","Mississippi","0.4759","0.0060","null","null",
"0400000US29","Missouri","0.4634","0.0044","null","null",
"0400000US30","Montana","0.4623","0.0091","null","null",
"0400000US31","Nebraska","0.4473","0.0067","null","null",
"0400000US32","Nevada","0.4548","0.0066","null","null",
"0400000US33","New Hampshire","0.4347","0.0081","null","null",
"0400000US34","New Jersey","0.4832","0.0031","null","null",
"0400000US35","New Mexico","0.4795","0.0065","null","null",
"0400000US36","New York","0.5138","0.0029","null","null",
"0400000US37","North Carolina","0.4776","0.0036","null","null",
"0400000US38","North Dakota","0.4664","0.0120","null","null",
"0400000US39","Ohio","0.4637","0.0034","null","null",
"0400000US40","Oklahoma","0.4702","0.0045","null","null",
"0400000US41","Oregon","0.4622","0.0046","null","null",
"0400000US42","Pennsylvania","0.4685","0.0025","null","null",
"0400000US44","Rhode Island","0.4732","0.0094","null","null",
"0400000US45","South Carolina","0.4698","0.0050","null","null",
"0400000US46","South Dakota","0.4436","0.0093","null","null",
"0400000US47","Tennessee","0.4789","0.0046","null","null",
"0400000US48","Texas","0.4823","0.0021","null","null",
"0400000US49","Utah","0.4252","0.0051","null","null",
"0400000US50","Vermont","0.4452","0.0102","null","null",
"0400000US51","Virginia","0.4681","0.0030","null","null",
"0400000US53","Washington","0.4561","0.0038","null","null",
"0400000US54","West Virginia","0.4581","0.0059","null","null",
"0400000US55","Wisconsin","0.4410","0.0032","null","null",
"0400000US56","Wyoming","0.4374","0.0153","null","null",
"0400000US72","Puerto Rico","0.5589","0.0077","null","null",
"0500000US01003","Baldwin County, Alabama","0.4722","0.0229","null","null",
"0500000US01015","Calhoun County, Alabama","0.4219","0.0199","null","null",
"0500000US01043","Cullman County, Alabama","0.4438","0.0266","null","null",
"0500000US01049","DeKalb County, Alabama","0.4639","0.0319","null","null",
"0500000US01051","Elmore County, Alabama","0.4620","0.0589","null","null",
"0500000US01055","Etowah County, Alabama","0.4125","0.0261","null","null",
"0500000US01069","Houston County, Alabama","0.4854","0.0168","null","null",
"0500000US01073","Jefferson County, Alabama","0.4950","0.0130","null","null",
"0500000US01077","Lauderdale County, Alabama","0.4737","0.0324","null","null",
"0500000US01081","Lee County, Alabama","0.4927","0.0308","null","null",
"0500000US01083","Limestone County, Alabama","0.4502","0.0317","null","null",
"0500000US01089","Madison County, Alabama","0.4711","0.0180","null","null",
"0500000US01095","Marshall County, Alabama","0.4820","0.0329","null","null",
"0500000US01097","Mobile County, Alabama","0.4789","0.0170","null","null",
"0500000US01101","Montgomery County, Alabama","0.4938","0.0203","null","null",
"0500000US01103","Morgan County, Alabama","0.4573","0.0345","null","null",
"0500000US01115","St. Clair County, Alabama","0.4079","0.0520","null","null",
"0500000US01117","Shelby County, Alabama","0.4424","0.0317","null","null",
"0500000US01121","Talladega County, Alabama","0.4726","0.0430","null","null",
"0500000US01125","Tuscaloosa County, Alabama","0.4686","0.0198","null","null",
"0500000US01127","Walker County, Alabama","0.4582","0.0274","null","null",
"0500000US02020","Anchorage Municipality, Alaska","0.4525","0.0223","null","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","0.3956","0.0300","null","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","0.3862","0.0184","null","null",
"0500000US04001","Apache County, Arizona","0.5056","0.0384","null","null",
"0500000US04003","Cochise County, Arizona","0.4506","0.0183","null","null",
"0500000US04005","Coconino County, Arizona","0.4830","0.0345","null","null",
"0500000US04013","Maricopa County, Arizona","0.4716","0.0051","null","null",
"0500000US04015","Mohave County, Arizona","0.4286","0.0247","null","null",
"0500000US04017","Navajo County, Arizona","0.4682","0.0231","null","null",
"0500000US04019","Pima County, Arizona","0.4707","0.0097","null","null",
"0500000US04021","Pinal County, Arizona","0.4276","0.0170","null","null",
"0500000US04025","Yavapai County, Arizona","0.4294","0.0215","null","null",
"0500000US04027","Yuma County, Arizona","0.4379","0.0199","null","null",
"0500000US05007","Benton County, Arkansas","0.4622","0.0182","null","null",
"0500000US05031","Craighead County, Arkansas","0.4681","0.0256","null","null",
"0500000US05045","Faulkner County, Arkansas","0.4606","0.0251","null","null",
"0500000US05051","Garland County, Arkansas","0.5256","0.0664","null","null",
"0500000US05069","Jefferson County, Arkansas","0.4805","0.0426","null","null",
"0500000US05085","Lonoke County, Arkansas","0.3799","0.0244","null","null",
"0500000US05119","Pulaski County, Arkansas","0.5146","0.0198","null","null",
"0500000US05125","Saline County, Arkansas","0.3935","0.0242","null","null",
"0500000US05131","Sebastian County, Arkansas","0.4972","0.0364","null","null",
"0500000US05143","Washington County, Arkansas","0.4755","0.0233","null","null",
"0500000US05145","White County, Arkansas","0.4775","0.0352","null","null",
"0500000US06001","Alameda County, California","0.4630","0.0060","null","null",
"0500000US06007","Butte County, California","0.4666","0.0209","null","null",
"0500000US06013","Contra Costa County, California","0.4709","0.0090","null","null",
"0500000US06017","El Dorado County, California","0.4450","0.0216","null","null",
"0500000US06019","Fresno County, California","0.4711","0.0099","null","null",
"0500000US06023","Humboldt County, California","0.4833","0.0251","null","null",
"0500000US06025","Imperial County, California","0.4621","0.0168","null","null",
"0500000US06029","Kern County, California","0.4609","0.0125","null","null",
"0500000US06031","Kings County, California","0.4678","0.0552","null","null",
"0500000US06033","Lake County, California","0.4417","0.0334","null","null",
"0500000US06037","Los Angeles County, California","0.4992","0.0039","null","null",
"0500000US06039","Madera County, California","0.4552","0.0380","null","null",
"0500000US06041","Marin County, California","0.5315","0.0167","null","null",
"0500000US06045","Mendocino County, California","0.4715","0.0362","null","null",
"0500000US06047","Merced County, California","0.4763","0.0202","null","null",
"0500000US06053","Monterey County, California","0.4704","0.0270","null","null",
"0500000US06055","Napa County, California","0.5005","0.0259","null","null",
"0500000US06057","Nevada County, California","0.4494","0.0225","null","null",
"0500000US06059","Orange County, California","0.4703","0.0065","null","null",
"0500000US06061","Placer County, California","0.4410","0.0164","null","null",
"0500000US06065","Riverside County, California","0.4492","0.0070","null","null",
"0500000US06067","Sacramento County, California","0.4558","0.0074","null","null",
"0500000US06071","San Bernardino County, California","0.4445","0.0084","null","null",
"0500000US06073","San Diego County, California","0.4589","0.0067","null","null",
"0500000US06075","San Francisco County, California","0.5208","0.0103","null","null",
"0500000US06077","San Joaquin County, California","0.4520","0.0149","null","null",
"0500000US06079","San Luis Obispo County, California","0.4658","0.0198","null","null",
"0500000US06081","San Mateo County, California","0.4859","0.0131","null","null",
"0500000US06083","Santa Barbara County, California","0.4811","0.0135","null","null",
"0500000US06085","Santa Clara County, California","0.4629","0.0056","null","null",
"0500000US06087","Santa Cruz County, California","0.4833","0.0182","null","null",
"0500000US06089","Shasta County, California","0.4584","0.0194","null","null",
"0500000US06095","Solano County, California","0.4250","0.0127","null","null",
"0500000US06097","Sonoma County, California","0.4657","0.0134","null","null",
"0500000US06099","Stanislaus County, California","0.4485","0.0138","null","null",
"0500000US06101","Sutter County, California","0.4501","0.0240","null","null",
"0500000US06107","Tulare County, California","0.4772","0.0167","null","null",
"0500000US06111","Ventura County, California","0.4404","0.0118","null","null",
"0500000US06113","Yolo County, California","0.4815","0.0170","null","null",
"0500000US06115","Yuba County, California","0.4363","0.0283","null","null",
"0500000US08001","Adams County, Colorado","0.4079","0.0135","null","null",
"0500000US08005","Arapahoe County, Colorado","0.4633","0.0127","null","null",
"0500000US08013","Boulder County, Colorado","0.4857","0.0247","null","null",
"0500000US08014","Broomfield County, Colorado","0.4167","0.0412","null","null",
"0500000US08031","Denver County, Colorado","0.4927","0.0117","null","null",
"0500000US08035","Douglas County, Colorado","0.3975","0.0159","null","null",
"0500000US08041","El Paso County, Colorado","0.4331","0.0115","null","null",
"0500000US08059","Jefferson County, Colorado","0.4422","0.0110","null","null",
"0500000US08069","Larimer County, Colorado","0.4469","0.0181","null","null",
"0500000US08077","Mesa County, Colorado","0.4448","0.0277","null","null",
"0500000US08101","Pueblo County, Colorado","0.4748","0.0278","null","null",
"0500000US08123","Weld County, Colorado","0.3993","0.0126","null","null",
"0500000US09001","Fairfield County, Connecticut","0.5404","0.0090","null","null",
"0500000US09003","Hartford County, Connecticut","0.4684","0.0071","null","null",
"0500000US09005","Litchfield County, Connecticut","0.4678","0.0254","null","null",
"0500000US09007","Middlesex County, Connecticut","0.4271","0.0214","null","null",
"0500000US09009","New Haven County, Connecticut","0.4617","0.0081","null","null",
"0500000US09011","New London County, Connecticut","0.4446","0.0176","null","null",
"0500000US09013","Tolland County, Connecticut","0.4376","0.0242","null","null",
"0500000US09015","Windham County, Connecticut","0.3897","0.0196","null","null",
"0500000US10001","Kent County, Delaware","0.4375","0.0283","null","null",
"0500000US10003","New Castle County, Delaware","0.4543","0.0121","null","null",
"0500000US10005","Sussex County, Delaware","0.4460","0.0335","null","null",
"0500000US11001","District of Columbia, District of Columbia","0.5354","0.0156","null","null",
"0500000US12001","Alachua County, Florida","0.5026","0.0184","null","null",
"0500000US12005","Bay County, Florida","0.4446","0.0233","null","null",
"0500000US12009","Brevard County, Florida","0.4471","0.0149","null","null",
"0500000US12011","Broward County, Florida","0.4788","0.0077","null","null",
"0500000US12015","Charlotte County, Florida","0.4610","0.0283","null","null",
"0500000US12017","Citrus County, Florida","0.4638","0.0363","null","null",
"0500000US12019","Clay County, Florida","0.4058","0.0217","null","null",
"0500000US12021","Collier County, Florida","0.5259","0.0202","null","null",
"0500000US12023","Columbia County, Florida","0.4290","0.0375","null","null",
"0500000US12031","Duval County, Florida","0.4765","0.0132","null","null",
"0500000US12033","Escambia County, Florida","0.4206","0.0175","null","null",
"0500000US12035","Flagler County, Florida","0.4312","0.0406","null","null",
"0500000US12053","Hernando County, Florida","0.4243","0.0195","null","null",
"0500000US12055","Highlands County, Florida","0.5118","0.0767","null","null",
"0500000US12057","Hillsborough County, Florida","0.4737","0.0086","null","null",
"0500000US12061","Indian River County, Florida","0.5246","0.0353","null","null",
"0500000US12069","Lake County, Florida","0.4086","0.0153","null","null",
"0500000US12071","Lee County, Florida","0.4776","0.0132","null","null",
"0500000US12073","Leon County, Florida","0.4889","0.0169","null","null",
"0500000US12081","Manatee County, Florida","0.4585","0.0171","null","null",
"0500000US12083","Marion County, Florida","0.4422","0.0187","null","null",
"0500000US12085","Martin County, Florida","0.5060","0.0266","null","null",
"0500000US12086","Miami-Dade County, Florida","0.5402","0.0107","null","null",
"0500000US12087","Monroe County, Florida","0.5050","0.0340","null","null",
"0500000US12089","Nassau County, Florida","0.4645","0.0410","null","null",
"0500000US12091","Okaloosa County, Florida","0.4268","0.0202","null","null",
"0500000US12095","Orange County, Florida","0.4841","0.0140","null","null",
"0500000US12097","Osceola County, Florida","0.4469","0.0314","null","null",
"0500000US12099","Palm Beach County, Florida","0.5172","0.0105","null","null",
"0500000US12101","Pasco County, Florida","0.4490","0.0112","null","null",
"0500000US12103","Pinellas County, Florida","0.4937","0.0122","null","null",
"0500000US12105","Polk County, Florida","0.4325","0.0139","null","null",
"0500000US12107","Putnam County, Florida","0.4787","0.0427","null","null",
"0500000US12109","St. Johns County, Florida","0.4949","0.0187","null","null",
"0500000US12111","St. Lucie County, Florida","0.4492","0.0294","null","null",
"0500000US12113","Santa Rosa County, Florida","0.4218","0.0294","null","null",
"0500000US12115","Sarasota County, Florida","0.4716","0.0152","null","null",
"0500000US12117","Seminole County, Florida","0.4629","0.0149","null","null",
