"GEO_ID","NAME","B25101_001E","B25101_001M","B25101_001MA","B25101_001EA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003EA","B25101_003M","B25101_003MA","B25101_004E","B25101_004EA","B25101_004M","B25101_004MA","B25101_005E","B25101_005M","B25101_005MA","B25101_005EA","B25101_006E","B25101_006M","B25101_006MA","B25101_006EA","B25101_007E","B25101_007EA","B25101_007M","B25101_007MA","B25101_008E","B25101_008EA","B25101_008M","B25101_008MA","B25101_009E","B25101_009M","B25101_009MA","B25101_009EA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012M","B25101_012MA","B25101_012EA","B25101_013E","B25101_013M","B25101_013MA","B25101_013EA","B25101_014E","B25101_014M","B25101_014MA","B25101_014EA","B25101_015E","B25101_015M","B25101_015MA","B25101_015EA","B25101_016E","B25101_016EA","B25101_016M","B25101_016MA","B25101_017E","B25101_017M","B25101_017MA","B25101_017EA","B25101_018E","B25101_018M","B25101_018MA","B25101_018EA","B25101_019E","B25101_019M","B25101_019MA","B25101_019EA","B25101_020E","B25101_020M","B25101_020MA","B25101_020EA","B25101_021E","B25101_021EA","B25101_021M","B25101_021MA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023M","B25101_023MA","B25101_023EA","B25101_024E","B25101_024M","B25101_024MA","B25101_024EA","B25101_025E","B25101_025EA","B25101_025M","B25101_025MA","B25101_026E","B25101_026EA","B25101_026M","B25101_026MA","B25101_027E","B25101_027EA","B25101_027M","B25101_027MA","B25101_028E","B25101_028M","B25101_028MA","B25101_028EA","B25101_029E","B25101_029M","B25101_029MA","B25101_029EA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031EA","B25101_031M","B25101_031MA","B25101_032E","B25101_032EA","B25101_032M","B25101_032MA","B25101_033E","B25101_033M","B25101_033MA","B25101_033EA","B25101_034E","B25101_034M","B25101_034MA","B25101_034EA","B25101_035E","B25101_035EA","B25101_035M","B25101_035MA","B25101_036E","B25101_036EA","B25101_036M","B25101_036MA","B25101_037E","B25101_037EA","B25101_037M","B25101_037MA","B25101_038E","B25101_038EA","B25101_038M","B25101_038MA","B25101_039E","B25101_039M","B25101_039MA","B25101_039EA","B25101_040E","B25101_040EA","B25101_040M","B25101_040MA","B25101_041E","B25101_041EA","B25101_041M","B25101_041MA","B25101_042E","B25101_042EA","B25101_042M","B25101_042MA","B25101_043E","B25101_043EA","B25101_043M","B25101_043MA","B25101_044E","B25101_044M","B25101_044MA","B25101_044EA","B25101_045E","B25101_045M","B25101_045MA","B25101_045EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With a mortgage","Margin of Error!!Total!!With a mortgage","Annotation of Margin of Error!!Total!!With a mortgage","Annotation of Estimate!!Total!!With a mortgage","Estimate!!Total!!With a mortgage!!Less than $20,000","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000","Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000","Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$75,000 or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more","Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Estimate!!Total!!With a mortgage!!Zero or negative income","Margin of Error!!Total!!With a mortgage!!Zero or negative income","Annotation of Margin of Error!!Total!!With a mortgage!!Zero or negative income","Annotation of Estimate!!Total!!With a mortgage!!Zero or negative income","Estimate!!Total!!Not mortgaged","Margin of Error!!Total!!Not mortgaged","Annotation of Margin of Error!!Total!!Not mortgaged","Annotation of Estimate!!Total!!Not mortgaged","Estimate!!Total!!Not mortgaged!!Less than $20,000","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000","Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$75,000 or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Estimate!!Total!!Not mortgaged!!Zero or negative income","Margin of Error!!Total!!Not mortgaged!!Zero or negative income","Annotation of Margin of Error!!Total!!Not mortgaged!!Zero or negative income","Annotation of Estimate!!Total!!Not mortgaged!!Zero or negative income",
"0100000US","United States","74506512","228238","null","null","47140736","141732","null","null","2440368","null","27548","null","5953","null","1068","null","31095","2270","null","null","2403320","26699","null","null","3931244","null","33344","null","107265","null","4175","null","538954","10417","null","null","3285025","30035","null","null","4971361","32810","null","null","569276","10980","null","null","1563913","20254","null","null","2838172","24167","null","null","8930828","49931","null","null","2599587","null","25132","null","3489107","31015","null","null","2842134","25821","null","null","26619443","91229","null","null","17161509","74691","null","null","6962748","null","37726","null","2495186","24293","null","null","247492","8454","null","null","27365776","116493","null","null","4372048","null","31406","null","837926","null","14112","null","914766","null","14615","null","2619356","24878","null","null","4930227","34927","null","null","2803218","null","25471","null","1265756","null","16263","null","861253","null","14844","null","4062384","31637","null","null","3312784","29149","null","null","546181","null","10616","null","203419","null","6938","null","4926970","null","38337","null","4562879","null","36761","null","282816","6790","null","null","81275","null","4642","null","8687272","null","49809","null","8542454","null","49636","null","118968","null","5062","null","25850","2124","null","null","386875","8825","null","null",
"0400000US01","Alabama","1253595","13117","null","null","712544","11099","null","null","52484","null","3481","null","110","null","101","null","971","361","null","null","51403","3498","null","null","77429","null","4220","null","3030","null","736","null","17138","1954","null","null","57261","3547","null","null","91052","3945","null","null","17604","1831","null","null","38101","3031","null","null","35347","2607","null","null","155468","5941","null","null","73053","null","3760","null","59673","3965","null","null","22742","2434","null","null","329768","8801","null","null","265050","8423","null","null","53643","null","3543","null","11075","1723","null","null","6343","1409","null","null","541051","10124","null","null","116590","null","5369","null","30920","null","2686","null","32007","null","2589","null","53663","3592","null","null","116965","4556","null","null","90549","null","4321","null","20865","null","2278","null","5551","null","1085","null","80922","3457","null","null","76666","3443","null","null","3888","null","874","null","368","null","229","null","92862","null","4253","null","91803","null","4265","null","1017","444","null","null","42","null","56","null","122924","null","4922","null","122861","null","4920","null","63","null","77","null","0","192","null","null","10788","1612","null","null",
"0400000US02","Alaska","159922","3409","null","null","104097","3504","null","null","3233","null","774","null","29","null","34","null","0","149","null","null","3204","773","null","null","4252","null","796","null","206","null","149","null","462","212","null","null","3584","733","null","null","9050","1382","null","null","522","243","null","null","1069","391","null","null","7459","1317","null","null","17110","1931","null","null","1887","null","520","null","6826","1224","null","null","8397","1417","null","null","70295","3152","null","null","41189","2243","null","null","22669","null","2128","null","6437","1156","null","null","157","150","null","null","55825","2421","null","null","6512","null","963","null","1491","null","454","null","1069","null","359","null","3952","777","null","null","7850","1102","null","null","3513","null","700","null","2532","null","835","null","1805","null","539","null","7397","1150","null","null","5685","878","null","null","1531","null","695","null","181","null","160","null","9706","null","1218","null","9184","null","1190","null","519","347","null","null","3","null","11","null","24225","null","1886","null","24142","null","1891","null","83","null","93","null","0","149","null","null","135","129","null","null",
"0400000US04","Arizona","1524828","12566","null","null","979425","13413","null","null","62329","null","3482","null","297","null","228","null","970","505","null","null","61062","3425","null","null","97789","null","4948","null","2893","null","754","null","13373","1757","null","null","81523","4609","null","null","119633","5557","null","null","13967","1401","null","null","38245","2736","null","null","67421","4337","null","null","201936","6825","null","null","63318","null","4326","null","85808","4242","null","null","52810","3432","null","null","487261","8915","null","null","354313","8138","null","null","104524","null","4218","null","28424","2650","null","null","10477","1811","null","null","545403","8805","null","null","92179","null","3899","null","25621","null","2357","null","20136","null","1920","null","46422","2870","null","null","102914","4808","null","null","68963","null","3786","null","23779","null","2473","null","10172","null","1454","null","87221","3821","null","null","78776","3547","null","null","7063","null","1336","null","1382","null","549","null","96775","null","4515","null","94342","null","4435","null","1880","565","null","null","553","null","378","null","154157","null","5126","null","153430","null","5152","null","556","null","366","null","171","227","null","null","12157","1547","null","null",
"0400000US05","Arkansas","746000","10027","null","null","408732","8549","null","null","33609","null","2739","null","172","null","162","null","929","336","null","null","32508","2737","null","null","52724","null","3154","null","2788","null","783","null","13633","1522","null","null","36303","2694","null","null","58447","3537","null","null","14074","1755","null","null","26536","2755","null","null","17837","2081","null","null","88628","4611","null","null","47519","null","3065","null","31714","2736","null","null","9395","1641","null","null","172608","5401","null","null","145646","4869","null","null","22418","null","2455","null","4544","1101","null","null","2716","885","null","null","337268","7752","null","null","71924","null","3721","null","22608","null","2053","null","18296","null","1960","null","31020","2575","null","null","69103","3666","null","null","53128","null","3020","null","13309","null","1842","null","2666","null","636","null","55235","3390","null","null","53108","3282","null","null","1851","null","577","null","276","null","214","null","62442","null","3546","null","61941","null","3500","null","472","259","null","null","29","null","51","null","73111","null","3968","null","72814","null","4020","null","297","null","338","null","0","190","null","null","5453","1146","null","null",
"0400000US06","California","6910823","27840","null","null","4918415","27917","null","null","216022","null","6611","null","501","null","331","null","1481","582","null","null","214040","6520","null","null","329585","null","7847","null","4038","null","747","null","15654","1749","null","null","309893","7739","null","null","403392","9422","null","null","16818","1762","null","null","63159","3767","null","null","323415","9206","null","null","757687","13688","null","null","82474","null","4269","null","210741","6761","null","null","464472","11128","null","null","3184728","22656","null","null","1478242","16239","null","null","1085061","null","15710","null","621425","12987","null","null","27001","2463","null","null","1992408","17890","null","null","278144","null","7618","null","47026","null","3277","null","46113","null","2962","null","185005","6401","null","null","311572","7686","null","null","151899","null","5065","null","81813","null","3779","null","77860","null","4075","null","262142","5552","null","null","190963","5444","null","null","48182","null","2666","null","22997","null","2670","null","338303","null","7352","null","304480","null","7289","null","26008","2260","null","null","7815","null","1058","null","775625","null","9664","null","761352","null","9764","null","11555","null","1554","null","2718","638","null","null","26622","2207","null","null",
"0400000US08","Colorado","1322618","9565","null","null","953749","9215","null","null","41911","null","3031","null","214","null","176","null","602","336","null","null","41095","2995","null","null","64514","null","4042","null","1392","null","548","null","5756","983","null","null","57366","3754","null","null","94154","4350","null","null","6993","1107","null","null","25244","2274","null","null","61917","3691","null","null","168656","6485","null","null","36642","null","2642","null","69358","4232","null","null","62656","4384","null","null","582263","8324","null","null","387573","8126","null","null","154709","null","5446","null","39981","3079","null","null","2251","648","null","null","368869","6425","null","null","49281","null","2685","null","9228","null","1050","null","9998","null","1219","null","30055","2167","null","null","59068","3324","null","null","37615","null","2595","null","13827","null","1606","null","7626","null","1305","null","53178","3115","null","null","46725","2826","null","null","5630","null","1162","null","823","null","292","null","67477","null","3743","null","65573","null","3694","null","1592","582","null","null","312","null","220","null","134656","null","4315","null","134144","null","4269","null","424","null","259","null","88","153","null","null","5209","1085","null","null",
"0400000US09","Connecticut","889035","8413","null","null","616925","8577","null","null","20432","null","2369","null","0","null","198","null","0","198","null","null","20432","2369","null","null","32076","null","2477","null","44","null","59","null","1248","573","null","null","30784","2497","null","null","47265","3442","null","null","1353","551","null","null","6036","1254","null","null","39876","3178","null","null","88314","4287","null","null","7237","null","1300","null","30068","2842","null","null","51009","3680","null","null","426181","6966","null","null","223691","6036","null","null","140054","null","4780","null","62436","3594","null","null","2657","976","null","null","272110","6303","null","null","29074","null","2445","null","635","null","361","null","820","null","382","null","27619","2298","null","null","38248","2822","null","null","3307","null","671","null","11414","null","1481","null","23527","null","2144","null","32646","2397","null","null","11003","1399","null","null","14717","null","1648","null","6926","null","1081","null","47194","null","2966","null","34192","null","2732","null","9937","1187","null","null","3065","null","800","null","122183","null","4384","null","117307","null","4310","null","3900","null","657","null","976","351","null","null","2765","712","null","null",
"0400000US10","Delaware","249681","4261","null","null","163216","4707","null","null","8139","null","1260","null","0","null","190","null","0","190","null","null","8139","1260","null","null","13926","null","1861","null","218","null","229","null","754","427","null","null","12954","1729","null","null","16869","2045","null","null","804","328","null","null","4660","950","null","null","11405","1790","null","null","30447","2342","null","null","6447","null","1187","null","11687","1628","null","null","12313","1666","null","null","93296","3728","null","null","62457","3383","null","null","25518","null","2224","null","5321","994","null","null","539","356","null","null","86465","3684","null","null","11060","null","1554","null","1001","null","355","null","2374","null","707","null","7685","1219","null","null","15147","1733","null","null","8386","null","1440","null","3638","null","996","null","3123","null","801","null","13653","1614","null","null","11171","1431","null","null","1738","null","590","null","744","null","485","null","17421","null","1794","null","16685","null","1724","null","649","335","null","null","87","null","102","null","27592","null","1957","null","27516","null","1963","null","76","null","89","null","0","190","null","null","1592","654","null","null",
