"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0400000US01","Alabama","9456","231","null","null","25610","438","null","null","44845","null","634","null","72160","null","878","null","159466","2958","null","null","278929","10166","null","null",
"0400000US02","Alaska","18458","982","null","null","45286","1642","null","null","73491","null","2044","null","108123","null","2534","null","219022","11924","null","null","380194","40034","null","null",
"0400000US04","Arizona","11593","275","null","null","31138","353","null","null","51612","null","526","null","80418","null","731","null","178429","2841","null","null","317737","9495","null","null",
"0400000US05","Arkansas","9803","317","null","null","25196","455","null","null","42291","null","549","null","67253","null","744","null","151830","3919","null","null","274045","13257","null","null",
"0400000US06","California","13826","116","null","null","37304","206","null","null","64721","null","274","null","104312","null","406","null","238624","1615","null","null","424878","5178","null","null",
"0400000US08","Colorado","15334","341","null","null","39105","502","null","null","64031","null","666","null","98394","null","799","null","212709","3327","null","null","377232","10851","null","null",
"0400000US09","Connecticut","14821","410","null","null","41544","710","null","null","71627","null","950","null","113453","null","1301","null","265290","4474","null","null","494347","14292","null","null",
"0400000US10","Delaware","14900","810","null","null","37469","1143","null","null","61563","null","1497","null","92863","null","1933","null","198807","8953","null","null","351074","31014","null","null",
"0400000US11","District of Columbia","11486","990","null","null","39076","1700","null","null","75204","null","2419","null","126677","null","3435","null","320559","21645","null","null","600317","74328","null","null",
