"Label (Grouping)","HOUSEHOLDS BY TYPE","HOUSEHOLDS BY TYPE!!Total households","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years","HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over","HOUSEHOLDS BY TYPE!!Average household size","HOUSEHOLDS BY TYPE!!Average family size","RELATIONSHIP","RELATIONSHIP!!Population in households","RELATIONSHIP!!Population in households!!Householder","RELATIONSHIP!!Population in households!!Spouse","RELATIONSHIP!!Population in households!!Child","RELATIONSHIP!!Population in households!!Other relatives","RELATIONSHIP!!Population in households!!Nonrelatives","RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner","MARITAL STATUS","MARITAL STATUS!!Males 15 years and over","MARITAL STATUS!!Males 15 years and over!!Never married","MARITAL STATUS!!Males 15 years and over!!Now married, except separated","MARITAL STATUS!!Males 15 years and over!!Separated","MARITAL STATUS!!Males 15 years and over!!Widowed","MARITAL STATUS!!Males 15 years and over!!Divorced","MARITAL STATUS!!Females 15 years and over","MARITAL STATUS!!Females 15 years and over!!Never married","MARITAL STATUS!!Females 15 years and over!!Now married, except separated","MARITAL STATUS!!Females 15 years and over!!Separated","MARITAL STATUS!!Females 15 years and over!!Widowed","MARITAL STATUS!!Females 15 years and over!!Divorced","FERTILITY","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","GRANDPARENTS","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married","SCHOOL ENROLLMENT","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher","EDUCATIONAL ATTAINMENT!!Percent bachelor's degree or higher","VETERAN STATUS","VETERAN STATUS!!Civilian population 18 years and over","VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability","RESIDENCE 1 YEAR AGO","RESIDENCE 1 YEAR AGO!!Population 1 year and over","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Same county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Same state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Different state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Abroad","PLACE OF BIRTH","PLACE OF BIRTH!!Total population","PLACE OF BIRTH!!Total population!!Native","PLACE OF BIRTH!!Total population!!Native!!Born in United States","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state","PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","PLACE OF BIRTH!!Total population!!Foreign born","U.S. CITIZENSHIP STATUS","U.S. CITIZENSHIP STATUS!!Foreign-born population","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen","YEAR OF ENTRY","YEAR OF ENTRY!!Population born outside the United States","YEAR OF ENTRY!!Native","YEAR OF ENTRY!!Native!!Entered 2010 or later","YEAR OF ENTRY!!Native!!Entered before 2010","YEAR OF ENTRY!!Foreign born","YEAR OF ENTRY!!Foreign born!!Entered 2010 or later","YEAR OF ENTRY!!Foreign born!!Entered before 2010","WORLD REGION OF BIRTH OF FOREIGN BORN","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America","LANGUAGE SPOKEN AT HOME","LANGUAGE SPOKEN AT HOME!!Population 5 years and over","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well""","ANCESTRY","ANCESTRY!!Total population","ANCESTRY!!Total population!!American","ANCESTRY!!Total population!!Arab","ANCESTRY!!Total population!!Czech","ANCESTRY!!Total population!!Danish","ANCESTRY!!Total population!!Dutch","ANCESTRY!!Total population!!English","ANCESTRY!!Total population!!French (except Basque)","ANCESTRY!!Total population!!French Canadian","ANCESTRY!!Total population!!German","ANCESTRY!!Total population!!Greek","ANCESTRY!!Total population!!Hungarian","ANCESTRY!!Total population!!Irish","ANCESTRY!!Total population!!Italian","ANCESTRY!!Total population!!Lithuanian","ANCESTRY!!Total population!!Norwegian","ANCESTRY!!Total population!!Polish","ANCESTRY!!Total population!!Portuguese","ANCESTRY!!Total population!!Russian","ANCESTRY!!Total population!!Scotch-Irish","ANCESTRY!!Total population!!Scottish","ANCESTRY!!Total population!!Slovak","ANCESTRY!!Total population!!Subsaharan African","ANCESTRY!!Total population!!Swedish","ANCESTRY!!Total population!!Swiss","ANCESTRY!!Total population!!Ukrainian","ANCESTRY!!Total population!!Welsh","ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups)","COMPUTERS AND INTERNET USE","COMPUTERS AND INTERNET USE!!Total households","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,852,518","1,208,362","473,593","864,330","304,039","81,060","35,308","262,972","134,246","644,156","568,566","211,434","549,671","545,182","2.56","3.23","","4,743,641","1,852,518","865,218","1,431,378","392,632","201,895","69,353","","1,894,579","645,555","929,232","35,249","60,974","223,569","2,067,543","583,215","928,769","55,612","225,033","274,914","","57,191","25,622","40","50","19","94","17","","118,640","59,890","","11,173","12,809","9,192","26,716","59,890","37,419","41,980","","1,186,076","64,446","63,979","490,945","256,949","309,757","","3,300,713","157,797","333,897","1,011,236","711,231","271,030","506,680","308,842","(X)","(X)","","3,750,408","331,076","","4,782,529","787,132","1,098,052","55,642","2,921,503","421,135","762,974","310,355","","4,810,126","4,141,850","652,214","383,582","268,632","146,412","122,220","16,062","","4,863,300","4,699,671","4,654,606","3,380,717","1,273,889","45,065","163,629","","163,629","59,611","104,018","","208,694","45,065","7,690","37,375","163,629","38,512","125,117","","163,629","16,668","54,084","7,848","629","80,637","3,763","","4,576,657","4,342,451","234,206","96,089","148,602","62,975","32,158","7,977","38,093","19,983","15,353","5,154","","4,863,300","729,236","14,856","6,157","3,870","33,680","344,786","74,135","7,786","306,904","9,435","7,548","407,317","88,582","2,735","14,687","29,770","1,850","9,486","79,760","89,886","1,578","40,330","15,097","3,074","2,961","22,805","11,440","","1,852,518","1,554,798","1,383,347"
"    Percent","","1,852,518","65.2%","25.6%","46.7%","16.4%","4.4%","1.9%","14.2%","7.2%","34.8%","30.7%","11.4%","29.7%","29.4%","(X)","(X)","","4,743,641","39.1%","18.2%","30.2%","8.3%","4.3%","1.5%","","1,894,579","34.1%","49.0%","1.9%","3.2%","11.8%","2,067,543","28.2%","44.9%","2.7%","10.9%","13.3%","","57,191","44.8%","(X)","(X)","(X)","(X)","(X)","","118,640","50.5%","","9.4%","10.8%","7.7%","22.5%","59,890","62.5%","70.1%","","1,186,076","5.4%","5.4%","41.4%","21.7%","26.1%","","3,300,713","4.8%","10.1%","30.6%","21.5%","8.2%","15.4%","9.4%","85.1%","24.7%","","3,750,408","8.8%","","4,782,529","16.5%","1,098,052","5.1%","2,921,503","14.4%","762,974","40.7%","","4,810,126","86.1%","13.6%","8.0%","5.6%","3.0%","2.5%","0.3%","","4,863,300","96.6%","95.7%","69.5%","26.2%","0.9%","3.4%","","163,629","36.4%","63.6%","","208,694","45,065","17.1%","82.9%","163,629","23.5%","76.5%","","163,629","10.2%","33.1%","4.8%","0.4%","49.3%","2.3%","","4,576,657","94.9%","5.1%","2.1%","3.2%","1.4%","0.7%","0.2%","0.8%","0.4%","0.3%","0.1%","","4,863,300","15.0%","0.3%","0.1%","0.1%","0.7%","7.1%","1.5%","0.2%","6.3%","0.2%","0.2%","8.4%","1.8%","0.1%","0.3%","0.6%","0.0%","0.2%","1.6%","1.8%","0.0%","0.8%","0.3%","0.1%","0.1%","0.5%","0.2%","","1,852,518","83.9%","74.7%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","248,468","164,102","76,055","122,168","52,831","14,394","7,964","27,540","15,260","84,366","62,482","17,849","85,742","53,342","2.87","3.45","","714,068","248,468","121,833","231,173","48,579","64,015","22,101","","307,284","124,922","141,805","5,196","5,596","29,765","277,386","85,832","135,750","5,364","14,861","35,579","","9,728","3,340","35","55","13","94","24","","16,460","6,874","","1,282","916","1,403","3,273","6,874","3,939","5,560","","187,359","10,070","8,488","83,788","41,622","43,391","","478,951","10,392","22,585","133,928","129,650","40,819","90,861","50,716","(X)","(X)","","538,882","65,814","","718,419","87,152","186,839","7,335","457,184","50,330","74,396","29,487","","731,760","593,897","131,304","78,966","52,338","21,038","31,300","6,559","","741,894","684,530","664,942","301,971","362,971","19,588","57,364","","57,364","32,772","24,592","","76,952","19,588","4,437","15,151","57,364","13,845","43,519","","57,364","7,711","33,156","1,513","1,343","11,375","2,266","","689,399","575,378","114,021","36,804","25,759","8,246","16,803","2,735","39,391","18,819","32,068","7,004","","741,894","26,193","2,006","3,362","4,892","10,536","58,936","20,895","5,321","108,811","3,804","1,872","70,790","20,779","953","24,996","15,702","1,691","8,722","9,889","20,063","1,135","2,807","17,945","3,009","1,648","6,600","1,890","","248,468","233,222","213,002"
"    Percent","","248,468","66.0%","30.6%","49.2%","21.3%","5.8%","3.2%","11.1%","6.1%","34.0%","25.1%","7.2%","34.5%","21.5%","(X)","(X)","","714,068","34.8%","17.1%","32.4%","6.8%","9.0%","3.1%","","307,284","40.7%","46.1%","1.7%","1.8%","9.7%","277,386","30.9%","48.9%","1.9%","5.4%","12.8%","","9,728","34.3%","(X)","(X)","(X)","(X)","(X)","","16,460","41.8%","","7.8%","5.6%","8.5%","19.9%","6,874","57.3%","80.9%","","187,359","5.4%","4.5%","44.7%","22.2%","23.2%","","478,951","2.2%","4.7%","28.0%","27.1%","8.5%","19.0%","10.6%","93.1%","29.6%","","538,882","12.2%","","718,419","12.1%","186,839","3.9%","457,184","11.0%","74,396","39.6%","","731,760","81.2%","17.9%","10.8%","7.2%","2.9%","4.3%","0.9%","","741,894","92.3%","89.6%","40.7%","48.9%","2.6%","7.7%","","57,364","57.1%","42.9%","","76,952","19,588","22.7%","77.3%","57,364","24.1%","75.9%","","57,364","13.4%","57.8%","2.6%","2.3%","19.8%","4.0%","","689,399","83.5%","16.5%","5.3%","3.7%","1.2%","2.4%","0.4%","5.7%","2.7%","4.7%","1.0%","","741,894","3.5%","0.3%","0.5%","0.7%","1.4%","7.9%","2.8%","0.7%","14.7%","0.5%","0.3%","9.5%","2.8%","0.1%","3.4%","2.1%","0.2%","1.2%","1.3%","2.7%","0.2%","0.4%","2.4%","0.4%","0.2%","0.9%","0.3%","","248,468","93.9%","85.7%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,519,052","1,648,739","671,482","1,194,185","440,131","137,509","61,705","317,045","169,646","870,313","687,147","276,658","774,762","805,588","2.69","3.30","","6,774,192","2,519,052","1,194,196","2,017,562","581,886","461,496","173,707","","2,754,161","1,021,830","1,320,772","37,733","77,226","296,600","2,825,145","838,293","1,292,793","55,708","239,146","399,205","","81,297","31,149","34","51","15","87","28","","183,388","73,870","","16,515","14,739","11,666","30,950","73,870","44,853","52,445","","1,761,534","85,986","90,003","733,630","380,417","471,498","","4,626,409","265,215","349,224","1,105,497","1,179,736","390,843","835,779","500,115","(X)","(X)","","5,282,856","485,094","","6,824,645","896,919","1,629,040","67,478","4,036,165","432,087","1,159,440","397,354","","6,851,836","5,586,753","1,211,334","811,714","399,620","126,363","273,257","53,749","","6,931,071","5,996,188","5,900,245","2,734,815","3,165,430","95,943","934,883","","934,883","399,036","535,847","","1,030,826","95,943","15,331","80,612","934,883","154,196","780,687","","934,770","86,022","191,977","30,428","5,839","575,803","44,701","","6,494,749","4,736,134","1,758,615","574,598","1,324,116","444,586","123,526","27,954","134,330","53,208","176,643","48,850","","6,931,071","259,292","46,760","28,735","41,479","85,314","553,797","147,960","32,038","903,629","22,619","24,425","609,192","289,005","9,523","111,574","151,011","16,169","54,001","56,264","128,193","9,146","39,245","95,274","17,596","16,024","47,166","11,024","","2,519,052","2,286,874","2,093,778"
"    Percent","","2,519,052","65.5%","26.7%","47.4%","17.5%","5.5%","2.4%","12.6%","6.7%","34.5%","27.3%","11.0%","30.8%","32.0%","(X)","(X)","","6,774,192","37.2%","17.6%","29.8%","8.6%","6.8%","2.6%","","2,754,161","37.1%","48.0%","1.4%","2.8%","10.8%","2,825,145","29.7%","45.8%","2.0%","8.5%","14.1%","","81,297","38.3%","(X)","(X)","(X)","(X)","(X)","","183,388","40.3%","","9.0%","8.0%","6.4%","16.9%","73,870","60.7%","71.0%","","1,761,534","4.9%","5.1%","41.6%","21.6%","26.8%","","4,626,409","5.7%","7.5%","23.9%","25.5%","8.4%","18.1%","10.8%","86.7%","28.9%","","5,282,856","9.2%","","6,824,645","13.1%","1,629,040","4.1%","4,036,165","10.7%","1,159,440","34.3%","","6,851,836","81.5%","17.7%","11.8%","5.8%","1.8%","4.0%","0.8%","","6,931,071","86.5%","85.1%","39.5%","45.7%","1.4%","13.5%","","934,883","42.7%","57.3%","","1,030,826","95,943","16.0%","84.0%","934,883","16.5%","83.5%","","934,770","9.2%","20.5%","3.3%","0.6%","61.6%","4.8%","","6,494,749","72.9%","27.1%","8.8%","20.4%","6.8%","1.9%","0.4%","2.1%","0.8%","2.7%","0.8%","","6,931,071","3.7%","0.7%","0.4%","0.6%","1.2%","8.0%","2.1%","0.5%","13.0%","0.3%","0.4%","8.8%","4.2%","0.1%","1.6%","2.2%","0.2%","0.8%","0.8%","1.8%","0.1%","0.6%","1.4%","0.3%","0.2%","0.7%","0.2%","","2,519,052","90.8%","83.1%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
