"GEO_ID","NAME","B25101_001E","B25101_001EA","B25101_001M","B25101_001MA","B25101_002E","B25101_002EA","B25101_002M","B25101_002MA","B25101_003E","B25101_003M","B25101_003MA","B25101_003EA","B25101_004E","B25101_004M","B25101_004MA","B25101_004EA","B25101_005E","B25101_005M","B25101_005MA","B25101_005EA","B25101_006E","B25101_006EA","B25101_006M","B25101_006MA","B25101_007E","B25101_007EA","B25101_007M","B25101_007MA","B25101_008E","B25101_008EA","B25101_008M","B25101_008MA","B25101_009E","B25101_009M","B25101_009MA","B25101_009EA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012EA","B25101_012M","B25101_012MA","B25101_013E","B25101_013EA","B25101_013M","B25101_013MA","B25101_014E","B25101_014M","B25101_014MA","B25101_014EA","B25101_015E","B25101_015M","B25101_015MA","B25101_015EA","B25101_016E","B25101_016M","B25101_016MA","B25101_016EA","B25101_017E","B25101_017EA","B25101_017M","B25101_017MA","B25101_018E","B25101_018EA","B25101_018M","B25101_018MA","B25101_019E","B25101_019EA","B25101_019M","B25101_019MA","B25101_020E","B25101_020M","B25101_020MA","B25101_020EA","B25101_021E","B25101_021M","B25101_021MA","B25101_021EA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023M","B25101_023MA","B25101_023EA","B25101_024E","B25101_024M","B25101_024MA","B25101_024EA","B25101_025E","B25101_025EA","B25101_025M","B25101_025MA","B25101_026E","B25101_026M","B25101_026MA","B25101_026EA","B25101_027E","B25101_027M","B25101_027MA","B25101_027EA","B25101_028E","B25101_028M","B25101_028MA","B25101_028EA","B25101_029E","B25101_029EA","B25101_029M","B25101_029MA","B25101_030E","B25101_030M","B25101_030MA","B25101_030EA","B25101_031E","B25101_031M","B25101_031MA","B25101_031EA","B25101_032E","B25101_032M","B25101_032MA","B25101_032EA","B25101_033E","B25101_033M","B25101_033MA","B25101_033EA","B25101_034E","B25101_034EA","B25101_034M","B25101_034MA","B25101_035E","B25101_035M","B25101_035MA","B25101_035EA","B25101_036E","B25101_036M","B25101_036MA","B25101_036EA","B25101_037E","B25101_037M","B25101_037MA","B25101_037EA","B25101_038E","B25101_038M","B25101_038MA","B25101_038EA","B25101_039E","B25101_039M","B25101_039MA","B25101_039EA","B25101_040E","B25101_040EA","B25101_040M","B25101_040MA","B25101_041E","B25101_041EA","B25101_041M","B25101_041MA","B25101_042E","B25101_042M","B25101_042MA","B25101_042EA","B25101_043E","B25101_043M","B25101_043MA","B25101_043EA","B25101_044E","B25101_044M","B25101_044MA","B25101_044EA","B25101_045E","B25101_045EA","B25101_045M","B25101_045MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!With a mortgage","Annotation of Estimate!!Total!!With a mortgage","Margin of Error!!Total!!With a mortgage","Annotation of Margin of Error!!Total!!With a mortgage","Estimate!!Total!!With a mortgage!!Less than $20,000","Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000","Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$75,000 or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more","Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Estimate!!Total!!With a mortgage!!Zero or negative income","Margin of Error!!Total!!With a mortgage!!Zero or negative income","Annotation of Margin of Error!!Total!!With a mortgage!!Zero or negative income","Annotation of Estimate!!Total!!With a mortgage!!Zero or negative income","Estimate!!Total!!Not mortgaged","Margin of Error!!Total!!Not mortgaged","Annotation of Margin of Error!!Total!!Not mortgaged","Annotation of Estimate!!Total!!Not mortgaged","Estimate!!Total!!Not mortgaged!!Less than $20,000","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000","Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$75,000 or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Estimate!!Total!!Not mortgaged!!Zero or negative income","Annotation of Estimate!!Total!!Not mortgaged!!Zero or negative income","Margin of Error!!Total!!Not mortgaged!!Zero or negative income","Annotation of Margin of Error!!Total!!Not mortgaged!!Zero or negative income",
"0100000US","United States","75022569","null","227992","null","47295137","null","142942","null","2353625","26121","null","null","7232","1572","null","null","31875","2560","null","null","2314518","null","25629","null","3730588","null","32518","null","107861","null","4906","null","513065","10079","null","null","3109662","29832","null","null","4725879","32908","null","null","546842","null","11006","null","1517538","null","19580","null","2661499","26175","null","null","8675808","49056","null","null","2528529","23281","null","null","3382768","null","28339","null","2764511","null","25960","null","27561716","null","91241","null","18189001","65594","null","null","6912800","36726","null","null","2459915","24403","null","null","247521","7684","null","null","27727432","112623","null","null","4317071","null","34398","null","831704","14439","null","null","911428","15350","null","null","2573939","26632","null","null","4854842","null","36263","null","2810622","27231","null","null","1214549","14915","null","null","829671","13096","null","null","4055433","29211","null","null","3328427","null","27973","null","526394","10490","null","null","200612","6849","null","null","4979268","38419","null","null","4615859","36417","null","null","281166","7861","null","null","82243","null","3664","null","9114895","null","49867","null","8966813","50079","null","null","122483","4367","null","null","25599","2501","null","null","405923","null","9169","null",
"0400000US01","Alabama","1268138","null","12239","null","717843","null","11167","null","56501","3895","null","null","367","272","null","null","955","425","null","null","55179","null","3882","null","77475","null","3456","null","3240","null","916","null","15808","1536","null","null","58427","3185","null","null","85705","4207","null","null","17372","null","1880","null","33086","null","2171","null","35247","3190","null","null","142485","6369","null","null","64411","3875","null","null","56367","null","3860","null","21707","null","2423","null","350799","null","8319","null","288534","7877","null","null","53064","3993","null","null","9201","1428","null","null","4878","1031","null","null","550295","9184","null","null","115158","null","5031","null","33367","2724","null","null","30638","2975","null","null","51153","3239","null","null","111667","null","5255","null","88515","4633","null","null","18479","2089","null","null","4673","794","null","null","85686","3925","null","null","82212","null","3845","null","2704","670","null","null","770","367","null","null","95597","4295","null","null","94599","4215","null","null","837","441","null","null","161","null","158","null","129730","null","5260","null","129600","5250","null","null","130","132","null","null","0","195","null","null","12457","null","1869","null",
"0400000US02","Alaska","160215","null","3268","null","101016","null","3243","null","2791","1038","null","null","11","18","null","null","12","20","null","null","2768","null","1035","null","4363","null","900","null","138","null","140","null","242","155","null","null","3983","862","null","null","6707","1185","null","null","387","null","204","null","1181","null","531","null","5139","995","null","null","16445","2042","null","null","2350","816","null","null","5440","null","893","null","8655","null","1561","null","70334","null","2919","null","40419","2413","null","null","22112","2249","null","null","7803","1403","null","null","376","287","null","null","59199","2844","null","null","6490","null","900","null","1502","434","null","null","933","274","null","null","4055","795","null","null","8096","null","1091","null","3284","509","null","null","2627","653","null","null","2185","685","null","null","6301","925","null","null","5227","null","870","null","697","274","null","null","377","283","null","null","10667","1355","null","null","10371","1331","null","null","296","234","null","null","0","null","155","null","27122","null","2164","null","26716","2137","null","null","240","346","null","null","166","199","null","null","523","null","329","null",
"0400000US04","Arizona","1593014","null","12380","null","1021023","null","12480","null","64274","4389","null","null","191","174","null","null","991","553","null","null","63092","null","4335","null","94434","null","5157","null","2515","null","681","null","10663","1545","null","null","81256","5022","null","null","119623","4891","null","null","12425","null","1709","null","43213","null","3096","null","63985","3949","null","null","205215","7178","null","null","60954","3770","null","null","89686","null","5101","null","54575","null","3680","null","527948","null","9874","null","385600","8765","null","null","116627","5460","null","null","25721","2428","null","null","9529","1957","null","null","571991","9630","null","null","98883","null","4183","null","25013","2525","null","null","19967","1957","null","null","53903","3240","null","null","106451","null","4802","null","74288","3699","null","null","21604","2438","null","null","10559","1462","null","null","89438","4006","null","null","81454","null","3931","null","6068","1173","null","null","1916","590","null","null","98801","4923","null","null","96647","4883","null","null","1720","600","null","null","434","null","252","null","165847","null","6106","null","165196","6094","null","null","573","333","null","null","78","128","null","null","12571","null","1473","null",
"0400000US05","Arkansas","737632","null","8928","null","401122","null","9133","null","27783","2448","null","null","11","18","null","null","843","344","null","null","26929","null","2502","null","45065","null","2998","null","2684","null","804","null","13058","1618","null","null","29323","2840","null","null","56132","3513","null","null","14404","null","1772","null","26449","null","2263","null","15279","1902","null","null","89153","5140","null","null","48056","3491","null","null","32143","null","3156","null","8954","null","1463","null","181401","null","6428","null","156871","6024","null","null","21091","2239","null","null","3439","937","null","null","1588","558","null","null","336510","7341","null","null","69522","null","3574","null","23617","2277","null","null","17303","1929","null","null","28602","2656","null","null","69198","null","3160","null","57424","2997","null","null","9188","1298","null","null","2586","793","null","null","52410","3521","null","null","50408","null","3302","null","1860","661","null","null","142","116","null","null","59625","3365","null","null","59144","3319","null","null","428","281","null","null","53","null","72","null","79800","null","3506","null","79410","3556","null","null","325","299","null","null","65","90","null","null","5955","null","1289","null",
"0400000US06","California","6943428","null","26799","null","4933660","null","28006","null","208662","6604","null","null","682","465","null","null","663","365","null","null","207317","null","6565","null","302433","null","8551","null","3552","null","815","null","12443","1646","null","null","286438","8365","null","null","382512","8082","null","null","14884","null","1809","null","54104","null","3483","null","313524","7236","null","null","731029","15244","null","null","73891","3788","null","null","195966","null","8019","null","461172","null","10206","null","3281529","null","22732","null","1549028","18226","null","null","1095836","15221","null","null","636665","11564","null","null","27495","2690","null","null","2009768","16405","null","null","265790","null","6911","null","39953","2686","null","null","40371","2541","null","null","185466","6456","null","null","304284","null","7020","null","145091","5888","null","null","80105","3901","null","null","79088","3838","null","null","253108","6540","null","null","185636","null","5316","null","47736","3293","null","null","19736","1634","null","null","341068","7391","null","null","301304","6725","null","null","31333","2446","null","null","8431","null","1150","null","815561","null","11426","null","797038","11331","null","null","15489","1583","null","null","3034","748","null","null","29957","null","2576","null",
"0400000US08","Colorado","1365832","null","12605","null","978072","null","11670","null","40496","2926","null","null","51","84","null","null","423","293","null","null","40022","null","2870","null","67431","null","3653","null","1071","null","521","null","4811","800","null","null","61549","3547","null","null","88979","4172","null","null","5534","null","1006","null","23278","null","1983","null","60167","3825","null","null","175395","5761","null","null","33529","2905","null","null","78133","null","4128","null","63733","null","3899","null","601682","null","9075","null","401255","7787","null","null","161648","5072","null","null","38779","2684","null","null","4089","942","null","null","387760","7823","null","null","52074","null","3358","null","8309","1205","null","null","10384","1204","null","null","33381","2818","null","null","60336","null","3608","null","37019","2502","null","null","15810","1811","null","null","7507","1180","null","null","52941","2840","null","null","47176","null","2698","null","4452","1016","null","null","1313","467","null","null","68185","2572","null","null","65949","2539","null","null","1617","511","null","null","619","null","396","null","149606","null","4976","null","148957","4987","null","null","615","303","null","null","34","61","null","null","4618","null","933","null",
"0400000US09","Connecticut","879073","null","9745","null","597176","null","10394","null","16725","1795","null","null","0","200","null","null","15","25","null","null","16710","null","1795","null","28068","null","2602","null","195","null","193","null","419","259","null","null","27454","2630","null","null","39834","3317","null","null","932","null","488","null","3673","null","883","null","35229","3031","null","null","85634","4546","null","null","6302","1147","null","null","28831","null","2862","null","50501","null","3366","null","424894","null","8069","null","238096","5199","null","null","133581","5171","null","null","53217","3078","null","null","2021","719","null","null","281897","7027","null","null","26139","null","2259","null","428","216","null","null","1970","644","null","null","23741","2247","null","null","39417","null","2449","null","5224","941","null","null","11897","1608","null","null","22296","1753","null","null","33988","2792","null","null","12458","null","1557","null","14927","2005","null","null","6603","1035","null","null","47237","2586","null","null","35829","2284","null","null","8890","1156","null","null","2518","null","575","null","133138","null","4765","null","128272","4577","null","null","4456","749","null","null","410","219","null","null","1978","null","554","null",
"0400000US10","Delaware","245005","null","4786","null","157296","null","4532","null","6577","1157","null","null","0","193","null","null","15","26","null","null","6562","null","1159","null","12612","null","1629","null","344","null","248","null","1001","592","null","null","11267","1634","null","null","15491","2309","null","null","1295","null","435","null","4522","null","1090","null","9674","1733","null","null","30268","2554","null","null","6515","1080","null","null","13419","null","1802","null","10334","null","1684","null","90575","null","3846","null","63389","3442","null","null","22458","2063","null","null","4728","928","null","null","1773","905","null","null","87709","4055","null","null","11400","null","1690","null","1618","604","null","null","2401","656","null","null","7381","1446","null","null","14093","null","1528","null","9039","1245","null","null","3276","759","null","null","1778","620","null","null","14374","1997","null","null","13040","null","1885","null","1047","424","null","null","287","236","null","null","15264","1721","null","null","14612","1711","null","null","652","428","null","null","0","null","193","null","30839","null","2549","null","30777","2543","null","null","47","65","null","null","15","26","null","null","1739","null","578","null",
