"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0400000US01","Alabama","9508","247","null","null","26422","null","389","null","46196","null","568","null","74857","null","777","null","166178","null","3189","null","294861","null","10817","null",
"0400000US02","Alaska","19349","1099","null","null","48817","null","1542","null","76333","null","1940","null","112497","null","2376","null","209564","null","8835","null","330720","null","26448","null",
"0400000US04","Arizona","11972","263","null","null","32628","null","361","null","53917","null","517","null","84262","null","703","null","187485","null","3627","null","333819","null","12701","null",
"0400000US05","Arkansas","10031","338","null","null","26391","null","533","null","44430","null","668","null","69969","null","885","null","155015","null","3640","null","272200","null","12107","null",
"0400000US06","California","14305","125","null","null","39309","null","209","null","68154","null","276","null","109744","null","434","null","253291","null","1677","null","452692","null","4971","null",
"0400000US08","Colorado","15499","341","null","null","40172","null","487","null","65818","null","644","null","100905","null","803","null","218835","null","3667","null","383866","null","11803","null",
"0400000US09","Connecticut","15741","410","null","null","42703","null","699","null","73760","null","889","null","116405","null","1193","null","277666","null","5370","null","522947","null","16478","null",
"0400000US10","Delaware","14451","973","null","null","37565","null","1347","null","61994","null","1650","null","94054","null","2084","null","198683","null","7356","null","346872","null","22740","null",
"0400000US11","District of Columbia","8923","892","null","null","36899","null","2075","null","76079","null","3052","null","130353","null","4107","null","319906","null","17358","null","588187","null","51208","null",
"0400000US12","Florida","11909","150","null","null","30975","null","204","null","50888","null","292","null","80220","null","436","null","189928","null","2035","null","354666","null","6877","null",
"0400000US13","Georgia","11655","252","null","null","31898","null","362","null","54055","null","543","null","85194","null","606","null","194012","null","2974","null","350289","null","9371","null",
"0400000US15","Hawaii","16302","923","null","null","45836","null","1457","null","74970","null","1462","null","113595","null","1855","null","228816","null","5493","null","375056","null","16703","null",
"0400000US16","Idaho","11935","573","null","null","32145","null","862","null","52057","null","1094","null","78288","null","1588","null","165604","null","6747","null","291441","null","21888","null",
"0400000US17","Illinois","12726","188","null","null","35388","null","325","null","61140","null","453","null","96936","null","559","null","216616","null","2470","null","388164","null","7761","null",
"0400000US18","Indiana","12561","227","null","null","32189","null","266","null","52672","null","448","null","80413","null","628","null","170226","null","2750","null","300287","null","9503","null",
"0400000US19","Iowa","13848","338","null","null","34618","null","446","null","56491","null","739","null","85653","null","905","null","177612","null","3701","null","311070","null","12766","null",
"0400000US20","Kansas","13259","335","null","null","33573","null","529","null","54904","null","765","null","84647","null","1055","null","180542","null","3312","null","316792","null","11436","null",
"0400000US21","Kentucky","9827","257","null","null","26950","null","484","null","46794","null","596","null","74752","null","874","null","165939","null","3563","null","298669","null","12149","null",
"0400000US22","Louisiana","9108","260","null","null","25242","null","521","null","45226","null","640","null","75478","null","819","null","173425","null","3698","null","307273","null","11612","null",
"0400000US23","Maine","12769","474","null","null","31688","null","781","null","53631","null","1161","null","82431","null","1466","null","171442","null","4833","null","296403","null","16002","null",
"0400000US24","Maryland","17263","358","null","null","47387","null","631","null","78911","null","740","null","120621","null","937","null","247827","null","3039","null","417811","null","9043","null",
"0400000US25","Massachusetts","14480","316","null","null","42130","null","571","null","75535","null","750","null","119142","null","937","null","258269","null","3118","null","451246","null","10168","null",
"0400000US26","Michigan","12030","178","null","null","31693","null","275","null","53027","null","378","null","83299","null","452","null","182855","null","1889","null","324714","null","6450","null",
"0400000US27","Minnesota","15847","267","null","null","40023","null","465","null","65768","null","574","null","100059","null","777","null","210378","null","3071","null","366152","null","10137","null",
"0400000US28","Mississippi","8794","278","null","null","23919","null","505","null","42247","null","713","null","68924","null","1111","null","150987","null","3918","null","262439","null","12978","null",
"0400000US29","Missouri","12383","252","null","null","31710","null","395","null","52026","null","470","null","80800","null","680","null","177438","null","3082","null","319831","null","10365","null",
"0400000US30","Montana","12371","493","null","null","30923","null","759","null","50251","null","1064","null","78242","null","1595","null","174752","null","7131","null","318997","null","25350","null",
"0400000US31","Nebraska","13650","477","null","null","34607","null","613","null","57047","null","794","null","87122","null","1075","null","180502","null","4346","null","311622","null","14047","null",
"0400000US32","Nevada","12973","516","null","null","33486","null","672","null","55059","null","849","null","84043","null","1125","null","181354","null","4508","null","322350","null","14610","null",
"0400000US33","New Hampshire","18304","775","null","null","44422","null","1137","null","71131","null","1475","null","105933","null","1943","null","214763","null","6558","null","353606","null","21502","null",
"0400000US34","New Jersey","15477","309","null","null","43352","null","464","null","76183","null","712","null","121560","null","884","null","269355","null","2766","null","470732","null","8135","null",
"0400000US35","New Mexico","9972","419","null","null","26746","null","708","null","46890","null","994","null","75379","null","1390","null","163587","null","4902","null","285896","null","15041","null",
"0400000US36","New York","12038","171","null","null","35028","null","321","null","63390","null","470","null","103586","null","585","null","252825","null","2358","null","478413","null","7837","null",
"0400000US37","North Carolina","11448","192","null","null","30253","null","322","null","50579","null","370","null","79628","null","558","null","180812","null","2952","null","328927","null","9491","null",
"0400000US38","North Dakota","13811","779","null","null","36890","null","1179","null","60576","null","1512","null","91760","null","1976","null","192888","null","9790","null","349871","null","32776","null",
"0400000US39","Ohio","11707","170","null","null","31436","null","262","null","52747","null","328","null","82081","null","508","null","179311","null","2341","null","319476","null","7718","null",
"0400000US40","Oklahoma","11104","270","null","null","29296","null","392","null","49223","null","449","null","77320","null","644","null","165790","null","2854","null","288723","null","9295","null",
"0400000US41","Oregon","13788","350","null","null","34699","null","559","null","57722","null","712","null","89494","null","962","null","191599","null","2978","null","332142","null","10816","null",
"0400000US42","Pennsylvania","12946","190","null","null","33899","null","291","null","57220","null","355","null","89856","null","452","null","196346","null","1760","null","346518","null","5846","null",
"0400000US44","Rhode Island","11913","643","null","null","33587","null","1221","null","60075","null","1834","null","95469","null","2012","null","205029","null","7951","null","368540","null","27024","null",
"0400000US45","South Carolina","10724","282","null","null","29491","null","423","null","49483","null","506","null","77842","null","739","null","171903","null","3619","null","307548","null","12316","null",
"0400000US46","South Dakota","12993","628","null","null","33953","null","885","null","54584","null","1143","null","81753","null","1407","null","173642","null","8978","null","316839","null","29624","null",
"0400000US47","Tennessee","11175","243","null","null","29172","null","383","null","48607","null","543","null","76490","null","671","null","175078","null","2678","null","321129","null","8938","null",
"0400000US48","Texas","12990","149","null","null","33899","null","230","null","57007","null","285","null","90991","null","444","null","206844","null","1662","null","369694","null","5303","null",
"0400000US49","Utah","17654","520","null","null","42817","null","806","null","66046","null","897","null","96507","null","1137","null","197559","null","5444","null","347186","null","17498","null",
"0400000US50","Vermont","13383","697","null","null","33915","null","1297","null","57774","null","1618","null","88913","null","2066","null","185283","null","6786","null","321194","null","20555","null",
"0400000US51","Virginia","15078","320","null","null","40746","null","485","null","68506","null","589","null","108009","null","628","null","237356","null","3080","null","407579","null","10383","null",
"0400000US53","Washington","15667","309","null","null","41135","null","505","null","67430","null","652","null","103433","null","839","null","223908","null","4010","null","393825","null","13373","null",
"0400000US54","West Virginia","9727","384","null","null","25548","null","650","null","43929","null","812","null","70378","null","1105","null","151240","null","5063","null","263434","null","16071","null",
"0400000US55","Wisconsin","13970","239","null","null","34916","null","345","null","57104","null","539","null","86866","null","552","null","182707","null","2644","null","326474","null","9339","null",
"0400000US56","Wyoming","14424","754","null","null","35669","null","1346","null","59567","null","1954","null","90239","null","2343","null","177973","null","9076","null","303152","null","28637","null",
