"GEO_ID","NAME","B25101_001E","B25101_001M","B25101_001MA","B25101_001EA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003M","B25101_003MA","B25101_003EA","B25101_004E","B25101_004M","B25101_004MA","B25101_004EA","B25101_005E","B25101_005M","B25101_005MA","B25101_005EA","B25101_006E","B25101_006EA","B25101_006M","B25101_006MA","B25101_007E","B25101_007M","B25101_007MA","B25101_007EA","B25101_008E","B25101_008EA","B25101_008M","B25101_008MA","B25101_009E","B25101_009EA","B25101_009M","B25101_009MA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012EA","B25101_012M","B25101_012MA","B25101_013E","B25101_013EA","B25101_013M","B25101_013MA","B25101_014E","B25101_014EA","B25101_014M","B25101_014MA","B25101_015E","B25101_015EA","B25101_015M","B25101_015MA","B25101_016E","B25101_016M","B25101_016MA","B25101_016EA","B25101_017E","B25101_017EA","B25101_017M","B25101_017MA","B25101_018E","B25101_018EA","B25101_018M","B25101_018MA","B25101_019E","B25101_019EA","B25101_019M","B25101_019MA","B25101_020E","B25101_020EA","B25101_020M","B25101_020MA","B25101_021E","B25101_021M","B25101_021MA","B25101_021EA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023EA","B25101_023M","B25101_023MA","B25101_024E","B25101_024EA","B25101_024M","B25101_024MA","B25101_025E","B25101_025EA","B25101_025M","B25101_025MA","B25101_026E","B25101_026M","B25101_026MA","B25101_026EA","B25101_027E","B25101_027M","B25101_027MA","B25101_027EA","B25101_028E","B25101_028EA","B25101_028M","B25101_028MA","B25101_029E","B25101_029EA","B25101_029M","B25101_029MA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031M","B25101_031MA","B25101_031EA","B25101_032E","B25101_032M","B25101_032MA","B25101_032EA","B25101_033E","B25101_033M","B25101_033MA","B25101_033EA","B25101_034E","B25101_034EA","B25101_034M","B25101_034MA","B25101_035E","B25101_035EA","B25101_035M","B25101_035MA","B25101_036E","B25101_036M","B25101_036MA","B25101_036EA","B25101_037E","B25101_037M","B25101_037MA","B25101_037EA","B25101_038E","B25101_038M","B25101_038MA","B25101_038EA","B25101_039E","B25101_039EA","B25101_039M","B25101_039MA","B25101_040E","B25101_040M","B25101_040MA","B25101_040EA","B25101_041E","B25101_041M","B25101_041MA","B25101_041EA","B25101_042E","B25101_042EA","B25101_042M","B25101_042MA","B25101_043E","B25101_043M","B25101_043MA","B25101_043EA","B25101_044E","B25101_044M","B25101_044MA","B25101_044EA","B25101_045E","B25101_045EA","B25101_045M","B25101_045MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With a mortgage","Margin of Error!!Total!!With a mortgage","Annotation of Margin of Error!!Total!!With a mortgage","Annotation of Estimate!!Total!!With a mortgage","Estimate!!Total!!With a mortgage!!Less than $20,000","Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000","Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$75,000 or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more","Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Estimate!!Total!!With a mortgage!!Zero or negative income","Annotation of Estimate!!Total!!With a mortgage!!Zero or negative income","Margin of Error!!Total!!With a mortgage!!Zero or negative income","Annotation of Margin of Error!!Total!!With a mortgage!!Zero or negative income","Estimate!!Total!!Not mortgaged","Annotation of Estimate!!Total!!Not mortgaged","Margin of Error!!Total!!Not mortgaged","Annotation of Margin of Error!!Total!!Not mortgaged","Estimate!!Total!!Not mortgaged!!Less than $20,000","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000","Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$75,000 or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more","Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Estimate!!Total!!Not mortgaged!!Zero or negative income","Annotation of Estimate!!Total!!Not mortgaged!!Zero or negative income","Margin of Error!!Total!!Not mortgaged!!Zero or negative income","Annotation of Margin of Error!!Total!!Not mortgaged!!Zero or negative income",
"0100000US","United States","76684018","243713","null","null","48168243","156666","null","null","2265996","26413","null","null","6452","1173","null","null","27889","2614","null","null","2231655","null","26069","null","3566056","31836","null","null","98041","null","4575","null","488267","null","10939","null","2979748","31269","null","null","4566280","37459","null","null","517268","null","10536","null","1435635","null","18745","null","2613377","null","27489","null","8544492","null","56614","null","2482433","28804","null","null","3302903","null","33973","null","2759156","null","27474","null","28971151","null","110400","null","19079779","null","85266","null","7298937","46148","null","null","2592435","26428","null","null","254268","null","9816","null","28515775","null","114430","null","4260127","null","34437","null","798210","13843","null","null","886664","13080","null","null","2575253","null","26649","null","4817027","null","31560","null","2735146","null","24909","null","1212108","14393","null","null","869773","12650","null","null","4062314","33718","null","null","3282496","null","28170","null","561570","null","11045","null","218248","6394","null","null","5121337","38219","null","null","4718826","38090","null","null","308256","null","9152","null","94255","4499","null","null","9837313","55539","null","null","9667597","null","55968","null","141163","5595","null","null","28553","2476","null","null","417657","null","10469","null",
"0400000US01","Alabama","1253199","12678","null","null","706185","12254","null","null","49593","3314","null","null","166","149","null","null","1205","560","null","null","48222","null","3265","null","70885","4407","null","null","3275","null","807","null","14961","null","1942","null","52649","3885","null","null","83271","5107","null","null","17417","null","2333","null","34314","null","3003","null","31540","null","3353","null","146556","null","5713","null","68259","3792","null","null","57127","null","3333","null","21170","null","2674","null","351221","null","8841","null","291491","null","8143","null","50772","3102","null","null","8958","1363","null","null","4659","null","1194","null","547014","null","10244","null","108857","null","4894","null","32154","2724","null","null","30017","2377","null","null","46686","null","3554","null","106948","null","4731","null","85102","null","4421","null","17968","1772","null","null","3878","928","null","null","82109","3994","null","null","78377","null","4096","null","2989","null","773","null","743","443","null","null","99352","4628","null","null","97930","4556","null","null","1210","null","483","null","212","197","null","null","140388","5492","null","null","140300","null","5487","null","39","66","null","null","49","80","null","null","9360","null","1488","null",
"0400000US02","Alaska","159344","3559","null","null","102297","3493","null","null","3230","795","null","null","49","45","null","null","19","23","null","null","3162","null","801","null","5215","1047","null","null","117","null","79","null","569","null","327","null","4529","995","null","null","7240","1451","null","null","455","null","231","null","1055","null","528","null","5730","null","1416","null","15288","null","1816","null","1308","390","null","null","5151","null","980","null","8829","null","1347","null","70937","null","2991","null","41982","null","2696","null","21384","1552","null","null","7571","1270","null","null","387","null","194","null","57047","null","2852","null","7284","null","993","null","1647","395","null","null","941","228","null","null","4696","null","892","null","7688","null","1019","null","3282","null","580","null","1795","407","null","null","2611","812","null","null","6700","1173","null","null","4354","null","706","null","2200","null","861","null","146","109","null","null","11510","1527","null","null","10531","1444","null","null","913","null","412","null","66","87","null","null","23330","1903","null","null","23240","null","1917","null","90","98","null","null","0","153","null","null","535","null","233","null",
"0400000US04","Arizona","1652321","12356","null","null","1064351","11053","null","null","57900","3475","null","null","34","50","null","null","822","388","null","null","57044","null","3409","null","98268","5424","null","null","2998","null","812","null","13186","null","2027","null","82084","4712","null","null","120361","5220","null","null","11397","null","1645","null","40833","null","3115","null","68131","null","4020","null","202392","null","7239","null","56564","3307","null","null","90875","null","5182","null","54953","null","3722","null","575752","null","8229","null","415007","null","8724","null","125937","5216","null","null","34808","3217","null","null","9678","null","1775","null","587970","null","9396","null","97024","null","4390","null","25821","2370","null","null","21527","1969","null","null","49676","null","3077","null","98263","null","3953","null","65954","null","3175","null","20247","2010","null","null","12062","1588","null","null","83807","4462","null","null","75195","null","4244","null","6898","null","1003","null","1714","585","null","null","107451","4537","null","null","104061","4507","null","null","2781","null","970","null","609","480","null","null","188904","5913","null","null","188160","null","5907","null","679","417","null","null","65","79","null","null","12521","null","1730","null",
"0400000US05","Arkansas","752399","11287","null","null","416168","10084","null","null","30627","2627","null","null","67","121","null","null","1194","560","null","null","29366","null","2519","null","42918","3452","null","null","2837","null","867","null","11263","null","1792","null","28818","2591","null","null","53837","4228","null","null","13979","null","2027","null","23838","null","2672","null","16020","null","2459","null","89343","null","5068","null","46612","3825","null","null","33885","null","3045","null","8846","null","1462","null","196544","null","5877","null","169806","null","5779","null","22110","2175","null","null","4628","1383","null","null","2899","null","925","null","336231","null","7826","null","66156","null","3803","null","19992","1905","null","null","19834","2122","null","null","26330","null","2412","null","69368","null","3770","null","56284","null","3481","null","10585","1355","null","null","2499","735","null","null","55543","3510","null","null","52808","null","3267","null","2332","null","768","null","403","362","null","null","61484","3885","null","null","60933","3812","null","null","465","null","315","null","86","146","null","null","79881","4528","null","null","79818","null","4510","null","63","110","null","null","0","201","null","null","3799","null","936","null",
"0400000US06","California","7125090","26839","null","null","5026144","24796","null","null","200343","6133","null","null","207","203","null","null","1023","450","null","null","199113","null","6232","null","292711","7440","null","null","3013","null","921","null","11892","null","1859","null","277806","7390","null","null","363068","9132","null","null","12360","null","1923","null","45657","null","3334","null","305051","null","8719","null","691382","null","12433","null","67065","4017","null","null","175801","null","6900","null","448516","null","10670","null","3451005","null","20338","null","1598411","null","15291","null","1163396","13861","null","null","689198","11405","null","null","27635","null","2790","null","2098946","null","18787","null","273109","null","7944","null","36721","2611","null","null","41473","2913","null","null","194915","null","7119","null","300624","null","8751","null","125477","null","5523","null","84483","4317","null","null","90664","4102","null","null","250751","7171","null","null","174307","null","5541","null","52062","null","3012","null","24382","2282","null","null","340414","7286","null","null","293667","6799","null","null","35358","null","3046","null","11389","1753","null","null","902255","12749","null","null","880311","null","12700","null","17721","1807","null","null","4223","917","null","null","31793","null","2537","null",
"0400000US08","Colorado","1394824","10847","null","null","994409","10836","null","null","40589","2950","null","null","27","46","null","null","158","142","null","null","40404","null","2946","null","56344","3698","null","null","1670","null","720","null","4835","null","994","null","49839","3538","null","null","86161","4426","null","null","6200","null","1039","null","19940","null","2158","null","60021","null","4142","null","162877","null","6799","null","30045","3040","null","null","65823","null","3619","null","67009","null","3635","null","643153","null","8499","null","412161","null","7388","null","179076","5554","null","null","51916","4131","null","null","5285","null","1446","null","400415","null","7760","null","51518","null","3310","null","7736","1208","null","null","10651","1659","null","null","33131","null","2661","null","59551","null","3419","null","34680","null","2666","null","15758","1752","null","null","9113","1511","null","null","55332","3478","null","null","47907","null","3188","null","6468","null","1182","null","957","452","null","null","72309","3583","null","null","70178","3566","null","null","1743","null","556","null","388","229","null","null","155728","4631","null","null","154599","null","4672","null","1008","448","null","null","121","145","null","null","5977","null","1290","null",
"0400000US09","Connecticut","898234","7622","null","null","611242","8820","null","null","17366","2158","null","null","0","207","null","null","0","207","null","null","17366","null","2158","null","30179","2578","null","null","120","null","114","null","833","null","443","null","29226","2630","null","null","43134","2866","null","null","740","null","404","null","4001","null","1014","null","38393","null","2727","null","88146","null","4639","null","7668","1613","null","null","29565","null","2840","null","50913","null","3556","null","430171","null","8470","null","239387","null","6726","null","138311","5728","null","null","52473","3034","null","null","2246","null","819","null","286992","null","5911","null","26358","null","2340","null","289","261","null","null","1427","549","null","null","24642","null","2190","null","34651","null","2827","null","3519","null","776","null","9290","1368","null","null","21842","2319","null","null","35273","2627","null","null","11474","null","1673","null","16019","null","1729","null","7780","1234","null","null","51720","3088","null","null","37820","3113","null","null","10573","null","1296","null","3327","905","null","null","136071","4435","null","null","130842","null","4335","null","4291","872","null","null","938","348","null","null","2919","null","793","null",
"0400000US10","Delaware","253948","5292","null","null","164071","5348","null","null","8529","1540","null","null","0","198","null","null","7","12","null","null","8522","null","1540","null","11443","1627","null","null","171","null","146","null","912","null","361","null","10360","1611","null","null","14719","1882","null","null","1189","null","564","null","2880","null","661","null","10650","null","1865","null","30461","null","2575","null","5916","1104","null","null","13728","null","1642","null","10817","null","1345","null","96363","null","4363","null","67089","null","3841","null","24448","2436","null","null","4826","1142","null","null","2556","null","952","null","89877","null","3601","null","13323","null","2247","null","1569","719","null","null","2759","928","null","null","8995","null","1655","null","13883","null","1554","null","8051","null","1299","null","3321","719","null","null","2511","624","null","null","12822","1662","null","null","11172","null","1452","null","1168","null","516","null","482","372","null","null","15940","2004","null","null","15455","1942","null","null","341","null","248","null","144","186","null","null","31877","2292","null","null","31779","null","2326","null","98","150","null","null","0","198","null","null","2032","null","863","null",
