"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0400000US01","Alabama","10238","null","244","null","27568","null","449","null","48163","584","null","null","77420","843","null","null","168297","null","3076","null","292846","null","11007","null",
"0400000US02","Alaska","18086","null","1114","null","46010","null","1888","null","74254","2396","null","null","111093","2540","null","null","213924","null","9221","null","350257","null","29691","null",
"0400000US04","Arizona","12885","null","321","null","34532","null","462","null","56923","523","null","null","88489","733","null","null","194425","null","2914","null","346084","null","9438","null",
"0400000US05","Arkansas","10614","null","333","null","27311","null","551","null","45965","678","null","null","72634","1045","null","null","161275","null","3497","null","285052","null","11716","null",
"0400000US06","California","15132","null","158","null","41713","null","243","null","72246","316","null","null","115587","425","null","null","264126","null","1954","null","469723","null","6162","null",
"0400000US08","Colorado","16411","null","385","null","42655","null","419","null","69255","627","null","null","106394","823","null","null","227608","null","3814","null","400791","null","12560","null",
"0400000US09","Connecticut","16521","null","501","null","44023","null","767","null","74358","1062","null","null","118229","1319","null","null","283969","null","6259","null","538012","null","19519","null",
"0400000US10","Delaware","12461","null","896","null","37201","null","1364","null","63430","1707","null","null","98204","2434","null","null","221586","null","11260","null","403507","null","37365","null",
"0400000US11","District of Columbia","10435","null","1114","null","42450","null","1956","null","83061","2468","null","null","136897","3672","null","null","332633","null","13782","null","596985","null","43598","null",
