"Label (Grouping)","HOUSEHOLDS BY TYPE","HOUSEHOLDS BY TYPE!!Total households","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years","HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over","HOUSEHOLDS BY TYPE!!Average household size","HOUSEHOLDS BY TYPE!!Average family size","RELATIONSHIP","RELATIONSHIP!!Population in households","RELATIONSHIP!!Population in households!!Householder","RELATIONSHIP!!Population in households!!Spouse","RELATIONSHIP!!Population in households!!Child","RELATIONSHIP!!Population in households!!Other relatives","RELATIONSHIP!!Population in households!!Nonrelatives","RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner","MARITAL STATUS","MARITAL STATUS!!Males 15 years and over","MARITAL STATUS!!Males 15 years and over!!Never married","MARITAL STATUS!!Males 15 years and over!!Now married, except separated","MARITAL STATUS!!Males 15 years and over!!Separated","MARITAL STATUS!!Males 15 years and over!!Widowed","MARITAL STATUS!!Males 15 years and over!!Divorced","MARITAL STATUS!!Females 15 years and over","MARITAL STATUS!!Females 15 years and over!!Never married","MARITAL STATUS!!Females 15 years and over!!Now married, except separated","MARITAL STATUS!!Females 15 years and over!!Separated","MARITAL STATUS!!Females 15 years and over!!Widowed","MARITAL STATUS!!Females 15 years and over!!Divorced","FERTILITY","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","GRANDPARENTS","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married","SCHOOL ENROLLMENT","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher","EDUCATIONAL ATTAINMENT!!Percent bachelor's degree or higher","VETERAN STATUS","VETERAN STATUS!!Civilian population 18 years and over","VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability","RESIDENCE 1 YEAR AGO","RESIDENCE 1 YEAR AGO!!Population 1 year and over","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Same county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Same state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Different state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Abroad","PLACE OF BIRTH","PLACE OF BIRTH!!Total population","PLACE OF BIRTH!!Total population!!Native","PLACE OF BIRTH!!Total population!!Native!!Born in United States","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state","PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","PLACE OF BIRTH!!Total population!!Foreign born","U.S. CITIZENSHIP STATUS","U.S. CITIZENSHIP STATUS!!Foreign-born population","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen","YEAR OF ENTRY","YEAR OF ENTRY!!Population born outside the United States","YEAR OF ENTRY!!Native","YEAR OF ENTRY!!Native!!Entered 2010 or later","YEAR OF ENTRY!!Native!!Entered before 2010","YEAR OF ENTRY!!Foreign born","YEAR OF ENTRY!!Foreign born!!Entered 2010 or later","YEAR OF ENTRY!!Foreign born!!Entered before 2010","WORLD REGION OF BIRTH OF FOREIGN BORN","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America","LANGUAGE SPOKEN AT HOME","LANGUAGE SPOKEN AT HOME!!Population 5 years and over","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well""","ANCESTRY","ANCESTRY!!Total population","ANCESTRY!!Total population!!American","ANCESTRY!!Total population!!Arab","ANCESTRY!!Total population!!Czech","ANCESTRY!!Total population!!Danish","ANCESTRY!!Total population!!Dutch","ANCESTRY!!Total population!!English","ANCESTRY!!Total population!!French (except Basque)","ANCESTRY!!Total population!!French Canadian","ANCESTRY!!Total population!!German","ANCESTRY!!Total population!!Greek","ANCESTRY!!Total population!!Hungarian","ANCESTRY!!Total population!!Irish","ANCESTRY!!Total population!!Italian","ANCESTRY!!Total population!!Lithuanian","ANCESTRY!!Total population!!Norwegian","ANCESTRY!!Total population!!Polish","ANCESTRY!!Total population!!Portuguese","ANCESTRY!!Total population!!Russian","ANCESTRY!!Total population!!Scotch-Irish","ANCESTRY!!Total population!!Scottish","ANCESTRY!!Total population!!Slovak","ANCESTRY!!Total population!!Subsaharan African","ANCESTRY!!Total population!!Swedish","ANCESTRY!!Total population!!Swiss","ANCESTRY!!Total population!!Ukrainian","ANCESTRY!!Total population!!Welsh","ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups)","COMPUTERS AND INTERNET USE","COMPUTERS AND INTERNET USE!!Total households","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,841,665","1,203,689","470,337","856,974","295,425","77,556","31,533","269,159","143,379","637,976","551,345","212,072","542,618","556,439","2.58","3.23","","4,755,774","1,841,665","858,410","1,444,537","387,142","224,020","74,520","","1,895,814","657,497","924,282","34,616","59,858","219,561","2,076,310","609,482","928,057","55,879","212,135","270,757","","59,028","25,299","38","52","13","96","21","","117,353","60,491","","8,662","11,601","9,777","30,451","60,491","39,562","41,284","","1,188,014","63,400","59,093","497,664","257,748","310,109","","3,309,607","137,386","309,557","1,029,982","709,100","278,878","528,019","316,685","(X)","(X)","","3,767,665","334,186","","4,793,512","789,315","1,092,445","48,860","2,918,151","418,429","782,916","322,026","","4,819,343","4,158,224","647,452","387,796","259,656","147,853","111,803","13,667","","4,874,747","4,705,681","4,660,020","3,407,382","1,252,638","45,661","169,066","","169,066","67,037","102,029","","214,727","45,661","5,703","39,958","169,066","39,276","129,790","","169,066","18,947","55,986","9,124","1,206","80,325","3,478","","4,585,850","4,351,451","234,399","87,368","141,616","58,932","38,282","8,379","42,140","18,186","12,361","1,871","","4,874,747","830,195","11,098","4,502","5,520","32,576","316,675","66,671","8,140","309,139","11,088","6,659","380,766","81,045","1,682","14,756","29,948","3,127","5,475","71,276","81,349","1,459","63,562","15,619","5,165","2,505","23,448","9,968","","1,841,665","1,585,085","1,439,149"
"    Percent","","1,841,665","65.4%","25.5%","46.5%","16.0%","4.2%","1.7%","14.6%","7.8%","34.6%","29.9%","11.5%","29.5%","30.2%","(X)","(X)","","4,755,774","38.7%","18.0%","30.4%","8.1%","4.7%","1.6%","","1,895,814","34.7%","48.8%","1.8%","3.2%","11.6%","2,076,310","29.4%","44.7%","2.7%","10.2%","13.0%","","59,028","42.9%","(X)","(X)","(X)","(X)","(X)","","117,353","51.5%","","7.4%","9.9%","8.3%","25.9%","60,491","65.4%","68.2%","","1,188,014","5.3%","5.0%","41.9%","21.7%","26.1%","","3,309,607","4.2%","9.4%","31.1%","21.4%","8.4%","16.0%","9.6%","86.5%","25.5%","","3,767,665","8.9%","","4,793,512","16.5%","1,092,445","4.5%","2,918,151","14.3%","782,916","41.1%","","4,819,343","86.3%","13.4%","8.0%","5.4%","3.1%","2.3%","0.3%","","4,874,747","96.5%","95.6%","69.9%","25.7%","0.9%","3.5%","","169,066","39.7%","60.3%","","214,727","45,661","12.5%","87.5%","169,066","23.2%","76.8%","","169,066","11.2%","33.1%","5.4%","0.7%","47.5%","2.1%","","4,585,850","94.9%","5.1%","1.9%","3.1%","1.3%","0.8%","0.2%","0.9%","0.4%","0.3%","0.0%","","4,874,747","17.0%","0.2%","0.1%","0.1%","0.7%","6.5%","1.4%","0.2%","6.3%","0.2%","0.1%","7.8%","1.7%","0.0%","0.3%","0.6%","0.1%","0.1%","1.5%","1.7%","0.0%","1.3%","0.3%","0.1%","0.1%","0.5%","0.2%","","1,841,665","86.1%","78.1%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","250,741","167,401","80,172","123,825","55,423","15,002","8,150","28,574","16,599","83,340","63,504","18,907","88,838","58,422","2.84","3.41","","712,250","250,741","123,957","225,781","53,889","57,882","19,549","","307,088","117,253","144,180","4,233","6,530","34,892","276,551","81,422","137,194","6,077","15,315","36,543","","9,961","2,084","24","58","11","88","39","","16,621","6,288","","1,475","1,499","705","2,609","6,288","3,707","4,695","","186,461","9,307","11,597","80,700","40,414","44,443","","481,561","14,246","25,790","133,132","126,985","42,724","86,444","52,240","(X)","(X)","","538,005","64,057","","716,178","90,398","184,822","5,755","449,844","53,087","81,512","31,556","","730,874","595,804","128,367","81,244","47,123","16,924","30,199","6,703","","739,795","681,608","662,079","314,056","348,023","19,529","58,187","","58,187","31,164","27,023","","77,716","19,529","4,684","14,845","58,187","14,906","43,281","","58,187","7,350","33,471","3,856","2,334","8,662","2,514","","686,876","577,422","109,454","33,385","19,892","4,756","15,829","2,885","40,744","20,388","32,989","5,356","","739,795","21,878","964","2,505","7,513","11,684","57,276","19,640","5,178","113,235","1,346","2,080","72,549","19,204","1,135","24,308","14,036","1,487","9,232","10,665","15,956","490","6,795","15,637","2,579","3,653","4,307","1,998","","250,741","236,300","215,815"
"    Percent","","250,741","66.8%","32.0%","49.4%","22.1%","6.0%","3.3%","11.4%","6.6%","33.2%","25.3%","7.5%","35.4%","23.3%","(X)","(X)","","712,250","35.2%","17.4%","31.7%","7.6%","8.1%","2.7%","","307,088","38.2%","47.0%","1.4%","2.1%","11.4%","276,551","29.4%","49.6%","2.2%","5.5%","13.2%","","9,961","20.9%","(X)","(X)","(X)","(X)","(X)","","16,621","37.8%","","8.9%","9.0%","4.2%","15.7%","6,288","59.0%","74.7%","","186,461","5.0%","6.2%","43.3%","21.7%","23.8%","","481,561","3.0%","5.4%","27.6%","26.4%","8.9%","18.0%","10.8%","91.7%","28.8%","","538,005","11.9%","","716,178","12.6%","184,822","3.1%","449,844","11.8%","81,512","38.7%","","730,874","81.5%","17.6%","11.1%","6.4%","2.3%","4.1%","0.9%","","739,795","92.1%","89.5%","42.5%","47.0%","2.6%","7.9%","","58,187","53.6%","46.4%","","77,716","19,529","24.0%","76.0%","58,187","25.6%","74.4%","","58,187","12.6%","57.5%","6.6%","4.0%","14.9%","4.3%","","686,876","84.1%","15.9%","4.9%","2.9%","0.7%","2.3%","0.4%","5.9%","3.0%","4.8%","0.8%","","739,795","3.0%","0.1%","0.3%","1.0%","1.6%","7.7%","2.7%","0.7%","15.3%","0.2%","0.3%","9.8%","2.6%","0.2%","3.3%","1.9%","0.2%","1.2%","1.4%","2.2%","0.1%","0.9%","2.1%","0.3%","0.5%","0.6%","0.3%","","250,741","94.2%","86.1%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,552,972","1,652,325","662,656","1,206,518","434,955","138,074","64,774","307,733","162,927","900,647","710,620","274,943","761,978","819,659","2.69","3.32","","6,861,127","2,552,972","1,206,929","2,039,196","590,118","471,912","177,783","","2,797,660","1,038,238","1,339,306","40,794","72,914","306,408","2,865,568","858,557","1,316,701","61,701","233,247","395,362","","88,721","32,714","35","55","15","95","30","","171,855","59,780","","11,372","13,251","10,011","25,146","59,780","37,613","40,078","","1,757,544","88,736","81,544","738,748","383,592","464,924","","4,711,362","254,700","350,198","1,136,493","1,178,809","408,070","863,062","520,030","(X)","(X)","","5,364,972","480,778","","6,908,121","899,817","1,630,091","64,731","4,089,008","428,198","1,189,022","406,888","","6,935,358","5,717,189","1,172,847","782,513","390,334","128,607","261,727","45,322","","7,016,270","6,091,370","5,989,132","2,784,137","3,204,995","102,238","924,900","","924,900","401,048","523,852","","1,027,138","102,238","19,027","83,211","924,900","173,896","751,004","","924,900","84,976","193,287","29,322","6,172","570,013","41,130","","6,581,229","4,778,292","1,802,937","574,863","1,375,367","444,742","125,963","28,571","133,812","55,210","167,795","46,340","","7,016,270","235,203","37,756","25,105","43,172","86,858","562,661","150,029","29,956","890,046","20,064","29,093","589,221","291,027","10,929","113,000","155,513","15,450","50,443","53,934","114,724","6,786","48,751","94,109","16,969","11,888","36,973","12,144","","2,552,972","2,355,033","2,187,494"
"    Percent","","2,552,972","64.7%","26.0%","47.3%","17.0%","5.4%","2.5%","12.1%","6.4%","35.3%","27.8%","10.8%","29.8%","32.1%","(X)","(X)","","6,861,127","37.2%","17.6%","29.7%","8.6%","6.9%","2.6%","","2,797,660","37.1%","47.9%","1.5%","2.6%","11.0%","2,865,568","30.0%","45.9%","2.2%","8.1%","13.8%","","88,721","36.9%","(X)","(X)","(X)","(X)","(X)","","171,855","34.8%","","6.6%","7.7%","5.8%","14.6%","59,780","62.9%","67.0%","","1,757,544","5.0%","4.6%","42.0%","21.8%","26.5%","","4,711,362","5.4%","7.4%","24.1%","25.0%","8.7%","18.3%","11.0%","87.2%","29.4%","","5,364,972","9.0%","","6,908,121","13.0%","1,630,091","4.0%","4,089,008","10.5%","1,189,022","34.2%","","6,935,358","82.4%","16.9%","11.3%","5.6%","1.9%","3.8%","0.7%","","7,016,270","86.8%","85.4%","39.7%","45.7%","1.5%","13.2%","","924,900","43.4%","56.6%","","1,027,138","102,238","18.6%","81.4%","924,900","18.8%","81.2%","","924,900","9.2%","20.9%","3.2%","0.7%","61.6%","4.4%","","6,581,229","72.6%","27.4%","8.7%","20.9%","6.8%","1.9%","0.4%","2.0%","0.8%","2.5%","0.7%","","7,016,270","3.4%","0.5%","0.4%","0.6%","1.2%","8.0%","2.1%","0.4%","12.7%","0.3%","0.4%","8.4%","4.1%","0.2%","1.6%","2.2%","0.2%","0.7%","0.8%","1.6%","0.1%","0.7%","1.3%","0.2%","0.2%","0.5%","0.2%","","2,552,972","92.2%","85.7%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
