"GEO_ID","NAME","B19083_001E","B19083_001EA","B19083_001M","B19083_001MA",
"Geography","Geographic Area Name","Estimate!!Gini Index","Annotation of Estimate!!Gini Index","Margin of Error!!Gini Index","Annotation of Margin of Error!!Gini Index",
"0100000US","United States","0.4845","null","0.0007","null",
"0400000US01","Alabama","0.4859","null","0.0048","null",
"0400000US02","Alaska","0.4322","null","0.0102","null",
"0400000US04","Arizona","0.4613","null","0.0047","null",
"0400000US05","Arkansas","0.4845","null","0.0073","null",
"0400000US06","California","0.4912","null","0.0017","null",
"0400000US08","Colorado","0.4561","null","0.0044","null",
"0400000US09","Connecticut","0.5014","null","0.0051","null",
"0400000US10","Delaware","0.4587","null","0.0102","null",
"0400000US11","District of Columbia","0.5243","null","0.0096","null",
"0400000US12","Florida","0.4887","null","0.0025","null",
"0400000US13","Georgia","0.4822","null","0.0036","null",
"0400000US15","Hawaii","0.4450","null","0.0092","null",
"0400000US16","Idaho","0.4454","null","0.0106","null",
"0400000US17","Illinois","0.4852","null","0.0028","null",
"0400000US18","Indiana","0.4511","null","0.0041","null",
"0400000US19","Iowa","0.4413","null","0.0052","null",
"0400000US20","Kansas","0.4633","null","0.0062","null",
"0400000US21","Kentucky","0.4787","null","0.0060","null",
"0400000US22","Louisiana","0.4936","null","0.0058","null",
"0400000US23","Maine","0.4516","null","0.0073","null",
"0400000US24","Maryland","0.4543","null","0.0038","null",
"0400000US25","Massachusetts","0.4875","null","0.0035","null",
"0400000US26","Michigan","0.4679","null","0.0033","null",
"0400000US27","Minnesota","0.4536","null","0.0035","null",
"0400000US28","Mississippi","0.4828","null","0.0069","null",
"0400000US29","Missouri","0.4657","null","0.0048","null",
"0400000US30","Montana","0.4535","null","0.0101","null",
"0400000US31","Nebraska","0.4488","null","0.0062","null",
"0400000US32","Nevada","0.4690","null","0.0072","null",
"0400000US33","New Hampshire","0.4530","null","0.0081","null",
"0400000US34","New Jersey","0.4836","null","0.0035","null",
"0400000US35","New Mexico","0.4891","null","0.0079","null",
"0400000US36","New York","0.5130","null","0.0028","null",
"0400000US37","North Carolina","0.4782","null","0.0042","null",
"0400000US38","North Dakota","0.4427","null","0.0117","null",
"0400000US39","Ohio","0.4667","null","0.0030","null",
"0400000US40","Oklahoma","0.4687","null","0.0050","null",
"0400000US41","Oregon","0.4582","null","0.0053","null",
"0400000US42","Pennsylvania","0.4747","null","0.0025","null",
"0400000US44","Rhode Island","0.4700","null","0.0101","null",
"0400000US45","South Carolina","0.4762","null","0.0058","null",
"0400000US46","South Dakota","0.4445","null","0.0131","null",
"0400000US47","Tennessee","0.4778","null","0.0047","null",
"0400000US48","Texas","0.4822","null","0.0022","null",
"0400000US49","Utah","0.4269","null","0.0064","null",
"0400000US50","Vermont","0.4473","null","0.0151","null",
"0400000US51","Virginia","0.4754","null","0.0041","null",
"0400000US53","Washington","0.4574","null","0.0036","null",
"0400000US54","West Virginia","0.4742","null","0.0080","null",
"0400000US55","Wisconsin","0.4483","null","0.0043","null",
"0400000US56","Wyoming","0.4555","null","0.0203","null",
"0400000US72","Puerto Rico","0.5424","null","0.0082","null",
"0500000US01003","Baldwin County, Alabama","0.4725","null","0.0271","null",
"0500000US01015","Calhoun County, Alabama","0.4650","null","0.0292","null",
"0500000US01043","Cullman County, Alabama","0.4981","null","0.0572","null",
"0500000US01049","DeKalb County, Alabama","0.5003","null","0.0416","null",
"0500000US01051","Elmore County, Alabama","0.4162","null","0.0361","null",
"0500000US01055","Etowah County, Alabama","0.4469","null","0.0347","null",
"0500000US01069","Houston County, Alabama","0.4769","null","0.0148","null",
"0500000US01073","Jefferson County, Alabama","0.4952","null","0.0130","null",
"0500000US01077","Lauderdale County, Alabama","0.4775","null","0.0405","null",
"0500000US01081","Lee County, Alabama","0.5390","null","0.0288","null",
"0500000US01083","Limestone County, Alabama","0.4149","null","0.0310","null",
"0500000US01089","Madison County, Alabama","0.4643","null","0.0134","null",
"0500000US01095","Marshall County, Alabama","0.4746","null","0.0371","null",
"0500000US01097","Mobile County, Alabama","0.4805","null","0.0167","null",
"0500000US01101","Montgomery County, Alabama","0.5179","null","0.0222","null",
"0500000US01103","Morgan County, Alabama","0.4455","null","0.0374","null",
"0500000US01115","St. Clair County, Alabama","0.4090","null","0.0281","null",
"0500000US01117","Shelby County, Alabama","0.4589","null","0.0255","null",
"0500000US01121","Talladega County, Alabama","0.4965","null","0.0464","null",
"0500000US01125","Tuscaloosa County, Alabama","0.4658","null","0.0244","null",
"0500000US01127","Walker County, Alabama","0.4781","null","0.0557","null",
"0500000US02020","Anchorage Municipality, Alaska","0.4219","null","0.0161","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","0.4308","null","0.0356","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","0.4447","null","0.0210","null",
"0500000US04001","Apache County, Arizona","0.5153","null","0.0221","null",
"0500000US04003","Cochise County, Arizona","0.4488","null","0.0313","null",
"0500000US04005","Coconino County, Arizona","0.4442","null","0.0223","null",
"0500000US04013","Maricopa County, Arizona","0.4583","null","0.0058","null",
