"GEO_ID","NAME","B25101_001E","B25101_001EA","B25101_001M","B25101_001MA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003M","B25101_003MA","B25101_003EA","B25101_004E","B25101_004M","B25101_004MA","B25101_004EA","B25101_005E","B25101_005EA","B25101_005M","B25101_005MA","B25101_006E","B25101_006EA","B25101_006M","B25101_006MA","B25101_007E","B25101_007EA","B25101_007M","B25101_007MA","B25101_008E","B25101_008M","B25101_008MA","B25101_008EA","B25101_009E","B25101_009EA","B25101_009M","B25101_009MA","B25101_010E","B25101_010EA","B25101_010M","B25101_010MA","B25101_011E","B25101_011EA","B25101_011M","B25101_011MA","B25101_012E","B25101_012M","B25101_012MA","B25101_012EA","B25101_013E","B25101_013M","B25101_013MA","B25101_013EA","B25101_014E","B25101_014M","B25101_014MA","B25101_014EA","B25101_015E","B25101_015EA","B25101_015M","B25101_015MA","B25101_016E","B25101_016EA","B25101_016M","B25101_016MA","B25101_017E","B25101_017EA","B25101_017M","B25101_017MA","B25101_018E","B25101_018EA","B25101_018M","B25101_018MA","B25101_019E","B25101_019M","B25101_019MA","B25101_019EA","B25101_020E","B25101_020EA","B25101_020M","B25101_020MA","B25101_021E","B25101_021EA","B25101_021M","B25101_021MA","B25101_022E","B25101_022EA","B25101_022M","B25101_022MA","B25101_023E","B25101_023EA","B25101_023M","B25101_023MA","B25101_024E","B25101_024EA","B25101_024M","B25101_024MA","B25101_025E","B25101_025M","B25101_025MA","B25101_025EA","B25101_026E","B25101_026M","B25101_026MA","B25101_026EA","B25101_027E","B25101_027EA","B25101_027M","B25101_027MA","B25101_028E","B25101_028EA","B25101_028M","B25101_028MA","B25101_029E","B25101_029EA","B25101_029M","B25101_029MA","B25101_030E","B25101_030M","B25101_030MA","B25101_030EA","B25101_031E","B25101_031EA","B25101_031M","B25101_031MA","B25101_032E","B25101_032EA","B25101_032M","B25101_032MA","B25101_033E","B25101_033EA","B25101_033M","B25101_033MA","B25101_034E","B25101_034EA","B25101_034M","B25101_034MA","B25101_035E","B25101_035M","B25101_035MA","B25101_035EA","B25101_036E","B25101_036M","B25101_036MA","B25101_036EA","B25101_037E","B25101_037EA","B25101_037M","B25101_037MA","B25101_038E","B25101_038EA","B25101_038M","B25101_038MA","B25101_039E","B25101_039EA","B25101_039M","B25101_039MA","B25101_040E","B25101_040EA","B25101_040M","B25101_040MA","B25101_041E","B25101_041M","B25101_041MA","B25101_041EA","B25101_042E","B25101_042EA","B25101_042M","B25101_042MA","B25101_043E","B25101_043EA","B25101_043M","B25101_043MA","B25101_044E","B25101_044EA","B25101_044M","B25101_044MA","B25101_045E","B25101_045EA","B25101_045M","B25101_045MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!With a mortgage","Margin of Error!!Total!!With a mortgage","Annotation of Margin of Error!!Total!!With a mortgage","Annotation of Estimate!!Total!!With a mortgage","Estimate!!Total!!With a mortgage!!Less than $20,000","Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000","Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!Less than $20,000!!30 percent or more","Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!With a mortgage!!$75,000 or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more","Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!With a mortgage!!$75,000 or more!!30 percent or more","Estimate!!Total!!With a mortgage!!Zero or negative income","Annotation of Estimate!!Total!!With a mortgage!!Zero or negative income","Margin of Error!!Total!!With a mortgage!!Zero or negative income","Annotation of Margin of Error!!Total!!With a mortgage!!Zero or negative income","Estimate!!Total!!Not mortgaged","Annotation of Estimate!!Total!!Not mortgaged","Margin of Error!!Total!!Not mortgaged","Annotation of Margin of Error!!Total!!Not mortgaged","Estimate!!Total!!Not mortgaged!!Less than $20,000","Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000","Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!Less than $20,000!!30 percent or more","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$20,000 to $34,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$35,000 to $49,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$50,000 to $74,999!!30 percent or more","Estimate!!Total!!Not mortgaged!!$75,000 or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more","Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!Less than 20 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!20 to 29 percent","Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Estimate!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Annotation of Margin of Error!!Total!!Not mortgaged!!$75,000 or more!!30 percent or more","Estimate!!Total!!Not mortgaged!!Zero or negative income","Annotation of Estimate!!Total!!Not mortgaged!!Zero or negative income","Margin of Error!!Total!!Not mortgaged!!Zero or negative income","Annotation of Margin of Error!!Total!!Not mortgaged!!Zero or negative income",
"0100000US","United States","77708394","null","235977","null","48126102","152822","null","null","2190750","21829","null","null","6447","1419","null","null","28024","null","2573","null","2156279","null","21717","null","3424865","null","27110","null","80639","4328","null","null","416772","null","8345","null","2927454","null","25388","null","4347810","null","38102","null","435730","10003","null","null","1314965","20231","null","null","2597115","27653","null","null","8211012","null","51713","null","2232866","null","26997","null","3150582","null","31766","null","2827564","null","24410","null","29720888","109213","null","null","19400813","null","84547","null","7559906","null","43313","null","2760169","null","24806","null","230777","null","8571","null","29582292","null","109677","null","4235078","35902","null","null","695466","13820","null","null","839666","null","13395","null","2699946","null","28096","null","4810436","null","34436","null","2558356","27348","null","null","1262394","null","16763","null","989686","null","13951","null","4163983","null","31100","null","3277274","null","29756","null","635541","12060","null","null","251168","8254","null","null","5259278","null","40145","null","4805298","null","38007","null","346909","null","8984","null","107071","null","4841","null","10702630","63379","null","null","10502363","null","63068","null","168346","null","5931","null","31921","null","2650","null","410887","null","9703","null",
"0400000US01","Alabama","1262257","null","12735","null","694367","11928","null","null","50056","3274","null","null","676","537","null","null","828","null","416","null","48552","null","3261","null","66277","null","4357","null","2613","702","null","null","12218","null","1598","null","51446","null","4063","null","74279","null","4660","null","11466","1756","null","null","31080","3001","null","null","31733","3474","null","null","134010","null","5603","null","57255","null","3720","null","56029","null","3797","null","20726","null","2346","null","365000","9366","null","null","300298","null","8686","null","54116","null","3427","null","10586","null","1381","null","4745","null","1190","null","567890","null","8912","null","108819","5088","null","null","25456","2505","null","null","30131","null","2796","null","53232","null","3658","null","107620","null","5089","null","79283","4281","null","null","21232","null","2352","null","7105","null","1663","null","83331","null","3711","null","79909","null","3609","null","3227","892","null","null","195","170","null","null","100075","null","4468","null","98649","null","4458","null","1255","null","508","null","171","null","137","null","156525","5131","null","null","156227","null","5143","null","124","null","133","null","174","null","210","null","11520","null","1865","null",
"0400000US02","Alaska","167108","null","3496","null","102706","3651","null","null","3934","1298","null","null","0","157","null","null","52","null","49","null","3882","null","1302","null","5033","null","1019","null","461","491","null","null","269","null","144","null","4303","null","918","null","5758","null","1040","null","413","269","null","null","725","349","null","null","4620","976","null","null","16524","null","1952","null","1710","null","591","null","5965","null","1189","null","8849","null","1240","null","71295","3772","null","null","42289","null","3195","null","21337","null","2061","null","7669","null","1157","null","162","null","117","null","64402","null","2833","null","8715","967","null","null","2076","534","null","null","888","null","281","null","5751","null","868","null","8139","null","1095","null","4062","779","null","null","2459","null","597","null","1618","null","528","null","7544","null","1102","null","5710","null","956","null","1480","542","null","null","354","240","null","null","10554","null","1574","null","9824","null","1581","null","674","null","365","null","56","null","70","null","28831","2195","null","null","28733","null","2205","null","98","null","96","null","0","null","157","null","619","null","325","null",
"0400000US04","Arizona","1694367","null","13678","null","1072502","13375","null","null","55117","3479","null","null","453","347","null","null","919","null","539","null","53745","null","3510","null","86255","null","4756","null","2100","584","null","null","9258","null","1627","null","74897","null","4834","null","111112","null","5060","null","10992","1434","null","null","37450","2533","null","null","62670","3822","null","null","204448","null","6264","null","52480","null","3706","null","88951","null","4634","null","63017","null","4175","null","609677","11133","null","null","434291","null","8948","null","142235","null","5937","null","33151","null","3086","null","5893","null","1360","null","621865","null","10116","null","98931","5144","null","null","22793","2203","null","null","20553","null","2057","null","55585","null","4313","null","107110","null","5513","null","71662","4531","null","null","24376","null","2588","null","11072","null","1657","null","88100","null","4331","null","77598","null","4190","null","8887","1380","null","null","1615","508","null","null","117205","null","4896","null","114266","null","4773","null","2639","null","667","null","300","null","218","null","197108","5238","null","null","196582","null","5248","null","526","null","327","null","0","null","211","null","13411","null","1578","null",
"0400000US05","Arkansas","760401","null","8395","null","410135","8138","null","null","27772","2928","null","null","108","134","null","null","1139","null","627","null","26525","null","2824","null","46031","null","3055","null","2614","699","null","null","10590","null","1734","null","32827","null","2768","null","51783","null","3482","null","9766","1432","null","null","22589","2388","null","null","19428","2447","null","null","81975","null","4686","null","44746","null","3666","null","27740","null","2949","null","9489","null","1670","null","200588","6567","null","null","171833","null","6763","null","23768","null","2547","null","4987","null","1194","null","1986","null","655","null","350266","null","7304","null","62677","3596","null","null","16845","1835","null","null","15254","null","1879","null","30578","null","2474","null","70109","null","3784","null","52511","3321","null","null","13717","null","1908","null","3881","null","926","null","56947","null","3528","null","53476","null","3452","null","2541","851","null","null","930","572","null","null","64385","null","3395","null","63169","null","3295","null","883","null","403","null","333","null","256","null","90896","4140","null","null","90742","null","4127","null","154","null","187","null","0","null","201","null","5252","null","1114","null",
"0400000US06","California","7165664","null","30156","null","4988711","27760","null","null","192318","7063","null","null","437","392","null","null","928","null","452","null","190953","null","7064","null","267444","null","6998","null","2298","679","null","null","11107","null","1757","null","254039","null","6886","null","331404","null","9760","null","8138","1182","null","null","38136","3116","null","null","285130","8932","null","null","662661","null","10509","null","61586","null","3783","null","158183","null","5877","null","442892","null","9998","null","3506452","24262","null","null","1627646","null","17740","null","1156098","null","15096","null","722708","null","14892","null","28432","null","3331","null","2176953","null","18781","null","260440","8788","null","null","31707","2350","null","null","37781","null","3325","null","190952","null","7231","null","291073","null","8110","null","119932","5396","null","null","73626","null","4643","null","97515","null","4448","null","258921","null","7659","null","171683","null","5885","null","56771","3476","null","null","30467","2944","null","null","355446","null","9473","null","302623","null","8777","null","40044","null","2642","null","12779","null","1579","null","977060","13738","null","null","952474","null","13387","null","19453","null","2109","null","5133","null","910","null","34013","null","2864","null",
"0400000US08","Colorado","1417981","null","9500","null","994356","9931","null","null","36212","2832","null","null","96","114","null","null","245","null","206","null","35871","null","2822","null","57258","null","3350","null","1239","540","null","null","3979","null","921","null","52040","null","3123","null","77456","null","4702","null","4118","877","null","null","16514","1970","null","null","56824","4125","null","null","155216","null","5604","null","28119","null","2618","null","57023","null","3449","null","70074","null","4137","null","663616","9084","null","null","420156","null","8547","null","189107","null","6388","null","54353","null","3240","null","4598","null","1068","null","423625","null","8439","null","53795","3740","null","null","7432","1418","null","null","10322","null","1245","null","36041","null","2731","null","60218","null","3345","null","32928","2369","null","null","17297","null","1712","null","9993","null","1490","null","56518","null","3701","null","47552","null","3735","null","6633","1187","null","null","2333","756","null","null","75370","null","3271","null","71760","null","3215","null","2862","null","625","null","748","null","340","null","173818","6170","null","null","172852","null","6045","null","602","null","319","null","364","null","333","null","3906","null","856","null",
"0400000US09","Connecticut","906771","null","8038","null","609456","7711","null","null","19080","1923","null","null","0","207","null","null","21","null","35","null","19059","null","1915","null","26936","null","2727","null","0","207","null","null","345","null","212","null","26591","null","2707","null","38249","null","3357","null","449","262","null","null","4411","1039","null","null","33389","3112","null","null","86094","null","4371","null","5964","null","1180","null","27165","null","2618","null","52965","null","3863","null","437437","7203","null","null","245096","null","5957","null","138789","null","5871","null","53552","null","3444","null","1660","null","587","null","297315","null","6043","null","28438","2715","null","null","526","293","null","null","930","null","408","null","26982","null","2599","null","36097","null","2586","null","2568","784","null","null","8256","null","1271","null","25273","null","2457","null","33454","null","2424","null","10295","null","1500","null","13427","1620","null","null","9732","1316","null","null","51196","null","3141","null","36328","null","3145","null","11593","null","1451","null","3275","null","737","null","145351","5183","null","null","138895","null","5241","null","5293","null","993","null","1163","null","596","null","2779","null","714","null",
"0400000US10","Delaware","261145","null","4466","null","165425","4301","null","null","8254","1327","null","null","0","200","null","null","89","null","138","null","8165","null","1337","null","12560","null","1954","null","142","140","null","null","1227","null","535","null","11191","null","1941","null","14651","null","2354","null","935","382","null","null","2666","839","null","null","11050","2012","null","null","32016","null","2620","null","5046","null","916","null","13864","null","1664","null","13106","null","1585","null","96641","3672","null","null","66643","null","3425","null","22792","null","2257","null","7206","null","1533","null","1303","null","730","null","95720","null","3582","null","11572","1679","null","null","1302","567","null","null","1628","null","570","null","8642","null","1510","null","17247","null","2059","null","7677","1359","null","null","5900","null","1385","null","3670","null","962","null","13052","null","1702","null","10959","null","1518","null","1419","554","null","null","674","350","null","null","17455","null","1933","null","16862","null","1904","null","431","null","244","null","162","null","162","null","35353","2419","null","null","35265","null","2430","null","88","null","93","null","0","null","200","null","1041","null","509","null",
"0400000US11","District of Columbia","121540","null","3817","null","91179","3508","null","null","3061","644","null","null","0","213","null","null","0","null","213","null","3061","null","644","null","2818","null","838","null","24","40","null","null","174","null","283","null","2620","null","764","null","2662","null","766","null","42","70","null","null","286","215","null","null","2334","747","null","null","8230","null","1529","null","850","null","447","null","1972","null","667","null","5408","null","1186","null","73965","3379","null","null","43873","null","2783","null","19885","null","2073","null","10207","null","1365","null","443","null","306","null","30361","null","2315","null","3578","870","null","null","143","171","null","null","174","null","148","null","3261","null","837","null","2437","null","688","null","918","404","null","null","770","null","372","null","749","null","386","null","2558","null","843","null","1942","null","722","null","315","217","null","null","301","288","null","null","4056","null","969","null","3679","null","902","null","197","null","254","null","180","null","221","null","17020","1852","null","null","16748","null","1837","null","272","null","262","null","0","null","213","null","712","null","501","null",
"0400000US12","Florida","5148242","null","25213","null","2890964","22535","null","null","184192","8369","null","null","645","471","null","null","1990","null","726","null","181557","null","8303","null","268887","null","11061","null","5593","1014","null","null","30539","null","2995","null","232755","null","10603","null","324338","null","8716","null","30320","2749","null","null","91227","4718","null","null","202791","6649","null","null","536246","null","11060","null","134118","null","5966","null","209666","null","7433","null","192462","null","6588","null","1554615","18073","null","null","1019269","null","14689","null","396943","null","11564","null","138403","null","6181","null","22686","null","2731","null","2257278","null","19984","null","368060","10251","null","null","62275","5028","null","null","64308","null","3954","null","241477","null","9052","null","393133","null","10290","null","206204","8839","null","null","102660","null","5475","null","84269","null","4399","null","321904","null","9854","null","248509","null","8282","null","52999","3796","null","null","20396","2406","null","null","395327","null","10002","null","358393","null","9517","null","26374","null","2462","null","10560","null","1581","null","736795","13489","null","null","717485","null","13699","null","16011","null","2170","null","3299","null","878","null","42059","null","3404","null",
"0400000US13","Georgia","2426435","null","18052","null","1568112","21446","null","null","84702","5689","null","null","57","92","null","null","896","null","458","null","83749","null","5645","null","122011","null","5913","null","2366","959","null","null","14561","null","1885","null","105084","null","5904","null","149405","null","7283","null","15922","2163","null","null","52777","4602","null","null","80706","5132","null","null","276299","null","9447","null","83923","null","4881","null","119841","null","6829","null","72535","null","4915","null","923422","13482","null","null","688469","null","11692","null","187091","null","7215","null","47862","null","3737","null","12273","null","1900","null","858323","null","14730","null","134178","5839","null","null","26577","2640","null","null","30044","null","2741","null","77557","null","4751","null","148728","null","5417","null","96352","4641","null","null","36181","null","3094","null","16195","null","2194","null","120620","null","5375","null","107668","null","5037","null","10676","1765","null","null","2276","815","null","null","148198","null","5680","null","141886","null","5723","null","4417","null","1068","null","1895","null","704","null","290278","9398","null","null","288610","null","9400","null","1148","null","485","null","520","null","334","null","16321","null","2069","null",
