"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0400000US01","Alabama","10026","null","271","null","27970","null","443","null","49642","696","null","null","80102","1004","null","null","177715","3456","null","null","317177","11240","null","null",
"0400000US02","Alaska","17763","null","1258","null","47703","null","1915","null","75563","2362","null","null","113091","2870","null","null","226282","8524","null","null","371983","23900","null","null",
"0400000US04","Arizona","14167","null","286","null","36358","null","465","null","59427","574","null","null","91618","725","null","null","200814","3554","null","null","354271","11400","null","null",
"0400000US05","Arkansas","10855","null","336","null","28029","null","506","null","46954","714","null","null","74511","1075","null","null","173483","5103","null","null","320818","16112","null","null",
"0400000US06","California","15562","null","150","null","43636","null","276","null","75614","330","null","null","121067","476","null","null","281040","1850","null","null","506421","5710","null","null",
"0400000US08","Colorado","16984","null","360","null","44069","null","579","null","72200","730","null","null","110562","1029","null","null","237273","4089","null","null","415157","13311","null","null",
"0400000US09","Connecticut","15722","null","464","null","44162","null","804","null","76872","937","null","null","123022","1470","null","null","296739","6051","null","null","560661","19735","null","null",
"0400000US10","Delaware","14265","null","807","null","38256","null","1277","null","64461","1609","null","null","98097","1967","null","null","209403","7438","null","null","363820","23692","null","null",
"0400000US11","District of Columbia","10777","null","1027","null","43913","null","2155","null","85640","2695","null","null","143022","3532","null","null","341376","11763","null","null","595669","36306","null","null",
"0400000US12","Florida","12844","null","188","null","33611","null","282","null","55787","364","null","null","87819","481","null","null","209778","2159","null","null","395681","7107","null","null",
"0400000US13","Georgia","12736","null","234","null","34710","null","367","null","58958","534","null","null","93409","720","null","null","212629","3438","null","null","381577","11418","null","null",
"0400000US15","Hawaii","18123","null","954","null","47975","null","1552","null","80612","1970","null","null","121699","2408","null","null","247400","9052","null","null","417836","29782","null","null",
"0400000US16","Idaho","14180","null","618","null","35192","null","917","null","55646","977","null","null","83334","1436","null","null","178495","6784","null","null","315166","22550","null","null",
"0400000US17","Illinois","13823","null","219","null","38026","null","400","null","65220","481","null","null","103317","592","null","null","236733","2473","null","null","429449","7642","null","null",
"0400000US18","Indiana","13357","null","296","null","34261","null","392","null","56028","531","null","null","85350","820","null","null","179671","3028","null","null","318217","10311","null","null",
"0400000US19","Iowa","14513","null","358","null","36764","null","624","null","59731","791","null","null","90028","974","null","null","184830","3429","null","null","319852","11549","null","null",
"0400000US20","Kansas","14048","null","381","null","35331","null","539","null","58202","630","null","null","89720","1083","null","null","197557","4680","null","null","356287","15954","null","null",
"0400000US21","Kentucky","10862","null","313","null","29557","null","452","null","50261","645","null","null","79853","900","null","null","178085","4230","null","null","321069","13664","null","null",
"0400000US22","Louisiana","9881","null","293","null","26870","null","495","null","47998","644","null","null","80694","1042","null","null","180682","4030","null","null","315315","13527","null","null",
"0400000US23","Maine","12838","null","541","null","33574","null","936","null","56405","1101","null","null","87114","1406","null","null","179741","4662","null","null","305507","13793","null","null",
"0400000US24","Maryland","18375","null","460","null","50248","null","733","null","83706","881","null","null","128077","1170","null","null","268464","3981","null","null","455801","12624","null","null",
"0400000US25","Massachusetts","15066","null","317","null","44893","null","594","null","79900","853","null","null","127547","1078","null","null","285099","3844","null","null","505950","12342","null","null",
"0400000US26","Michigan","12921","null","180","null","34180","null","302","null","57077","396","null","null","89008","566","null","null","195221","2479","null","null","346610","8285","null","null",
"0400000US27","Minnesota","16808","null","296","null","42756","null","460","null","70329","560","null","null","107279","783","null","null","228065","2858","null","null","405389","9480","null","null",
"0400000US28","Mississippi","8917","null","384","null","25206","null","516","null","44816","748","null","null","72612","1073","null","null","158169","4421","null","null","277207","13914","null","null",
"0400000US29","Missouri","13057","null","302","null","33365","null","444","null","54745","600","null","null","85344","749","null","null","188554","3423","null","null","335634","11613","null","null",
