"Label (Grouping)","HOUSEHOLDS BY TYPE","HOUSEHOLDS BY TYPE!!Total households","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)","HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Married-couple family","HOUSEHOLDS BY TYPE!!Total households!!Married-couple family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no wife present, family","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no wife present, family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no husband present, family","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no husband present, family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Average household size","HOUSEHOLDS BY TYPE!!Total households!!Average family size","RELATIONSHIP","RELATIONSHIP!!Population in households","RELATIONSHIP!!Population in households!!Householder","RELATIONSHIP!!Population in households!!Spouse","RELATIONSHIP!!Population in households!!Child","RELATIONSHIP!!Population in households!!Other relatives","RELATIONSHIP!!Population in households!!Nonrelatives","RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner","MARITAL STATUS","MARITAL STATUS!!Males 15 years and over","MARITAL STATUS!!Males 15 years and over!!Never married","MARITAL STATUS!!Males 15 years and over!!Now married, except separated","MARITAL STATUS!!Males 15 years and over!!Separated","MARITAL STATUS!!Males 15 years and over!!Widowed","MARITAL STATUS!!Males 15 years and over!!Divorced","MARITAL STATUS!!Females 15 years and over","MARITAL STATUS!!Females 15 years and over!!Never married","MARITAL STATUS!!Females 15 years and over!!Now married, except separated","MARITAL STATUS!!Females 15 years and over!!Separated","MARITAL STATUS!!Females 15 years and over!!Widowed","MARITAL STATUS!!Females 15 years and over!!Divorced","FERTILITY","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","GRANDPARENTS","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married","SCHOOL ENROLLMENT","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","VETERAN STATUS","VETERAN STATUS!!Civilian population 18 years and over","VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability","RESIDENCE 1 YEAR AGO","RESIDENCE 1 YEAR AGO!!Population 1 year and over","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Same county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Same state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Different state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Abroad","PLACE OF BIRTH","PLACE OF BIRTH!!Total population","PLACE OF BIRTH!!Total population!!Native","PLACE OF BIRTH!!Total population!!Native!!Born in United States","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state","PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","PLACE OF BIRTH!!Total population!!Foreign born","U.S. CITIZENSHIP STATUS","U.S. CITIZENSHIP STATUS!!Foreign-born population","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen","YEAR OF ENTRY","YEAR OF ENTRY!!Population born outside the United States","YEAR OF ENTRY!!Population born outside the United States!!Native","YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later","YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010","YEAR OF ENTRY!!Population born outside the United States!!Foreign born","YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered 2010 or later","YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered before 2010","WORLD REGION OF BIRTH OF FOREIGN BORN","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America","LANGUAGE SPOKEN AT HOME","LANGUAGE SPOKEN AT HOME!!Population 5 years and over","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well""","ANCESTRY","ANCESTRY!!Total population","ANCESTRY!!Total population!!American","ANCESTRY!!Total population!!Arab","ANCESTRY!!Total population!!Czech","ANCESTRY!!Total population!!Danish","ANCESTRY!!Total population!!Dutch","ANCESTRY!!Total population!!English","ANCESTRY!!Total population!!French (except Basque)","ANCESTRY!!Total population!!French Canadian","ANCESTRY!!Total population!!German","ANCESTRY!!Total population!!Greek","ANCESTRY!!Total population!!Hungarian","ANCESTRY!!Total population!!Irish","ANCESTRY!!Total population!!Italian","ANCESTRY!!Total population!!Lithuanian","ANCESTRY!!Total population!!Norwegian","ANCESTRY!!Total population!!Polish","ANCESTRY!!Total population!!Portuguese","ANCESTRY!!Total population!!Russian","ANCESTRY!!Total population!!Scotch-Irish","ANCESTRY!!Total population!!Scottish","ANCESTRY!!Total population!!Slovak","ANCESTRY!!Total population!!Subsaharan African","ANCESTRY!!Total population!!Swedish","ANCESTRY!!Total population!!Swiss","ANCESTRY!!Total population!!Ukrainian","ANCESTRY!!Total population!!Welsh","ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups)","COMPUTERS AND INTERNET USE","COMPUTERS AND INTERNET USE!!Total households","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,855,184","1,214,794","466,487","879,227","303,879","77,949","34,384","257,618","128,224","640,390","555,330","215,966","547,610","576,191","2.57","3.21","","4,770,428","1,855,184","880,143","1,428,043","380,172","226,886","81,480","","1,903,181","648,247","938,647","36,401","59,463","220,423","2,084,302","584,844","952,504","56,685","215,391","274,878","","66,070","25,420","40","58","16","109","22","","121,462","60,948","","9,166","9,958","6,334","35,490","60,948","40,219","40,994","","1,174,781","63,471","60,758","492,676","256,273","301,603","","3,337,464","131,592","316,587","1,026,976","721,987","288,285","536,086","315,951","2,889,285","852,037","","3,786,286","324,612","","4,810,094","785,900","1,087,358","51,519","2,910,682","417,381","812,054","317,000","","4,832,358","4,173,026","644,215","381,301","262,914","153,613","109,301","15,117","","4,887,871","4,725,304","4,679,402","3,389,252","1,290,150","45,902","162,567","","162,567","67,130","95,437","","208,469","45,902","8,294","37,608","162,567","46,243","116,324","","162,567","20,756","52,581","8,245","1,018","77,139","2,828","","4,599,282","4,355,425","243,857","94,986","150,932","62,193","44,373","9,978","37,662","19,993","10,890","2,822","","4,887,871","854,162","12,309","3,883","3,721","31,252","327,151","66,905","8,649","282,364","8,177","8,097","376,093","72,728","1,635","20,536","27,863","6,877","6,944","71,917","91,447","1,733","51,261","10,848","3,636","3,581","18,152","11,948","","1,855,184","1,617,364","1,471,696"
"    Percent","","1,855,184","65.5%","25.1%","47.4%","16.4%","4.2%","1.9%","13.9%","6.9%","34.5%","29.9%","11.6%","29.5%","31.1%","(X)","(X)","","4,770,428","38.9%","18.4%","29.9%","8.0%","4.8%","1.7%","","1,903,181","34.1%","49.3%","1.9%","3.1%","11.6%","2,084,302","28.1%","45.7%","2.7%","10.3%","13.2%","","66,070","38.5%","(X)","(X)","(X)","(X)","(X)","","121,462","50.2%","","7.5%","8.2%","5.2%","29.2%","60,948","66.0%","67.3%","","1,174,781","5.4%","5.2%","41.9%","21.8%","25.7%","","3,337,464","3.9%","9.5%","30.8%","21.6%","8.6%","16.1%","9.5%","86.6%","25.5%","","3,786,286","8.6%","","4,810,094","16.3%","1,087,358","4.7%","2,910,682","14.3%","812,054","39.0%","","4,832,358","86.4%","13.3%","7.9%","5.4%","3.2%","2.3%","0.3%","","4,887,871","96.7%","95.7%","69.3%","26.4%","0.9%","3.3%","","162,567","41.3%","58.7%","","208,469","45,902","18.1%","81.9%","162,567","28.4%","71.6%","","162,567","12.8%","32.3%","5.1%","0.6%","47.5%","1.7%","","4,599,282","94.7%","5.3%","2.1%","3.3%","1.4%","1.0%","0.2%","0.8%","0.4%","0.2%","0.1%","","4,887,871","17.5%","0.3%","0.1%","0.1%","0.6%","6.7%","1.4%","0.2%","5.8%","0.2%","0.2%","7.7%","1.5%","0.0%","0.4%","0.6%","0.1%","0.1%","1.5%","1.9%","0.0%","1.0%","0.2%","0.1%","0.1%","0.4%","0.2%","","1,855,184","87.2%","79.3%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","254,551","167,527","76,718","127,824","55,431","15,613","7,511","24,090","13,776","87,024","66,253","20,618","87,148","62,793","2.79","3.39","","710,666","254,551","127,491","222,873","50,315","55,436","21,114","","304,543","113,521","149,864","5,019","6,086","30,053","278,431","82,104","140,165","3,922","16,373","35,867","","10,747","4,049","45","62","25","96","39","","19,049","8,182","","1,205","2,049","1,030","3,898","8,182","4,461","6,271","","185,581","12,482","10,084","81,146","38,329","43,540","","485,353","12,023","20,421","137,293","129,250","39,938","89,635","56,793","452,909","146,428","","536,272","67,635","","713,033","89,491","183,040","5,730","443,595","51,416","86,398","32,345","","727,164","608,707","113,328","64,118","49,210","17,111","32,099","5,129","","737,438","676,654","661,648","305,250","356,398","15,006","60,784","","60,784","36,275","24,509","","75,790","15,006","4,418","10,588","60,784","15,286","45,498","","60,784","7,134","32,940","2,315","3,736","10,808","3,851","","685,265","573,891","111,374","29,555","26,066","6,225","14,290","2,881","40,338","17,393","30,680","3,056","","737,438","25,594","417","4,834","4,871","9,130","52,447","17,271","5,286","100,834","1,198","1,969","70,367","18,805","849","19,682","14,269","1,982","9,317","10,413","15,615","349","6,594","11,564","2,718","2,664","5,821","803","","254,551","243,428","222,665"
"    Percent","","254,551","65.8%","30.1%","50.2%","21.8%","6.1%","3.0%","9.5%","5.4%","34.2%","26.0%","8.1%","34.2%","24.7%","(X)","(X)","","710,666","35.8%","17.9%","31.4%","7.1%","7.8%","3.0%","","304,543","37.3%","49.2%","1.6%","2.0%","9.9%","278,431","29.5%","50.3%","1.4%","5.9%","12.9%","","10,747","37.7%","(X)","(X)","(X)","(X)","(X)","","19,049","43.0%","","6.3%","10.8%","5.4%","20.5%","8,182","54.5%","76.6%","","185,581","6.7%","5.4%","43.7%","20.7%","23.5%","","485,353","2.5%","4.2%","28.3%","26.6%","8.2%","18.5%","11.7%","93.3%","30.2%","","536,272","12.6%","","713,033","12.6%","183,040","3.1%","443,595","11.6%","86,398","37.4%","","727,164","83.7%","15.6%","8.8%","6.8%","2.4%","4.4%","0.7%","","737,438","91.8%","89.7%","41.4%","48.3%","2.0%","8.2%","","60,784","59.7%","40.3%","","75,790","15,006","29.4%","70.6%","60,784","25.1%","74.9%","","60,784","11.7%","54.2%","3.8%","6.1%","17.8%","6.3%","","685,265","83.7%","16.3%","4.3%","3.8%","0.9%","2.1%","0.4%","5.9%","2.5%","4.5%","0.4%","","737,438","3.5%","0.1%","0.7%","0.7%","1.2%","7.1%","2.3%","0.7%","13.7%","0.2%","0.3%","9.5%","2.6%","0.1%","2.7%","1.9%","0.3%","1.3%","1.4%","2.1%","0.0%","0.9%","1.6%","0.4%","0.4%","0.8%","0.1%","","254,551","95.6%","87.5%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,614,298","1,713,006","699,523","1,247,270","459,431","151,694","77,407","314,042","162,685","901,292","704,852","295,472","795,027","866,234","2.68","3.29","","7,012,204","2,614,298","1,247,313","2,061,914","608,571","480,108","194,381","","2,867,563","1,053,254","1,376,685","43,432","77,095","317,097","2,939,700","883,062","1,359,214","57,832","248,474","391,118","","92,780","35,184","37","57","18","93","33","","177,717","57,488","","8,649","12,955","11,766","24,118","57,488","36,966","39,508","","1,762,743","82,521","86,655","750,625","375,031","467,911","","4,840,304","256,545","349,389","1,159,297","1,208,158","428,422","898,032","540,461","4,234,370","1,438,493","","5,510,663","496,239","","7,064,799","937,404","1,639,539","69,081","4,177,997","449,009","1,247,263","419,314","","7,090,137","5,887,700","1,162,166","772,032","390,134","116,420","273,714","40,271","","7,171,646","6,211,371","6,110,724","2,850,161","3,260,563","100,647","960,275","","960,275","431,667","528,608","","1,060,922","100,647","18,736","81,911","960,275","200,560","759,715","","960,275","83,545","196,083","39,402","4,924","594,430","41,891","","6,737,614","4,882,267","1,855,347","579,159","1,395,115","451,680","142,044","29,605","138,544","51,429","179,644","46,445","","7,171,646","260,581","42,041","23,418","43,298","77,051","549,535","155,999","31,996","862,270","23,214","29,434","614,532","293,477","11,502","123,652","164,410","14,347","44,472","53,996","120,533","11,265","61,596","99,562","15,221","13,709","45,040","13,182","","2,614,298","2,437,343","2,254,666"
"    Percent","","2,614,298","65.5%","26.8%","47.7%","17.6%","5.8%","3.0%","12.0%","6.2%","34.5%","27.0%","11.3%","30.4%","33.1%","(X)","(X)","","7,012,204","37.3%","17.8%","29.4%","8.7%","6.8%","2.8%","","2,867,563","36.7%","48.0%","1.5%","2.7%","11.1%","2,939,700","30.0%","46.2%","2.0%","8.5%","13.3%","","92,780","37.9%","(X)","(X)","(X)","(X)","(X)","","177,717","32.3%","","4.9%","7.3%","6.6%","13.6%","57,488","64.3%","68.7%","","1,762,743","4.7%","4.9%","42.6%","21.3%","26.5%","","4,840,304","5.3%","7.2%","24.0%","25.0%","8.9%","18.6%","11.2%","87.5%","29.7%","","5,510,663","9.0%","","7,064,799","13.3%","1,639,539","4.2%","4,177,997","10.7%","1,247,263","33.6%","","7,090,137","83.0%","16.4%","10.9%","5.5%","1.6%","3.9%","0.6%","","7,171,646","86.6%","85.2%","39.7%","45.5%","1.4%","13.4%","","960,275","45.0%","55.0%","","1,060,922","100,647","18.6%","81.4%","960,275","20.9%","79.1%","","960,275","8.7%","20.4%","4.1%","0.5%","61.9%","4.4%","","6,737,614","72.5%","27.5%","8.6%","20.7%","6.7%","2.1%","0.4%","2.1%","0.8%","2.7%","0.7%","","7,171,646","3.6%","0.6%","0.3%","0.6%","1.1%","7.7%","2.2%","0.4%","12.0%","0.3%","0.4%","8.6%","4.1%","0.2%","1.7%","2.3%","0.2%","0.6%","0.8%","1.7%","0.2%","0.9%","1.4%","0.2%","0.2%","0.6%","0.2%","","2,614,298","93.2%","86.2%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
