"Label (Grouping)","HOUSEHOLDS BY TYPE","HOUSEHOLDS BY TYPE!!Total households","HOUSEHOLDS BY TYPE!!Total households!!Married-couple family","HOUSEHOLDS BY TYPE!!Total households!!Married-couple family!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household","HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With own children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Average household size","HOUSEHOLDS BY TYPE!!Total households!!Average family size","RELATIONSHIP","RELATIONSHIP!!Population in households","RELATIONSHIP!!Population in households!!Householder","RELATIONSHIP!!Population in households!!Spouse","RELATIONSHIP!!Population in households!!Unmarried partner","RELATIONSHIP!!Population in households!!Child","RELATIONSHIP!!Population in households!!Other relatives","RELATIONSHIP!!Population in households!!Other nonrelatives","MARITAL STATUS","MARITAL STATUS!!Males 15 years and over","MARITAL STATUS!!Males 15 years and over!!Never married","MARITAL STATUS!!Males 15 years and over!!Now married, except separated","MARITAL STATUS!!Males 15 years and over!!Separated","MARITAL STATUS!!Males 15 years and over!!Widowed","MARITAL STATUS!!Males 15 years and over!!Divorced","MARITAL STATUS!!Females 15 years and over","MARITAL STATUS!!Females 15 years and over!!Never married","MARITAL STATUS!!Females 15 years and over!!Now married, except separated","MARITAL STATUS!!Females 15 years and over!!Separated","MARITAL STATUS!!Females 15 years and over!!Widowed","MARITAL STATUS!!Females 15 years and over!!Divorced","FERTILITY","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","GRANDPARENTS","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married","SCHOOL ENROLLMENT","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","VETERAN STATUS","VETERAN STATUS!!Civilian population 18 years and over","VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability","RESIDENCE 1 YEAR AGO","RESIDENCE 1 YEAR AGO!!Population 1 year and over","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Same county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Same state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Different state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Abroad","PLACE OF BIRTH","PLACE OF BIRTH!!Total population","PLACE OF BIRTH!!Total population!!Native","PLACE OF BIRTH!!Total population!!Native!!Born in United States","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state","PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","PLACE OF BIRTH!!Total population!!Foreign born","U.S. CITIZENSHIP STATUS","U.S. CITIZENSHIP STATUS!!Foreign-born population","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen","YEAR OF ENTRY","YEAR OF ENTRY!!Population born outside the United States","YEAR OF ENTRY!!Population born outside the United States!!Native","YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later","YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010","YEAR OF ENTRY!!Population born outside the United States!!Foreign born","YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered 2010 or later","YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered before 2010","WORLD REGION OF BIRTH OF FOREIGN BORN","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America","LANGUAGE SPOKEN AT HOME","LANGUAGE SPOKEN AT HOME!!Population 5 years and over","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well""","ANCESTRY","ANCESTRY!!Total population","ANCESTRY!!Total population!!American","ANCESTRY!!Total population!!Arab","ANCESTRY!!Total population!!Czech","ANCESTRY!!Total population!!Danish","ANCESTRY!!Total population!!Dutch","ANCESTRY!!Total population!!English","ANCESTRY!!Total population!!French (except Basque)","ANCESTRY!!Total population!!French Canadian","ANCESTRY!!Total population!!German","ANCESTRY!!Total population!!Greek","ANCESTRY!!Total population!!Hungarian","ANCESTRY!!Total population!!Irish","ANCESTRY!!Total population!!Italian","ANCESTRY!!Total population!!Lithuanian","ANCESTRY!!Total population!!Norwegian","ANCESTRY!!Total population!!Polish","ANCESTRY!!Total population!!Portuguese","ANCESTRY!!Total population!!Russian","ANCESTRY!!Total population!!Scotch-Irish","ANCESTRY!!Total population!!Scottish","ANCESTRY!!Total population!!Slovak","ANCESTRY!!Total population!!Subsaharan African","ANCESTRY!!Total population!!Swedish","ANCESTRY!!Total population!!Swiss","ANCESTRY!!Total population!!Ukrainian","ANCESTRY!!Total population!!Welsh","ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups)","COMPUTERS AND INTERNET USE","COMPUTERS AND INTERNET USE!!Total households","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,897,576","892,050","298,328","89,377","30,456","340,968","23,481","251,848","73,615","575,181","109,842","314,320","152,778","541,575","603,285","2.52","3.15","","4,786,560","1,897,576","889,501","91,873","1,388,962","388,102","130,546","","1,909,410","649,109","953,145","33,987","55,855","217,314","2,095,058","595,067","953,056","49,480","216,198","281,257","","58,542","26,127","40","51","15","98","18","","123,290","59,025","","8,661","12,271","8,277","29,816","59,025","35,985","42,843","","1,164,195","65,500","60,362","489,133","248,164","301,036","","3,360,058","130,320","302,753","1,039,241","700,473","301,914","547,975","337,382","2,926,985","885,357","","3,800,695","318,254","","4,822,514","765,018","1,084,062","43,702","2,903,613","401,368","834,839","319,948","","4,849,509","4,197,698","639,622","387,253","252,369","147,589","104,780","12,189","","4,903,185","4,728,233","4,686,864","3,394,858","1,292,006","41,369","174,952","","174,952","76,963","97,989","","216,321","41,369","9,961","31,408","174,952","53,063","121,889","","174,952","20,150","56,338","9,618","751","84,109","3,986","","4,616,588","4,361,203","255,385","101,624","165,933","71,510","37,873","8,253","42,704","18,818","8,875","3,043","","4,903,185","849,104","9,436","3,465","4,449","31,728","351,651","59,414","8,661","261,712","11,675","3,933","350,146","77,525","2,555","14,964","30,125","4,706","8,738","66,644","93,896","2,096","44,872","16,421","4,295","2,737","25,204","12,250","","1,897,576","1,696,826","1,548,299"
"    Percent","","1,897,576","47.0%","15.7%","4.7%","1.6%","18.0%","1.2%","13.3%","3.9%","30.3%","5.8%","16.6%","8.1%","28.5%","31.8%","(X)","(X)","","4,786,560","39.6%","18.6%","1.9%","29.0%","8.1%","2.7%","","1,909,410","34.0%","49.9%","1.8%","2.9%","11.4%","2,095,058","28.4%","45.5%","2.4%","10.3%","13.4%","","58,542","44.6%","(X)","(X)","(X)","(X)","(X)","","123,290","47.9%","","7.0%","10.0%","6.7%","24.2%","59,025","61.0%","72.6%","","1,164,195","5.6%","5.2%","42.0%","21.3%","25.9%","","3,360,058","3.9%","9.0%","30.9%","20.8%","9.0%","16.3%","10.0%","87.1%","26.3%","","3,800,695","8.4%","","4,822,514","15.9%","1,084,062","4.0%","2,903,613","13.8%","834,839","38.3%","","4,849,509","86.6%","13.2%","8.0%","5.2%","3.0%","2.2%","0.3%","","4,903,185","96.4%","95.6%","69.2%","26.4%","0.8%","3.6%","","174,952","44.0%","56.0%","","216,321","41,369","24.1%","75.9%","174,952","30.3%","69.7%","","174,952","11.5%","32.2%","5.5%","0.4%","48.1%","2.3%","","4,616,588","94.5%","5.5%","2.2%","3.6%","1.5%","0.8%","0.2%","0.9%","0.4%","0.2%","0.1%","","4,903,185","17.3%","0.2%","0.1%","0.1%","0.6%","7.2%","1.2%","0.2%","5.3%","0.2%","0.1%","7.1%","1.6%","0.1%","0.3%","0.6%","0.1%","0.2%","1.4%","1.9%","0.0%","0.9%","0.3%","0.1%","0.1%","0.5%","0.2%","","1,897,576","89.4%","81.6%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","252,199","124,608","51,781","17,282","5,368","52,368","4,339","37,276","10,287","57,941","11,189","31,833","11,983","83,150","63,397","2.79","3.43","","704,872","252,199","124,372","17,467","221,605","50,315","38,914","","301,975","113,828","144,691","4,594","7,380","31,482","276,250","78,558","141,074","5,410","18,035","33,173","","10,502","3,028","35","63","5","95","45","","16,792","7,854","","1,379","1,346","1,131","3,998","7,854","4,796","5,996","","180,074","11,471","11,916","77,408","37,219","42,060","","484,058","10,424","20,666","139,156","124,261","43,394","89,583","56,574","452,968","146,157","","532,729","57,225","","705,772","82,900","179,672","6,933","437,165","45,887","88,935","30,080","","722,063","609,362","108,406","58,654","49,752","15,721","34,031","4,295","","731,545","673,167","655,014","313,765","341,249","18,153","58,378","","58,378","37,209","21,169","","76,531","18,153","7,242","10,911","58,378","18,274","40,104","","58,378","7,549","31,391","2,303","2,672","10,924","3,539","","680,654","569,930","110,724","29,651","27,138","6,696","11,626","2,396","38,271","16,128","33,689","4,431","","731,545","23,848","1,063","3,415","4,099","11,143","53,955","14,921","3,242","93,035","1,065","1,679","69,121","22,243","1,060","21,524","13,625","1,729","9,237","9,051","15,981","935","5,054","15,465","3,422","2,003","6,884","1,436","","252,199","240,277","221,495"
"    Percent","","252,199","49.4%","20.5%","6.9%","2.1%","20.8%","1.7%","14.8%","4.1%","23.0%","4.4%","12.6%","4.8%","33.0%","25.1%","(X)","(X)","","704,872","35.8%","17.6%","2.5%","31.4%","7.1%","5.5%","","301,975","37.7%","47.9%","1.5%","2.4%","10.4%","276,250","28.4%","51.1%","2.0%","6.5%","12.0%","","10,502","28.8%","(X)","(X)","(X)","(X)","(X)","","16,792","46.8%","","8.2%","8.0%","6.7%","23.8%","7,854","61.1%","76.3%","","180,074","6.4%","6.6%","43.0%","20.7%","23.4%","","484,058","2.2%","4.3%","28.7%","25.7%","9.0%","18.5%","11.7%","93.6%","30.2%","","532,729","10.7%","","705,772","11.7%","179,672","3.9%","437,165","10.5%","88,935","33.8%","","722,063","84.4%","15.0%","8.1%","6.9%","2.2%","4.7%","0.6%","","731,545","92.0%","89.5%","42.9%","46.6%","2.5%","8.0%","","58,378","63.7%","36.3%","","76,531","18,153","39.9%","60.1%","58,378","31.3%","68.7%","","58,378","12.9%","53.8%","3.9%","4.6%","18.7%","6.1%","","680,654","83.7%","16.3%","4.4%","4.0%","1.0%","1.7%","0.4%","5.6%","2.4%","4.9%","0.7%","","731,545","3.3%","0.1%","0.5%","0.6%","1.5%","7.4%","2.0%","0.4%","12.7%","0.1%","0.2%","9.4%","3.0%","0.1%","2.9%","1.9%","0.2%","1.3%","1.2%","2.2%","0.1%","0.7%","2.1%","0.5%","0.3%","0.9%","0.2%","","252,199","95.3%","87.8%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,670,441","1,272,331","453,075","198,263","66,195","493,626","39,893","333,832","108,906","706,221","121,750","394,831","202,005","784,475","901,462","2.67","3.27","","7,116,824","2,670,441","1,270,451","200,117","2,066,614","614,954","294,247","","2,926,106","1,095,055","1,398,597","39,279","78,170","315,005","2,992,979","910,850","1,382,180","51,918","241,197","406,834","","89,019","33,865","35","54","15","94","25","","182,158","62,433","","12,285","10,881","9,419","29,848","62,433","37,549","43,795","","1,773,809","91,621","85,086","745,187","386,787","465,128","","4,944,540","252,459","360,539","1,170,685","1,236,845","431,854","931,038","561,120","4,331,542","1,492,158","","5,614,933","478,354","","7,165,904","946,481","1,637,432","69,281","4,233,538","449,863","1,294,934","427,337","","7,200,620","6,038,776","1,115,230","736,704","378,526","125,231","253,295","46,614","","7,278,717","6,302,416","6,202,093","2,901,217","3,300,876","100,323","976,301","","976,301","439,287","537,014","","1,076,624","100,323","23,458","76,865","976,301","219,167","757,134","","976,301","86,383","208,159","36,525","9,121","596,845","39,268","","6,851,010","4,987,924","1,863,086","552,792","1,394,070","420,105","142,037","30,765","149,604","54,455","177,375","47,467","","7,278,717","281,668","42,117","25,972","42,613","78,771","589,029","147,017","36,371","862,207","24,720","27,202","580,212","292,121","13,775","123,558","160,711","18,229","46,091","60,047","122,553","7,340","58,584","98,581","16,645","17,152","47,451","12,500","","2,670,441","2,526,296","2,328,661"
"    Percent","","2,670,441","47.6%","17.0%","7.4%","2.5%","18.5%","1.5%","12.5%","4.1%","26.4%","4.6%","14.8%","7.6%","29.4%","33.8%","(X)","(X)","","7,116,824","37.5%","17.9%","2.8%","29.0%","8.6%","4.1%","","2,926,106","37.4%","47.8%","1.3%","2.7%","10.8%","2,992,979","30.4%","46.2%","1.7%","8.1%","13.6%","","89,019","38.0%","(X)","(X)","(X)","(X)","(X)","","182,158","34.3%","","6.7%","6.0%","5.2%","16.4%","62,433","60.1%","70.1%","","1,773,809","5.2%","4.8%","42.0%","21.8%","26.2%","","4,944,540","5.1%","7.3%","23.7%","25.0%","8.7%","18.8%","11.3%","87.6%","30.2%","","5,614,933","8.5%","","7,165,904","13.2%","1,637,432","4.2%","4,233,538","10.6%","1,294,934","33.0%","","7,200,620","83.9%","15.5%","10.2%","5.3%","1.7%","3.5%","0.6%","","7,278,717","86.6%","85.2%","39.9%","45.3%","1.4%","13.4%","","976,301","45.0%","55.0%","","1,076,624","100,323","23.4%","76.6%","976,301","22.4%","77.6%","","976,301","8.8%","21.3%","3.7%","0.9%","61.1%","4.0%","","6,851,010","72.8%","27.2%","8.1%","20.3%","6.1%","2.1%","0.4%","2.2%","0.8%","2.6%","0.7%","","7,278,717","3.9%","0.6%","0.4%","0.6%","1.1%","8.1%","2.0%","0.5%","11.8%","0.3%","0.4%","8.0%","4.0%","0.2%","1.7%","2.2%","0.3%","0.6%","0.8%","1.7%","0.1%","0.8%","1.4%","0.2%","0.2%","0.7%","0.2%","","2,670,441","94.6%","87.2%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
