"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0400000US01","Alabama","10916","null","288","null","30244","576","null","null","52062","null","688","null","83697","996","null","null","180469","3315","null","null","311208","null","10540","null",
"0400000US02","Alaska","18408","null","1096","null","47516","1684","null","null","75786","null","2073","null","116589","3035","null","null","234221","12241","null","null","387399","null","35644","null",
"0400000US04","Arizona","14754","null","355","null","38775","460","null","null","62516","null","533","null","96326","767","null","null","209819","3136","null","null","367580","null","10054","null",
"0400000US05","Arkansas","11555","null","354","null","29074","489","null","null","49079","null","802","null","77445","1173","null","null","173941","4612","null","null","315234","null","14924","null",
"0400000US06","California","16981","null","168","null","47103","265","null","null","80693","null","385","null","127666","537","null","null","295369","2015","null","null","531014","null","6298","null",
"0400000US08","Colorado","18417","null","494","null","48151","752","null","null","77739","null","819","null","118168","953","null","null","255114","3850","null","null","450609","null","12602","null",
"0400000US09","Connecticut","16037","null","401","null","45494","773","null","null","78998","null","1113","null","126468","1343","null","null","306153","6967","null","null","579711","null","21231","null",
"0400000US10","Delaware","15945","null","1021","null","43297","1457","null","null","70395","null","1672","null","107695","2573","null","null","224894","10501","null","null","387937","null","33208","null",
"0400000US11","District of Columbia","13762","null","1345","null","50961","2301","null","null","93636","null","2648","null","156790","4092","null","null","361695","14018","null","null","640700","null","40296","null",
"0400000US12","Florida","14026","null","191","null","36228","288","null","null","59312","null","334","null","92392","508","null","null","217456","1934","null","null","404254","null","6397","null",
"0400000US13","Georgia","13668","null","244","null","36961","481","null","null","62262","null","536","null","97048","838","null","null","222399","3716","null","null","402002","null","12292","null",
"0400000US15","Hawaii","18445","null","1000","null","51487","1642","null","null","83525","null","1754","null","125285","2335","null","null","252492","7432","null","null","423529","null","22096","null",
"0400000US16","Idaho","16199","null","655","null","38686","952","null","null","61073","null","1211","null","90879","1704","null","null","188036","6100","null","null","325365","null","19823","null",
"0400000US17","Illinois","14667","null","255","null","40418","394","null","null","69263","null","486","null","109103","668","null","null","245173","2813","null","null","442476","null","9258","null",
"0400000US18","Indiana","13987","null","328","null","35772","483","null","null","58036","null","551","null","89247","734","null","null","193279","3554","null","null","348590","null","12477","null",
"0400000US19","Iowa","15270","null","442","null","38455","616","null","null","61810","null","833","null","92822","982","null","null","192979","4398","null","null","339126","null","14229","null",
"0400000US20","Kansas","15090","null","464","null","38458","623","null","null","62366","null","825","null","94502","1182","null","null","200932","4841","null","null","350796","null","15401","null",
"0400000US21","Kentucky","11367","null","350","null","30762","573","null","null","52800","null","704","null","82595","827","null","null","183549","3650","null","null","333777","null","11679","null",
"0400000US22","Louisiana","9426","null","332","null","27826","582","null","null","51134","null","722","null","84866","960","null","null","190038","3871","null","null","336976","null","12021","null",
"0400000US23","Maine","14674","null","650","null","36011","1006","null","null","59241","null","1335","null","90983","1615","null","null","190606","6305","null","null","327475","null","18245","null",
"0400000US24","Maryland","18902","null","523","null","52314","831","null","null","86873","null","946","null","132242","1199","null","null","280115","4122","null","null","478927","null","12938","null",
"0400000US25","Massachusetts","16450","null","404","null","49102","712","null","null","86122","null","896","null","136548","1160","null","null","299188","4657","null","null","526243","null","14003","null",
"0400000US26","Michigan","13976","null","226","null","36017","348","null","null","59559","null","426","null","92178","563","null","null","201676","2540","null","null","356455","null","7834","null",
"0400000US27","Minnesota","18156","null","316","null","46381","441","null","null","74632","null","609","null","111856","856","null","null","233949","3824","null","null","406818","null","12194","null",
"0400000US28","Mississippi","9715","null","380","null","26122","685","null","null","45905","null","1019","null","74345","1381","null","null","169318","5533","null","null","304820","null","19175","null",
"0400000US29","Missouri","13294","null","309","null","34818","480","null","null","57697","null","551","null","89430","785","null","null","194185","3300","null","null","345545","null","10287","null",
"0400000US30","Montana","13899","null","591","null","35107","988","null","null","57539","null","1344","null","88237","1925","null","null","191819","8736","null","null","350655","null","27885","null",
"0400000US31","Nebraska","15965","null","536","null","39782","654","null","null","63576","null","837","null","95376","1250","null","null","197997","4467","null","null","343133","null","14285","null",
"0400000US32","Nevada","14425","null","539","null","39271","776","null","null","63769","null","996","null","97058","1126","null","null","220208","6212","null","null","415695","null","21148","null",
"0400000US33","New Hampshire","19002","null","895","null","48213","1188","null","null","77837","null","1745","null","117466","2235","null","null","241891","8513","null","null","412033","null","26308","null",
"0400000US34","New Jersey","18249","null","371","null","50796","614","null","null","86333","null","786","null","135936","1094","null","null","305190","3726","null","null","540499","null","12349","null",
"0400000US35","New Mexico","10976","null","452","null","29804","862","null","null","52194","null","1178","null","83044","1490","null","null","181940","5322","null","null","314941","null","16582","null",
"0400000US36","New York","13372","null","176","null","40540","363","null","null","72668","null","487","null","118290","704","null","null","291906","3077","null","null","553773","null","9950","null",
"0400000US37","North Carolina","13301","null","272","null","34642","376","null","null","57647","null","566","null","90467","728","null","null","204129","2496","null","null","367316","null","8148","null",
"0400000US38","North Dakota","15064","null","962","null","39112","1554","null","null","64634","null","2232","null","98958","2665","null","null","209985","10074","null","null","373709","null","31570","null",
"0400000US39","Ohio","13601","null","188","null","35246","335","null","null","58719","null","445","null","90882","569","null","null","199074","2541","null","null","354673","null","8600","null",
"0400000US40","Oklahoma","12507","null","296","null","32890","407","null","null","54708","null","536","null","85519","830","null","null","192061","3694","null","null","352070","null","11991","null",
"0400000US41","Oregon","15597","null","391","null","40845","590","null","null","67311","null","873","null","103468","1352","null","null","215026","4418","null","null","365465","null","13466","null",
"0400000US42","Pennsylvania","14295","null","244","null","37855","340","null","null","63852","null","363","null","99443","560","null","null","223499","2536","null","null","403160","null","8646","null",
"0400000US44","Rhode Island","14829","null","758","null","40953","1421","null","null","70808","null","1841","null","107226","2474","null","null","228951","8601","null","null","406567","null","28882","null",
"0400000US45","South Carolina","12334","null","393","null","34044","537","null","null","56598","null","760","null","89011","895","null","null","198951","4414","null","null","355363","null","13610","null",
"0400000US46","South Dakota","15519","null","691","null","37357","1219","null","null","59967","null","1386","null","90692","1958","null","null","184714","7024","null","null","317665","null","21926","null",
"0400000US47","Tennessee","13144","null","264","null","33913","422","null","null","56209","null","655","null","87453","824","null","null","199456","3301","null","null","366578","null","11386","null",
"0400000US48","Texas","14556","null","210","null","38685","305","null","null","64520","null","406","null","101720","588","null","null","228924","2070","null","null","408263","null","5660","null",
"0400000US49","Utah","20124","null","613","null","49437","922","null","null","75847","null","1063","null","109645","1372","null","null","227022","6082","null","null","403396","null","19643","null",
"0400000US50","Vermont","15054","null","1043","null","38675","1351","null","null","63610","null","1700","null","96920","2062","null","null","200816","9250","null","null","343288","null","28640","null",
"0400000US51","Virginia","17138","null","326","null","45821","558","null","null","76771","null","776","null","120555","1121","null","null","265171","3776","null","null","455891","null","10553","null",
"0400000US53","Washington","18576","null","364","null","48370","528","null","null","78904","null","729","null","120904","974","null","null","262118","3651","null","null","457171","null","10525","null",
"0400000US54","West Virginia","10649","null","523","null","28675","829","null","null","48905","null","1067","null","77739","1366","null","null","163240","4724","null","null","280030","null","14188","null",
"0400000US55","Wisconsin","16034","null","303","null","39807","437","null","null","64285","null","531","null","96390","645","null","null","197977","3083","null","null","345564","null","10043","null",
"0400000US56","Wyoming","15528","null","1132","null","40761","1810","null","null","66001","null","1773","null","97455","2602","null","null","196029","11556","null","null","339640","null","36257","null",
"0400000US72","Puerto Rico","2546","null","148","null","11355","271","null","null","20645","null","352","null","35887","631","null","null","94840","2910","null","null","179744","null","9008","null",
"0500000US01003","Baldwin County, Alabama","14977","null","2232","null","36173","2768","null","null","58092","null","4767","null","94131","5632","null","null","203872","19222","null","null","356787","null","50148","null",
"0500000US01015","Calhoun County, Alabama","8804","null","2444","null","27500","3222","null","null","47152","null","3960","null","74460","4755","null","null","147770","15155","null","null","246681","null","48693","null",
"0500000US01043","Cullman County, Alabama","14933","null","1762","null","32637","2928","null","null","50824","null","3905","null","74305","5508","null","null","136899","14641","null","null","218021","null","39151","null",
"0500000US01049","DeKalb County, Alabama","10288","null","2287","null","25022","5099","null","null","44614","null","4353","null","67680","6405","null","null","136279","18719","null","null","219297","null","63362","null",
"0500000US01051","Elmore County, Alabama","17178","null","2519","null","36788","4905","null","null","61742","null","5632","null","96525","8525","null","null","200647","28430","null","null","344417","null","83609","null",
"0500000US01055","Etowah County, Alabama","8994","null","2045","null","23253","2356","null","null","41355","null","4351","null","65855","5478","null","null","160265","29392","null","null","290286","null","98509","null",
"0500000US01069","Houston County, Alabama","9847","null","1191","null","28051","2081","null","null","49329","null","2837","null","79069","4461","null","null","181177","12970","null","null","321282","null","41097","null",
"0500000US01073","Jefferson County, Alabama","10219","null","872","null","31205","1487","null","null","54122","null","2100","null","91019","3372","null","null","212601","10097","null","null","382525","null","28628","null",
"0500000US01077","Lauderdale County, Alabama","9721","null","1697","null","27464","3199","null","null","48030","null","4433","null","76199","5623","null","null","149041","14851","null","null","243103","null","45473","null",
"0500000US01081","Lee County, Alabama","8129","null","1802","null","27263","3696","null","null","53974","null","4851","null","86852","6455","null","null","213783","26821","null","null","398652","null","87971","null",
"0500000US01083","Limestone County, Alabama","16050","null","2447","null","37109","4897","null","null","64158","null","6560","null","100947","7016","null","null","199638","22794","null","null","340457","null","64309","null",
"0500000US01089","Madison County, Alabama","14476","null","1216","null","38317","1963","null","null","67913","null","3233","null","110330","4568","null","null","213481","10627","null","null","343060","null","32646","null",
"0500000US01095","Marshall County, Alabama","11032","null","1962","null","30765","3098","null","null","49388","null","3054","null","72314","5481","null","null","155618","16968","null","null","255621","null","42278","null",
"0500000US01097","Mobile County, Alabama","9952","null","1045","null","28831","1677","null","null","49498","null","1906","null","75833","2704","null","null","158665","8956","null","null","257813","null","25320","null",
"0500000US01101","Montgomery County, Alabama","12225","null","1779","null","33758","2377","null","null","53191","null","2357","null","81795","4392","null","null","179598","13099","null","null","323043","null","42533","null",
"0500000US01103","Morgan County, Alabama","13206","null","2059","null","32992","3401","null","null","54617","null","3937","null","85672","6950","null","null","182597","18001","null","null","314468","null","49542","null",
"0500000US01115","St. Clair County, Alabama","17694","null","4088","null","42471","5804","null","null","68131","null","6067","null","97047","5389","null","null","166685","21544","null","null","273747","null","72171","null",
"0500000US01117","Shelby County, Alabama","18513","null","2469","null","47999","3531","null","null","76864","null","4100","null","115060","4431","null","null","249570","23726","null","null","449854","null","77686","null",
"0500000US01121","Talladega County, Alabama","9303","null","1803","null","25000","2818","null","null","48794","null","7370","null","81776","7298","null","null","148917","15920","null","null","233432","null","42361","null",
"0500000US01125","Tuscaloosa County, Alabama","10084","null","1754","null","30200","2571","null","null","52317","null","3588","null","87608","5637","null","null","186953","13508","null","null","315664","null","42497","null",
"0500000US01127","Walker County, Alabama","10983","null","2203","null","27462","3223","null","null","46833","null","5296","null","76114","6466","null","null","142935","15680","null","null","220384","null","42602","null",
"0500000US02020","Anchorage Municipality, Alaska","20920","null","2679","null","53082","3216","null","null","83201","null","3959","null","125746","5005","null","null","262259","23550","null","null","472989","null","76456","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","21222","null","4005","null","49836","5330","null","null","74204","null","7018","null","123967","16563","null","null","247440","35357","null","null","378335","null","85990","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","17471","null","2468","null","47322","3647","null","null","74833","null","3520","null","113624","5608","null","null","207382","13180","null","null","301845","null","30846","null",
"0500000US04001","Apache County, Arizona","3839","null","1482","null","15693","2974","null","null","30775","null","4000","null","53091","6159","null","null","115343","10850","null","null","171446","null","23545","null",
"0500000US04003","Cochise County, Arizona","12413","null","2267","null","32085","2693","null","null","49423","null","3457","null","81984","5807","null","null","162056","17054","null","null","252938","null","51845","null",
"0500000US04005","Coconino County, Arizona","9935","null","2270","null","34892","3857","null","null","58732","null","4894","null","95890","6632","null","null","206645","32819","null","null","354384","null","114595","null",
"0500000US04013","Maricopa County, Arizona","16964","null","577","null","43415","691","null","null","69021","null","887","null","106003","1157","null","null","229556","4051","null","null","400844","null","13576","null",
"0500000US04015","Mohave County, Arizona","14124","null","1222","null","32343","2118","null","null","50072","null","2449","null","72395","3248","null","null","148248","15679","null","null","259826","null","52515","null",
"0500000US04017","Navajo County, Arizona","7674","null","1654","null","25305","1829","null","null","39587","null","3496","null","65457","4974","null","null","129102","10229","null","null","190504","null","23715","null",
"0500000US04019","Pima County, Arizona","12793","null","781","null","33943","1058","null","null","56275","null","1481","null","87837","1710","null","null","193615","7784","null","null","345406","null","23746","null",
"0500000US04021","Pinal County, Arizona","17274","null","1407","null","41887","1949","null","null","62401","null","2548","null","92125","3217","null","null","180128","15211","null","null","304188","null","51902","null",
"0500000US04025","Yavapai County, Arizona","13503","null","1419","null","33359","2239","null","null","54746","null","3094","null","81611","3667","null","null","173188","10195","null","null","287913","null","23515","null",
"0500000US04027","Yuma County, Arizona","8893","null","1614","null","27326","2441","null","null","46396","null","2923","null","71495","4029","null","null","141802","13844","null","null","245241","null","48342","null",
"0500000US05007","Benton County, Arkansas","17458","null","2005","null","44252","2748","null","null","70116","null","2869","null","106304","5387","null","null","245656","18234","null","null","429179","null","40619","null",
"0500000US05031","Craighead County, Arkansas","12053","null","2465","null","27447","2838","null","null","47867","null","6161","null","80608","7526","null","null","175840","31414","null","null","313169","null","99724","null",
"0500000US05045","Faulkner County, Arkansas","11183","null","3106","null","32388","4295","null","null","57564","null","5007","null","83829","4988","null","null","188911","36571","null","null","375405","null","123769","null",
"0500000US05051","Garland County, Arkansas","10199","null","1885","null","27436","3685","null","null","45275","null","3889","null","68752","6417","null","null","157250","20507","null","null","269262","null","64423","null",
"0500000US05069","Jefferson County, Arkansas","7616","null","1634","null","21293","4940","null","null","39755","null","4006","null","65012","7822","null","null","133916","14949","null","null","216855","null","38789","null",
"0500000US05085","Lonoke County, Arkansas","14319","null","3774","null","38764","4952","null","null","62363","null","6616","null","93941","6603","null","null","170429","14883","null","null","248131","null","38721","null",
"0500000US05119","Pulaski County, Arkansas","11796","null","1282","null","31764","1908","null","null","52749","null","2562","null","83395","3607","null","null","207606","14506","null","null","413186","null","45456","null",
