"Label (Grouping)","HOUSEHOLDS BY TYPE","HOUSEHOLDS BY TYPE!!Total households","HOUSEHOLDS BY TYPE!!Total households!!Married-couple household","HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household","HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Average household size","HOUSEHOLDS BY TYPE!!Total households!!Average family size","RELATIONSHIP","RELATIONSHIP!!Population in households","RELATIONSHIP!!Population in households!!Householder","RELATIONSHIP!!Population in households!!Spouse","RELATIONSHIP!!Population in households!!Unmarried partner","RELATIONSHIP!!Population in households!!Child","RELATIONSHIP!!Population in households!!Other relatives","RELATIONSHIP!!Population in households!!Other nonrelatives","MARITAL STATUS","MARITAL STATUS!!Males 15 years and over","MARITAL STATUS!!Males 15 years and over!!Never married","MARITAL STATUS!!Males 15 years and over!!Now married, except separated","MARITAL STATUS!!Males 15 years and over!!Separated","MARITAL STATUS!!Males 15 years and over!!Widowed","MARITAL STATUS!!Males 15 years and over!!Divorced","MARITAL STATUS!!Females 15 years and over","MARITAL STATUS!!Females 15 years and over!!Never married","MARITAL STATUS!!Females 15 years and over!!Now married, except separated","MARITAL STATUS!!Females 15 years and over!!Separated","MARITAL STATUS!!Females 15 years and over!!Widowed","MARITAL STATUS!!Females 15 years and over!!Divorced","FERTILITY","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","GRANDPARENTS","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married","SCHOOL ENROLLMENT","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","VETERAN STATUS","VETERAN STATUS!!Civilian population 18 years and over","VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability","RESIDENCE 1 YEAR AGO","RESIDENCE 1 YEAR AGO!!Population 1 year and over","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Same county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Same state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Different state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Abroad","PLACE OF BIRTH","PLACE OF BIRTH!!Total population","PLACE OF BIRTH!!Total population!!Native","PLACE OF BIRTH!!Total population!!Native!!Born in United States","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state","PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","PLACE OF BIRTH!!Total population!!Foreign born","U.S. CITIZENSHIP STATUS","U.S. CITIZENSHIP STATUS!!Foreign-born population","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen","YEAR OF ENTRY","YEAR OF ENTRY!!Population born outside the United States","YEAR OF ENTRY!!Population born outside the United States!!Native","YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later","YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010","YEAR OF ENTRY!!Population born outside the United States!!Foreign born","YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered 2010 or later","YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered before 2010","WORLD REGION OF BIRTH OF FOREIGN BORN","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America","LANGUAGE SPOKEN AT HOME","LANGUAGE SPOKEN AT HOME!!Population 5 years and over","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well""","ANCESTRY","ANCESTRY!!Total population","ANCESTRY!!Total population!!American","ANCESTRY!!Total population!!Arab","ANCESTRY!!Total population!!Czech","ANCESTRY!!Total population!!Danish","ANCESTRY!!Total population!!Dutch","ANCESTRY!!Total population!!English","ANCESTRY!!Total population!!French (except Basque)","ANCESTRY!!Total population!!French Canadian","ANCESTRY!!Total population!!German","ANCESTRY!!Total population!!Greek","ANCESTRY!!Total population!!Hungarian","ANCESTRY!!Total population!!Irish","ANCESTRY!!Total population!!Italian","ANCESTRY!!Total population!!Lithuanian","ANCESTRY!!Total population!!Norwegian","ANCESTRY!!Total population!!Polish","ANCESTRY!!Total population!!Portuguese","ANCESTRY!!Total population!!Russian","ANCESTRY!!Total population!!Scotch-Irish","ANCESTRY!!Total population!!Scottish","ANCESTRY!!Total population!!Slovak","ANCESTRY!!Total population!!Subsaharan African","ANCESTRY!!Total population!!Swedish","ANCESTRY!!Total population!!Swiss","ANCESTRY!!Total population!!Ukrainian","ANCESTRY!!Total population!!Welsh","ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups)","COMPUTERS AND INTERNET USE","COMPUTERS AND INTERNET USE!!Total households","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,902,983","895,003","315,140","87,073","30,188","341,235","20,512","254,905","73,528","579,672","115,418","319,904","155,742","560,352","596,471","2.57","3.22","","4,882,809","1,902,983","894,736","87,404","1,462,025","392,150","143,511","","1,955,630","667,583","965,720","35,744","61,944","224,639","2,114,805","610,200","956,929","51,162","216,689","279,825","","58,514","23,848","36","50","12","93","21","","121,147","59,028","","8,417","11,694","8,824","30,093","59,028","37,616","39,719","","1,193,988","66,899","61,824","498,613","258,397","308,255","","3,413,803","129,972","300,075","1,041,209","728,823","303,299","563,628","346,797","2,983,756","910,425","","3,859,695","324,845","","4,920,010","792,519","1,120,609","50,908","2,972,859","420,466","826,542","321,145","","4,941,984","4,308,804","633,180","618,351","363,416","254,935","145,678","109,257","14,829","","4,997,675","4,824,246","4,776,521","3,454,660","1,321,861","47,725","173,429","","173,429","71,423","102,006","","221,154","47,725","9,750","37,975","173,429","51,527","121,902","","173,429","19,914","55,422","9,047","992","84,124","3,930","","4,702,043","4,452,423","249,620","98,723","156,752","67,331","39,017","8,146","42,289","20,345","11,562","2,901","","4,997,675","788,449","12,473","4,611","5,150","29,277","439,594","66,600","8,077","313,145","8,987","6,397","397,272","79,977","1,948","15,959","28,557","4,614","7,084","66,656","88,988","1,803","45,401","14,739","4,713","2,724","22,064","11,190","","1,902,983","1,706,822","1,561,316"
"    Percent","","1,902,983","47.0%","16.6%","4.6%","1.6%","17.9%","1.1%","13.4%","3.9%","30.5%","6.1%","16.8%","8.2%","29.4%","31.3%","(X)","(X)","","4,882,809","39.0%","18.3%","1.8%","29.9%","8.0%","2.9%","","1,955,630","34.1%","49.4%","1.8%","3.2%","11.5%","2,114,805","28.9%","45.2%","2.4%","10.2%","13.2%","","58,514","40.8%","(X)","(X)","(X)","(X)","(X)","","121,147","48.7%","","6.9%","9.7%","7.3%","24.8%","59,028","63.7%","67.3%","","1,193,988","5.6%","5.2%","41.8%","21.6%","25.8%","","3,413,803","3.8%","8.8%","30.5%","21.3%","8.9%","16.5%","10.2%","87.4%","26.7%","","3,859,695","8.4%","","4,920,010","16.1%","1,120,609","4.5%","2,972,859","14.1%","826,542","38.9%","","4,941,984","87.2%","12.8%","12.5%","7.4%","5.2%","2.9%","2.2%","0.3%","","4,997,675","96.5%","95.6%","69.1%","26.4%","1.0%","3.5%","","173,429","41.2%","58.8%","","221,154","47,725","20.4%","79.6%","173,429","29.7%","70.3%","","173,429","11.5%","32.0%","5.2%","0.6%","48.5%","2.3%","","4,702,043","94.7%","5.3%","2.1%","3.3%","1.4%","0.8%","0.2%","0.9%","0.4%","0.2%","0.1%","","4,997,675","15.8%","0.2%","0.1%","0.1%","0.6%","8.8%","1.3%","0.2%","6.3%","0.2%","0.1%","7.9%","1.6%","0.0%","0.3%","0.6%","0.1%","0.1%","1.3%","1.8%","0.0%","0.9%","0.3%","0.1%","0.1%","0.4%","0.2%","","1,902,983","89.7%","82.0%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","260,561","129,879","55,806","20,725","7,391","53,210","4,416","37,260","9,964","56,747","11,077","32,309","13,206","88,146","65,671","2.72","3.32","","710,024","260,561","129,226","21,392","218,951","48,878","31,016","","305,920","114,155","148,617","4,960","7,017","31,171","276,323","79,820","139,473","5,462","16,928","34,640","","10,413","2,979","34","61","11","98","38","","17,697","6,805","","1,333","1,382","895","3,195","6,805","4,144","4,989","","180,211","10,233","10,176","79,161","38,928","41,713","","484,382","11,045","21,624","137,873","123,841","41,808","92,691","55,500","451,713","148,191","","533,140","62,744","","709,438","88,000","182,430","7,061","438,260","48,726","88,748","32,213","","726,379","608,975","117,404","112,805","65,678","47,127","17,599","29,528","4,599","","735,951","678,026","660,354","315,470","344,884","17,672","57,925","","57,925","34,788","23,137","","75,597","17,672","5,670","12,002","57,925","16,505","41,420","","57,925","7,050","32,373","2,420","3,510","9,746","2,826","","685,160","578,236","106,924","29,651","23,629","5,799","14,141","3,148","38,401","16,592","30,753","4,112","","735,951","24,734","859","3,325","5,039","10,031","62,308","16,125","5,435","104,171","1,202","1,795","71,433","20,087","906","21,587","13,693","1,926","8,121","9,310","15,346","541","5,561","14,490","2,814","2,721","4,941","1,566","","260,561","248,873","230,348"
"    Percent","","260,561","49.8%","21.4%","8.0%","2.8%","20.4%","1.7%","14.3%","3.8%","21.8%","4.3%","12.4%","5.1%","33.8%","25.2%","(X)","(X)","","710,024","36.7%","18.2%","3.0%","30.8%","6.9%","4.4%","","305,920","37.3%","48.6%","1.6%","2.3%","10.2%","276,323","28.9%","50.5%","2.0%","6.1%","12.5%","","10,413","28.6%","(X)","(X)","(X)","(X)","(X)","","17,697","38.5%","","7.5%","7.8%","5.1%","18.1%","6,805","60.9%","73.3%","","180,211","5.7%","5.6%","43.9%","21.6%","23.1%","","484,382","2.3%","4.5%","28.5%","25.6%","8.6%","19.1%","11.5%","93.3%","30.6%","","533,140","11.8%","","709,438","12.4%","182,430","3.9%","438,260","11.1%","88,748","36.3%","","726,379","83.8%","16.2%","15.5%","9.0%","6.5%","2.4%","4.1%","0.6%","","735,951","92.1%","89.7%","42.9%","46.9%","2.4%","7.9%","","57,925","60.1%","39.9%","","75,597","17,672","32.1%","67.9%","57,925","28.5%","71.5%","","57,925","12.2%","55.9%","4.2%","6.1%","16.8%","4.9%","","685,160","84.4%","15.6%","4.3%","3.4%","0.8%","2.1%","0.5%","5.6%","2.4%","4.5%","0.6%","","735,951","3.4%","0.1%","0.5%","0.7%","1.4%","8.5%","2.2%","0.7%","14.2%","0.2%","0.2%","9.7%","2.7%","0.1%","2.9%","1.9%","0.3%","1.1%","1.3%","2.1%","0.1%","0.8%","2.0%","0.4%","0.4%","0.7%","0.2%","","260,561","95.5%","88.4%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,683,557","1,270,166","471,715","212,056","74,049","499,026","39,265","339,345","107,194","702,309","131,613","389,619","195,711","818,733","876,620","2.58","3.16","","6,930,677","2,683,557","1,266,275","215,916","1,978,145","532,895","253,889","","2,853,528","1,040,126","1,395,408","38,861","75,284","303,849","2,892,805","866,638","1,354,477","55,446","227,923","388,321","","88,808","32,998","36","55","16","92","31","","168,740","56,087","","10,244","10,976","9,613","25,254","56,087","34,675","37,729","","1,728,359","79,741","83,008","733,418","375,851","456,341","","4,792,007","236,487","323,973","1,125,498","1,177,629","433,004","923,339","572,077","4,231,547","1,495,416","","5,442,481","471,924","","6,976,512","917,555","1,612,255","72,082","4,131,796","442,313","1,232,461","403,160","","7,006,531","5,870,358","1,136,173","1,096,338","716,304","380,034","120,512","259,522","39,835","","7,079,203","6,157,084","6,057,690","2,814,137","3,243,553","99,394","922,119","","922,119","425,791","496,328","","1,021,513","99,394","20,691","78,703","922,119","197,035","725,084","","922,119","85,768","188,596","33,892","5,468","567,809","40,586","","6,666,597","4,893,977","1,772,620","542,400","1,342,767","422,033","135,477","29,265","133,208","50,498","161,168","40,604","","7,079,203","263,241","36,404","24,950","40,226","75,951","626,296","143,226","28,756","895,605","24,473","27,443","614,921","292,203","11,643","117,190","153,023","16,484","45,721","51,997","119,136","8,228","51,976","93,482","17,786","13,798","41,529","15,278","","2,683,557","2,533,201","2,366,476"
"    Percent","","2,683,557","47.3%","17.6%","7.9%","2.8%","18.6%","1.5%","12.6%","4.0%","26.2%","4.9%","14.5%","7.3%","30.5%","32.7%","(X)","(X)","","6,930,677","38.7%","18.3%","3.1%","28.5%","7.7%","3.7%","","2,853,528","36.5%","48.9%","1.4%","2.6%","10.6%","2,892,805","30.0%","46.8%","1.9%","7.9%","13.4%","","88,808","37.2%","(X)","(X)","(X)","(X)","(X)","","168,740","33.2%","","6.1%","6.5%","5.7%","15.0%","56,087","61.8%","67.3%","","1,728,359","4.6%","4.8%","42.4%","21.7%","26.4%","","4,792,007","4.9%","6.8%","23.5%","24.6%","9.0%","19.3%","11.9%","88.3%","31.2%","","5,442,481","8.7%","","6,976,512","13.2%","1,612,255","4.5%","4,131,796","10.7%","1,232,461","32.7%","","7,006,531","83.8%","16.2%","15.6%","10.2%","5.4%","1.7%","3.7%","0.6%","","7,079,203","87.0%","85.6%","39.8%","45.8%","1.4%","13.0%","","922,119","46.2%","53.8%","","1,021,513","99,394","20.8%","79.2%","922,119","21.4%","78.6%","","922,119","9.3%","20.5%","3.7%","0.6%","61.6%","4.4%","","6,666,597","73.4%","26.6%","8.1%","20.1%","6.3%","2.0%","0.4%","2.0%","0.8%","2.4%","0.6%","","7,079,203","3.7%","0.5%","0.4%","0.6%","1.1%","8.8%","2.0%","0.4%","12.7%","0.3%","0.4%","8.7%","4.1%","0.2%","1.7%","2.2%","0.2%","0.6%","0.7%","1.7%","0.1%","0.7%","1.3%","0.3%","0.2%","0.6%","0.2%","","2,683,557","94.4%","88.2%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,158,460","553,316","207,198","66,764","24,211","207,190","15,619","150,758","45,267","331,190","69,852","183,462","91,205","362,428","353,599","2.53","3.13","","2,928,890","1,158,460","553,382","66,487","851,631","209,559","89,371","","1,183,310","375,535","602,314","21,570","39,079","144,812","1,239,523","323,132","584,161","29,625","126,517","176,088","","37,634","14,410","39","55","19","103","19","","71,076","35,016","","5,965","7,500","5,840","15,711","35,016","21,996","24,638","","723,753","46,044","38,336","314,978","156,346","168,049","","2,021,290","93,191","155,530","688,732","437,893","154,675","313,527","177,742","1,772,569","491,269","","2,294,772","186,175","","2,955,770","521,071","703,988","43,335","1,760,316","275,701","491,466","202,035","","2,972,264","2,552,678","419,586","411,747","232,234","179,513","108,511","71,002","7,839","","3,006,309","2,858,150","2,836,617","1,840,946","995,671","21,533","148,159","","148,159","50,230","97,929","","169,692","21,533","4,965","16,568","148,159","40,713","107,446","","148,159","9,781","34,471","4,330","6,827","90,440","2,310","","2,821,729","2,605,314","216,415","90,379","155,476","66,829","20,231","4,621","35,408","17,885","5,300","1,044","","3,006,309","276,583","6,088","6,450","4,681","28,926","270,784","45,236","5,625","280,274","3,189","2,410","279,619","45,165","1,603","14,334","22,785","2,946","4,210","30,878","50,913","988","24,333","12,502","4,724","1,891","13,943","3,801","","1,158,460","1,040,511","923,685"
