"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0400000US01","Alabama","11137","null","293","null","31534","null","492","null","54417","null","713","null","87743","null","1102","null","194783","null","3615","null","340996","11446","null","null",
"0400000US02","Alaska","16837","null","1325","null","48172","null","1906","null","78729","null","2504","null","121031","null","3259","null","237824","null","8420","null","380619","23045","null","null",
"0400000US04","Arizona","15838","null","376","null","42333","null","431","null","69087","null","616","null","105980","null","973","null","232648","null","4013","null","415144","12306","null","null",
"0400000US05","Arkansas","11438","null","400","null","31500","null","736","null","53108","null","988","null","83780","null","1228","null","185803","null","4127","null","329386","13016","null","null",
"0400000US06","California","16575","null","217","null","49717","null","335","null","85605","null","498","null","135916","null","657","null","316951","null","2592","null","571211","7493","null","null",
"0400000US08","Colorado","18797","null","494","null","50325","null","691","null","82601","null","894","null","126946","null","1192","null","274583","null","4747","null","486502","14435","null","null",
"0400000US09","Connecticut","16539","null","537","null","48210","null","866","null","84270","null","990","null","133469","null","1668","null","317556","null","6875","null","596845","21330","null","null",
"0400000US10","Delaware","16374","null","891","null","44592","null","1257","null","71589","null","1828","null","110620","null","2910","null","234988","null","13396","null","405211","47913","null","null",
"0400000US11","District of Columbia","11531","null","1339","null","50020","null","2526","null","91811","null","2916","null","157612","null","5035","null","383304","null","18652","null","694671","60775","null","null",
"0400000US12","Florida","13877","null","191","null","38016","null","320","null","63330","null","425","null","98958","null","746","null","233684","null","2988","null","436219","9495","null","null",
"0400000US13","Georgia","14062","null","343","null","39621","null","551","null","67065","null","649","null","104836","null","994","null","236542","null","4819","null","423553","14622","null","null",
"0400000US15","Hawaii","17476","null","1250","null","52147","null","1607","null","85181","null","1738","null","130979","null","2516","null","272972","null","9516","null","465118","29971","null","null",
"0400000US16","Idaho","16483","null","795","null","42404","null","1235","null","67081","null","1534","null","100192","null","1830","null","223615","null","10762","null","418289","34803","null","null",
"0400000US17","Illinois","14381","null","315","null","42319","null","456","null","72413","null","542","null","113688","null","710","null","256567","null","3863","null","461458","12538","null","null",
"0400000US18","Indiana","14943","null","328","null","38945","null","495","null","63091","null","639","null","95573","null","960","null","200661","null","3830","null","346248","12220","null","null",
"0400000US19","Iowa","15850","null","446","null","40758","null","663","null","65956","null","742","null","99447","null","1007","null","210483","null","5678","null","372563","18744","null","null",
"0400000US20","Kansas","14962","null","501","null","39602","null","716","null","64371","null","802","null","99255","null","1019","null","214709","null","5677","null","381969","19249","null","null",
"0400000US21","Kentucky","11356","null","336","null","32525","null","549","null","56008","null","619","null","88356","null","941","null","192927","null","4072","null","341277","13387","null","null",
"0400000US22","Louisiana","9799","null","364","null","29417","null","696","null","52751","null","908","null","86888","null","1335","null","199095","null","4405","null","350118","12919","null","null",
"0400000US23","Maine","14580","null","608","null","38990","null","1182","null","65581","null","1332","null","100101","null","1583","null","219528","null","8895","null","401099","29969","null","null",
"0400000US24","Maryland","18459","null","530","null","53971","null","790","null","90346","null","1008","null","140013","null","1255","null","296998","null","5432","null","512227","17936","null","null",
"0400000US25","Massachusetts","16040","null","421","null","50598","null","840","null","90296","null","1205","null","144566","null","1590","null","322443","null","4254","null","566762","12870","null","null",
"0400000US26","Michigan","14040","null","287","null","38377","null","362","null","63763","null","483","null","98913","null","701","null","215373","null","2441","null","379855","8142","null","null",
"0400000US27","Minnesota","18888","null","321","null","48551","null","538","null","78229","null","753","null","119000","null","975","null","251857","null","3591","null","439236","12228","null","null",
"0400000US28","Mississippi","9738","null","419","null","28055","null","569","null","49085","null","967","null","80285","null","1478","null","173076","null","4921","null","300597","16264","null","null",
"0400000US29","Missouri","14092","null","331","null","37447","null","441","null","62122","null","623","null","95911","null","912","null","215027","null","3546","null","388700","11579","null","null",
"0400000US30","Montana","15165","null","739","null","38467","null","1143","null","63211","null","1441","null","97681","null","2257","null","220891","null","11653","null","399224","36947","null","null",
"0400000US31","Nebraska","15569","null","598","null","41180","null","900","null","67248","null","1053","null","102568","null","1411","null","219478","null","5840","null","391315","18751","null","null",
"0400000US32","Nevada","13542","null","582","null","39494","null","838","null","66595","null","1058","null","103255","null","1476","null","226918","null","6584","null","403819","20977","null","null",
