"GEO_ID","NAME","B25101_001E","B25101_001M","B25101_001MA","B25101_001EA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003M","B25101_003MA","B25101_003EA","B25101_004E","B25101_004M","B25101_004MA","B25101_004EA","B25101_005E","B25101_005M","B25101_005MA","B25101_005EA","B25101_006E","B25101_006M","B25101_006MA","B25101_006EA","B25101_007E","B25101_007M","B25101_007MA","B25101_007EA","B25101_008E","B25101_008M","B25101_008MA","B25101_008EA","B25101_009E","B25101_009M","B25101_009MA","B25101_009EA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012M","B25101_012MA","B25101_012EA","B25101_013E","B25101_013M","B25101_013MA","B25101_013EA","B25101_014E","B25101_014M","B25101_014MA","B25101_014EA","B25101_015E","B25101_015M","B25101_015MA","B25101_015EA","B25101_016E","B25101_016M","B25101_016MA","B25101_016EA","B25101_017E","B25101_017M","B25101_017MA","B25101_017EA","B25101_018E","B25101_018M","B25101_018MA","B25101_018EA","B25101_019E","B25101_019M","B25101_019MA","B25101_019EA","B25101_020E","B25101_020M","B25101_020MA","B25101_020EA","B25101_021E","B25101_021M","B25101_021MA","B25101_021EA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023M","B25101_023MA","B25101_023EA","B25101_024E","B25101_024M","B25101_024MA","B25101_024EA","B25101_025E","B25101_025M","B25101_025MA","B25101_025EA","B25101_026E","B25101_026M","B25101_026MA","B25101_026EA","B25101_027E","B25101_027M","B25101_027MA","B25101_027EA","B25101_028E","B25101_028M","B25101_028MA","B25101_028EA","B25101_029E","B25101_029M","B25101_029MA","B25101_029EA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031M","B25101_031MA","B25101_031EA","B25101_032E","B25101_032M","B25101_032MA","B25101_032EA","B25101_033E","B25101_033M","B25101_033MA","B25101_033EA","B25101_034E","B25101_034EA","B25101_034M","B25101_034MA","B25101_035E","B25101_035M","B25101_035MA","B25101_035EA","B25101_036E","B25101_036M","B25101_036MA","B25101_036EA","B25101_037E","B25101_037M","B25101_037MA","B25101_037EA","B25101_038E","B25101_038M","B25101_038MA","B25101_038EA","B25101_039E","B25101_039M","B25101_039MA","B25101_039EA","B25101_040E","B25101_040M","B25101_040MA","B25101_040EA","B25101_041E","B25101_041M","B25101_041MA","B25101_041EA","B25101_042E","B25101_042M","B25101_042MA","B25101_042EA","B25101_043E","B25101_043M","B25101_043MA","B25101_043EA","B25101_044E","B25101_044M","B25101_044MA","B25101_044EA","B25101_045E","B25101_045M","B25101_045MA","B25101_045EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!With a mortgage:","Margin of Error!!Total:!!With a mortgage:","Annotation of Margin of Error!!Total:!!With a mortgage:","Annotation of Estimate!!Total:!!With a mortgage:","Estimate!!Total:!!With a mortgage:!!Less than $20,000:","Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:","Annotation of Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:","Annotation of Estimate!!Total:!!With a mortgage:!!Less than $20,000:","Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:","Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:","Annotation of Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:","Annotation of Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:","Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:","Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:","Annotation of Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:","Annotation of Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:","Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:","Annotation of Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:","Annotation of Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:","Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!$75,000 or more:","Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:","Annotation of Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:","Annotation of Estimate!!Total:!!With a mortgage:!!$75,000 or more:","Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Annotation of Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Annotation of Margin of Error!!Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Annotation of Estimate!!Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Estimate!!Total:!!With a mortgage:!!Zero or negative income","Margin of Error!!Total:!!With a mortgage:!!Zero or negative income","Annotation of Margin of Error!!Total:!!With a mortgage:!!Zero or negative income","Annotation of Estimate!!Total:!!With a mortgage:!!Zero or negative income","Estimate!!Total:!!Not mortgaged:","Margin of Error!!Total:!!Not mortgaged:","Annotation of Margin of Error!!Total:!!Not mortgaged:","Annotation of Estimate!!Total:!!Not mortgaged:","Estimate!!Total:!!Not mortgaged:!!Less than $20,000:","Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:","Annotation of Estimate!!Total:!!Not mortgaged:!!Less than $20,000:","Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:","Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:","Annotation of Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:","Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:","Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:","Annotation of Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:","Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:","Annotation of Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:","Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!$75,000 or more:","Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:","Annotation of Estimate!!Total:!!Not mortgaged:!!$75,000 or more:","Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Annotation of Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Annotation of Margin of Error!!Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Annotation of Estimate!!Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Estimate!!Total:!!Not mortgaged:!!Zero or negative income","Margin of Error!!Total:!!Not mortgaged:!!Zero or negative income","Annotation of Margin of Error!!Total:!!Not mortgaged:!!Zero or negative income","Annotation of Estimate!!Total:!!Not mortgaged:!!Zero or negative income",
"0100000US","United States","84649084","252966","null","null","51394498","156515","null","null","2031699","23141","null","null","8330","1623","null","null","12349","1820","null","null","2011020","22842","null","null","2741587","24478","null","null","52177","3726","null","null","216573","8589","null","null","2472837","23075","null","null","3623347","31378","null","null","242497","6387","null","null","838504","16794","null","null","2542346","27174","null","null","7259646","56104","null","null","1403753","23027","null","null","2552816","26694","null","null","3303077","37379","null","null","35469437","124949","null","null","22463512","104265","null","null","9049721","56598","null","null","3956204","38369","null","null","268782","10413","null","null","33254586","127969","null","null","3737867","34490","null","null","439150","10995","null","null","569925","12899","null","null","2728792","27789","null","null","4238136","32708","null","null","1827851","null","21394","null","1168580","16231","null","null","1241705","18266","null","null","3980375","35679","null","null","2764082","null","30258","null","783048","13723","null","null","433245","10081","null","null","5720787","46369","null","null","4877512","42296","null","null","598672","12932","null","null","244603","8237","null","null","15067442","79773","null","null","14556922","78687","null","null","352900","9841","null","null","157620","6590","null","null","509979","12564","null","null",
"0400000US01","Alabama","1416333","13257","null","null","773346","12879","null","null","46830","4341","null","null","77","91","null","null","83","91","null","null","46670","4362","null","null","53124","4114","null","null","1645","546","null","null","7225","1726","null","null","44254","3727","null","null","71555","4632","null","null","9737","1975","null","null","25437","3033","null","null","36381","3440","null","null","130132","6237","null","null","40044","3321","null","null","58182","4305","null","null","31906","2712","null","null","466373","9582","null","null","372515","9163","null","null","76469","4068","null","null","17389","2594","null","null","5332","1581","null","null","642987","9089","null","null","99462","5337","null","null","19697","2204","null","null","20441","2067","null","null","59324","4196","null","null","97878","5205","null","null","65215","null","4310","null","21926","2372","null","null","10737","1705","null","null","84616","4824","null","null","76396","null","4788","null","5977","1264","null","null","2243","787","null","null","114012","5270","null","null","109970","5349","null","null","3014","1046","null","null","1028","465","null","null","235100","7442","null","null","233807","7498","null","null","619","413","null","null","674","497","null","null","11919","1866","null","null",
"0400000US02","Alaska","181586","4091","null","null","110440","4032","null","null","3013","921","null","null","0","170","null","null","18","29","null","null","2995","920","null","null","4110","1052","null","null","153","200","null","null","76","55","null","null","3881","1065","null","null","6069","1358","null","null","159","125","null","null","861","619","null","null","5049","1227","null","null","12755","1768","null","null","1102","465","null","null","3861","965","null","null","7792","1439","null","null","84093","3951","null","null","46113","3504","null","null","25678","2645","null","null","12302","1948","null","null","400","286","null","null","71146","3114","null","null","7179","1322","null","null","1446","519","null","null","725","299","null","null","5008","1116","null","null","6827","1070","null","null","2719","null","563","null","2284","693","null","null","1824","570","null","null","7357","1174","null","null","5175","null","902","null","1478","627","null","null","704","363","null","null","12167","1512","null","null","10206","1314","null","null","1551","552","null","null","410","282","null","null","36370","2416","null","null","35766","2409","null","null","525","365","null","null","79","108","null","null","1246","515","null","null",
"0400000US04","Arizona","1921746","15923","null","null","1189431","15318","null","null","53301","4420","null","null","140","154","null","null","251","273","null","null","52910","4432","null","null","71192","4531","null","null","953","466","null","null","5146","1291","null","null","65093","4164","null","null","92812","6172","null","null","6273","1555","null","null","22819","3484","null","null","63720","4680","null","null","181626","8836","null","null","33475","2959","null","null","70677","5160","null","null","77474","6077","null","null","781818","12997","null","null","542879","13183","null","null","187163","6469","null","null","51776","4161","null","null","8682","1977","null","null","732315","11866","null","null","85814","4625","null","null","13943","1760","null","null","17154","2322","null","null","54717","3858","null","null","93893","4502","null","null","52095","null","3816","null","22610","2796","null","null","19188","2197","null","null","88852","4478","null","null","72527","null","4255","null","11877","1584","null","null","4448","896","null","null","129417","5816","null","null","119648","5691","null","null","6035","1227","null","null","3734","1137","null","null","316689","8559","null","null","311835","8536","null","null","2700","846","null","null","2154","848","null","null","17650","2310","null","null",
"0400000US05","Arkansas","808558","10147","null","null","427028","8970","null","null","23318","2988","null","null","120","138","null","null","270","267","null","null","22928","2910","null","null","30590","2574","null","null","475","278","null","null","4068","1164","null","null","26047","2452","null","null","43447","3197","null","null","5260","1316","null","null","17923","2116","null","null","20264","2364","null","null","79738","4759","null","null","29518","3169","null","null","32537","2884","null","null","17683","2828","null","null","247078","6881","null","null","200893","6657","null","null","36895","2880","null","null","9290","1449","null","null","2857","929","null","null","381530","7478","null","null","60888","3888","null","null","12292","1541","null","null","12327","1559","null","null","36269","3337","null","null","60636","3479","null","null","37470","null","2852","null","17057","1991","null","null","6109","1149","null","null","54888","3692","null","null","48688","null","3721","null","5102","1110","null","null","1098","464","null","null","73650","4190","null","null","71079","4165","null","null","1750","724","null","null","821","474","null","null","124787","4433","null","null","123520","4513","null","null","800","471","null","null","467","388","null","null","6681","1537","null","null",
"0400000US06","California","7565502","31664","null","null","5076532","29279","null","null","182102","7449","null","null","973","539","null","null","1252","612","null","null","179877","7470","null","null","205572","8245","null","null","1847","618","null","null","4310","932","null","null","199415","8057","null","null","256209","7936","null","null","6466","1620","null","null","16402","2309","null","null","233341","7925","null","null","521801","11808","null","null","26625","2864","null","null","88932","4509","null","null","406244","11202","null","null","3878649","28181","null","null","1798599","19327","null","null","1191345","18232","null","null","888705","15832","null","null","32199","3459","null","null","2488970","21597","null","null","237134","7362","null","null","14088","1673","null","null","23462","2429","null","null","199584","7254","null","null","249106","9496","null","null","69937","null","4764","null","57823","4063","null","null","121346","6429","null","null","234721","8068","null","null","121377","null","5480","null","61137","3692","null","null","52207","3571","null","null","357530","9452","null","null","264733","8715","null","null","62785","3831","null","null","30012","2138","null","null","1370290","15717","null","null","1299792","14784","null","null","47643","3213","null","null","22855","2942","null","null","40189","3398","null","null",
"0400000US08","Colorado","1584309","12824","null","null","1093793","11451","null","null","39368","3666","null","null","336","394","null","null","191","301","null","null","38841","3608","null","null","44769","3385","null","null","928","679","null","null","1850","612","null","null","41991","3314","null","null","62825","3997","null","null","1959","858","null","null","8377","1672","null","null","52489","3589","null","null","134742","7328","null","null","12925","2064","null","null","37118","3492","null","null","84699","6192","null","null","807665","11167","null","null","467047","10262","null","null","237982","8861","null","null","102636","5042","null","null","4424","1112","null","null","490516","10303","null","null","48355","3427","null","null","4180","1027","null","null","6072","1452","null","null","38103","3157","null","null","53586","4210","null","null","19402","null","2298","null","15834","1995","null","null","18350","2155","null","null","51017","3090","null","null","34240","null","2502","null","12047","2158","null","null","4730","1040","null","null","78152","4586","null","null","68487","4216","null","null","7184","1585","null","null","2481","717","null","null","254034","7341","null","null","249318","7158","null","null","2253","711","null","null","2463","1021","null","null","5372","1402","null","null",
"0400000US09","Connecticut","949839","10497","null","null","613144","9257","null","null","17183","2473","null","null","0","224","null","null","44","74","null","null","17139","2469","null","null","19992","2452","null","null","131","171","null","null","104","88","null","null","19757","2480","null","null","30472","3731","null","null","460","291","null","null","2265","842","null","null","27747","3492","null","null","71454","4861","null","null","3578","989","null","null","17183","2019","null","null","50693","4311","null","null","471523","8351","null","null","262162","7946","null","null","143003","6258","null","null","66358","4277","null","null","2520","1027","null","null","336695","8351","null","null","25288","3222","null","null","267","274","null","null","432","306","null","null","24589","3218","null","null","30022","2822","null","null","2501","null","798","null","5972","1278","null","null","21549","2202","null","null","32702","2805","null","null","7511","null","1541","null","12272","1708","null","null","12919","1921","null","null","47099","3854","null","null","27705","2756","null","null","14390","1969","null","null","5004","960","null","null","197024","6070","null","null","183627","5912","null","null","10311","1633","null","null","3086","1009","null","null","4560","1567","null","null",
"0400000US10","Delaware","298075","5549","null","null","188136","4751","null","null","6626","1343","null","null","0","203","null","null","44","75","null","null","6582","1344","null","null","10789","1935","null","null","272","196","null","null","414","258","null","null","10103","1927","null","null","13432","1813","null","null","770","335","null","null","2837","919","null","null","9825","1484","null","null","27569","2993","null","null","4402","1376","null","null","11582","1755","null","null","11585","1825","null","null","128707","4556","null","null","92288","4158","null","null","29210","3163","null","null","7209","1474","null","null","1013","528","null","null","109939","4377","null","null","9351","1465","null","null","766","453","null","null","1659","603","null","null","6926","1265","null","null","12698","1764","null","null","6706","null","956","null","2583","835","null","null","3409","1125","null","null","13437","1669","null","null","10641","null","1586","null","2066","821","null","null","730","345","null","null","19501","2805","null","null","18105","2656","null","null","1053","506","null","null","343","265","null","null","53838","3879","null","null","53283","3821","null","null","447","337","null","null","108","178","null","null","1114","535","null","null",
