"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0100000US","United States","15614","65","null","null","44346","116","null","null","75121","145","null","null","118415","215","null","null","274279","749","null","null","498167","2416","null","null",
"0400000US01","Alabama","11401","374","null","null","34205","596","null","null","60096","771","null","null","96067","1013","null","null","213012","4080","null","null","376209","12233","null","null",
"0400000US02","Alaska","20172","1764","null","null","54786","2180","null","null","88660","2547","null","null","129101","3436","null","null","254899","10040","null","null","423758","32341","null","null",
"0400000US04","Arizona","16732","407","null","null","45957","603","null","null","74923","808","null","null","114315","1071","null","null","254650","5882","null","null","461094","20238","null","null",
"0400000US05","Arkansas","11225","473","null","null","32883","670","null","null","55886","772","null","null","87710","1077","null","null","196563","5201","null","null","350908","17135","null","null",
"0400000US06","California","18110","223","null","null","53486","367","null","null","92068","471","null","null","147009","692","null","null","346847","2716","null","null","627250","8719","null","null",
"0400000US08","Colorado","20359","397","null","null","54767","726","null","null","89472","1028","null","null","136732","1527","null","null","293864","4688","null","null","505539","14358","null","null",
"0400000US09","Connecticut","17449","676","null","null","51732","1282","null","null","89379","1419","null","null","141508","2278","null","null","340731","8707","null","null","647966","27706","null","null",
"0400000US10","Delaware","19510","1095","null","null","50363","1577","null","null","82402","2080","null","null","122539","2659","null","null","252376","11612","null","null","433390","36247","null","null",
"0400000US11","District of Columbia","15665","1727","null","null","56985","2661","null","null","102090","3668","null","null","169545","5573","null","null","400077","16230","null","null","701660","45179","null","null",
"0400000US12","Florida","15293","239","null","null","42058","354","null","null","69655","497","null","null","108529","581","null","null","261209","3090","null","null","495501","9893","null","null",
"0400000US13","Georgia","15412","320","null","null","43740","503","null","null","73022","642","null","null","113564","863","null","null","253577","3575","null","null","448566","11195","null","null",
"0400000US15","Hawaii","18975","1200","null","null","55623","1619","null","null","92546","2110","null","null","140571","2774","null","null","297132","8580","null","null","506378","28080","null","null",
"0400000US16","Idaho","18560","640","null","null","45895","887","null","null","72449","1169","null","null","106093","1532","null","null","229521","8488","null","null","414291","26531","null","null",
"0400000US17","Illinois","15343","290","null","null","45269","478","null","null","77144","600","null","null","120718","915","null","null","275167","2966","null","null","497340","8246","null","null",
"0400000US18","Indiana","15202","359","null","null","41134","515","null","null","67195","584","null","null","102109","764","null","null","218385","3680","null","null","386410","12414","null","null",
"0400000US19","Iowa","16973","497","null","null","43573","684","null","null","69999","870","null","null","106100","1184","null","null","226830","5242","null","null","405056","17708","null","null",
"0400000US20","Kansas","15724","517","null","null","42093","766","null","null","69149","1048","null","null","106526","1187","null","null","232612","5681","null","null","412412","18786","null","null",
"0400000US21","Kentucky","11942","328","null","null","34598","631","null","null","59612","874","null","null","94364","1176","null","null","212554","4636","null","null","388506","15545","null","null",
"0400000US22","Louisiana","10691","343","null","null","31323","641","null","null","56007","833","null","null","92568","1158","null","null","205286","3461","null","null","358445","10866","null","null",
"0400000US23","Maine","15968","824","null","null","42621","1128","null","null","69962","1490","null","null","107285","2082","null","null","231939","8106","null","null","412375","24212","null","null",
"0400000US24","Maryland","19444","548","null","null","56771","890","null","null","95560","1017","null","null","148684","1627","null","null","308921","4916","null","null","515476","14295","null","null",
"0400000US25","Massachusetts","16996","468","null","null","53299","782","null","null","94908","1138","null","null","151962","1559","null","null","351952","6389","null","null","636120","19184","null","null",
"0400000US26","Michigan","14784","278","null","null","40640","427","null","null","67641","604","null","null","105255","747","null","null","230959","2759","null","null","407342","9578","null","null",
